,Concept_ID,fi,ce
0,Auge::N,silmä,бӏаьрг
1,Ohr::N,korva,лерг
2,Nase::N,nenä,мара
3,Mund::N,suu,бага
4,Zahn::N,hammas,церг
5,Zunge::N,kieli,мотт
6,Lippe::N,huuli,балда
7,Wange::N,poski,бесни
8,Gesicht::N,naama,юьхь
9,Gesicht::N,kasvot,юьхь
10,Stirn::N,otsa,хьаж
11,Haar::N,hius,мас
12,Haar::N,tukka,мас
13,Schnurrbart::N,viikset,мекх
14,Bart::N,parta,маж
15,Kinn::N,leuka,чӏениг
16,Kiefer[Anatomie]::N,leukaluu,мочхал
17,Kehle::N,kurkku,къамкъарг
18,Hals::N,kaula,ворта
19,Genick::N,niska,кӏесаркӏаг
20,Kopf::N,pää,корта
21,Rücken::N,selkä,букъ
22,Bauch::N,maha,кийра
23,Bauch::N,vatsa,кийра
24,Nabel::N,napa,цӏонга
25,Busen::N,rinta,зударийн накха
26,Brust::N,rinta,накха
27,Schulter::N,olka,белш
28,Schulter::N,hartia,белш
29,Schulter::N,olkapää,белш
30,Arm::N,käsivarsi,пхьарс
31,Ellenbogen::N,kyynärpää,пхьаьрсан гола
32,Hand::N,käsi,куьг
33,Handfläche::N,kämmen,кераюкъ
34,Finger::N,sormi,пӏелг
35,Fingernagel::N,kynsi,мӏара
36,Nagel[Anatomie]::N,kynsi,мӏара
37,Zeh::N,varvas,кога пӏелг
38,Fuß::N,jalka,ког
39,Ferse::N,kantapää,кӏажа
40,Knie::N,polvi,гола
41,Oberschenkel::N,reisi,варе
42,Bein::N,jalka,ког
43,Körper::N,keho,хӏума
44,Körper::N,ruumis,хӏума
45,Haut::N,iho,чкъор
46,Blut::N,veri,цӏий
47,Ader::N,suoni,пха
48,Sehne::N,jänne,хьорзам
49,Knochen::N,luu,даьӏахк
50,Gehirn::N,aivot,хье
51,Herz::N,sydän,дог
52,Magen::N,maha,зорх
53,Magen::N,vatsa,зорх
54,Leber::N,maksa,доӏах
55,Atem::N,henki,садеӏар
56,Atem::N,hengitys,садеӏар
