,Concept_ID,uz,he
0,Auge::N,ko'z,עין
1,Ohr::N,quloq,אזן
2,Nase::N,burun,אף
3,Nase::N,burun,חטם
4,Mund::N,og'iz,פה
5,Zahn::N,tish,שן
6,Zunge::N,til,לשון
7,Lippe::N,dudoq,שפה
8,Wange::N,bet,לחי
9,Gesicht::N,yuz,פנים
10,Stirn::N,manglay,מצח
11,Haar::N,soch,שערה
12,Schnurrbart::N,mo'ylov,שפם
13,Bart::N,soqol,זקן
14,Kinn::N,ängak,סנטר
15,Kiefer[Anatomie]::N,iyak,לסת
16,Kehle::N,bo'g'iz,גרון
17,Hals::N,bo'yin,צואר
18,Genick::N,gardan,ערף
19,Kopf::N,bosh,ראש
20,Rücken::N,orqa,גב
21,Bauch::N,qorin,בטן
22,Nabel::N,kindik,טבור
23,Busen::N,ämchak,שד
24,Brust::N,ko'krak,חזה
25,Schulter::N,elka,כתף
26,Arm::N,bilak,זרוע
27,Ellenbogen::N,tirsak,מרפק
28,Hand::N,qo'l,יד
29,Handfläche::N,kaft,כף יד
30,Finger::N,barmoq,אצבע
31,Fingernagel::N,tirnoq,צפרן
32,Nagel[Anatomie]::N,tirnoq,צפרן
33,Zeh::N,oyoq barmog'i,אצבע
34,Fuß::N,oyoq,רגל
35,Ferse::N,tovon,עקב
36,Knie::N,tiz,ברך
37,Oberschenkel::N,son,ירך
38,Bein::N,oyoq,רגל
39,Körper::N,badna,גוף
40,Haut::N,teri,עור
41,Blut::N,qon,דם
42,Ader::N,qon tomir,וריד
43,Sehne::N,tomir,גיד
44,Knochen::N,suyak,עצם
45,Gehirn::N,miya,מוח
46,Herz::N,qalb,לב
47,Magen::N,oshqozon,קבה
48,Leber::N,bag'ir,כבד
49,Atem::N,dam,נשימה
50,Hunger::N,ochlik,רעב
51,Träne::N,yosh,דמעה
52,Geschmack::N,tam,טעם
53,Geruch::N,jid,ריח
54,Schlaf::N,uyqu,שנה
55,Traum::N,tush,חלום
56,Himmel::N,osmon,שמים
57,Sonne::N,quyosh,שמש
58,Mond::N,oy,ירח
59,Stern::N,yulduz,כוכב
60,Luft::N,havo,אויר
61,Wind::N,el,רוח
62,Welle::N,to'lqin,גל
63,Wasser::N,suv,מים
64,Stein::N,tosh,אבן
65,Boden::N,tuproq,קרקע
66,Erde::N,er,אדמה
67,Staub::N,chang,אבק
68,Rauch::N,tutun,עשן
69,Funke::N,yalt,ניצוץ
70,Feuer::N,o't,אש
71,Licht::N,yorug',אור
72,Schatten::N,soya,צל
73,Wetter::N,havo,מזג אויר
74,Nebel::N,tuman,ערפל
75,Wolke::N,bulut,ענן
76,Regen::N,yomg'ir,גשם
77,Schnee::N,qor,שלג
78,Eis::N,muz,קרח
79,Frost::N,ajoz,צנה
80,Kälte::N,ajoz,קר
81,Hitze::N,issiq,חם
82,Raureif::N,qirov,כפור
83,Regenbogen::N,kamalak,קשת
84,Donner::N,guldur,רעם
85,Strömung::N,oqim,זרימה
86,Tropfen::N,tomchi,טפה
87,Schaum::N,ko'pik,קצף
88,Schmutz::N,gard,לכלוך
89,See::N,ko'l,אגם
90,Sumpf::N,botqoq,בצה
91,Moor::N,qir-adir,בצה
92,Wiese::N,o'tzor,מרעה
93,Wald::N,o'rmon,יער
94,Hügel::N,tepa,תל
95,Anhöhe::N,adir,מעלה
96,Berg::N,tog',הר
97,Gipfel::N,cho'qqi,פסגה
98,Höhle::N,kavak,מערה
99,Abhang::N,to'sh,מדרון
100,Abhang::N,to'sh,שפוע
101,Quelle::N,buloq,מעין
102,Bach::N,o'zan,נחל
103,Fluss::N,daryo,נהר
104,Ufer::N,sohil,גדה
105,Küste::N,qirg'oq,חוף
106,Festland::N,materik,יבשה
107,Meer::N,dengiz,ים
108,Bucht::N,qo'ltiq,מפרץ
109,Insel::N,orol,אי
110,Blume::N,gul,פרח
111,Gras::N,sabza,דשא
112,Wurzel::N,tub,שרש
113,Wurzel::N,tomir,שרש
114,Baum::N,daraxt,עץ
115,Stamm::N,o'simta,גזע
116,Rinde::N,qobiq,קלפת עץ
117,Ast::N,shox,ענף
118,Zweig::N,butoq,ענף
119,Blatt::N,barg,עלה
120,Birke::N,qayin,שדר
121,Kiefer[Baum]::N,qarag'ay,ארן
122,Weide[Baum]::N,shum,ערבה
123,Tanne::N,archa,אשוח
124,Horn::N,mugiz,קרן
125,Feder::N,par,נוצה
126,Fell::N,mo'yna,פרוה
127,Flügel::N,qanot,כנף
128,Klaue::N,tirnoq,טלף
129,Kralle::N,tirnoq,טפר
130,Schwanz::N,quyruq,זנב
131,Ei::N,tuxum,ביצה
132,Nest::N,oshyon,קן
133,Bau::N,o'pqon,מחלה
134,Tier::N,hayvon,חיה
135,Herde::N,gala,עדר
136,Kuh::N,inak,פרה
137,Bulle::N,ho'kiz,פר
138,Pferd::N,ot,סוס
139,Schaf::N,qo'y,כבשה
140,Schwein::N,cho'chqa,חזיר
141,Hund::N,it,כלב
142,Katze::N,mushuk,חתול
143,Bär::N,ayiq,דב
144,Eichhörnchen::N,tiyin,סנאי
145,Elch::N,los,דישון
146,Fuchs::N,tulki,שועל
147,Hase::N,kuyon,ארנב
148,Maus::N,sichqon,עכבר
149,Wolf::N,bo'ri,זאב
150,Vogel::N,qush,צפור
151,Schwarm::N,to'da,נחיל
152,Schwarm::N,to'da,להקה
153,Huhn::N,tovuq,תרנגלת
154,Hahn::N,xo'roz,תרנגול
155,Gans::N,g'oz,אוז
156,Adler::N,burgut,עיט
157,Ente::N,o'rdak,ברוז
158,Eule::N,boyo'g'li,ינשוף
159,Kranich::N,turna,עגור
160,Kranich::N,turna,כרוכיה
161,Krähe::N,qarg'a,עורב
162,Kuckuck::N,kakku,קוקיה
163,Schwan::N,oqkush,ברבור
164,Fisch::N,baliq,דג
165,Barsch::N,olabug'a,אוקונוס
166,Hecht::N,cho'rtan,זאב הים
167,Schlange[Tier]::N,ilon,נחש
168,Wurm::N,qurt,תולעת
169,Spinne::N,o'rgimchak,עכביש
170,Ameise::N,chumoli,נמלה
171,Laus::N,bit,כנה
172,Mücke::N,chivin,יתוש
173,Fliege::N,pashsha,זבוב
174,Schmetterling::N,kapalak,פרפר
175,Beere::N,meva,ענבה
176,Apfel::N,olma,תפוח
177,Pilz::N,qo'ziqorin,פטריה
178,Zwiebel::N,piyoz,בצל
179,Saat::N,äkin,זרעים
180,Korn::N,zarra,גרעין
181,Heu::N,xashak,חציר
182,Schale::N,po'choq,קלפה
183,Grube::N,co'ra,בור
184,Grube::N,co'ra,שוחה
185,Falle::N,qopqon,מלכדת
186,Schlinge::N,sirtmoq,לולאה
187,Spur::N,iz,עקבה
188,Asche::N,kul,אפר
189,Dreck::N,kir,זהמה
190,Eisen::N,temir,ברזל
191,Gold::N,tilla,זהב
192,Silber::N,kumush,כסף
193,Kohle::N,ko'mir,פחם
194,Glas::N,oyna,זכוכית
195,Lehm::N,loy,חרסית
196,Sand::N,qum,חול
197,Mensch::N,odam,אדם
198,Mann::N,ärkak,איש
199,Mann::N,ärkak,גבר
200,Frau::N,ayol,אשה
201,Frau::N,ayol,גברת
202,Kind::N,bola,ילד
203,Kind::N,kichkintoy,ילד
204,Junge::N,bola,ילד
205,Mädchen::N,qiz,נערה
206,Familie::N,oila,משפחה
207,Großvater::N,buva,סבא
208,Großvater::N,katta ota,סבא
209,Großmutter::N,buvi,סבתא
210,Großmutter::N,katta oyi,סבתא
211,Eltern::N,ota-ona,הורים
212,Vater::N,ota,אב
213,Mutter::N,ona,אם
214,Sohn::N,o'g'il,בן
215,Tochter::N,qiz,בת
216,Bruder::N,og'a,אח
217,Bruder::N,uka,אח
218,Schwester::N,opa,אחות
219,Schwester::N,singil,אחות
220,Onkel::N,amaki,דוד
221,Tante::N,amma,דודה
222,Tante::N,xola,דודה
223,Ehemann::N,är,איש
224,Ehemann::N,är,בעל
225,Ehefrau::N,rafiqa,אשה
226,Freude::N,ayish,שמחה
227,Gelächter::N,kulgi,צחוק
228,Glück::N,saodat,אשר
229,Kummer::N,g'am,יגון
230,Kummer::N,g'am,עגמה
231,Wunsch::N,orzu,אחול
232,Wunsch::N,orzu,משאלה
233,Lust::N,rag'bat,חשק
234,Lust::N,rag'bat,תשוקה
235,Geist::N,ruh,רוח
236,Gedanke::N,fikr,מחשבה
237,Gedächtnis::N,äs,זכרון
238,Verstand::N,aql,שכל
239,Sinn::N,ma'ni,מובן
240,Sinn::N,ma'ni,משמעות
241,Grund::N,sabab,סבה
242,Wahrheit::N,haq,אמת
243,Gespräch::N,gap,דיון
244,Märchen::N,ärtak,אגדה
245,Erzählung::N,rivoyat,ספור
246,Nachricht::N,xabar,ידיעה
247,Neuigkeit::N,yangilik,חדשה
248,Name::N,ot,שם
249,Rätsel::N,topishmoq,תעלומה
250,Rede::N,nutq,נאום
251,Sprache::N,til,לשון
252,Stimme::N,ovoz,קול
253,Wort::N,so'z,מלה
254,Zeichen::N,alomat,סימן
255,Ruf::N,chaqiriq,קריאה
256,Lärm::N,taraq,רעש
257,Laut::N,tovush,הגה
258,Ton::N,un,צליל
259,Lied::N,ashula,שיר
260,Ruhe::N,tinchlik,שלוה
261,Leute::N,xaloyiq,אנשים
262,Volk::N,xalq,עם
263,Arbeit::N,ish,עבודה
264,Gast::N,mehmon,אורח
265,Geschenk::N,hadya,מתנה
266,Spiel::N,o'yin,משחק
267,Gesellschaft::N,jamiyat,חברה
268,Hilfe::N,yordam,עזרה
269,Freund::N,do'st,חבר
270,Freund::N,do'st,ידיד
271,Kamerad::N,yo'ldosh,רע
272,Angelegenheit::N,daxl,ענין
273,Anzahl::N,son,מספר
274,Art::N,tur,סוג
275,Stück::N,parcha,חתיכה
276,Teil::N,bo'lak,פרק
277,Hälfte::N,yarim,חצי
278,Kreis::N,aylana,מעגל
279,Kreuz::N,xoch,צלב
280,Linie::N,liniya,קו
281,Strich::N,chiziq,קו קצר
282,Abstand::N,oralik,מרחק
283,Entfernung::N,uzoqlik,מרחק
284,Gegend::N,yer,נוף
285,Platz::N,oralig,שטח
286,Ort::N,joy,אתר
287,Ort::N,joy,מקום
288,Seite::N,yon,צד
289,Mitte::N,o'rta,אמצע
