,Concept_ID,uk,ko
0,Auge::N,око,눈
1,Ohr::N,вухо,귀
2,Nase::N,ніс,코
3,Mund::N,рот,입
4,Zahn::N,зуб,이
5,Zunge::N,язик,혀
6,Lippe::N,губа,입술
7,Wange::N,щока,뺨
8,Gesicht::N,обличчя,얼굴
9,Stirn::N,лоб,이마
10,Haar::N,волосся,털
11,Schnurrbart::N,вуса,윗수몀
12,Schnurrbart::N,вуса,코밑수염
13,Bart::N,борода,수엄
14,Kinn::N,підборіддя,아래턱
15,Kiefer[Anatomie]::N,щелепа,턱
16,Kehle::N,горло,인후
17,Hals::N,шия,목
18,Genick::N,потилиця,먹덜이
19,Kopf::N,голова,머리
20,Rücken::N,спина,든
21,Bauch::N,живіт,배
22,Nabel::N,пупок,배꼽
23,Busen::N,груди,가슴속
24,Brust::N,груди,가슴
25,Schulter::N,плече,어깨
26,Arm::N,рука,팔
27,Ellenbogen::N,лікоть,팔쿰치
28,Hand::N,рука,손
29,Handfläche::N,долоня,손바닥
30,Finger::N,палець,속가락
31,Fingernagel::N,ніготь,손톱
32,Nagel[Anatomie]::N,ніготь,손톱
33,Zeh::N,палець на нозі,발가락
34,Fuß::N,нога,발
35,Ferse::N,п’ятка,발꿈치
36,Knie::N,коліно,무릎
37,Oberschenkel::N,стегно,허벅다리
38,Bein::N,нога,다리
39,Körper::N,тіло,구간
40,Haut::N,шкіра,살갗
41,Blut::N,кров,피
42,Ader::N,вена,정맥
43,Sehne::N,сухожилля,현
44,Knochen::N,кістка,뼈
45,Gehirn::N,мозок,뇌
46,Gehirn::N,мозок,뇌수
47,Herz::N,серце,염통
48,Magen::N,шлунок,위
49,Leber::N,печінка,간
50,Atem::N,дихання,기식
51,Hunger::N,голод,공복
52,Träne::N,сльоза,눈물
53,Geschmack::N,смак,기호
54,Geruch::N,запах,냄새
55,Schlaf::N,сон,수면
56,Schlaf::N,сплячка,수면
57,Traum::N,сон,쿰
58,Himmel::N,небо,하늘
59,Sonne::N,сонце,해
60,Mond::N,місяць,달
61,Stern::N,зірка,별
62,Luft::N,повітря,동준
63,Luft::N,повітря,가스채
64,Wind::N,вітер,바람
65,Welle::N,хвиля,물결
66,Wasser::N,вода,물
67,Stein::N,камінь,돌
68,Boden::N,ґрунт,바닥
69,Erde::N,земля,흙
70,Staub::N,пил,먼지
71,Rauch::N,дим,연기
72,Funke::N,іскра,불티
73,Feuer::N,вогонь,불
74,Licht::N,світло,불
75,Schatten::N,тінь,어스레함
76,Wetter::N,погода,기상
77,Nebel::N,туман,안개
78,Wolke::N,хмара,구름
79,Regen::N,дощ,비
80,Schnee::N,сніг,눈
81,Eis::N,лід,얼음
82,Frost::N,мороз,혹한
83,Kälte::N,холод,추위
84,Kälte::N,холод,차가움
85,Hitze::N,жар,고온
86,Hitze::N,жар,더위
87,Raureif::N,іній,
88,Regenbogen::N,райдуга,무지개
89,Donner::N,грім,뇌명
90,Strömung::N,струмина,유동
91,Tropfen::N,крапля,물방울
92,Schaum::N,піна,포말
93,Schmutz::N,бруд,때
94,See::N,озеро,호수
95,Sumpf::N,драговина,습지
96,Moor::N,болото,저습지
97,Wiese::N,луг,목초지
98,Wiese::N,лука,목초지
99,Wald::N,ліс,숲
100,Hügel::N,горб,언덕
101,Anhöhe::N,височина,언덕
102,Berg::N,гора,산
103,Gipfel::N,вершина,졀졍
104,Höhle::N,печера,공동
105,Abhang::N,схил,몰매
106,Quelle::N,джерело,근원
107,Bach::N,струмок,내
108,Fluss::N,річка,강
109,Ufer::N,берег,강변
110,Ufer::N,берег,바닷가
111,Küste::N,узбережжя,해변
112,Küste::N,узбережжя,해변가
113,Festland::N,суша,본토
114,Meer::N,море,바다
115,Bucht::N,бухта,협만
116,Bucht::N,затока,협만
117,Insel::N,острів,섬
118,Blume::N,квітка,꽃
119,Gras::N,трава,풀
120,Wurzel::N,корінь,뿌리
121,Baum::N,дерево,나무
122,Stamm::N,стовбур,대
123,Rinde::N,кора,나무껍질
124,Ast::N,гілка,가지
125,Zweig::N,галузь,가지
126,Blatt::N,лист,잎
127,Birke::N,береза,자작나무
128,Kiefer[Baum]::N,сосна,소나무
129,Weide[Baum]::N,верба,쉬양버들
130,Tanne::N,ялиця,전나무
131,Horn::N,ріг,뿔
132,Feder::N,перо,깃털
133,Fell::N,хутро,피혁모피
134,Flügel::N,крило,날개
135,Klaue::N,кіготь,갈고리 발톺
136,Kralle::N,лапа,발툭
137,Schwanz::N,хвіст,꼬리
138,Ei::N,яйце,알
139,Nest::N,гніздо,보금자리
140,Bau::N,лігво,굴
141,Tier::N,тварина,짐승
142,Herde::N,стадо,가축의떼
143,Kuh::N,корова,암소
144,Bulle::N,бик,황소
145,Bulle::N,бугай,황소
146,Pferd::N,кінь,말
147,Schaf::N,вівця,양
148,Schwein::N,свиня,돼지
149,Hund::N,собака,개
150,Katze::N,кішка,고양이
151,Bär::N,ведмідь,콤
152,Eichhörnchen::N,білка,다람쥐
153,Elch::N,лось,고라니
154,Fuchs::N,лисиця,여우
155,Hase::N,заєць,토끼
156,Maus::N,миша,쥐
157,Wolf::N,вовк,늑대
158,Vogel::N,птах,새
159,Schwarm::N,зграя,뗴
160,Huhn::N,курка,암탉
161,Hahn::N,півень,수탉
162,Gans::N,гуска,거위
163,Adler::N,орел,수리
164,Ente::N,качка,오리
165,Eule::N,сова,부엉이
166,Kranich::N,журавель,두루미
167,Krähe::N,ворона,까마귀
168,Kuckuck::N,зозуля,뻐꾸기
169,Schwan::N,лебідь,배조
170,Fisch::N,риба,물고기
171,Barsch::N,окунь,농어
172,Hecht::N,щука,에속스
173,Schlange[Tier]::N,змія,뱀
174,Wurm::N,черв’як,벌레
175,Spinne::N,павук,거미
176,Ameise::N,мурашка,개미
177,Laus::N,воша,이
178,Mücke::N,комар,모기
179,Fliege::N,муха,날기
180,Schmetterling::N,метелик,나비
181,Beere::N,ягода,장과
182,Apfel::N,яблуко,사과
183,Pilz::N,гриб,고방이
184,Zwiebel::N,цибуля,양파
185,Saat::N,сім’я,씨
186,Korn::N,зерно,알맹이
187,Heu::N,сіно,건초
188,Schale::N,шкірка,피상
189,Grube::N,яма,
190,Falle::N,пастка,함정
191,Schlinge::N,петля,올가미
192,Schlinge::N,петля,멜빵붕대
193,Spur::N,слід,발지국
194,Asche::N,зола,재
195,Asche::N,попіл,재
196,Dreck::N,бруд,똥
197,Dreck::N,бруд,오물
198,Eisen::N,залізо,쇠
199,Eisen::N,залізо,철
200,Gold::N,золото,항금
201,Silber::N,срібло,은
202,Kohle::N,вугілля,슻
203,Glas::N,скло,유리
204,Lehm::N,глина,찰흙
205,Sand::N,пісок,모래
206,Mensch::N,людина,사람
207,Mann::N,чоловік,남자
208,Frau::N,жінка,여자
209,Kind::N,дитина,아이
210,Junge::N,хлопець,소녁
211,Mädchen::N,дівчина,소녀
212,Familie::N,сім’я,가족
213,Familie::N,родина,가족
214,Großvater::N,дідусь,할아버지
215,Großmutter::N,бабуся,할머니
216,Eltern::N,батьки,어버오
217,Vater::N,батько,아버지
218,Mutter::N,мати,어머니
219,Sohn::N,син,아들
