,Concept_ID,el,av
0,Auge::N,μάτι,
1,Auge::N,οφθαλμός,
2,Ohr::N,αυτί,гӏин
3,Nase::N,μύτη,мегӏер
4,Mund::N,στόμα,кӏал
5,Zahn::N,δόντι,гӏус
6,Zunge::N,γλώσσα,мацӏ
7,Lippe::N,χείλος,кӏветӏ
8,Wange::N,παρειά,гӏоно
9,Wange::N,μάγουλο,гӏоно
10,Gesicht::N,πρόσωπο,гьумер
11,Stirn::N,μέτωπο,нодо
12,Haar::N,μαλλιά,рас
13,Schnurrbart::N,μουστάκι,михъ
14,Bart::N,γένια,мегеж
15,Kinn::N,πιγούνι,нилъу
16,Kiefer[Anatomie]::N,σαγόνι,чанагъ
17,Kehle::N,λαρύγγι,щекъер
18,Hals::N,λαιμός,габур
19,Genick::N,σβέρκος,гъванща
20,Kopf::N,κεφάλι,бетӏер
21,Rücken::N,ράχη,мугъ
22,Bauch::N,κοιλιά,чехь
23,Nabel::N,αφαλός,цӏину
24,Busen::N,στήθος,керен
25,Brust::N,στήθος,керен
26,Schulter::N,ώμος,гъажазубетӏер
27,Arm::N,χέρι,гъеж
28,Arm::N,μπράτςο,гъеж
29,Ellenbogen::N,αγκώνας,гӏункӏрукь
30,Hand::N,χέρι,квер
31,Handfläche::N,παλάμη,огъохъат
32,Handfläche::N,παλάμη,жанисахъат
33,Finger::N,δάχτυλο,килищ
34,Fingernagel::N,νύχι,малъ
35,Nagel[Anatomie]::N,νύχι,малъ
36,Zeh::N,δάχτυλο του ποδιού,килищ
37,Fuß::N,πόδι,хӏетӏ
38,Fuß::N,πόδι,хӏетӏе
39,Ferse::N,φτέρνα,эгъе
40,Knie::N,γόνατο,наку
41,Oberschenkel::N,μηρός,мачӏ
42,Bein::N,πόδι,бох
43,Körper::N,σώμα,къаркъала
44,Körper::N,κορμί,къаркъала
45,Haut::N,πετσί,тӏом
46,Blut::N,αίμα,би
47,Ader::N,φλέβα,бидурихь
48,Sehne::N,νεύρο,
49,Sehne::N,τένοντας,
50,Knochen::N,οστό,ракьа
51,Knochen::N,κόκκαλο,ракьа
52,Gehirn::N,μυαλό,гӏадалнах
53,Gehirn::N,εγκέφαλος,гӏадалнах
54,Herz::N,καρδιά,ракӏ
55,Magen::N,στομάχι,кванирукъ
56,Leber::N,ήπαρ,тӏул
57,Leber::N,συκωτί,тӏул
58,Atem::N,αναπνοή,хӏухь
59,Hunger::N,πείνα,ракъи
60,Träne::N,δάκρυ,магӏу
61,Geschmack::N,γεύση,тату
62,Geruch::N,οσμή,махӏ
63,Geruch::N,μυρωδία,махӏ
64,Schlaf::N,ύπνος,макьу
65,Traum::N,όνειρο,макьу
66,Himmel::N,ουρανός,зоб
67,Sonne::N,ήλιος,бакъ
68,Mond::N,σελήνη,моцӏ
69,Mond::N,φεγγάρι,моцӏ
70,Stern::N,άστρο,цӏва
71,Stern::N,αστέρι,цӏва
72,Luft::N,αέρας,гьава
73,Wind::N,αέρας,гьури
74,Wind::N,άνεμος,гьури
75,Welle::N,κύμα,карачел
76,Wasser::N,νερό,лъим
77,Stein::N,πέτρα,гьецӏо
78,Boden::N,χώμα,ракь
79,Erde::N,γη,ракь
80,Erde::N,γη,дуниял
81,Staub::N,σκόνη,хӏур
82,Rauch::N,καπνός,кӏкӏуй
83,Funke::N,σπίθα,
84,Funke::N,σπινθήρας,
85,Feuer::N,φωτιά,цӏа
86,Licht::N,φως,канлъи
87,Schatten::N,σκιά,рагӏад
88,Schatten::N,ίσκιος,рагӏад
89,Wetter::N,καιρός,гьава-бакъ
90,Nebel::N,ομίχλη,гӏодобнакӏкӏ
91,Wolke::N,σύννεφο,накӏкӏ
92,Regen::N,βροχή,цӏад
93,Schnee::N,χιόνι,гӏазу
94,Eis::N,πάγος,цӏер
95,Frost::N,παγωνία,замгьари
96,Kälte::N,κρύο,квач
97,Kälte::N,ψύχος,квач
98,Hitze::N,ζέστη,багӏари
99,Raureif::N,πάχνη,мартӏ
100,Regenbogen::N,ουράνιο τόξο,нур
101,Regenbogen::N,ουράνιο τόξο,чамбара
102,Donner::N,βροντή,гъугъай
103,Donner::N,βροντή,гъугъади
104,Strömung::N,ρεύμα,чвахи
105,Tropfen::N,στάλα,резел
106,Tropfen::N,στάλα,тӏинкӏ
107,Tropfen::N,στάλα,къатӏра
108,Tropfen::N,στάλα,тӏенкӏел
109,Schaum::N,αφρός,полоп
110,Schmutz::N,βρωμιά,чороклъи
111,See::N,λίμνη,хӏор
112,Sumpf::N,βάλτος,хьуцӏ
113,Moor::N,έλος,
114,Wiese::N,λιβάδι,мегъ
115,Wiese::N,λιβάδι,гӏурдаллъи
116,Wald::N,δάσος,рохь
117,Hügel::N,λόφος,гохӏ
118,Anhöhe::N,ύψωμα,сийитма
119,Berg::N,όρος,мегӏер
120,Berg::N,βουνό,мегӏер
121,Gipfel::N,κορυφή,тӏогь
122,Höhle::N,σπηλιά,нохъо
123,Abhang::N,πλαγιά,лабаллъи
124,Quelle::N,πηγή,ицц
125,Quelle::N,βρύση,ицц
126,Bach::N,ρυάκι,лъар
127,Fluss::N,ποτάμι,гӏор
128,Fluss::N,ποταμός,гӏор
129,Ufer::N,όχθη,рагӏал
130,Küste::N,ακτή,рагӏал
131,Küste::N,ακρογιαλιά,рагӏал
132,Festland::N,στεριά,ракь
133,Festland::N,στεριά,ракъдаллъи
134,Meer::N,θάλασσα,ралъад
135,Bucht::N,κόλπος,кӏветӏ
136,Insel::N,νησί,чӏинкӏиллъи
137,Insel::N,νήσος,чӏинкӏиллъи
138,Blume::N,άνθος,тӏегь
139,Blume::N,λουλούδι,тӏегь
140,Gras::N,χόρτο,хер
141,Gras::N,χορτάρι,хер
142,Wurzel::N,ρίζα,кьибил
143,Baum::N,δέντρο,гъветӏ
144,Stamm::N,κορμός,рохти
145,Rinde::N,φλούδα,макъар
146,Ast::N,κλαδί,ноцӏ
147,Zweig::N,κλαδί,гӏаркьел
148,Zweig::N,κλάδος,гӏаркьел
149,Blatt::N,φύλλο,тӏамах
150,Birke::N,σημύδα,мах
151,Birke::N,σημύδα,махигъветӏ
152,Kiefer[Baum]::N,πεύκο,накӏкӏигъветӏ
153,Weide[Baum]::N,ιτιά,рицӏцӏ
154,Weide[Baum]::N,ιτιά,рицӏцӏигъветӏ
155,Tanne::N,έλατο,ёлка
156,Horn::N,κέρας,лълъар
157,Horn::N,κέρατο,лълъар
158,Feder::N,φτερό,хӏули
159,Fell::N,δέρμα,тӏом
160,Fell::N,δέρμα,цӏоко
161,Fell::N,τομάρι,тӏом
162,Fell::N,τομάρι,цӏоко
163,Flügel::N,πτερύγιο,кваркьи
164,Klaue::N,κουλό,галъ
165,Kralle::N,νύχι,квачӏ
166,Kralle::N,νύχι,катиквачӏ
167,Schwanz::N,ουρά,рачӏ
168,Ei::N,αβγό,хоно
169,Nest::N,φωλιά,бусен
170,Bau::N,φωλιά,каратӏ
171,Tier::N,ζώο,хӏайван
172,Herde::N,κοπάδι,рехъен
173,Herde::N,κοπάδι,рехъед
174,Kuh::N,αγελάδα,гӏака
175,Bulle::N,ταύρος,оц
176,Pferd::N,άλογο,чу
177,Schaf::N,πρόβατο,чахъу
178,Schwein::N,γουρούνι,болъон
179,Hund::N,σκυλί,гьой
180,Hund::N,σκύλος,гьой
181,Katze::N,γάτα,кету
182,Bär::N,άρκτος,ци
183,Bär::N,αρκούδα,ци
184,Eichhörnchen::N,βερβερίτσα,гвангва
185,Elch::N,άλκη,
186,Fuchs::N,αλεπού,цер
187,Hase::N,λαγός,гӏанкӏ
188,Maus::N,ποντικός,гӏункӏкӏ
189,Wolf::N,λύκος,бацӏ
