,Concept_ID,et,el
0,Auge::N,silm,μάτι
1,Auge::N,silm,οφθαλμός
2,Ohr::N,kõrv,αυτί
3,Nase::N,nina,μύτη
4,Mund::N,suu,στόμα
5,Zahn::N,hammas,δόντι
6,Zunge::N,keel,γλώσσα
7,Lippe::N,huul,χείλος
8,Wange::N,põsk,παρειά
9,Wange::N,põsk,μάγουλο
10,Gesicht::N,nägu,πρόσωπο
11,Stirn::N,otsmik,μέτωπο
12,Haar::N,juus,μαλλιά
13,Schnurrbart::N,vurrud,μουστάκι
14,Schnurrbart::N,vuntsid,μουστάκι
15,Bart::N,habe,γένια
16,Kinn::N,lõug,πιγούνι
17,Kiefer[Anatomie]::N,lõualuu,σαγόνι
18,Kehle::N,kõri,λαρύγγι
19,Hals::N,kael,λαιμός
20,Genick::N,kukal,σβέρκος
21,Kopf::N,pea,κεφάλι
22,Rücken::N,selg,ράχη
23,Bauch::N,kõht,κοιλιά
24,Nabel::N,naba,αφαλός
25,Busen::N,rind,στήθος
26,Brust::N,rind,στήθος
27,Schulter::N,õlg,ώμος
28,Arm::N,käsivars,χέρι
29,Arm::N,käsivars,μπράτςο
30,Ellenbogen::N,küünarnukk,αγκώνας
31,Hand::N,käsi,χέρι
32,Handfläche::N,pihk,παλάμη
33,Finger::N,sõrm,δάχτυλο
34,Fingernagel::N,küüs,νύχι
35,Nagel[Anatomie]::N,küüs,νύχι
36,Zeh::N,varvas,δάχτυλο του ποδιού
37,Fuß::N,jalg,πόδι
38,Ferse::N,kand,φτέρνα
39,Knie::N,põlv,γόνατο
40,Oberschenkel::N,reis,μηρός
41,Bein::N,jalg,πόδι
42,Körper::N,ihu,σώμα
43,Körper::N,ihu,κορμί
44,Körper::N,keha,σώμα
45,Körper::N,keha,κορμί
46,Haut::N,nahk,πετσί
47,Blut::N,veri,αίμα
48,Ader::N,veen,φλέβα
49,Sehne::N,kõõlus,νεύρο
50,Sehne::N,kõõlus,τένοντας
51,Knochen::N,luu,οστό
52,Knochen::N,luu,κόκκαλο
53,Gehirn::N,aju,μυαλό
54,Gehirn::N,aju,εγκέφαλος
55,Herz::N,süda,καρδιά
56,Magen::N,magu,στομάχι
57,Leber::N,maks,ήπαρ
58,Leber::N,maks,συκωτί
59,Atem::N,hingeõhk,αναπνοή
60,Atem::N,hingamine,αναπνοή
61,Hunger::N,nälg,πείνα
62,Träne::N,pisar,δάκρυ
63,Geschmack::N,maitse,γεύση
64,Geruch::N,lõhn,οσμή
65,Geruch::N,lõhn,μυρωδία
66,Schlaf::N,uni,ύπνος
67,Traum::N,unenägu,όνειρο
68,Himmel::N,taevas,ουρανός
69,Sonne::N,päike,ήλιος
70,Mond::N,kuu,σελήνη
71,Mond::N,kuu,φεγγάρι
72,Stern::N,täht,άστρο
73,Stern::N,täht,αστέρι
74,Luft::N,õhk,αέρας
75,Wind::N,tuul,αέρας
76,Wind::N,tuul,άνεμος
77,Welle::N,laine,κύμα
78,Wasser::N,vesi,νερό
79,Stein::N,kivi,πέτρα
80,Boden::N,maa,χώμα
81,Boden::N,pinnas,χώμα
82,Erde::N,maa,γη
83,Staub::N,põrm,σκόνη
84,Rauch::N,suits,καπνός
85,Funke::N,säde,σπίθα
86,Funke::N,säde,σπινθήρας
87,Feuer::N,tuli,φωτιά
88,Licht::N,valgus,φως
89,Schatten::N,vari,σκιά
90,Schatten::N,vari,ίσκιος
91,Wetter::N,ilm,καιρός
92,Nebel::N,udu,ομίχλη
93,Wolke::N,pilv,σύννεφο
94,Regen::N,sadu,βροχή
95,Schnee::N,lumi,χιόνι
96,Eis::N,jää,πάγος
97,Frost::N,pakane,παγωνία
98,Kälte::N,külm,κρύο
99,Kälte::N,külm,ψύχος
100,Kälte::N,külmus,κρύο
101,Kälte::N,külmus,ψύχος
102,Hitze::N,kuumus,ζέστη
103,Hitze::N,palavus,ζέστη
104,Raureif::N,härmatis,πάχνη
105,Regenbogen::N,vikerkaar,ουράνιο τόξο
106,Donner::N,kõu,βροντή
107,Donner::N,müristamine,βροντή
108,Strömung::N,voolus,ρεύμα
109,Strömung::N,jõevool,ρεύμα
110,Tropfen::N,tilk,στάλα
111,Schaum::N,vaht,αφρός
112,Schmutz::N,pori,βρωμιά
113,Schmutz::N,mustus,βρωμιά
114,See::N,järv,λίμνη
115,Sumpf::N,soo,βάλτος
116,Moor::N,raba,έλος
117,Wiese::N,aas,λιβάδι
118,Wiese::N,nurm,λιβάδι
119,Wald::N,mets,δάσος
120,Hügel::N,küngas,λόφος
121,Anhöhe::N,küngas,ύψωμα
122,Berg::N,mägi,όρος
123,Berg::N,mägi,βουνό
124,Gipfel::N,mäetipp,κορυφή
125,Höhle::N,koobas,σπηλιά
126,Abhang::N,nõlvak,πλαγιά
