,Concept_ID,uz,tt
0,Auge::N,ko'z,күз
1,Ohr::N,quloq,колак
2,Nase::N,burun,борын
3,Mund::N,og'iz,авыз
4,Mund::N,og'iz,тамак
5,Zahn::N,tish,теш
6,Zunge::N,til,тел
7,Lippe::N,dudoq,ирен
8,Wange::N,bet,яңак
9,Gesicht::N,yuz,йөз
10,Stirn::N,manglay,маңгай
11,Haar::N,soch,чәч
12,Schnurrbart::N,mo'ylov,мыек
13,Bart::N,soqol,сакал
14,Kinn::N,ängak,ияк
15,Kiefer[Anatomie]::N,iyak,казналык
16,Kehle::N,bo'g'iz,тамак
17,Hals::N,bo'yin,бугаз
18,Genick::N,gardan,җилкә
19,Kopf::N,bosh,баш
20,Rücken::N,orqa,сырт
21,Bauch::N,qorin,корсак
22,Nabel::N,kindik,кендек
23,Busen::N,ämchak,түш
24,Brust::N,ko'krak,имчәк
25,Brust::N,ko'krak,күкрәк
26,Schulter::N,elka,иңбаш
27,Schulter::N,elka,кулбаш
28,Arm::N,bilak,кул
29,Ellenbogen::N,tirsak,терсәк
30,Hand::N,qo'l,кул
31,Handfläche::N,kaft,уч
32,Finger::N,barmoq,бармак
33,Fingernagel::N,tirnoq,тырнак
34,Nagel[Anatomie]::N,tirnoq,тырнак
35,Zeh::N,oyoq barmog'i,бармак
36,Fuß::N,oyoq,табан
37,Ferse::N,tovon,үкчә
38,Knie::N,tiz,тез
39,Oberschenkel::N,son,бот
40,Bein::N,oyoq,аяк
41,Körper::N,badna,тән
42,Körper::N,badna,җисем
43,Haut::N,teri,тире
44,Blut::N,qon,кан
45,Ader::N,qon tomir,тамыр
46,Sehne::N,tomir,сеңер
47,Knochen::N,suyak,сөяк
48,Gehirn::N,miya,ми
49,Herz::N,qalb,йөрәк
50,Magen::N,oshqozon,ашказаны
51,Leber::N,bag'ir,бавыр
52,Atem::N,dam,сулыш
53,Hunger::N,ochlik,ачлык
54,Träne::N,yosh,яшь
55,Geschmack::N,tam,тәм
56,Geschmack::N,tam,зәвык
57,Geruch::N,jid,ис
58,Schlaf::N,uyqu,йокы
59,Traum::N,tush,төш
60,Himmel::N,osmon,күк
61,Sonne::N,quyosh,кояш
62,Mond::N,oy,ай
63,Stern::N,yulduz,йолдыз
64,Luft::N,havo,һава
65,Wind::N,el,җил
66,Welle::N,to'lqin,дулкын
67,Wasser::N,suv,су
68,Stein::N,tosh,таш
69,Boden::N,tuproq,туфрак
70,Erde::N,er,җир
71,Staub::N,chang,тузан
72,Rauch::N,tutun,төтен
73,Funke::N,yalt,очкын
74,Feuer::N,o't,ут
75,Licht::N,yorug',якты
76,Schatten::N,soya,күләгә
77,Wetter::N,havo,һава
78,Nebel::N,tuman,томан
79,Wolke::N,bulut,болыт
80,Regen::N,yomg'ir,яңгыр
81,Schnee::N,qor,кар
82,Eis::N,muz,боз
83,Frost::N,ajoz,суык
84,Frost::N,ajoz,салкын
85,Kälte::N,ajoz,суык
86,Kälte::N,ajoz,салкын
87,Hitze::N,issiq,эсселек
88,Raureif::N,qirov,бәс
89,Raureif::N,qirov,сыкы
90,Regenbogen::N,kamalak,салават күпере
91,Donner::N,guldur,күкрәү
92,Strömung::N,oqim,агыш'агым
93,Tropfen::N,tomchi,тамчы
94,Schaum::N,ko'pik,күбек
95,Schmutz::N,gard,пычрак
96,See::N,ko'l,күл
97,Sumpf::N,botqoq,саз
98,Moor::N,qir-adir,торфлык
99,Wiese::N,o'tzor,болын
100,Wald::N,o'rmon,урман
101,Hügel::N,tepa,калку
102,Anhöhe::N,adir,үр
103,Berg::N,tog',тау
104,Gipfel::N,cho'qqi,оч
105,Höhle::N,kavak,мәгарә
106,Abhang::N,to'sh,кабырга
107,Quelle::N,buloq,чишмә
108,Bach::N,o'zan,елга
109,Fluss::N,daryo,дәрья
110,Ufer::N,sohil,су кырые
111,Küste::N,qirg'oq,яр буе
112,Festland::N,materik,коры җир
113,Meer::N,dengiz,диңгез
114,Bucht::N,qo'ltiq,бухта
115,Bucht::N,qo'ltiq,култык
116,Insel::N,orol,атау
117,Insel::N,orol,утрау
118,Blume::N,gul,чәчкә
119,Gras::N,sabza,үлән
120,Wurzel::N,tub,тамыр
121,Wurzel::N,tomir,тамыр
122,Baum::N,daraxt,агач
123,Stamm::N,o'simta,кәүсә
124,Rinde::N,qobiq,кабык
125,Ast::N,shox,ботак
126,Zweig::N,butoq,ботак
127,Zweig::N,butoq,тармак
128,Blatt::N,barg,яфрак
129,Birke::N,qayin,каен
130,Kiefer[Baum]::N,qarag'ay,нарат
131,Weide[Baum]::N,shum,тал
132,Tanne::N,archa,чыршы
133,Horn::N,mugiz,мөгез
134,Feder::N,par,йон
135,Fell::N,mo'yna,тире
136,Flügel::N,qanot,канат
137,Klaue::N,tirnoq,тырнак
138,Kralle::N,tirnoq,тырнак
139,Schwanz::N,quyruq,койрык
140,Ei::N,tuxum,күкәй
141,Ei::N,tuxum,йомырка
142,Nest::N,oshyon,оя
143,Bau::N,o'pqon,өн
144,Tier::N,hayvon,хайван
145,Herde::N,gala,көтү
146,Kuh::N,inak,сыер
147,Bulle::N,ho'kiz,үгез
148,Pferd::N,ot,ат
149,Schaf::N,qo'y,сарык
150,Schwein::N,cho'chqa,дуңгыз
151,Hund::N,it,эт
152,Katze::N,mushuk,песи
153,Bär::N,ayiq,аю
154,Eichhörnchen::N,tiyin,тиен
155,Elch::N,los,поши
156,Fuchs::N,tulki,төлке
157,Hase::N,kuyon,куян
158,Maus::N,sichqon,тычкан
159,Wolf::N,bo'ri,бүре
160,Vogel::N,qush,кош
161,Schwarm::N,to'da,көтү
162,Huhn::N,tovuq,тавык
163,Hahn::N,xo'roz,әтәч
164,Gans::N,g'oz,каз
165,Adler::N,burgut,каракош
166,Ente::N,o'rdak,үрдәк
167,Eule::N,boyo'g'li,ябалак
168,Kranich::N,turna,торна
169,Krähe::N,qarg'a,карга
170,Kuckuck::N,kakku,күке
171,Kuckuck::N,kakku,кәккүк
172,Schwan::N,oqkush,аккош
173,Fisch::N,baliq,балык
174,Barsch::N,olabug'a,алабуга
175,Hecht::N,cho'rtan,чуртан
176,Schlange[Tier]::N,ilon,елан
177,Wurm::N,qurt,корт
178,Spinne::N,o'rgimchak,үрмәкүч
179,Ameise::N,chumoli,кырмыска
180,Laus::N,bit,бет
181,Mücke::N,chivin,черки
182,Mücke::N,chivin,озынборын
183,Fliege::N,pashsha,чебен
184,Schmetterling::N,kapalak,күбәләк
185,Beere::N,meva,җиләк
186,Apfel::N,olma,алма
187,Pilz::N,qo'ziqorin,гөмбә
188,Zwiebel::N,piyoz,суган
189,Zwiebel::N,piyoz,суганбаш
190,Saat::N,äkin,орлык
191,Korn::N,zarra,иген
192,Korn::N,zarra,орлык
193,Heu::N,xashak,печән
194,Schale::N,po'choq,кабык
195,Grube::N,co'ra,баз
196,Grube::N,co'ra,чокыр
197,Falle::N,qopqon,тозак
198,Falle::N,qopqon,капкын
199,Schlinge::N,sirtmoq,элмәк
200,Spur::N,iz,эз
201,Asche::N,kul,көл
202,Dreck::N,kir,пычрак
203,Eisen::N,temir,тимер
204,Gold::N,tilla,алтын
205,Silber::N,kumush,көмеш
206,Kohle::N,ko'mir,күмер
207,Glas::N,oyna,пыяла
208,Lehm::N,loy,балчык
209,Sand::N,qum,ком
210,Mensch::N,odam,адәм
211,Mensch::N,odam,инсан
212,Mann::N,ärkak,ир
213,Frau::N,ayol,хатын
214,Kind::N,bola,бала
215,Kind::N,kichkintoy,бала
216,Junge::N,bola,малай
217,Mädchen::N,qiz,кыз
218,Familie::N,oila,гаилә
219,Großvater::N,buva,бабай
220,Großvater::N,katta ota,бабай
221,Großmutter::N,buvi,әби
222,Großmutter::N,katta oyi,әби
223,Eltern::N,ota-ona,ата-ана
224,Vater::N,ota,ата
225,Mutter::N,ona,ана
226,Sohn::N,o'g'il,ул
227,Tochter::N,qiz,кыз
228,Bruder::N,og'a,кардәш
229,Bruder::N,uka,кардәш
230,Schwester::N,opa,апа
231,Schwester::N,opa,сеңел
232,Schwester::N,singil,апа
233,Schwester::N,singil,сеңел
234,Onkel::N,amaki,дәдә
235,Onkel::N,amaki,дәдәй
236,Tante::N,amma,түти
237,Tante::N,amma,тәтәй
238,Tante::N,xola,түти
239,Tante::N,xola,тәтәй
240,Ehemann::N,är,ир
241,Ehefrau::N,rafiqa,хатын
242,Freude::N,ayish,сөенеч
243,Gelächter::N,kulgi,көлү
244,Gelächter::N,kulgi,көлеш
245,Glück::N,saodat,бәхет
246,Kummer::N,g'am,хәсрәт
247,Wunsch::N,orzu,теләк
248,Lust::N,rag'bat,теләк
249,Lust::N,rag'bat,теләү
250,Geist::N,ruh,рух
251,Gedanke::N,fikr,уй
252,Gedanke::N,fikr,фикер
253,Gedächtnis::N,äs,хәтер
254,Verstand::N,aql,акыл
255,Sinn::N,ma'ni,мәгънә
256,Grund::N,sabab,сәбәп
257,Wahrheit::N,haq,хак
258,Gespräch::N,gap,әңгәмә
259,Märchen::N,ärtak,әкият
260,Erzählung::N,rivoyat,хикәя
261,Nachricht::N,xabar,хәбәр
262,Neuigkeit::N,yangilik,яңалык
263,Name::N,ot,исем
264,Rätsel::N,topishmoq,табышмак
265,Rede::N,nutq,нотык
266,Sprache::N,til,тел
267,Stimme::N,ovoz,тавыш
268,Wort::N,so'z,сүз
269,Zeichen::N,alomat,ишарә
270,Ruf::N,chaqiriq,дәшү
271,Lärm::N,taraq,шау
272,Laut::N,tovush,аваз
273,Ton::N,un,шалтырату
274,Lied::N,ashula,җыр
275,Ruhe::N,tinchlik,тынлык
276,Leute::N,xaloyiq,халык
277,Volk::N,xalq,халык
278,Arbeit::N,ish,эш
279,Arbeit::N,ish,хезмәт
280,Gast::N,mehmon,кунак
281,Geschenk::N,hadya,бүләк
282,Spiel::N,o'yin,уен
283,Gesellschaft::N,jamiyat,җәмгыять
284,Hilfe::N,yordam,ярдәм
285,Hilfe::N,yordam,булышлык
286,Freund::N,do'st,дус
287,Kamerad::N,yo'ldosh,иптәш
288,Angelegenheit::N,daxl,эш
289,Anzahl::N,son,микъдар
290,Art::N,tur,төр
291,Stück::N,parcha,кисәк
292,Teil::N,bo'lak,өлеш
293,Hälfte::N,yarim,ярым
294,Kreis::N,aylana,түгәрәк
295,Kreuz::N,xoch,хач
296,Kreuz::N,xoch,тәре
297,Linie::N,liniya,сызык
298,Strich::N,chiziq,сызык
299,Abstand::N,oralik,ара
300,Entfernung::N,uzoqlik,ераклык
301,Gegend::N,yer,урын
302,Platz::N,oralig,бушлык
303,Ort::N,joy,урын
304,Seite::N,yon,як
305,Mitte::N,o'rta,урта
306,Gegenstand::N,ashyo,нәрсә
307,Sache::N,buyum,нәрсә
308,Rand::N,chek,чит
309,Kante::N,tig',кырый
310,Ecke::N,burchak,почмак
311,Spitze::N,uch,оч
312,Ende::N,oxir,азак
313,Loch::N,teshik,тишек
314,Winkel::N,go'sha,почмак
315,Muster::N,nusha,парча
316,Größe::N,kattalik,зурлык
317,Länge::N,uzunlik,озынлык
318,Höhe::N,yuksaklik,биеклек
319,Gewicht::N,solmoq,авырлык
320,Menge::N,miqdor,микъдар
321,Haufen::N,uyum,өем
322,Reihe::N,saf,рәт
323,Boot::N,qayiq,каек
324,Boot::N,qayiq,көймә
325,Ruder::N,äshkak,ишкәк
326,Schlitten::N,chana,чана
327,Ski::N,chang'i,чаңгы
328,Lagerfeuer::N,gulxan,костёр
329,Last::N,yuk,йөк
330,Gang::N,yurish,йөреш
331,Schritt::N,qadam,адым
332,Norden::N,shimol,төньяк
333,Süden::N,janub,көньяк
334,Westen::N,g'arb,көнбатыш
335,Osten::N,sharq,шәрык
336,Osten::N,sharq,көнчыгыш
337,Holz::N,yog'och,агач
338,Brett::N,taxta,такта
339,Platte::N,tabaqa,плитә
340,Stütze::N,tayanchi,таяу
341,Stange::N,qo'noq,колга
342,Stock::N,tayoq,таяк
343,Stab::N,gavron,таяк
344,Rohr::N,tarnov,торба
345,Haus::N,uy,өй
346,Haus::N,uy,йорт
347,Heim::N,makon,гаилә
348,Heim::N,makon,нәсел
349,Ofen::N,pechka,мич
350,Fußboden::N,pol,идән
351,Tisch::N,mosa,өстәл
352,Stuhl::N,o'rindiq,утыргыч
353,Wiege::N,beshik,бишек
354,Bett::N,yotoq,ятак
355,Bett::N,yotoq,урын-җир
356,Regal::N,tokcha,киштә
357,Regal::N,tokcha,шүрлек
358,Kiste::N,sandiq,әрҗә
359,Fenster::N,deraza,тәрәзә
360,Tür::N,äshik,ишек
361,Tor::N,darvoza,капка
362,Zaun::N,panjara,койма
363,Dach::N,tom,түбә
364,Leiter::N,narvon,баскыч
365,Besen::N,supurgi,себерке
366,Spaten::N,bel,көрәк
367,Schaufel::N,kurak,көрәк
368,Gabel::N,bilka,чәннечке
369,Löffel::N,qoshiq,кашык
370,Messer::N,pichoq,пычак
371,Nagel::N,mix,кадак
372,Netz::N,to'r,челтәр
373,Haken::N,ilgak,ыргак
374,Griff::N,sop,тотка
375,Griff::N,tutqich,тотка
376,Schloss::N,qulf,йозак
377,Bild::N,rasm,рәсем
378,Bild::N,rasm,картина
379,Figur::N,shakl,сын
380,Figur::N,shakl,фигура
381,Puppe::N,ko'g'irchoq,курчак
382,Beutel::N,to'rva,луза
383,Bündel::N,bog'lam,бәйләм
384,Tasche::N,kissa,букча
385,Eimer::N,chelak,чиләк
386,Deckel::N,qopqoq,капкач
387,Geschirr::N,idish,савыт-саба
388,Geschirr::N,idish,кашык-аяк
389,Sack::N,qop,капчык
390,Tasse::N,piyola,чынаяк
391,Topf::N,tuvak,чүлмәк
392,Kessel::N,qozon,казан
393,Essen::N,tomoq,ашау
394,Nahrung::N,emak,азык
395,Nahrung::N,emak,тәгам
396,Nahrung::N,emak,ашамлык
397,Speise::N,taom,ризык
398,Fleisch::N,go'sht,ит
399,Getreide::N,g'alla,ашлык
400,Brei::N,bo'tqa,ботка
401,Brot::N,non,ипи
402,Brot::N,non,икмәк
403,Scheibe::N,disk,телем
404,Fett::N,moy,май
405,Butter::N,yog',май
406,Öl::N,moy,май
407,Salz::N,tuz,тоз
408,Suppe::N,sho'rva,шулпа
409,Honig::N,asal,бал
410,Milch::N,sut,сөт
411,Tee::N,choy,чәй
412,Leder::N,charm,күн
413,Wolle::N,jun,йон
414,Stoff::N,mato,тукыма
415,Nadel::N,igna,энә
416,Faden::N,ip,җеп
417,Knopf::N,tugma,төймә
418,Knoten::N,tugun,төен
419,Farbe::N,bo'yok,буяу
420,Kleidung::N,kiyim,кием
421,Hemd::N,ko'ylak,күлмәк
422,Kragen::N,yoqa,яка
423,Ärmel::N,yeng,җиң
424,Hose::N,shim,чалбар
425,Gürtel::N,tasma,билбау
426,Mütze::N,shapka,бүрек
427,Schuh::N,but,башмак
428,Stiefel::N,botinka,итек
429,Ring::N,yuzuk,балдак
430,Band::N,rishta,тасма
431,Kamm::N,taroq,тарак
432,Spiegel::N,ko'zgu,көзге
433,Riemen::N,qayish,каеш
434,Schnur::N,bog'ich,бау
435,Leine::N,etak,тезген
436,Decke::N,odyol,юрган
437,Kissen::N,yostiq,мендәр
438,Tuch::N,gazlama,яулык
439,Handtuch::N,sochiq,сөлгә
440,Kraft::N,kuch,егәр
441,Kraft::N,kuch,дәрман
442,Stärke::N,quvvat,көч
443,Stärke::N,quvvat,дәрман
444,Gesundheit::N,sog'lik,саулык
445,Krankheit::N,kasallik,чир
446,Krankheit::N,kasallik,хаста
447,Krankheit::N,kasallik,сырхау
448,Schmerz::N,og'riq,авырту
449,Wunde::N,yara,яра
450,Wunde::N,yara,җәрәхәт
451,Fieber::N,bezgak,бизгәк
452,Arznei::N,dori,дару
453,Brücke::N,ko'prik,күпер
454,Brunnen::N,buloq,кое
455,Weide::N,yaylov,утлавык
456,Pfad::N,dorojka,сукмак
457,Weg::N,yo'l,юл
458,Straße::N,ko'cha,урам
459,Dorf::N,ovul,авыл
460,Stadt::N,shahar,шәһәр
461,Brief::N,maktub,хат
462,Buch::N,kitob,китап
463,Buchstabe::N,harf,хәреф
464,Zeitung::N,gazet,газет
465,Zeitung::N,gazet,газета
466,Leben::N,hayot,гомер
467,Leben::N,hayot,тормыш
468,Leben::N,hayot,тереклек
469,Tod::N,o'lim,үлем
470,Grab::N,go'r,гүр
471,Grab::N,go'r,кабер
472,Kirche::N,cherkov,чиркәү
473,Sünde::N,gunoh,язык
474,Sünde::N,gunoh,гөнаһ
475,Gott::N,olloh,алла
476,Gott::N,olloh,ходай
477,Arbeiter::N,ishchi,эшче
478,Chef::N,rais,башлык
479,Meister::N,usta,оста
480,Arzt::N,hakim,врач
481,Arzt::N,hakim,табиб
482,Lehrer::N,muallim,укытучы
483,Lehrer::N,muallim,мөгаллим
484,Geld::N,pul,акча
485,Geschäft::N,savdo,эш
486,Laden::N,do'kon,кибет
487,Laden::N,do'kon,магазин
488,Preis::N,baho,бәя
489,Preis::N,baho,бәһа
490,Ware::N,mol,товар
491,Nutzen::N,foyda,файда
492,Reichtum::N,boylik,байлык
493,Welt::N,olam,дөнья
494,Land::N,o'lka,ил
495,Staat::N,davlat,дәүләт
496,König::N,qirol,патша
497,Macht::N,iqtidor,хакимият
498,Grenze::N,chegara,чик
499,Krieg::N,harb,сугыш
500,Feind::N,dushman,дошман
501,Gewalt::N,zo'rlik,көчләү
502,Kampf::N,kurash,көрәш
503,Bogen[Waffe]::N,yoy,җәя
504,Pfeil::N,o'q,ук
505,Gewehr::N,vintovka,мылтык
506,Fehler::N,xato,хата
507,Lüge::N,yolg'on,ялган
508,Schaden::N,ziyon,зыян
509,Schaden::N,ziyon,зарар
510,Unglück::N,balo,бәла
511,Schuld::N,ayb,гаеп
512,Alter::N,yosh,яшь
513,Schluss::N,tamom,ахыр
514,Zeit::N,vaqt,заман
515,Tag::N,kun,көн
516,Morgen::N,saboh,иртә
517,Mittag::N,kun tushlik,өйлә
518,Abend::N,oqshom,кич
519,Nacht::N,tun,төн
520,Woche::N,hafta,атна
521,Monat::N,oy,ай
522,Jahr::N,yil,ел
523,Frühling::N,bahor,яз
524,Sommer::N,yoz,җәй
525,Herbst::N,kuz,көз
526,Herbst::N,xazon,көз
527,Winter::N,qish,кыш
528,Januar::N,yanvar',гыйнвар
529,Februar::N,fevral',февраль
530,März::N,mart,март
531,April::N,aprel',апрель
532,Mai::N,may,май
533,Juni::N,iyun',июнь
534,Juli::N,iyul',июль
535,August::N,avgust,август
536,September::N,sentyabr',сентябрь
537,Oktober::N,oktyabr',октябрь
538,November::N,noyabr',ноябрь
539,Dezember::N,dekabr',декабрь
540,Montag::N,dushanba,дүшәмбе
541,Dienstag::N,seshanba,сишәмбе
542,Mittwoch::N,chorshanba,чәршәмбе
543,Donnerstag::N,payshanba,атнакич
544,Donnerstag::N,payshanba,пәнҗешәмбе
545,Freitag::N,juma,җомга
546,Samstag::N,shanba,шимбә
547,Sonntag::N,yakshanba,якшәмбе
548,groß::A,buyuk,зур
549,klein::A,kichik,кечкенә
550,lang::A,uzun,озын
551,kurz::A,qisqa,кыска
552,breit::A,keng,киң
553,schmal::A,änsiz,кысык
554,dicht::A,quyuq,куе
555,dick[Gegenstand]::A,qalin,калын
556,dünn::A,ingichka,нечкә
557,fein::A,mayin,нәзакәтле
558,fest::A,qattiq,нык
559,flach::A,yalpoq,яссы
560,flach::A,yalpoq,ялпак
561,glatt::A,tekis,шома
562,hart::A,qattiq,каты
563,weich::A,yumshoq,йомшак
564,rund::A,yumaloq,түгәрәк
565,spitz::A,uchli,очлы
566,scharf::A,keskir,үткен
567,stumpf::A,to'mtoq,үтмәс
568,schwer::A,salmoqli,салмак
569,schön::A,go'zal,гүзәл
570,heiß::A,qiziq,эссе
571,warm::A,issiq,җылы
572,kalt::A,sovuq,суык
573,kalt::A,sovuq,салкын
574,kühl::A,salqin,салкынча
575,frisch::A,toza,салкынча
576,feucht::A,namli,юеш
577,nass::A,nam,дымлы
578,trocken::A,quruq,коры
579,voll::A,to'la,тулы
580,leer::A,puch,буш
581,offen::A,ochiq,ачык
582,geschlossen::A,berk,йомык
583,sauber::A,ozoda,пакь
584,sauber::A,ozoda,чиста
585,schmutzig::A,kir,керле
586,schmutzig::A,kir,пычрак
587,roh::A,xom,чи
588,reif::A,pishiq,өлгергән
589,lecker::A,shirin,тәмле
590,süß::A,shirin,татлы
591,bitter::A,achchiq,ачы
592,sauer::A,achchiq,әче
593,hell::A,yorug',якты
594,dunkel::A,qorong'i,кара
595,schwarz::A,qora,кара
596,weiß::A,oq,ак
597,rot::A,qizil,кызыл
598,gelb::A,sariq,сары
599,blau::A,zangori,күк
600,grün::A,yashil,яшел
601,grau::A,bo'z,соры
602,bunt::A,ola,чуар
603,billig::A,arzon,арзан
604,teuer::A,qimmat,хаклы
605,wertvoll::A,qimmat,кыйммәтле
606,blind::A,ko'r,сукыр
607,blind::A,ko'r,күзсез
608,taub::A,garang,чукрак
609,taub::A,garang,саңгырау
610,kräftig::A,kuchli,егәрле
611,stark::A,quvvatli,нык
612,stark::A,quvvatli,базык
613,schwach::A,kuchsiz,зәгыйфь
614,fett::A,semiz,симез
615,schlank::A,ingichka,нәзек
616,hübsch::A,ko'rkam,чибәр
617,böse::A,yovuz,усал
618,dumm::A,aqlsiz,акылсыз
619,faul::A,ärinchak,ялкау
620,faul::A,ärinchak,иренчәк
621,fleißig::A,ishchan,тырыш
622,fleißig::A,ishchan,тырышучан
623,geizig::A,qurumsoq,саран
624,klug::A,oqil,акыллы
625,geschickt::A,äpchil,маһир
626,lieb::A,aziz,сөекле
627,lustig::A,chaqchaq,күңелле
628,sanft::A,asta,басынкы
629,hungrig::A,och,ач
630,krank::A,kasal,чирле
631,krank::A,kasal,сырхау
632,nackt::A,yalang,шәрә
633,traurig::A,xafa,ямансу
634,lebendig::A,hayotiy,тере
635,gut::A,soz,яхшы
636,schlecht::A,yomon,начар
637,richtig::A,rost,дөрес
638,schlimm::A,yovuz,әшәкә
639,wahr::A,haqiqiy,чып-чын
640,alt::A,äski,иске
641,neu::A,yangi,яңа
642,ehemalig::A,sobiq,элекке
643,alt[Lebewesen]::A,qari,карт
644,jung::A,navqiron,яшь
645,arm::A,abgor,фәкыйрь
646,reich::A,boy,бай
647,bekannt::A,ma'lum,таныш
648,berühmt::A,mashhur,атаклы
649,fremd::A,yot,ят
650,verschieden::A,turli,төрле
651,nah::A,yaqindagi,якын
652,fern::A,uzoq,ерак
653,linker::A,so'l,сул
654,rechter::A,o'ng,уң
655,anderer::A,boshqa,бүтән
656,erster::A,birinchi,беренче
657,zweiter::A,ikkinchi,икенче
658,dritter::A,uchinchi,өченче
659,letzter::A,oxirgi,ахыргы
660,allein::ADV,o'zicha,ялгыз
661,auf einmal::ADV,varakay,бердән
662,zusammen::ADV,barobar,бергә
663,lange::ADV,uzoq,озак
664,plötzlich::ADV,qo'qqisdan,искәрмәстән
665,sofort::ADV,darrov,хәзер
666,später::ADV,so'ngra,соңрак
667,jetzt::ADV,hozirgina,хәзер
668,heute::ADV,bugun,бүген
669,morgen::ADV,ärta,иртәгә
670,bald::ADV,toz,тиздән
671,dann::ADV,keyin,аннары
672,gestern::ADV,kecha,кичә
673,einst::ADV,avvallari,берчак
674,damals::ADV,ugal,ул вакытта
675,damals::ADV,ugal,ул чакта
676,danach::ADV,so'ngra,да
677,vorher::ADV,avval,элек
678,zuerst::ADV,avval,башта
679,einmal::ADV,bir marta,бер
680,einmal::ADV,bir marta,бер мәртәбә
681,manchmal::ADV,onda-sonda,кайчакта
682,oft::ADV,tez-tez,еш
683,immer::ADV,har vaqt,һәркайчан
684,niemals::ADV,hargiz,hичбер вакыт
685,hier::ADV,shu erda,монда
686,hier::ADV,shu erda,биредә
687,hierhin::ADV,beri,монда
688,von hier::ADV,shu erdan,моннан
689,dort::ADV,ana,анда
690,dorthin::ADV,u yerga,тегеләй
691,geradeaus::ADV,to'g'ri,турыдан-туры
692,vorwärts::ADV,ilgari,алга
693,rückwärts::ADV,qoloq,кире
694,zurück::ADV,orqada,кире
695,unten::ADV,pastda,түбәндә
696,hinab::ADV,tubanga,аска
697,oben::ADV,ustida,өстә
698,oben::ADV,ustida,югарыда
699,hinauf::ADV,yuqorida,өскә
700,überall::ADV,har erda,hәркайда
701,nicht::ADV,ämas,түгел
702,ein wenig::ADV,biroz,бераз
703,kaum::ADV,arang,көчкә
704,sehr::ADV,ancha,бик
705,so::ADV,shunday,алай
706,noch::ADV,hali,янә
707,noch::ADV,hali,тагын
708,nur::ADV,yolg'iz,фәкать
709,schon::ADV,endi,инде
710,wieder::ADV,yana,янә
711,wieder::ADV,yana,тагын
712,vergebens::ADV,bekorga,юкка
713,vor::PRP,burun,алдыннан
714,hinter::PRP,ketida,арттан
715,unter::PRP,ostida,астында
716,durch::PRP,bo'ylab,аша
717,neben::PRP,yonida,тирәсендә
718,zwischen::PRP,orada,арасында
719,wegen::PRP,sababli,сәбәпле
720,dies::PRN,o'sha,бу
721,das::PRN,narigi,ул
722,alles::PRN,har nima,һәммә
723,ich::PRN,men,мин
724,du::PRN,sen,син
725,er::PRN,u,ул
726,wir::PRN,biz,без
727,ihr::PRN,siz,сез
728,sie::PRN,ular,ул
729,was::FPRN,nima,ни
