,Concept_ID,ku,en
0,Auge::N,çav,eye
1,Ohr::N,guh,ear
2,Nase::N,bêvil,nose
3,Mund::N,dev,mouth
4,Zahn::N,didan,tooth
5,Zunge::N,ziman,tongue
6,Lippe::N,lêv,lip
7,Wange::N,dêm,cheek
8,Wange::N,hinarik,cheek
9,Gesicht::N,rû,face
10,Stirn::N,enî,forehead
11,Haar::N,por,hair
12,Schnurrbart::N,simbêl,moustache
13,Bart::N,rih,beard
14,Kinn::N,zenî,chin
15,Kiefer[Anatomie]::N,arguşk,jaw
16,Kehle::N,qirik,throat
17,Hals::N,stû,neck
18,Hals::N,qirik,neck
19,Genick::N,stû,nape
20,Kopf::N,serî,head
21,Rücken::N,pişt,back
22,Rücken::N,pişt,spine
23,Bauch::N,ûr,belly
24,Bauch::N,zik,belly
25,Nabel::N,navik,navel
26,Busen::N,sîng,bosom
27,Brust::N,sîng,chest
28,Brust::N,sîng,breast
29,Schulter::N,mil,shoulder
30,Arm::N,çepil,arm
31,Ellenbogen::N,enîşk,elbow
32,Hand::N,dest,hand
33,Handfläche::N,kefadest,palm
34,Finger::N,tilî,finger
35,Fingernagel::N,neynuk,fingernail
36,Nagel[Anatomie]::N,bizmar,nail
37,Zeh::N,tilî linga,toe
38,Fuß::N,ling,foot
39,Ferse::N,pahnî,heel
40,Knie::N,kabok,knee
41,Oberschenkel::N,rahn,thigh
42,Bein::N,çip,leg
43,Körper::N,laş,body
44,Körper::N,gowde,body
45,Haut::N,çerm,skin
46,Blut::N,xwîn,blood
47,Ader::N,reh,vein
48,Sehne::N,reh,sinew
49,Knochen::N,hestî,bone
50,Gehirn::N,mêjî,brain
51,Herz::N,dil,heart
52,Magen::N,navêş,stomach
53,Leber::N,kezeb,liver
54,Atem::N,hilm,breath
55,Hunger::N,birçîtî,hunger
56,Träne::N,hêstir,tear
57,Geschmack::N,tam,flavour
58,Geschmack::N,tam,flavor
59,Geruch::N,bêhn,odour
60,Geruch::N,bêhn,odor
61,Schlaf::N,xew,sleep
62,Traum::N,xewn,dream
63,Himmel::N,ezman,sky
64,Sonne::N,roj,sun
65,Mond::N,heyv,moon
66,Stern::N,stêrk,star
67,Luft::N,ba,air
68,Wind::N,ba,wind
69,Welle::N,şewl,wave
70,Wasser::N,av,water
71,Stein::N,kevir,stone
72,Boden::N,herd,soil
73,Boden::N,herd,ground
74,Erde::N,ax,earth
75,Staub::N,toz,dust
76,Rauch::N,dû,smoke
77,Funke::N,çirûşk,spark
78,Feuer::N,agir,fire
79,Licht::N,ronahî,light
80,Schatten::N,sî,shadow
81,Wetter::N,hewa,weather
82,Nebel::N,mij,fog
83,Wolke::N,ewr,cloud
84,Regen::N,baran,rain
85,Schnee::N,berf,snow
86,Eis::N,qeşa,ice
87,Frost::N,xûsik,frost
88,Kälte::N,serma,chill
89,Hitze::N,germayî,heat
90,Raureif::N,şext,hoarfrost
91,Regenbogen::N,heftreng,rainbow
92,Donner::N,gire-gir,thunder
93,Strömung::N,şewl,current
94,Tropfen::N,dilop,drop
95,Schaum::N,kef,foam
96,Schmutz::N,gemar,dirt
97,See::N,gol,lake
98,Sumpf::N,hezek,swamp
99,Moor::N,mafêl,moor
100,Wiese::N,sûrik,meadow
101,Wald::N,çiya,forest
102,Wald::N,daristan,forest
103,Hügel::N,gir,hill
104,Anhöhe::N,sere gir,elevation
105,Berg::N,kaş,mountain
106,Gipfel::N,sere gir,summit
107,Höhle::N,şikeft,cave
108,Abhang::N,kaş,slope
109,Quelle::N,kanî,source
110,Bach::N,çem,brook
111,Fluss::N,çem,river
112,Fluss::N,rûbar,river
113,Ufer::N,kevî,shore
114,Küste::N,berav,coast
115,Festland::N,bejahî,land
116,Meer::N,behr,sea
117,Bucht::N,derav,cove
118,Insel::N,girav,island
119,Blume::N,kulînk,flower
120,Gras::N,giha,grass
121,Wurzel::N,reh,root
122,Baum::N,dar,tree
123,Stamm::N,bavik,trunk
124,Rinde::N,qaqil,bark
125,Ast::N,gulî,limb
126,Zweig::N,şax,branch
127,Blatt::N,pel,leaf
128,Birke::N,dara sipî,birch
129,Kiefer[Baum]::N,dara bî,pine
130,Weide[Baum]::N,dara belalûk,willow
131,Tanne::N,merx,fir
132,Horn::N,strô,horn
133,Feder::N,pîrtîk,feather
134,Fell::N,heyar,fur
135,Flügel::N,per,wing
136,Klaue::N,napîk,claw
137,Kralle::N,dinik,claw
138,Kralle::N,dirnax,claw
139,Schwanz::N,dûv,tail
140,Ei::N,hêk,egg
141,Nest::N,hêlîn,nest
142,Bau::N,avahî,lair
143,Tier::N,heywan,animal
144,Herde::N,hoz,flock
145,Kuh::N,çêlek,cow
146,Bulle::N,ga,bull
147,Pferd::N,hesp,horse
148,Schaf::N,mîh,sheep
149,Schwein::N,beraz,pig
150,Hund::N,seh,dog
151,Katze::N,pişîk,cat
152,Bär::N,hirç,bear
153,Eichhörnchen::N,pilûr,squirrel
154,Elch::N,pazkovî,elk
155,Fuchs::N,rovî,fox
156,Hase::N,kîroşk,hare
157,Maus::N,mişk,mouse
158,Wolf::N,gur,wolf
159,Vogel::N,çûk,bird
160,Schwarm::N,lufik,swarm
161,Huhn::N,mirîşk,chicken
162,Hahn::N,dîk,cock
163,Gans::N,qaz,goose
164,Adler::N,eylo,eagle
165,Ente::N,werdek,duck
166,Eule::N,bûm,owl
167,Eule::N,kund,owl
168,Kranich::N,quling,crane
169,Krähe::N,qijik,crow
170,Kuckuck::N,pepûk,cuckoo
171,Schwan::N,qû,swan
172,Fisch::N,masî,fish
173,Barsch::N,okûn,perch
174,Hecht::N,mesîyê lûf,pike
175,Schlange[Tier]::N,mar,snake
176,Wurm::N,kurm,worm
177,Spinne::N,pîrê,spider
178,Ameise::N,mîro,ant
179,Ameise::N,gêrîk,ant
180,Laus::N,spi,louse
181,Mücke::N,mêş,midge
182,Fliege::N,mêş,fly
183,Schmetterling::N,perperîk,butterfly
184,Beere::N,hirç,berry
185,Apfel::N,sêv,apple
186,Pilz::N,bîrov,mushroom
187,Zwiebel::N,pîvaz,onion
188,Saat::N,tov,seed
189,Korn::N,dexl,grain
190,Heu::N,sap,hay
191,Schale::N,qaşik,husk
192,Grube::N,çahl,pit
193,Falle::N,dafik,trap
194,Schlinge::N,dahf,noose
195,Spur::N,rêç,track
196,Asche::N,xweli,ashes
197,Dreck::N,gemarî,filth
198,Eisen::N,hesing,iron
199,Gold::N,zêr,gold
200,Silber::N,zîv,silver
201,Kohle::N,komir,coal
202,Glas::N,qedeh,glass
203,Lehm::N,kelpîç,clay
204,Sand::N,qûm,sand
205,Mensch::N,mirov,human
206,Mann::N,mêr,man
207,Frau::N,jin,woman
208,Kind::N,zarok,child
209,Junge::N,kur,boy
210,Mädchen::N,keç,girl
211,Mädchen::N,keçik,girl
212,Familie::N,malbat,family
213,Großvater::N,bapîr,grandfather
214,Großmutter::N,pîrik,grandmother
215,Eltern::N,bavudê,parents
216,Vater::N,bav,father
217,Mutter::N,dê,mother
218,Mutter::N,dayik,mother
219,Sohn::N,kur,son
220,Tochter::N,keç,daughter
221,Bruder::N,bira,brother
222,Schwester::N,xweh,sister
223,Onkel::N,am,uncle
224,Onkel::N,xal,uncle
225,Tante::N,metik,aunt
226,Tante::N,xaltîk,aunt
227,Ehemann::N,mêr,husband
228,Ehefrau::N,kulfet,wife
229,Freude::N,kêfxweşî,joy
230,Gelächter::N,pîrqînî,laughter
231,Glück::N,bext,happiness
232,Kummer::N,derd,grief
233,Wunsch::N,daxwaz,wish
234,Wunsch::N,xwestek,wish
235,Lust::N,şewq,desire
236,Geist::N,aqil,spirit
237,Gedanke::N,fikir,thought
238,Gedächtnis::N,aqil,memory
239,Verstand::N,fêm,mind
240,Sinn::N,aqil,meaning
241,Grund::N,asas,reason
242,Wahrheit::N,rastî,truth
243,Gespräch::N,guftûgo,talk
244,Märchen::N,çirok,fairy tale
245,Erzählung::N,çirok,story
246,Erzählung::N,vegotin,story
247,Nachricht::N,nûçe,message
248,Neuigkeit::N,hewal,news
249,Name::N,nav,name
250,Name::N,paşnav,name
251,Rätsel::N,tiştonek,puzzle
252,Rede::N,gotar,speech
253,Rede::N,axavtin,speech
254,Sprache::N,ziman,language
255,Stimme::N,pejn,voice
256,Wort::N,gotin,word
257,Zeichen::N,şanek,sign
258,Ruf::N,hawar,call
259,Lärm::N,xarbalix,noise
260,Laut::N,deng,sound
261,Laut::N,hês,sound
262,Ton::N,awaz,tone
263,Lied::N,sitran,song
264,Ruhe::N,rihetî,calm
265,Leute::N,xelk,people
266,Volk::N,xelk,nation
267,Arbeit::N,xebat,work
268,Gast::N,mêvan,guest
269,Geschenk::N,diyarî,gift
270,Spiel::N,lîstik,game
271,Gesellschaft::N,komal,company
272,Hilfe::N,alîkarî,help
273,Freund::N,heval,friend
274,Kamerad::N,heval,companion
275,Angelegenheit::N,pirsgirêk,matter
276,Anzahl::N,çend,count
277,Art::N,çeh,sort
278,Stück::N,lib,piece
