,Concept_ID,de,kk
0,Auge::N,Auge,көз
1,Ohr::N,Ohr,құлақ
2,Nase::N,Nase,мұрын
3,Mund::N,Mund,ауыз
4,Zahn::N,Zahn,тіс
5,Zunge::N,Zunge,тіл
6,Lippe::N,Lippe,ерін
7,Wange::N,Wange,ұрт
8,Gesicht::N,Gesicht,бет-аузы
9,Stirn::N,Stirn,маңдай
10,Haar::N,Haar,қыл
11,Schnurrbart::N,Schnurrbart,мұрт
12,Bart::N,Bart,сақал
13,Kinn::N,Kinn,иек
14,Kiefer[Anatomie]::N,Kiefer,жақ
15,Kehle::N,Kehle,алқым
16,Hals::N,Hals,мойын
17,Genick::N,Genick,желке
18,Kopf::N,Kopf,кәллә
19,Rücken::N,Rücken,арқа
20,Bauch::N,Bauch,қарын
21,Nabel::N,Nabel,кіндік
22,Busen::N,Busen,омырау
23,Brust::N,Brust,кеуде
24,Schulter::N,Schulter,иық
25,Arm::N,Arm,қол
26,Ellenbogen::N,Ellenbogen,шынтақ
27,Hand::N,Hand,қол
28,Handfläche::N,Handfläche,алақан
29,Finger::N,Finger,саусақ
30,Fingernagel::N,Fingernagel,тырнақ
31,Nagel[Anatomie]::N,Nagel,тырнақ
32,Zeh::N,Zeh,тырнақ
33,Zeh::N,Zeh,тұяқ
34,Fuß::N,Fuß,аяқ-басы
35,Ferse::N,Ferse,өкше
36,Ferse::N,Ferse,өкшелік
37,Knie::N,Knie,тізе
38,Oberschenkel::N,Oberschenkel,жамбас
39,Bein::N,Bein,аяқ
40,Körper::N,Körper,дене
41,Haut::N,Haut,тері
42,Blut::N,Blut,қан
43,Ader::N,Ader,көктамыр
44,Ader::N,Ader,күретамыр
45,Sehne::N,Sehne,сіңір
46,Knochen::N,Knochen,жілік
47,Gehirn::N,Gehirn,ми
48,Herz::N,Herz,жүрек
49,Magen::N,Magen,асқазан
50,Leber::N,Leber,бауыр
51,Atem::N,Atem,леп
52,Hunger::N,Hunger,ашаршылық
53,Träne::N,Träne,жас
54,Geschmack::N,Geschmack,дәм
55,Geschmack::N,Geschmack,татым
56,Geschmack::N,Geschmack,талғам
57,Geruch::N,Geruch,иіс
58,Schlaf::N,Schlaf,ұйқы
59,Schlaf::N,Schlaf,ұйықтау
60,Traum::N,Traum,түс
61,Himmel::N,Himmel,аспан
62,Himmel::N,Himmel,көқ
63,Himmel::N,Himmel,таңдай
64,Sonne::N,Sonne,күн
65,Mond::N,Mond,ай
66,Stern::N,Stern,жұлдыз
67,Luft::N,Luft,әуе
68,Wind::N,Wind,жел
69,Welle::N,Welle,толқын
70,Wasser::N,Wasser,су
71,Stein::N,Stein,тас
72,Boden::N,Boden,қыртыс
73,Erde::N,Erde,топырақ
74,Staub::N,Staub,шаң
75,Rauch::N,Rauch,түтін
76,Funke::N,Funke,ұшқын
77,Feuer::N,Feuer,алау
78,Licht::N,Licht,шұғыла
79,Schatten::N,Schatten,көлеңке
80,Wetter::N,Wetter,ауа райы
81,Nebel::N,Nebel,тұман
82,Wolke::N,Wolke,бұлт
83,Regen::N,Regen,жаңбыр
84,Schnee::N,Schnee,қар
85,Eis::N,Eis,мұз
86,Frost::N,Frost,суық
87,Kälte::N,Kälte,ызғар
88,Kälte::N,Kälte,суықтық
89,Hitze::N,Hitze,аптап
90,Raureif::N,Raureif,қырау
91,Regenbogen::N,Regenbogen,кемпірқосақ
92,Donner::N,Donner,күн күркіреу
93,Strömung::N,Strömung,ағын
94,Tropfen::N,Tropfen,тамшы
95,Schaum::N,Schaum,көбік
96,Schmutz::N,Schmutz,кір
97,See::N,See,көл
98,Sumpf::N,Sumpf,саз
99,Moor::N,Moor,саз
100,Wiese::N,Wiese,шалғын
101,Wald::N,Wald,орман
102,Hügel::N,Hügel,төбе
103,Hügel::N,Hügel,белес
104,Hügel::N,Hügel,белес-белес
105,Anhöhe::N,Anhöhe,дөң
106,Anhöhe::N,Anhöhe,адыр
107,Anhöhe::N,Anhöhe,қырат
108,Berg::N,Berg,тау
109,Gipfel::N,Gipfel,төбе
110,Höhle::N,Höhle,үңгір
111,Abhang::N,Abhang,бауыр
112,Quelle::N,Quelle,қайнар
113,Bach::N,Bach,жылға
114,Fluss::N,Fluss,өзен
115,Ufer::N,Ufer,жиек
116,Küste::N,Küste,жиегі
117,Küste::N,Küste,жағалау
118,Festland::N,Festland,құрылық
119,Meer::N,Meer,теңіз
120,Bucht::N,Bucht,шығанақ
121,Insel::N,Insel,арал
122,Blume::N,Blume,гүл
123,Gras::N,Gras,от
124,Wurzel::N,Wurzel,түбір
125,Baum::N,Baum,ағаш
126,Baum::N,Baum,дарақ
127,Stamm::N,Stamm,сояу
128,Stamm::N,Stamm,оқпан
129,Rinde::N,Rinde,қабық
130,Ast::N,Ast,бұтақ
131,Zweig::N,Zweig,шыбық
132,Blatt::N,Blatt,жапырақ
133,Birke::N,Birke,қайың
134,Kiefer[Baum]::N,Kiefer,қарағай
135,Weide[Baum]::N,Weide,тал
136,Tanne::N,Tanne,шырша
137,Horn::N,Horn,мүйіз
138,Feder::N,Feder,қаламұш
139,Fell::N,Fell,тері
140,Flügel::N,Flügel,қанат
141,Klaue::N,Klaue,тырнақ
142,Kralle::N,Kralle,аяқ
143,Schwanz::N,Schwanz,құйрық
144,Ei::N,Ei,жұмыртқа
145,Nest::N,Nest,ұя
146,Bau::N,Bau,жатақ
147,Tier::N,Tier,айуан
148,Tier::N,Tier,жануар
149,Herde::N,Herde,пада
150,Kuh::N,Kuh,сиыр
151,Bulle::N,Bulle,өгіз
152,Pferd::N,Pferd,жылқы
153,Schaf::N,Schaf,қой
154,Schwein::N,Schwein,шошқа
155,Hund::N,Hund,ит
156,Katze::N,Katze,мысық
157,Bär::N,Bär,аю
158,Eichhörnchen::N,Eichhörnchen,тиін
159,Elch::N,Elch,бұғы
160,Fuchs::N,Fuchs,түлкі
161,Hase::N,Hase,қоян
162,Maus::N,Maus,қаптесер
163,Wolf::N,Wolf,бөрі
164,Wolf::N,Wolf,қасқыр
165,Vogel::N,Vogel,құс
166,Schwarm::N,Schwarm,топ
167,Schwarm::N,Schwarm,үйір
168,Huhn::N,Huhn,тауық
169,Huhn::N,Huhn,мекиен
170,Hahn::N,Hahn,әтеш
171,Hahn::N,Hahn,қораз
172,Gans::N,Gans,қаз
173,Adler::N,Adler,бүркіт
174,Ente::N,Ente,үйрек
175,Eule::N,Eule,жапалақ
176,Kranich::N,Kranich,тырна
177,Krähe::N,Krähe,қарға
178,Kuckuck::N,Kuckuck,көкек
179,Schwan::N,Schwan,аққу
180,Fisch::N,Fisch,балық
181,Barsch::N,Barsch,алабұға
182,Hecht::N,Hecht,шортан
183,Schlange[Tier]::N,Schlange,жылан
184,Wurm::N,Wurm,шұбалшаң
185,Spinne::N,Spinne,өрмекші
186,Ameise::N,Ameise,қүмырска
187,Laus::N,Laus,бит
188,Mücke::N,Mücke,маса
189,Fliege::N,Fliege,шыбын
190,Schmetterling::N,Schmetterling,көбелек
191,Beere::N,Beere,жидек
192,Apfel::N,Apfel,алма
193,Pilz::N,Pilz,қозықұйрық
194,Pilz::N,Pilz,саңыраукулақ
195,Zwiebel::N,Zwiebel,жуа
196,Saat::N,Saat,тұқым
197,Korn::N,Korn,дән
198,Heu::N,Heu,шөп
199,Schale::N,Schale,қабық
200,Schale::N,Schale,қабығы
201,Grube::N,Grube,ор
202,Falle::N,Falle,дұзақ
203,Falle::N,Falle,қақпан
204,Schlinge::N,Schlinge,ілмек
205,Spur::N,Spur,із
206,Asche::N,Asche,күл
207,Dreck::N,Dreck,былғаныш
208,Eisen::N,Eisen,темір
209,Gold::N,Gold,алтын
210,Silber::N,Silber,күміс
211,Kohle::N,Kohle,көмір
212,Glas::N,Glas,шыны
213,Lehm::N,Lehm,балшық
214,Sand::N,Sand,құм
215,Mensch::N,Mensch,адам
216,Mann::N,Mann,еркек
217,Mann::N,Mann,ер адам
218,Frau::N,Frau,бике
219,Frau::N,Frau,қатын
220,Kind::N,Kind,бала
221,Kind::N,Kind,перзент
222,Junge::N,Junge,бала
223,Junge::N,Junge,ер бала
224,Mädchen::N,Mädchen,қыз
225,Familie::N,Familie,жанұя
226,Großvater::N,Großvater,ата
227,Großmutter::N,Großmutter,әже
228,Großmutter::N,Großmutter,әжей
229,Eltern::N,Eltern,ата-аналар
230,Vater::N,Vater,әке
231,Mutter::N,Mutter,ана
232,Sohn::N,Sohn,ұл
233,Tochter::N,Tochter,қызым
234,Bruder::N,Bruder,бауырым
235,Schwester::N,Schwester,әпке
236,Onkel::N,Onkel,көке
237,Tante::N,Tante,тәте
238,Ehemann::N,Ehemann,ер
239,Ehefrau::N,Ehefrau,зайып
240,Freude::N,Freude,қуаныш
241,Freude::N,Freude,сүйініш
242,Freude::N,Freude,шат-думан
243,Freude::N,Freude,қуаныштылық
244,Gelächter::N,Gelächter,күлу
245,Glück::N,Glück,бақыт
246,Glück::N,Glück,бақыттылық
247,Kummer::N,Kummer,аза
248,Kummer::N,Kummer,қайғы
249,Kummer::N,Kummer,қасырет
250,Wunsch::N,Wunsch,мүдде
251,Lust::N,Lust,тәбет
252,Lust::N,Lust,ынтызар
253,Lust::N,Lust,құштарлық
254,Geist::N,Geist,рух
255,Gedanke::N,Gedanke,ой
256,Gedächtnis::N,Gedächtnis,ес
257,Gedächtnis::N,Gedächtnis,жады
258,Gedächtnis::N,Gedächtnis,ақыл-ес
259,Verstand::N,Verstand,ақыл
260,Verstand::N,Verstand,парасат
261,Sinn::N,Sinn,мән
262,Sinn::N,Sinn,маныз
263,Sinn::N,Sinn,мағына
264,Sinn::N,Sinn,мән-мағына
265,Grund::N,Grund,себеп
266,Wahrheit::N,Wahrheit,рас
267,Gespräch::N,Gespräch,әңгіме
268,Märchen::N,Märchen,ертеп
269,Märchen::N,Märchen,ертек
270,Erzählung::N,Erzählung,әңгіме
271,Nachricht::N,Nachricht,хабар
272,Neuigkeit::N,Neuigkeit,жаңалық
273,Name::N,Name,ат
274,Name::N,Name,атау
275,Rätsel::N,Rätsel,жұмбақ
276,Rede::N,Rede,сөз
277,Sprache::N,Sprache,тіл
278,Stimme::N,Stimme,үн
279,Stimme::N,Stimme,әуен
280,Stimme::N,Stimme,дауыс
281,Wort::N,Wort,сөз
282,Zeichen::N,Zeichen,ишара
283,Ruf::N,Ruf,айғай
284,Lärm::N,Lärm,айғай-шу
285,Lärm::N,Lärm,айғай-ұйғай
286,Laut::N,Laut,дыбыс
287,Laut::N,Laut,дауыс
288,Ton::N,Ton,әуен
289,Lied::N,Lied,ән
290,Lied::N,Lied,жыр
291,Lied::N,Lied,ән-жыр
292,Ruhe::N,Ruhe,тыныштық
293,Leute::N,Leute,кісілер
294,Volk::N,Volk,халық
295,Arbeit::N,Arbeit,еңбек
296,Gast::N,Gast,қонақ
297,Gast::N,Gast,мейман
298,Geschenk::N,Geschenk,қадия
299,Spiel::N,Spiel,ойын
300,Gesellschaft::N,Gesellschaft,қауым
301,Gesellschaft::N,Gesellschaft,жұртшылық
302,Hilfe::N,Hilfe,жэрдем
303,Freund::N,Freund,дос
304,Kamerad::N,Kamerad,дос-жар
305,Angelegenheit::N,Angelegenheit,жұмыс
306,Anzahl::N,Anzahl,сан
307,Anzahl::N,Anzahl,саны
308,Art::N,Art,түр
309,Stück::N,Stück,тілім
310,Teil::N,Teil,үлес
311,Teil::N,Teil,бөлшек
312,Hälfte::N,Hälfte,жарты
313,Kreis::N,Kreis,шеңбер
314,Kreuz::N,Kreuz,крест
315,Linie::N,Linie,сызық
316,Strich::N,Strich,сызық
317,Abstand::N,Abstand,ара
318,Abstand::N,Abstand,аралық
319,Entfernung::N,Entfernung,аралық
320,Gegend::N,Gegend,өңір
321,Platz::N,Platz,орны
322,Ort::N,Ort,орын
323,Seite::N,Seite,жақ
324,Seite::N,Seite,бүйір
325,Mitte::N,Mitte,ортасы
326,Gegenstand::N,Gegenstand,зат
327,Gegenstand::N,Gegenstand,нәрсе
328,Sache::N,Sache,бұйым
329,Rand::N,Rand,шет
330,Rand::N,Rand,шеті
331,Kante::N,Kante,қыр
332,Kante::N,Kante,қыры
333,Ecke::N,Ecke,қыры
334,Ecke::N,Ecke,бұрыш
335,Spitze::N,Spitze,ұшы
336,Ende::N,Ende,аяқ
337,Ende::N,Ende,соңы
338,Loch::N,Loch,тесік
339,Winkel::N,Winkel,мүйіс
340,Muster::N,Muster,мәнер
341,Größe::N,Größe,ауқым
342,Größe::N,Größe,көлемдік
343,Länge::N,Länge,бой
344,Länge::N,Länge,ұзындық
345,Höhe::N,Höhe,жоғарылық
346,Höhe::N,Höhe,биіктік
347,Gewicht::N,Gewicht,салмақ
348,Menge::N,Menge,мөлшер
349,Haufen::N,Haufen,үйме
350,Haufen::N,Haufen,үйінді
351,Reihe::N,Reihe,сап
352,Boot::N,Boot,қайық
353,Ruder::N,Ruder,ескек
354,Schlitten::N,Schlitten,шана
355,Ski::N,Ski,шаңғы
356,Lagerfeuer::N,Lagerfeuer,алау
357,Last::N,Last,ауырлық
358,Last::N,Last,ауыр зат
359,Gang::N,Gang,жүріс
360,Schritt::N,Schritt,адым
361,Norden::N,Norden,солтүстік
362,Norden::N,Norden,терістік
363,Süden::N,Süden,оңтүстік
364,Westen::N,Westen,батыс
365,Osten::N,Osten,күншығыс
366,Holz::N,Holz,ағаш
367,Holz::N,Holz,сүрек
368,Brett::N,Brett,тақта
369,Platte::N,Platte,тақта
