,Concept_ID,hy,av
0,Auge::N,աչք,
1,Ohr::N,ականջ,гӏин
2,Nase::N,քիթ,мегӏер
3,Mund::N,բերան,кӏал
4,Zahn::N,ատամ,гӏус
5,Zunge::N,լեզու,мацӏ
6,Lippe::N,շրթունք,кӏветӏ
7,Wange::N,այտ,гӏоно
8,Wange::N,թուշ,гӏоно
9,Gesicht::N,դեմք,гьумер
10,Stirn::N,ճակատ,нодо
11,Haar::N,մազ,рас
12,Schnurrbart::N,բեղ,михъ
13,Bart::N,մորուք,мегеж
14,Kinn::N,կզակ,нилъу
15,Kiefer[Anatomie]::N,ծնոտ,чанагъ
16,Kehle::N,կոկորդ,щекъер
17,Hals::N,վիզ,габур
18,Hals::N,պարանոց,габур
19,Genick::N,ծոծրակ,гъванща
20,Kopf::N,գլուխ,бетӏер
21,Rücken::N,մեջք,мугъ
22,Bauch::N,փոր,чехь
23,Bauch::N,որովայն,чехь
24,Nabel::N,պորտ,цӏину
25,Busen::N,ծոց,керен
26,Brust::N,կուրծք,керен
27,Schulter::N,ուս,гъажазубетӏер
28,Arm::N,թեւ,гъеж
29,Arm::N,բազուկ,гъеж
30,Ellenbogen::N,արմունկ,гӏункӏрукь
31,Hand::N,ձեռք,квер
32,Handfläche::N,ափ,огъохъат
33,Handfläche::N,ափ,жанисахъат
34,Finger::N,մատ,килищ
35,Fingernagel::N,եղունգ,малъ
36,Nagel[Anatomie]::N,եղունգ,малъ
37,Zeh::N,ոտքի մատ,килищ
38,Fuß::N,ոտք,хӏетӏ
39,Fuß::N,ոտք,хӏетӏе
40,Ferse::N,գարշապար,эгъе
41,Knie::N,ծունկ,наку
42,Oberschenkel::N,ազդր,мачӏ
43,Bein::N,ոտք,бох
44,Körper::N,մարմին,къаркъала
45,Haut::N,մաշկ,тӏом
46,Blut::N,արյուն,би
47,Ader::N,երակ,бидурихь
48,Sehne::N,ջիղ,
49,Sehne::N,ձգտան,
50,Knochen::N,ոսկոր,ракьа
51,Gehirn::N,խելք,гӏадалнах
52,Herz::N,սիրտ,ракӏ
53,Magen::N,ստամոքս,кванирукъ
54,Leber::N,լյարդ,тӏул
55,Atem::N,շունչ,хӏухь
56,Hunger::N,քաղց,ракъи
57,Träne::N,արտասուք,магӏу
58,Geschmack::N,համ,тату
59,Geschmack::N,բուրմունք,тату
60,Geruch::N,հոտ,махӏ
61,Geruch::N,բուրում,махӏ
62,Schlaf::N,քուն,макьу
63,Traum::N,երազ,макьу
64,Himmel::N,երկինք,зоб
65,Sonne::N,արեւ,бакъ
66,Mond::N,լուսին,моцӏ
67,Stern::N,աստղ,цӏва
68,Luft::N,օդ,гьава
69,Wind::N,քամի,гьури
70,Welle::N,ալիք,карачел
71,Wasser::N,ջուր,лъим
72,Stein::N,քար,гьецӏо
73,Boden::N,գետին,ракь
74,Erde::N,հող,ракь
75,Erde::N,հող,дуниял
76,Staub::N,փոշի,хӏур
77,Rauch::N,ծուխ,кӏкӏуй
78,Funke::N,կայծ,
79,Feuer::N,կրակ,цӏа
80,Feuer::N,հրդեհ,цӏа
81,Licht::N,լույս,канлъи
82,Schatten::N,ստվեր,рагӏад
83,Wetter::N,եղանակ,гьава-бакъ
84,Nebel::N,մեգ,гӏодобнакӏкӏ
