,Concept_ID,no,hi
0,Auge::N,øye,आँख
1,Auge::N,øye,चक्षु
2,Ohr::N,øre,कान
3,Ohr::N,øre,कर्ण
4,Nase::N,nese,नाक
5,Nase::N,nese,नासा
6,Mund::N,munn,मुख
7,Mund::N,munn,मुँह
8,Zahn::N,tann,दंत
9,Zahn::N,tann,दाँत
10,Zunge::N,tunge,जीभ
11,Zunge::N,tunge,ज़बान
12,Zunge::N,tunge,जिह्वा
13,Lippe::N,leppe,ओंठ
14,Lippe::N,leppe,होंठ
15,Wange::N,kinn,गाल
16,Wange::N,kinn,कपोल
17,Gesicht::N,fjes,मुँह
18,Gesicht::N,fjes,चेहरा
19,Gesicht::N,ansikt,मुँह
20,Gesicht::N,ansikt,चेहरा
21,Stirn::N,panne,माथा
22,Stirn::N,panne,मस्तक
23,Haar::N,hår,बाल
24,Schnurrbart::N,bart,मूँछें
25,Bart::N,skjegg,दाढ़ी
26,Kinn::N,hake,चिबुक
27,Kiefer[Anatomie]::N,kjeve,जबड़ा
28,Kehle::N,strupe,गला
29,Hals::N,hals,गला
30,Hals::N,hals,गरदन
31,Genick::N,nakke,गरदन
32,Genick::N,nakke,ग्रीवा
33,Kopf::N,hode,सिर
34,Kopf::N,hode,शीर्ष
35,Rücken::N,rygg,पीठ
36,Bauch::N,buk,उदर
37,Bauch::N,mage,उदर
38,Nabel::N,navle,नाभि
39,Nabel::N,navle,ढोंढी
40,Busen::N,barm,कुच
41,Busen::N,barm,स्तन
42,Brust::N,bryst,वक्ष
43,Schulter::N,skulder,कंधा
44,Schulter::N,skulder,स्कंध
45,Arm::N,arm,बाँह
46,Arm::N,arm,बाज़ू
47,Ellenbogen::N,albue,कुहनी
48,Hand::N,hånd,हाथ
49,Hand::N,hånd,हस्त
50,Handfläche::N,håndflate,हथेली
51,Finger::N,finger,उँगली
52,Finger::N,finger,अँगुली
53,Fingernagel::N,fingernegl,नख
54,Fingernagel::N,fingernegl,नाख़ून
55,Nagel[Anatomie]::N,negl,नख
56,Nagel[Anatomie]::N,negl,नाख़ून
57,Zeh::N,tå,उँगली
58,Zeh::N,tå,पाँव की उँगली
59,Fuß::N,fot,चरण
60,Fuß::N,fot,पाँव
61,Ferse::N,hæl,एड़ी
62,Knie::N,kne,जानु
63,Knie::N,kne,घुटना
64,Oberschenkel::N,lår,उरु
65,Bein::N,bein,टाँग
66,Körper::N,kropp,तन
67,Körper::N,kropp,देह
68,Körper::N,kropp,शरीर
69,Körper::N,legeme,तन
70,Körper::N,legeme,देह
71,Körper::N,legeme,शरीर
72,Haut::N,hud,चर्म
73,Haut::N,hud,त्वचा
74,Haut::N,skinn,चर्म
75,Haut::N,skinn,त्वचा
76,Blut::N,blod,लहू
77,Blut::N,blod,ख़ून
78,Ader::N,åre,रग
79,Ader::N,åre,शिरा
80,Sehne::N,sene,कंडरा
81,Sehne::N,sene,स्नायु
82,Knochen::N,bein,अस्थि
83,Knochen::N,knokkel,अस्थि
84,Gehirn::N,hjerne,दिमाग़
85,Gehirn::N,hjerne,मस्तिष्क
86,Herz::N,hjerte,दिल
87,Herz::N,hjerte,हृदय
88,Magen::N,mage,मेदा
89,Magen::N,mage,अमाशय
90,Leber::N,lever,जिगर
91,Leber::N,lever,यकृत्
92,Atem::N,pust,दम
93,Atem::N,pust,साँस
94,Atem::N,pust,श्वास
95,Hunger::N,sult,भूख
96,Hunger::N,sult,क्षुधा
97,Träne::N,tåre,आँसू
98,Träne::N,tåre,अश्रु
99,Geschmack::N,smak,स्वाद
100,Geschmack::N,smak,ज़ायक़ा
101,Geruch::N,lukt,बू
102,Geruch::N,lukt,गंध
103,Schlaf::N,søvn,नींद
104,Schlaf::N,søvn,निद्रा
105,Traum::N,drøm,सपना
106,Traum::N,drøm,स्वप्न
107,Himmel::N,himmel,आकाश
108,Himmel::N,himmel,आसमान
109,Sonne::N,sol,रवि
110,Sonne::N,sol,सूरज
111,Sonne::N,sol,सूर्य
112,Mond::N,måne,चाँद
113,Mond::N,måne,चंद्र
114,Stern::N,stjerne,तारा
115,Stern::N,stjerne,सितारा
116,Luft::N,luft,हवा
117,Luft::N,luft,वायु
118,Wind::N,vind,पाद
119,Welle::N,bølge,लहर
120,Welle::N,bølge,तरंग
121,Wasser::N,vann,जल
122,Wasser::N,vann,पानी
123,Stein::N,stein,पत्थर
124,Boden::N,bakke,मिट्टी
125,Erde::N,jord,भूमि
126,Erde::N,jord,ज़मीन
127,Staub::N,støv,धूल
128,Rauch::N,røyk,धूआँ
129,Rauch::N,røyk,धुम्र
130,Funke::N,gnist,चिनगारी
131,Funke::N,gnist,स्फुलिंग
132,Feuer::N,ild,आग
133,Feuer::N,ild,आतिश
134,Feuer::N,ild,अग्नि
135,Licht::N,lys,रोशनी
136,Licht::N,lys,प्रकाश
137,Schatten::N,skygge,छाया
138,Schatten::N,skygge,परछाई
139,Wetter::N,vær,ऋतु
140,Wetter::N,vær,मौसम
141,Nebel::N,tåke,धुँध
142,Nebel::N,tåke,कुहरा
143,Wolke::N,sky,मेघ
144,Wolke::N,sky,अभ्र
145,Regen::N,regn,मेंह
146,Regen::N,regn,बारिश
147,Schnee::N,snø,हिम
148,Schnee::N,snø,बर्फ़
149,Eis::N,is,हिम
150,Eis::N,is,बर्फ़
151,Frost::N,frost,ठंड
152,Kälte::N,kulde,सर्दी
153,Kälte::N,kulde,शीतलता
154,Hitze::N,hete,ताप
155,Hitze::N,hete,गरमी
156,Raureif::N,rimfrost,पाला
157,Regenbogen::N,regnbue,इंद्र-धनुष
158,Donner::N,torden,गरज
159,Donner::N,torden,मेघ-गर्जन
160,Strömung::N,strømning,बहाव
161,Strömung::N,strømning,प्रवाह
162,Tropfen::N,dråpe,बूँद
163,Schaum::N,skum,झाग
164,Schmutz::N,søl,गंद
165,Schmutz::N,søl,कीचड़
166,Schmutz::N,skitt,गंद
167,Schmutz::N,skitt,कीचड़
168,See::N,sjø,झील
169,See::N,sjø,सरोवर
170,Sumpf::N,sump,दलदल
171,Sumpf::N,sump,धँसान
172,Sumpf::N,myrlende,दलदल
173,Sumpf::N,myrlende,धँसान
174,Moor::N,myr,झाबर
175,Moor::N,myr,धँसान
176,Moor::N,myrhei,झाबर
177,Moor::N,myrhei,धँसान
178,Wiese::N,eng,घास-स्थल
179,Wald::N,skog,जंगल
180,Hügel::N,haug,टीला
181,Hügel::N,haug,पहाड़
182,Hügel::N,bakke,टीला
183,Hügel::N,bakke,पहाड़
184,Anhöhe::N,haug,टीला
185,Anhöhe::N,haug,पहाड़ी
186,Anhöhe::N,bakke,टीला
187,Anhöhe::N,bakke,पहाड़ी
188,Berg::N,berg,पहाड़
189,Berg::N,fjell,पहाड़
190,Gipfel::N,topp,शिखर
191,Höhle::N,hule,गुहा
192,Höhle::N,hule,गुफ़ा
193,Abhang::N,li,ढाल
194,Abhang::N,li,ढलान
195,Abhang::N,skråning,ढाल
196,Abhang::N,skråning,ढलान
197,Quelle::N,kilde,चश्मा
198,Bach::N,bekk,सोता
199,Bach::N,bekk,नदिका
200,Fluss::N,elv,नदी
201,Fluss::N,elv,सरिता
202,Ufer::N,bredd,तट
203,Ufer::N,bredd,किनारा
204,Küste::N,kyst,समुद्र-तट
205,Festland::N,fastland,महाद्वीप
206,Meer::N,hav,सागर
207,Meer::N,hav,समुद्र
208,Bucht::N,bukt,खाड़ी
209,Insel::N,øy,टापू
210,Insel::N,øy,द्वीप
211,Blume::N,blomst,फूल
212,Blume::N,blomst,पुष्प
213,Gras::N,gress,घास
214,Wurzel::N,rot,मूल
215,Baum::N,tre,पेड़
216,Baum::N,tre,वृक्ष
217,Stamm::N,stamme,धड़
218,Rinde::N,bark,छाल
219,Rinde::N,bark,वल्कल
220,Ast::N,gren,डाल
221,Ast::N,gren,शाखा
222,Zweig::N,kvist,टहनी
223,Blatt::N,blad,पत्र
224,Blatt::N,blad,पत्ता
225,Birke::N,bjørk,भूर्ज
226,Kiefer[Baum]::N,furu,पाइन-वृक्ष
227,Weide[Baum]::N,selje,बेंत
228,Weide[Baum]::N,piletre,बेंत
229,Tanne::N,gran,फ़र
230,Horn::N,horn,सींग
231,Horn::N,horn,विषाण
232,Feder::N,fjær,पर
233,Feder::N,fjær,पंख
234,Fell::N,skinn,खाल
235,Fell::N,skinn,पशु-चर्म
236,Flügel::N,vinge,पंख
237,Flügel::N,vinge,डैना
238,Klaue::N,klauv,पंजा
239,Kralle::N,klo,पंजा
240,Kralle::N,klo,नाख़ून
241,Schwanz::N,hale,पूँछ
242,Ei::N,egg,अंडा
243,Nest::N,rede,नीड़
244,Nest::N,rede,घोंसला
245,Bau::N,hi,बिल
246,Bau::N,hi,माँद
247,Tier::N,dyr,पशु
248,Tier::N,dyr,जानवर
249,Herde::N,flokk,गल्ला
250,Kuh::N,ku,गौ
251,Kuh::N,ku,गाय
252,Bulle::N,tyr,साँड़
253,Pferd::N,hest,अश्व
254,Pferd::N,hest,घोड़ा
255,Schaf::N,får,भेड़
256,Schwein::N,gris,शूकर
257,Hund::N,hund,श्वान
258,Hund::N,hund,कुत्ता
259,Katze::N,katt,बिल्ली
260,Bär::N,bjørn,रीछ
261,Bär::N,bjørn,भालू
262,Eichhörnchen::N,ekorn,गिलहरी
263,Elch::N,elg,एल्क
264,Fuchs::N,rev,लोमड़ी
265,Hase::N,hare,खरहा
266,Hase::N,hare,ख़रगोश
267,Maus::N,mus,मूष
268,Maus::N,mus,चूहा
269,Wolf::N,ulv,वृक
270,Wolf::N,ulv,भेड़िया
271,Wolf::N,varg,वृक
272,Wolf::N,varg,भेड़िया
273,Vogel::N,fugl,पक्षी
274,Vogel::N,fugl,चिड़िया
275,Schwarm::N,sverm,झुंड
276,Huhn::N,høne,मुर्ग़ी
277,Hahn::N,hane,मुर्ग़ा
278,Gans::N,gås,हंस
279,Gans::N,gås,हंसिनी
280,Adler::N,ørn,उक़ाब
281,Ente::N,and,बतख़
282,Ente::N,and,बत्तक
283,Eule::N,ugle,उल्लू
284,Kranich::N,trane,सारस
285,Kranich::N,trane,क्रौंंच
286,Krähe::N,kråke,काक
287,Kuckuck::N,gjøk,कोयल
288,Kuckuck::N,gjøk,कोकिल
289,Schwan::N,svane,हंस
290,Schwan::N,svane,मराल
291,Fisch::N,fisk,मछली
292,Fisch::N,fisk,मत्स्य
293,Barsch::N,abbor,पर्च
294,Hecht::N,gjedde,पाइक
295,Schlange[Tier]::N,orm,सर्प
296,Schlange[Tier]::N,slange,सर्प
297,Wurm::N,orm,कृमि
298,Wurm::N,orm,कीड़ा
299,Wurm::N,mark,कृमि
300,Wurm::N,mark,कीड़ा
301,Spinne::N,edderkopp,लूता
302,Spinne::N,edderkopp,मकड़ी
303,Ameise::N,maur,चींटी
304,Laus::N,lus,जूँ
305,Mücke::N,mygg,डाँस
306,Fliege::N,flue,मक्खी
307,Fliege::N,flue,मक्षिका
308,Schmetterling::N,sommerfugl,तितली
309,Beere::N,bær,बेरी
310,Apfel::N,eple,सेब
311,Pilz::N,sopp,खुंबी
312,Zwiebel::N,løk,प्याज़
313,Saat::N,sæd,बीज
314,Korn::N,korn,दाना
315,Heu::N,høy,मूखी घास
316,Schale::N,skall,बकला
317,Schale::N,skall,छिलका
318,Grube::N,grop,गड्ढा
319,Falle::N,felle,जाल
320,Falle::N,felle,फँदा
321,Schlinge::N,snare,फँदा
322,Spur::N,spor,सुराग़
323,Spur::N,spor,पद-चिह्न
324,Asche::N,aske,राख
325,Dreck::N,møkk,मैल
326,Dreck::N,møkk,गंदगी
327,Dreck::N,skitt,मैल
328,Dreck::N,skitt,गंदगी
329,Eisen::N,jern,लोहा
330,Gold::N,gull,सोना
331,Gold::N,gull,स्वर्ण
332,Silber::N,sølv,रजत
333,Silber::N,sølv,चाँदी
334,Kohle::N,kol,कोयला
335,Kohle::N,kull,कोयला
336,Glas::N,glass,काँच
337,Lehm::N,leire,चिकनी मिट्टी
338,Sand::N,sand,रेत
339,Sand::N,sand,बालू
340,Mensch::N,menneske,मानव
341,Mensch::N,menneske,इनसान
342,Mensch::N,menneske,मनुष्य
343,Mann::N,mann,आदमी
344,Mann::N,mann,पुरुष
345,Frau::N,kvinne,औरत
346,Frau::N,kvinne,महिला
347,Frau::N,kvinne,स्त्री
348,Kind::N,barn,बाल
349,Kind::N,barn,बच्चा
350,Junge::N,gutt,लड़का
351,Mädchen::N,pike,लड़की
352,Mädchen::N,pike,कुमारी
353,Mädchen::N,jente,लड़की
354,Mädchen::N,jente,कुमारी
355,Familie::N,familie,परिवार
356,Großvater::N,bestefar,दादा
357,Großmutter::N,bestemor,नानी
358,Eltern::N,foreldre,माँ-बाप
359,Eltern::N,foreldre,माता-पिता
360,Vater::N,far,बाप
361,Vater::N,far,पिता
362,Mutter::N,mor,माँ
363,Mutter::N,mor,माता
364,Sohn::N,sønn,बेटा
365,Sohn::N,sønn,पुत्र
366,Tochter::N,datter,बेटी
367,Tochter::N,datter,पुत्री
368,Bruder::N,bror,भाई
369,Bruder::N,bror,भ्राता
370,Schwester::N,søster,बहन
371,Schwester::N,søster,भगिनी
372,Onkel::N,onkel,ताऊ
373,Onkel::N,onkel,काका
374,Tante::N,tante,बूआ
375,Tante::N,tante,फूफी
376,Tante::N,tante,ख़ाला
377,Ehemann::N,ektemann,पति
378,Ehemann::N,ektemann,शौहर
379,Ehefrau::N,hustru,बीवी
380,Freude::N,glede,आनंद
381,Freude::N,glede,प्रसन्नता
382,Gelächter::N,latter,हँसी
383,Gelächter::N,latter,क़हक़हा
384,Glück::N,lykke,आनंद
385,Glück::N,lykke,ख़ुशी
386,Kummer::N,sorg,शोक
387,Kummer::N,sorg,दुःख
388,Wunsch::N,ønske,इच्छा
389,Wunsch::N,ønske,अभिलाषा
390,Lust::N,lyst,चाह
391,Lust::N,lyst,कामना
392,Geist::N,ånd,जान
393,Geist::N,ånd,प्राण
394,Gedanke::N,tanke,विचार
395,Gedächtnis::N,minne,याददाश्त
396,Gedächtnis::N,minne,स्मरण-शक्ति
397,Gedächtnis::N,hukommelse,याददाश्त
398,Gedächtnis::N,hukommelse,स्मरण-शक्ति
399,Verstand::N,forstand,समझ
400,Verstand::N,forstand,अक़्ल
401,Verstand::N,forstand,बुद्धि
402,Sinn::N,mening,अर्थ
403,Sinn::N,betydning,अर्थ
404,Grund::N,grunn,वजह
405,Grund::N,grunn,कारण
406,Wahrheit::N,sannhet,सत्य
407,Wahrheit::N,sannhet,सच्चाई
408,Gespräch::N,samtale,चर्चा
409,Gespräch::N,samtale,वार्ता
410,Gespräch::N,samtale,बात-चीत
411,Märchen::N,eventyr,क़िस्सा
412,Erzählung::N,fortelling,कथा
413,Erzählung::N,fortelling,कहानी
414,Nachricht::N,melding,सूचना
415,Nachricht::N,melding,समाचार
416,Neuigkeit::N,nyhet,ख़बर
417,Neuigkeit::N,nyhet,समाचार
418,Name::N,navn,नाम
419,Rätsel::N,gåte,पहेली
420,Rede::N,tale,वचन
421,Rede::N,tale,भाषण
422,Sprache::N,språk,भाषा
423,Sprache::N,språk,ज़बान
424,Stimme::N,stemme,स्वर
425,Stimme::N,stemme,आवाज़
426,Wort::N,ord,शब्द
427,Wort::N,ord,लफ़्ज़
428,Zeichen::N,tegn,निशान
429,Ruf::N,rop,पुकार
430,Ruf::N,rop,आह्वान
431,Lärm::N,bråk,शोर
432,Lärm::N,bråk,हुल्लड़
433,Laut::N,lyd,स्वर
434,Laut::N,lyd,ध्वनि
435,Ton::N,tone,सुर
436,Ton::N,tone,स्वर
437,Lied::N,vise,गीत
438,Ruhe::N,ro,आराम
439,Ruhe::N,ro,ख़ामोशी
440,Leute::N,folk,लोग
441,Volk::N,folk,क़ौम
442,Volk::N,folk,प्रजा
443,Arbeit::N,arbeid,काम
444,Gast::N,gjest,अतिथि
445,Gast::N,gjest,मेहमान
446,Geschenk::N,gave,उपहार
447,Geschenk::N,gave,तोहफ़ा
448,Spiel::N,lek,खेल
449,Spiel::N,lek,क्रीड़ा
450,Spiel::N,spill,खेल
451,Spiel::N,spill,क्रीड़ा
452,Gesellschaft::N,selskap,साथ
453,Hilfe::N,hjelp,मदद
454,Hilfe::N,hjelp,सहायता
455,Freund::N,venn,मित्र
456,Kamerad::N,kamerat,साथी
457,Kamerad::N,kamerat,कामरेड
458,Angelegenheit::N,sak,बात
459,Angelegenheit::N,sak,मामला
460,Angelegenheit::N,anliggende,बात
461,Angelegenheit::N,anliggende,मामला
462,Anzahl::N,antall,तादाद
463,Anzahl::N,antall,संख्या
464,Art::N,art,तरह
465,Art::N,art,क़िस्म
466,Art::N,slag,तरह
467,Art::N,slag,क़िस्म
468,Stück::N,stykke,फाँक
469,Stück::N,stykke,टुकड़ा
470,Teil::N,del,भाग
471,Teil::N,del,हिस्सा
472,Hälfte::N,halvdel,अर्धभाग
473,Kreis::N,ring,चक्कर
474,Kreis::N,sirkel,चक्कर
475,Kreuz::N,kors,सलीब
476,Kreuz::N,kors,क्रूस
477,Kreuz::N,kryss,सलीब
478,Kreuz::N,kryss,क्रूस
479,Linie::N,linje,लाइन
480,Strich::N,strek,लकीर
481,Abstand::N,avstand,अंतर
482,Abstand::N,avstand,फ़ासला
483,Entfernung::N,avstand,दूरी
484,Entfernung::N,avstand,फ़ासला
485,Gegend::N,strøk,इलाक़ा
486,Platz::N,plass,जगह
487,Platz::N,plass,स्थान
488,Ort::N,sted,स्थल
489,Ort::N,sted,स्थान
490,Seite::N,side,ओर
491,Seite::N,side,तरफ़
492,Mitte::N,midte,बीच
493,Mitte::N,midte,मध्य
494,Gegenstand::N,gjenstand,चीज़
495,Gegenstand::N,gjenstand,पदार्थ
496,Sache::N,sak,चीज़
497,Sache::N,sak,वस्तु
498,Rand::N,rand,छोर
499,Rand::N,rand,उपांत
500,Kante::N,kant,कोर
501,Kante::N,kant,किनारा
502,Ecke::N,hjørne,कोना
503,Ecke::N,hjørne,नुक्कड़
504,Spitze::N,spiss,नोक
505,Ende::N,ende,छोर
506,Ende::N,ende,सिरा
507,Loch::N,hull,छेद
508,Loch::N,hull,सूराख़
509,Winkel::N,vinkel,कोण
510,Winkel::N,vinkel,कोना
511,Muster::N,mønster,नमूना
512,Muster::N,mønster,डिज़ाइन
513,Größe::N,størrelse,परिमाण
514,Größe::N,størrelse,विस्तार
515,Länge::N,lengde,लंबाई
516,Höhe::N,høyde,ऊँचाई
517,Höhe::N,høyde,उच्चता
518,Gewicht::N,vekt,भार
519,Gewicht::N,vekt,वज़न
