,Concept_ID,bg,xal
0,Auge::N,око,нүдн
1,Ohr::N,ухо,чикн
2,Nase::N,нос,хамр
3,Mund::N,уста,амн
4,Zahn::N,зъб,шүдн
5,Zunge::N,език,келн
6,Lippe::N,устна,урл
7,Wange::N,буза,халх
8,Gesicht::N,лице,нүр
9,Gesicht::N,образ,нүр
10,Stirn::N,чело,маңна
11,Haar::N,коса,үсн
12,Haar::N,косъм,үсн
13,Schnurrbart::N,мустаци,сахл
14,Bart::N,брада,сахл
15,Bart::N,брада,өргнә сахл
16,Kinn::N,брада,өргн
17,Kinn::N,брадичка,өргн
18,Kiefer[Anatomie]::N,челюст,өргн
19,Kehle::N,гърло,хол
20,Hals::N,врат,күзүн
21,Genick::N,тил,гиҗг
22,Kopf::N,глава,толһа
23,Rücken::N,гръб,нурһн
24,Bauch::N,корем,гесн
25,Nabel::N,пъп,киисн
26,Busen::N,бозка,көкн
27,Brust::N,гръд,чееҗ
28,Schulter::N,рамо,ээм
29,Schulter::N,плещи,ээм
30,Arm::N,ръка,һар
31,Ellenbogen::N,лакът,тоха
32,Hand::N,ръка,баһлцг
33,Hand::N,китка,баһлцг
34,Handfläche::N,длан,альхн
35,Finger::N,пръст,хурһн
36,Finger::N,пръст,һарин хурһн
37,Fingernagel::N,нокът,хумсн
38,Nagel[Anatomie]::N,нокът,хумсн
39,Zeh::N,пръст на крак,хурһн
40,Zeh::N,пръст на крак,көлин хурһн
41,Fuß::N,крак,тавг
42,Fuß::N,нога,тавг
43,Ferse::N,пета,өскә
44,Knie::N,коляно,өвдг
45,Oberschenkel::N,бедро,һуй
46,Bein::N,крак,көл
47,Bein::N,нога,көл
48,Körper::N,тяло,махмуд
49,Haut::N,кожа,арсн
50,Blut::N,кръв,цусн
51,Ader::N,вена,судцн
52,Ader::N,артерия,судцн
53,Sehne::N,жила,шүрүсн
54,Sehne::N,сухожилие,шүрүсн
55,Knochen::N,кост,ясн
56,Gehirn::N,мозък,экн
57,Herz::N,сърце,зүркн
58,Magen::N,стомах,гесн
59,Leber::N,черен дроб,элкн
60,Atem::N,дишане,әмсхл
61,Hunger::N,глад,харһнлһн
62,Träne::N,сълза,нульмсн
63,Geschmack::N,вкус,амтн
64,Geruch::N,миризма,үнр
65,Schlaf::N,сън,нөр
66,Traum::N,сън,зүүдн
67,Himmel::N,небе,теңгр
68,Sonne::N,слънце,нарн
69,Mond::N,луна,сар
70,Mond::N,месец,сар
71,Stern::N,звезда,одн
72,Luft::N,въздух,аһар
73,Wind::N,вятър,салькн
74,Welle::N,вълна,дольган
75,Wasser::N,вода,усн
76,Stein::N,камък,чолун
77,Boden::N,земя,Һазр
78,Boden::N,почва,Һазр
79,Erde::N,земя,Һазр
80,Erde::N,почва,Һазр
81,Staub::N,прах,тоосн
82,Rauch::N,дим,утан
83,Rauch::N,пушек,утан
84,Funke::N,искра,очн
85,Feuer::N,огън,һал
86,Licht::N,светлина,герл
87,Schatten::N,сянка,сүүдр
88,Wetter::N,време,теңгр
89,Nebel::N,мъгла,будн
90,Wolke::N,облак,үүлн
91,Regen::N,дъжд,хур
92,Schnee::N,сняг,цасн
93,Eis::N,лед,мөсн
94,Frost::N,мраз,киитн
95,Kälte::N,студ,киитн
96,Hitze::N,жега,халун
97,Hitze::N,горещина,халун
98,Raureif::N,скреж,цаң
99,Raureif::N,скреж,кирү
100,Raureif::N,слана,цаң
101,Raureif::N,слана,кирү
102,Regenbogen::N,дъга,солңһ
103,Donner::N,гръм,оһтрһун дун
104,Strömung::N,течение,урсхл
105,Tropfen::N,капка,дусал
106,Schaum::N,пяна,көөсн
107,Schmutz::N,кал,кир
108,Schmutz::N,мръсотия,кир
109,See::N,езеро,нур
110,Sumpf::N,блато,унул
111,Moor::N,мочурище,улм
112,Wiese::N,ливада,хадлһн
113,Wald::N,гора,ө-модн
114,Hügel::N,рид,толһа
115,Hügel::N,хълм,толһа
116,Anhöhe::N,могила,хамр
117,Anhöhe::N,възвишение,хамр
118,Berg::N,планина,уул
119,Gipfel::N,връх,ора
120,Höhle::N,пещера,хадин көндә
121,Abhang::N,склон,ташу
122,Abhang::N,стръмнина,ташу
123,Quelle::N,извор,булг
124,Bach::N,поток,һооҗур
125,Fluss::N,река,һол
126,Ufer::N,бряг,көвә
127,Küste::N,бряг,көвә
128,Küste::N,бряг,теңгсин көвә
129,Küste::N,крайбрежие,көвә
130,Küste::N,крайбрежие,теңгсин көвә
131,Festland::N,суша,хүүрә һазр
132,Meer::N,море,теңгс
133,Bucht::N,залив,цекә
134,Bucht::N,залив,теңгсин цекә
135,Insel::N,остров,арл
136,Blume::N,цвете,цецг
137,Gras::N,трева,ноһан
138,Wurzel::N,корен,уңг
139,Baum::N,дърво,модн
140,Stamm::N,стъбло,шилв
141,Stamm::N,стъбло,һол модн
142,Rinde::N,кора,көрсн
143,Ast::N,клон,ац
144,Zweig::N,клон,ац
145,Blatt::N,лист,хамтхасн
146,Birke::N,бреза,хусм модн
147,Kiefer[Baum]::N,бор,шар харһа
148,Weide[Baum]::N,върба,удн
149,Tanne::N,ела,җөөлн цаһан модн
150,Horn::N,рог,өвр
151,Feder::N,перо,өрвлг
152,Fell::N,кожа,арсн
153,Flügel::N,крило,җивр
154,Klaue::N,нокът,хумсн
155,Kralle::N,нокът,тавг
156,Schwanz::N,опашка,сүл
157,Ei::N,яйце,өндгн
158,Nest::N,гнездо,үр
159,Bau::N,дупка,нүкн
160,Tier::N,животно,мал
161,Herde::N,стадо,сүрг мал
162,Kuh::N,крава,үкр
163,Bulle::N,бик,бух
164,Pferd::N,кон,мөрн
165,Schaf::N,овца,хөн
166,Schwein::N,свиня,һаха
167,Hund::N,куче,ноха
168,Katze::N,котка,мис
169,Bär::N,мечка,аю
170,Eichhörnchen::N,катерица,кермн
171,Elch::N,лос,хандһа
172,Fuchs::N,лисица,арат
173,Hase::N,заек,туула
174,Maus::N,мишка,хулһн
175,Wolf::N,вълк,чон
176,Vogel::N,птица,шовун
177,Schwarm::N,рой,зел
178,Schwarm::N,рояк,зел
179,Huhn::N,кокошка,така
180,Hahn::N,петел,эр така
181,Gans::N,гъска,һалун
182,Adler::N,орел,һәрд
183,Ente::N,патица,нуһсн
184,Eule::N,сова,һурвлһ
185,Kranich::N,жерав,тоһрун
186,Krähe::N,врана,шаазһа
187,Kuckuck::N,кукувица,эргин хуцдг
188,Schwan::N,лебед,хун
189,Fisch::N,риба,заһсн
190,Barsch::N,костур,шүрг
191,Hecht::N,щука,цурх
192,Schlange[Tier]::N,змия,моһа
193,Wurm::N,червей,өтн
194,Spinne::N,паяк,аралҗн
195,Ameise::N,мравка,шорһлҗн
196,Laus::N,въшка,бөөсн
197,Mücke::N,комар,бөкүн
198,Fliege::N,муха,батхн
199,Schmetterling::N,пеперуда,эрвәкә
200,Beere::N,плод,бөөлҗрһн
201,Apfel::N,ябълка,альмн
202,Pilz::N,гъба,теңгрин ки
203,Zwiebel::N,лук,мәңгрснә толһа
204,Zwiebel::N,кромид,мәңгрснә толһа
205,Saat::N,семе,буудян экн
206,Korn::N,зърно,экн
207,Heu::N,сено,өвсн
208,Schale::N,кора,хальсн
209,Grube::N,яма,нүкн
210,Grube::N,дупка,нүкн
211,Falle::N,примка,урх
212,Falle::N,примка,хавх
213,Schlinge::N,клуп,бүтү
214,Spur::N,диря,мөр
215,Spur::N,следа,мөр
216,Asche::N,пепел,үмсн
217,Dreck::N,кал,бальчг
218,Eisen::N,желязо,төмр
219,Gold::N,злато,алтн
220,Silber::N,сребро,мөңгн
221,Silber::N,сребро,цаһан мөңгн
222,Kohle::N,въглища,нүүрсн
223,Glas::N,стъкло,шил
224,Lehm::N,глина,шавр
225,Sand::N,пясък,элсн
226,Mensch::N,човек,күн
227,Mensch::N,човек,күмн
228,Mann::N,мъж,эр
229,Frau::N,жена,күүкд күн
230,Kind::N,дете,үрн
231,Junge::N,момче,көвүн
232,Mädchen::N,момиче,бичкн күүкн
233,Familie::N,фамилия,бүл
234,Familie::N,семейство,бүл
235,Großvater::N,дядо,өвк эцк
236,Großvater::N,дядо,наһц эцк
237,Großmutter::N,баба,эмг эк
238,Großmutter::N,баба,наһц эк
239,Eltern::N,родители,эк эцк хойр
240,Vater::N,баща,эцк
241,Mutter::N,майка,эк
242,Sohn::N,син,көвүн
243,Tochter::N,дъщеря,күүкн
244,Bruder::N,брат,дү көвүн
245,Schwester::N,сестра,эгч
246,Schwester::N,сестра,дү күүкн
247,Onkel::N,чичо,авһ
248,Onkel::N,чичо,наһцх
249,Onkel::N,вуйчо,авһ
250,Onkel::N,вуйчо,наһцх
251,Tante::N,леля,наһц эгч
252,Ehemann::N,съпруг,залу
253,Ehefrau::N,съпруга,гергн
254,Freude::N,радост,байр
255,Gelächter::N,смях,инәдн
256,Glück::N,щастие,җирһл
257,Glück::N,щастие,сәәхн җирһл
258,Kummer::N,тъга,зовлң
259,Wunsch::N,желание,дурн
260,Lust::N,желание,җилвтлһн
261,Geist::N,дух,зөрг
262,Gedanke::N,мисъл,ухан
263,Gedächtnis::N,памет,чееҗин тодлвр
264,Verstand::N,ум,ухан
265,Verstand::N,разум,ухан
266,Sinn::N,смисъл,учр-утх
267,Grund::N,причина,учр
268,Grund::N,причина,шалтан
269,Wahrheit::N,правда,үнн
270,Gespräch::N,разговор,күүндвүр
271,Märchen::N,приказка,тууль
272,Erzählung::N,разказ,келвр
273,Nachricht::N,вест,медүллһн
274,Nachricht::N,известие,медүллһн
275,Neuigkeit::N,новина,зәңг
276,Name::N,име,нерн
277,Rätsel::N,гатанка,тәәлвртә тууль
278,Rede::N,реч,келлһн
279,Rede::N,слово,келлһн
280,Sprache::N,език,келн
281,Stimme::N,глас,дун
282,Wort::N,дума,үг
283,Zeichen::N,знак,темдг
284,Ruf::N,зов,дуудлһн
285,Lärm::N,шум,шууган
286,Lärm::N,глъчка,шууган
287,Laut::N,звук,ә
288,Ton::N,тон,дун
289,Lied::N,песен,дун
290,Ruhe::N,тишина,амулң
291,Ruhe::N,спокойствие,амулң
292,Leute::N,хора,әмтн
293,Volk::N,народ,улс
294,Arbeit::N,труд,көдлмш
295,Arbeit::N,работа,көдлмш
296,Gast::N,гост,гиич
297,Geschenk::N,дар,белг
298,Geschenk::N,подарък,белг
299,Spiel::N,игра,наадн
300,Gesellschaft::N,общество,олн
301,Hilfe::N,помощ,нөкд
302,Freund::N,приятел,иньг
303,Kamerad::N,другар,үр
304,Angelegenheit::N,работа,керг
305,Anzahl::N,брой,то
306,Anzahl::N,количество,то
307,Art::N,вид,зүүл
308,Stück::N,къс,хусг
309,Stück::N,парче,хусг
310,Teil::N,дял,хүв
311,Teil::N,част,хүв
312,Hälfte::N,половина,өрәл
313,Kreis::N,кръг,төгрг
314,Kreuz::N,кръст,кирс
315,Linie::N,черта,зурасн
316,Strich::N,щрих,татасн
317,Strich::N,черта,татасн
318,Abstand::N,дистанция,зә
319,Abstand::N,разстояние,зә
320,Entfernung::N,разстояние,һазр
321,Gegend::N,местност,һазр
322,Platz::N,място,зә
323,Ort::N,място,бәәрн
324,Seite::N,страна,тал
325,Seite::N,страна,хаҗу
326,Seite::N,страна,хәврһ
327,Mitte::N,среда,дунд
328,Gegenstand::N,предмет,юмн
329,Sache::N,вещ,юмн
330,Rand::N,ръб,зах
331,Kante::N,ръб,ирмәг
332,Kante::N,кант,ирмәг
333,Ecke::N,ъгъл,өнцг
334,Spitze::N,връх,үзүр
335,Spitze::N,острие,үзүр
336,Ende::N,край,үзүр
337,Loch::N,дупка,хаһрха
338,Winkel::N,кът,булң
339,Winkel::N,ъгъл,булң
340,Muster::N,десен,намч
341,Muster::N,образец,намч
342,Größe::N,големина,кемҗән
343,Länge::N,дължина,ут
344,Höhe::N,висота,өндр
345,Höhe::N,височина,өндр
346,Gewicht::N,тегло,күнд
347,Gewicht::N,тегло,чиңнүр
348,Gewicht::N,тежест,күнд
349,Gewicht::N,тежест,чиңнүр
350,Menge::N,количество,ик
351,Haufen::N,куп,ова
352,Haufen::N,грамада,ова
353,Reihe::N,ред,зерг
354,Reihe::N,ред,зерглән
355,Reihe::N,редица,зерг
356,Reihe::N,редица,зерглән
357,Boot::N,лодка,оңһц
358,Ruder::N,весло,хәәв
359,Ruder::N,гребло,хәәв
360,Schlitten::N,шейна,цан
361,Ski::N,ски,лыҗ
362,Lagerfeuer::N,огнище,костёр
363,Last::N,товар,күнд
364,Gang::N,ход,йовлһн
365,Gang::N,вървеж,йовлһн
366,Schritt::N,стъпка,ишкм
367,Norden::N,север,ар үзг
368,Süden::N,юг,өмн
369,Süden::N,юг,өмн үзг
370,Westen::N,запад,барун
371,Westen::N,запад,барун үзг
372,Osten::N,изток,зүн
373,Osten::N,изток,зүн үзг
374,Holz::N,дърво,модн
375,Brett::N,дъска,харһа
376,Stange::N,прът,уньн
377,Stange::N,върлина,уньн
378,Stock::N,прът,модн
379,Stock::N,тояга,модн
380,Stab::N,прът,шуург
381,Rohr::N,цев,турва
382,Rohr::N,тръба,турва
383,Haus::N,къща,гер
384,Heim::N,дом,гер-бул
385,Ofen::N,печка,беш
386,Fußboden::N,под,девскр
387,Tisch::N,маса,ширә
388,Stuhl::N,стол,стул
389,Wiege::N,люлка,өлгә
390,Wiege::N,люлка,дүүҗң
391,Bett::N,легло,орн
392,Bett::N,легло,орндг
393,Bett::N,креват,орн
394,Bett::N,креват,орндг
395,Regal::N,рафт,таг
396,Regal::N,рафт,тәвц
397,Regal::N,етажерка,таг
398,Regal::N,етажерка,тәвц
399,Kiste::N,кутия,яршг
400,Kiste::N,сандък,яршг
401,Fenster::N,прозорец,терз
402,Tür::N,врата,үүдн
403,Tor::N,врата,үүдн
404,Tor::N,врата,өргн үүдн
405,Tor::N,врата,хашан үүдн
406,Zaun::N,ограда,хаша
407,Dach::N,покрив,деевр
408,Leiter::N,стълба,шат
409,Leiter::N,стълба,давшур
410,Besen::N,метла,сәвүр
411,Spaten::N,лопата,күрз
412,Schaufel::N,лопата,совг
413,Gabel::N,вилица,серә
414,Löffel::N,лъжица,ухр
415,Messer::N,нож,утх
416,Nagel::N,гвоздей,хадасн
417,Netz::N,мрежа,гөлм
418,Haken::N,кука,дегә
419,Haken::N,закачалка,дегә
420,Griff::N,ръчка,иш
421,Griff::N,ръчка,бәрүл
422,Griff::N,дръжка,иш
423,Griff::N,дръжка,бәрүл
424,Schloss::N,брава,оньс
425,Schloss::N,ключалка,оньс
426,Bild::N,картина,зург
427,Figur::N,фигура,фигур
428,Puppe::N,кукла,наадһа
429,Beutel::N,кесия,мишг
430,Bündel::N,връзка,багла
431,Bündel::N,връзка,боодһа
432,Tasche::N,чанта,сумк
433,Eimer::N,кофа,суулһ
434,Deckel::N,капак,бүркәсн
435,Deckel::N,похлупак,бүркәсн
436,Geschirr::N,съдове,сав
437,Geschirr::N,съдове,сав-сарх
438,Sack::N,чувал,мишг
439,Tasse::N,чаша,ааһ
440,Topf::N,гърне,кастрюль
441,Topf::N,тенджера,кастрюль
442,Kessel::N,котел,хәәсн
443,Essen::N,ядене,зоогллһн
444,Nahrung::N,храна,теҗәл
445,Speise::N,ястие,хот
446,Fleisch::N,месо,махн
447,Getreide::N,зърнено храни,хот болҗ эдлгддг цецгүдтә урһмл
448,Brei::N,каша,хаш
449,Brot::N,хляб,өдмг
450,Scheibe::N,резен,зүсм
451,Fett::N,мазнина,өөкн
452,Butter::N,масло,тосн
453,Öl::N,олио,тосн
454,Öl::N,оливия,тосн
455,Salz::N,сол,давсн
456,Suppe::N,супа,шөлн
457,Honig::N,мед,бал
458,Milch::N,мляко,үсн
459,Tee::N,чай,цә
460,Leder::N,кожа,арсн
461,Wolle::N,вълна,утцн
462,Wolle::N,вълна,эд
463,Stoff::N,плат,эд
464,Stoff::N,материал,эд
