,Concept_ID,os,es
0,Auge::N,цӕст,ojo
1,Ohr::N,хъус,oreja
2,Nase::N,фындз,nariz
3,Mund::N,дзых,boca
4,Zahn::N,дӕндаг,diente
5,Zunge::N,ӕвзаг,lengua
6,Lippe::N,был,labio
7,Wange::N,рус,mejilla
8,Wange::N,уадул,mejilla
9,Wange::N,ӕхсӕрфарс,mejilla
10,Gesicht::N,цӕсгом,cara
11,Stirn::N,ных,frente
12,Haar::N,хил,cabello
13,Schnurrbart::N,рихи,bigote
14,Bart::N,зачъе,barba
15,Kinn::N,роцъо,barbilla
16,Kiefer[Anatomie]::N,ӕфсӕр,mandíbula
17,Kehle::N,хъуыр,garganta
18,Hals::N,къубал,cuello
19,Genick::N,къӕбут,nuca
20,Genick::N,къӕбут,cerviz
21,Kopf::N,сӕр,cabeza
22,Rücken::N,фӕсонтӕ,espalda
23,Bauch::N,гуыбын,vientre
24,Nabel::N,бикъ,ombligo
25,Busen::N,дзидзи,pecho
26,Brust::N,риу,pecho
27,Schulter::N,уӕхск,hombro
28,Arm::N,цонг,brazo
29,Ellenbogen::N,рæмбын,codo
30,Hand::N,къух,mano
31,Handfläche::N,армытъӕпӕн,palma
32,Finger::N,ӕнруылдз,dedo
33,Fingernagel::N,ных,uña
34,Nagel[Anatomie]::N,ных,uña
35,Zeh::N,къух,dedo del pie
36,Fuß::N,фад,pie
37,Ferse::N,зӕвӕт,talón
38,Knie::N,уӕраг,rodilla
39,Oberschenkel::N,агъд,muslo
40,Bein::N,зӕнг,pierna
41,Körper::N,буар,cuerpo
42,Haut::N,царм,piel
43,Blut::N,туг,sangre
44,Ader::N,дадзин,vena
45,Ader::N,тугдадзин,vena
46,Sehne::N,хъиутæ,tendón
47,Sehne::N,нуар,tendón
48,Knochen::N,стӕг,hueso
49,Gehirn::N,магъз,cerebro
50,Gehirn::N,магъз,encéfalo
51,Herz::N,зӕрдӕ,corazón
52,Magen::N,ахсӕн,estómago
53,Leber::N,игæр,hígado
54,Atem::N,улӕфт,aliento
55,Hunger::N,стонг,hambre
56,Träne::N,цæссыг,lágrima
57,Geschmack::N,ад,gusto
58,Geruch::N,смаг,olor
59,Schlaf::N,хуыссӕг,sueño
60,Traum::N,фын,sueño
61,Traum::N,фын,ensueño
62,Himmel::N,арв,cielo
63,Himmel::N,уӕларв,cielo
64,Sonne::N,хур,sol
65,Mond::N,мӕй,luna
66,Stern::N,стъалы,estrella
67,Luft::N,уӕлдӕф,aire
68,Wind::N,дымгӕ,viento
69,Welle::N,уылӕн,ola
70,Welle::N,уылӕн,onda
71,Wasser::N,дон,agua
72,Stein::N,дур,piedra
73,Boden::N,зӕхх,suelo
74,Erde::N,сыджыт,tierra
75,Staub::N,рыг,polvo
76,Rauch::N,фӕздӕг,humo
77,Funke::N,цӕхӕр,chispa
78,Feuer::N,зынг,fuego
79,Licht::N,рухс,luz
80,Schatten::N,аууон,sombra
