,Concept_ID,kv,sv
0,Auge::N,син,öga
1,Ohr::N,пель,öra
2,Nase::N,ныр,näsa
3,Mund::N,ӧм,mun
4,Zahn::N,пинь,tand
5,Zunge::N,кыв,tunga
6,Lippe::N,тырп,läpp
7,Wange::N,рожабан,kind
8,Gesicht::N,бан,syn
9,Gesicht::N,бан,ansikte
10,Stirn::N,кымӧс,panna
11,Haar::N,юрси,hår
12,Schnurrbart::N,уссэз,mustasch
13,Bart::N,тош,skägg
14,Kinn::N,тшӧка,haka
15,Kiefer[Anatomie]::N,ан,käke
16,Kehle::N,юан,strupe
17,Hals::N,юан,hals
18,Genick::N,юр бӧр,nacke
19,Kopf::N,юр,huvud
20,Rücken::N,мышк,rygg
21,Bauch::N,кынӧм,buk
22,Bauch::N,кынӧм,mage
23,Nabel::N,гӧг,navel
24,Busen::N,морос,barm
25,Brust::N,морос,bröst
26,Schulter::N,пельпон,skuldra
27,Arm::N,ки,arm
28,Ellenbogen::N,гырдзза,armbåge
29,Hand::N,кикар,hand
30,Handfläche::N,ки пыдӧс,handflata
31,Finger::N,чунь,finger
32,Fingernagel::N,гыж,fingernagel
33,Nagel[Anatomie]::N,гыж,nagel
34,Zeh::N,чунь,tå
35,Fuß::N,кокпыдӧс,fot
36,Ferse::N,кокдзир,häl
37,Knie::N,пидзӧс,knä
38,Oberschenkel::N,лядьбей,lår
39,Bein::N,кок,ben
40,Körper::N,вывтыр,kropp
41,Haut::N,кучик,hud
42,Haut::N,кучик,skinn
43,Blut::N,вир,blod
44,Ader::N,сӧн,åder
45,Sehne::N,жила,sena
46,Knochen::N,коска,ben
47,Gehirn::N,вем,hjärna
48,Herz::N,сьӧлӧм,hjärta
49,Magen::N,жӧвдӧк,mage
50,Leber::N,мус,lever
51,Atem::N,лолалӧм,anda
52,Atem::N,лолалӧм,andedräkt
53,Hunger::N,тшыг,svält
54,Hunger::N,тшыг,hunger
55,Träne::N,синва,tår
56,Geschmack::N,кӧр,smak
57,Geruch::N,дук,lukt
58,Schlaf::N,он,sömn
59,Traum::N,вӧт,dröm
60,Himmel::N,небо,himmel
61,Sonne::N,шондi,sol
62,Mond::N,тӧлiсь,måne
63,Stern::N,кӧдзыв,stjärna
64,Luft::N,ру,luft
65,Wind::N,тӧв,vind
66,Welle::N,гы,våg
67,Welle::N,гы,bölja
68,Wasser::N,ва,vatten
69,Stein::N,из,sten
70,Boden::N,му,mark
71,Erde::N,му,jord
72,Staub::N,бус,damm
73,Rauch::N,тшын,rök
74,Funke::N,бичир,gnista
75,Feuer::N,би,eld
76,Licht::N,би,ljus
77,Schatten::N,вуджӧр,skugga
