,Concept_ID,fi,kv
0,Auge::N,silmä,син
1,Ohr::N,korva,пель
2,Nase::N,nenä,ныр
3,Mund::N,suu,ӧм
4,Zahn::N,hammas,пинь
5,Zunge::N,kieli,кыв
6,Lippe::N,huuli,тырп
7,Wange::N,poski,рожабан
8,Gesicht::N,naama,бан
9,Gesicht::N,kasvot,бан
10,Stirn::N,otsa,кымӧс
11,Haar::N,hius,юрси
12,Haar::N,tukka,юрси
13,Schnurrbart::N,viikset,уссэз
14,Bart::N,parta,тош
15,Kinn::N,leuka,тшӧка
16,Kiefer[Anatomie]::N,leukaluu,ан
17,Kehle::N,kurkku,юан
18,Hals::N,kaula,юан
19,Genick::N,niska,юр бӧр
20,Kopf::N,pää,юр
21,Rücken::N,selkä,мышк
22,Bauch::N,maha,кынӧм
23,Bauch::N,vatsa,кынӧм
24,Nabel::N,napa,гӧг
25,Busen::N,rinta,морос
26,Brust::N,rinta,морос
27,Schulter::N,olka,пельпон
28,Schulter::N,hartia,пельпон
29,Schulter::N,olkapää,пельпон
30,Arm::N,käsivarsi,ки
31,Ellenbogen::N,kyynärpää,гырдзза
32,Hand::N,käsi,кикар
33,Handfläche::N,kämmen,ки пыдӧс
34,Finger::N,sormi,чунь
35,Fingernagel::N,kynsi,гыж
36,Nagel[Anatomie]::N,kynsi,гыж
37,Zeh::N,varvas,чунь
38,Fuß::N,jalka,кокпыдӧс
39,Ferse::N,kantapää,кокдзир
40,Knie::N,polvi,пидзӧс
41,Oberschenkel::N,reisi,лядьбей
42,Bein::N,jalka,кок
43,Körper::N,keho,вывтыр
44,Körper::N,ruumis,вывтыр
45,Haut::N,iho,кучик
46,Blut::N,veri,вир
47,Ader::N,suoni,сӧн
48,Sehne::N,jänne,жила
49,Knochen::N,luu,коска
50,Gehirn::N,aivot,вем
51,Herz::N,sydän,сьӧлӧм
52,Magen::N,maha,жӧвдӧк
53,Magen::N,vatsa,жӧвдӧк
54,Leber::N,maksa,мус
55,Atem::N,henki,лолалӧм
56,Atem::N,hengitys,лолалӧм
57,Hunger::N,nälkä,тшыг
58,Träne::N,kyynel,синва
59,Geschmack::N,maku,кӧр
60,Geruch::N,haju,дук
61,Schlaf::N,uni,он
62,Traum::N,uni,вӧт
63,Himmel::N,taivas,небо
64,Sonne::N,aurinko,шондi
65,Mond::N,kuu,тӧлiсь
66,Stern::N,tähti,кӧдзыв
67,Luft::N,ilma,ру
68,Wind::N,tuuli,тӧв
69,Welle::N,aalto,гы
