,Concept_ID,myv,sl
0,Auge::N,сельме,okó
1,Ohr::N,пиле,uhó
2,Nase::N,судо,nós
3,Mund::N,курго,ústa
4,Zahn::N,пей,zób
5,Zunge::N,кель,jêzik
6,Lippe::N,турва,ústnica
7,Wange::N,чамабока,líce
8,Wange::N,чамаумарь,líce
9,Gesicht::N,чама,oblíčje
10,Stirn::N,коня,čêlo
11,Haar::N,черь,lás
12,Schnurrbart::N,ус,bŕki
13,Schnurrbart::N,муюк,bŕki
14,Bart::N,сакал,bráda
15,Kinn::N,уло,bráda
16,Kiefer[Anatomie]::N,пейпакар,čeljúst
17,Kiefer[Anatomie]::N,пейловажа,čeljúst
18,Kehle::N,кирьгапарь,gŕlo
19,Hals::N,кирьга,vrát
20,Genick::N,човонь,zatílnik
21,Kopf::N,пря,gláva
22,Rücken::N,копорь,hrbèt
23,Bauch::N,пеке,trébuh
24,Nabel::N,почо,pópek
25,Busen::N,поте,nédrja
26,Brust::N,меште,pŕsi
27,Schulter::N,лавтов,ráma
28,Schulter::N,лавтов,plêče
29,Arm::N,кедь,rôka
30,Ellenbogen::N,кенерепакарь,komólec
31,Hand::N,кедь,rôka
32,Handfläche::N,кедькуншка,dlán
33,Handfläche::N,кедьлапушка,dlán
34,Finger::N,сур,pŕst
35,Fingernagel::N,кенже,nóht na rôki
36,Nagel[Anatomie]::N,кенже,nóht
37,Zeh::N,пильге сур,pŕst na nôgi
38,Fuß::N,пильге,nôga
39,Ferse::N,кочкаря,pêta
40,Knie::N,эле,koléno
41,Knie::N,эзне,koléno
42,Knie::N,кумажа,koléno
43,Oberschenkel::N,качо,stêgno
44,Bein::N,пильге,nôga
45,Körper::N,рунго,teló
46,Haut::N,киське,kóža
47,Blut::N,верь,krí
48,Ader::N,сан,žíla
49,Sehne::N,коське сан,kíta
50,Knochen::N,пакарь,kóst
51,Gehirn::N,удем,možgáni
52,Herz::N,седей,srcé
53,Magen::N,пеке,želódec
54,Leber::N,максо,jétra
55,Atem::N,лексема,díh
56,Atem::N,оймень таргсема,díh
57,Hunger::N,вачочи,glád
58,Träne::N,селведь,sólza
59,Geschmack::N,тансть,okús
60,Geruch::N,чине,vónj
61,Schlaf::N,удома,sèn
62,Schlaf::N,удома,spánec
63,Traum::N,он,sánje
64,Himmel::N,менель,nebó
65,Sonne::N,чи,sónce
66,Mond::N,ков,lúna
67,Mond::N,ков,mésec
68,Stern::N,теште,zvézda
69,Luft::N,кошт,zràk
70,Wind::N,варма,véter
71,Welle::N,толкун,vál
72,Wasser::N,ведь,vôda
73,Stein::N,кев,kámen
74,Boden::N,мода,tlà
75,Erde::N,мастор,pŕst
76,Erde::N,мастор,zêmlja
77,Staub::N,пуль,práh
78,Rauch::N,качамо,dìm
79,Funke::N,сятко,ískra
80,Feuer::N,тол,ôgenj
81,Licht::N,валдо,lúč
82,Schatten::N,сулей,sénca
83,Schatten::N,сулейкс,sénca
84,Wetter::N,ушо,vrême
85,Nebel::N,сув,meglà
86,Wolke::N,пель,oblák
87,Regen::N,пиземс,dèž
88,Schnee::N,лов,snég
89,Eis::N,эй,léd
90,Frost::N,кельме,zmrzál
91,Kälte::N,якшамо,mràz
