,Concept_ID,kl,lez
0,Auge::N,isi,вил
1,Ohr::N,siut,яб
2,Mund::N,paaq,сив
3,Mund::N,qaneq,сив
4,Zahn::N,kigut,сас
5,Zahn::N,kigut,свах
6,Zunge::N,oqaq,мез
7,Lippe::N,qarloq,пӏуз
8,Wange::N,ersaq,хъвехъ
9,Gesicht::N,kiinaq,ччин
10,Stirn::N,qaaq,пел
11,Haar::N,meqqoq,чӏар
12,Bart::N,umik,ччуру
13,Kinn::N,talloq,чене
14,Kiefer[Anatomie]::N,alleroq,чене
15,Kehle::N,malaq,туьд
16,Hals::N,qungaseq,гардан
17,Genick::N,pukusuk,кьам
18,Kopf::N,niaqoq,кьил
19,Rücken::N,qimerlut,далу
20,Bauch::N,naaq,руфун
21,Nabel::N,qalaseq,пицӏ
22,Busen::N,iviangeq,мам
23,Brust::N,iviangeq,хур
24,Schulter::N,ersik,къуьн
25,Schulter::N,assaqqoq,къуьн
26,Arm::N,taleq,гъил
27,Ellenbogen::N,ikusik,кьуьнт
28,Hand::N,assak,капаш
29,Handfläche::N,itumak,капан юкь
30,Finger::N,inuak,тӏуб
31,Fingernagel::N,kikiak,кек
32,Nagel[Anatomie]::N,kukik,кек
33,Zeh::N,isigak,кул
34,Ferse::N,kimmik,дабан
35,Knie::N,seeqqoq,мет
36,Oberschenkel::N,uppat,
37,Oberschenkel::N,quttoraq,
38,Bein::N,isigak,кӏвач
39,Körper::N,timi,беден
40,Haut::N,mattak,хам
41,Blut::N,aak,иви
42,Ader::N,taqaq,дамар
43,Sehne::N,ujalu,кьуру дамар
44,Sehne::N,ujaloq,кьуру дамар
45,Knochen::N,saanikut,кӏараб
46,Gehirn::N,qarasaq,мефт
47,Herz::N,uummat,рикӏ
48,Magen::N,aqajaroq,хук
49,Leber::N,tinguk,лекь
50,Atem::N,anerneq,ял
51,Atem::N,anerneq,нефес
52,Hunger::N,kaanneq,каш
53,Träne::N,qia,вилин нагъв
54,Träne::N,qiak,вилин нагъв
55,Geschmack::N,qilanaartuut,дад
56,Geschmack::N,qilanaartuut,тӏям
57,Geruch::N,tipi,ни
58,Geruch::N,tipik,ни
59,Traum::N,sinnattoq,ахвар
60,Traum::N,sinnattugaq,ахвар
61,Himmel::N,qilak,цав
62,Sonne::N,seqineq,рагъ
63,Mond::N,qaammat,варз
64,Stern::N,ulloriaq,гъед
65,Luft::N,silaannaq,гьава
66,Wind::N,anori,гар
67,Wind::N,anorsarik,гар
68,Welle::N,aalappaa,лепе
69,Wasser::N,imeq,яд
70,Stein::N,ujarak,къван
71,Boden::N,nateq,накьв
72,Erde::N,issoq,ччил
73,Staub::N,pujualanerit,руг
74,Staub::N,pujoralanerit,руг
75,Rauch::N,iseq,гум
76,Rauch::N,pujoq,гум
77,Funke::N,illoorneq,цӏелхем
78,Feuer::N,inneq,цӏай
79,Licht::N,qaamaneq,экв
80,Schatten::N,tarraq,серин
81,Wetter::N,sila,гьава
82,Nebel::N,pujoq,ччилин циф
83,Wolke::N,nuia,циф
84,Regen::N,sialuk,марф
85,Schnee::N,aput,жив
86,Eis::N,siku,мурк
87,Frost::N,issi,аяз
88,Frost::N,issik,аяз
89,Kälte::N,issi,мекь
90,Kälte::N,issi,мекьивал
91,Hitze::N,kianneq,зегьем
92,Hitze::N,kiassuseq,зегьем
93,Raureif::N,kaneq,къирав
94,Regenbogen::N,neriusaaq,яргъируш
95,Donner::N,kalleq,цавун ван
96,Tropfen::N,kuseriarneq,стӏал
97,Schaum::N,qapuk,каф
98,Schmutz::N,minguk,чирк
99,Schmutz::N,minguk,кьуруш
100,See::N,taseq,вир
101,Sumpf::N,maqulluk,уьлен
102,Wiese::N,masarsuk,векь
103,Hügel::N,qattuneq,кӏунтӏ
104,Hügel::N,majuariaq,кӏунтӏ
105,Hügel::N,majorajaaq,кӏунтӏ
106,Hügel::N,qaqqannguaq,кӏунтӏ
107,Berg::N,qaqqaq,дагъ
108,Höhle::N,qaarusuk,кьветӏ
109,Abhang::N,ippik,гуьне
110,Abhang::N,sivinganeq,гуьне
111,Abhang::N,sivingajaaq,гуьне
112,Abhang::N,kussangajaaq,гуьне
113,Bach::N,kuunnguaq,булах
114,Fluss::N,kuuk,вацӏ
115,Ufer::N,sissap sinaa,къерех
116,Küste::N,sineriak,къерех
117,Meer::N,imaq,гьуьл
118,Bucht::N,ikeq,бухта
119,Bucht::N,kangerluk,бухта
120,Bucht::N,kangerliumaneq,бухта
121,Insel::N,qeqertaq,остров
122,Blume::N,naasoq,цуьк
123,Gras::N,ivigaq,хъач
124,Wurzel::N,niulutaq,дувул
125,Baum::N,orpik,ттар
126,Stamm::N,kanaartaq,тан
127,Rinde::N,ameraq,чкал
128,Ast::N,avalequt,тӏур
129,Zweig::N,avalequt,хел
130,Blatt::N,pilutaq,пеш
131,Birke::N,patitsit,верх
132,Weide[Baum]::N,palleq,цӏвелин ттар
133,Tanne::N,orsuerneq,ель
134,Horn::N,nassuk,карч
135,Feder::N,suluk,цӏакул
136,Fell::N,ameq,хам
137,Flügel::N,suluk,лув
138,Flügel::N,isaroq,лув
139,Klaue::N,kukik,къармах
140,Kralle::N,kukik,пац
141,Kralle::N,kukik,тапас
142,Schwanz::N,pamioq,ттум
143,Schwanz::N,paperuusaq,ттум
144,Ei::N,mannik,кака
145,Nest::N,ullut,муг
146,Bau::N,ini,тӏеквен
147,Tier::N,uumasoq,гьайван
148,Herde::N,unguukkat,суьруь
149,Kuh::N,ussik,ккал
150,Bulle::N,angukulak,яц
151,Bulle::N,angukulak,бугъа
152,Bulle::N,anguteralak,яц
153,Bulle::N,anguteralak,бугъа
154,Bulle::N,angutikulooq,яц
155,Bulle::N,angutikulooq,бугъа
156,Schaf::N,sava,хеб
157,Schwein::N,puuluki,вак
158,Hund::N,qimmeq,кицӏ
159,Katze::N,puisaaq,кац
160,Bär::N,allaq,сев
161,Eichhörnchen::N,sissinnguaq,белка
162,Fuchs::N,terianniaq,сикӏ
163,Hase::N,ukaleq,къуьр
164,Maus::N,teriannguaq,кьиф
165,Wolf::N,amaroq,жанавур
166,Vogel::N,timmiaq,луван ничхир
167,Huhn::N,kukkukooq,верч
168,Huhn::N,marloraaqaaq,верч
169,Hahn::N,kiasiusaq,кӏек
170,Gans::N,nerleq,къаз
171,Adler::N,nattoralik,лекь
172,Eule::N,uppik,тӏиб
173,Kranich::N,qorlorfik,дурна
174,Krähe::N,tuluatsiaq,къаргъа
175,Kuckuck::N,kukkooq,кукупӏ
176,Schwan::N,qussuk,къугь
177,Fisch::N,aalisagaq,гъед
178,Schlange[Tier]::N,pulateriarsuk,илан
179,Schlange[Tier]::N,pulateriarsuk,гъуьлягъ
180,Schlange[Tier]::N,pulateriaarsuk,илан
181,Schlange[Tier]::N,pulateriaarsuk,гъуьлягъ
182,Spinne::N,aasiaq,хуьшрекан
183,Spinne::N,nissavaarsuk,хуьшрекан
184,Ameise::N,uniaaluk,цегв
185,Laus::N,kumak,нет
186,Mücke::N,ippernaq,ветӏ
187,Fliege::N,ippernaq,тӏветӏ
188,Schmetterling::N,paluaq,чепелукь
189,Schmetterling::N,pakkaluaq,чепелукь
190,Schmetterling::N,utsuppaluaq,чепелукь
191,Schmetterling::N,taqaleqisaaq,чепелукь
192,Beere::N,paarmaq,куьлуь емиш
193,Beere::N,paarngaq,куьлуь емиш
194,Apfel::N,iipili,ич
195,Pilz::N,anngiusaq,къарникъуз
196,Zwiebel::N,uanitsoq,чичӏек
197,Saat::N,naatsiiassaq,тумар
198,Korn::N,maannineq,твар
199,Schale::N,niutsivik,пириш
200,Schale::N,niutsivik,хъуьруьш
201,Schale::N,ilulissaq qaartussaq,пириш
202,Schale::N,ilulissaq qaartussaq,хъуьруьш
203,Grube::N,itersaq,фур
204,Falle::N,pualavoq,ракьар
205,Schlinge::N,orseq,гьалкъа
206,Schlinge::N,norloq,гьалкъа
207,Spur::N,tumaa,гел
208,Asche::N,arsat,руьхъ
209,Dreck::N,minguk,чирк
210,Dreck::N,minguk,кьуруш
211,Eisen::N,savimineq,ракь
212,Eisen::N,saffiugassaq,ракь
213,Gold::N,kuulti,алтун
214,Silber::N,siilviuvoq,гимиш
215,Kohle::N,aamarsuit aamaruutissat,цӏивин
216,Glas::N,igalaaq,шуьше
217,Glas::N,imertarfik,шуьше
218,Glas::N,igalaamineq,шуьше
219,Lehm::N,marraq,ччеб
220,Sand::N,sioqqat,къум
221,Mensch::N,inuk,инсан
222,Mensch::N,silamiu,инсан
223,Mann::N,angut,итим
224,Frau::N,arnaq,паб
225,Frau::N,arnaq,дишегьли
226,Kind::N,meeraq,аял
227,Junge::N,nukappiaraq,гада
228,Mädchen::N,arnannguaq,руш
229,Familie::N,ilaqutakka,хзан
230,Familie::N,ilaqutakka,килфет
231,Familie::N,ilaqutariit,хзан
232,Familie::N,ilaqutariit,килфет
233,Großvater::N,aatak,чӏехи буба
234,Großmutter::N,aanaq,чӏехи диде
235,Eltern::N,angajoqqaat,диде-буба
236,Vater::N,ataata,буба
237,Vater::N,ataataq,буба
238,Mutter::N,anaana,диде
239,Sohn::N,erneq,хва
240,Tochter::N,panik,руш
241,Bruder::N,ani,стха
242,Bruder::N,aqqaluk,стха
243,Bruder::N,qatanngut,стха
244,Schwester::N,naja,вах
245,Schwester::N,aleqa,вах
246,Schwester::N,qatanngut,вах
247,Onkel::N,akkak,ими
248,Onkel::N,akkak,халу
249,Tante::N,aja,эме
250,Tante::N,aja,хала
251,Tante::N,ajak,эме
252,Tante::N,ajak,хала
253,Tante::N,atsak,эме
254,Tante::N,atsak,хала
255,Ehemann::N,ui,гъуьл
256,Ehefrau::N,nuliaq,паб
257,Freude::N,tipaatsussuseq,шадвал
258,Gelächter::N,illaq,хъвер
259,Glück::N,usornaat,бахт
260,Glück::N,usornarsuseq,бахт
261,Wunsch::N,kissaat,мурад
262,Lust::N,illigussuseq,гьевес
263,Lust::N,piummaseq,гьевес
264,Geist::N,anerneq,руьгь
265,Geist::N,toornaq,руьгь
266,Gedanke::N,isumassaq,фикир
267,Gedächtnis::N,eqqaamannissuseq,
268,Verstand::N,isuma,акьул
269,Verstand::N,sianissut,акьул
270,Verstand::N,misigissut,акьул
271,Verstand::N,sianissuseq,акьул
272,Verstand::N,silaqassuseq,акьул
273,Sinn::N,isuma,мана
274,Grund::N,patsit,себеб
275,Wahrheit::N,sallusuissut,керчек
276,Wahrheit::N,sallusuissut,гьакъикъат
277,Märchen::N,oqalualaarut,мах
278,Märchen::N,oqaluasaaq,мах
279,Erzählung::N,oqaluttuaq,кьиса
280,Nachricht::N,oqaassut,хабар
281,Nachricht::N,oqqersuut,хабар
282,Neuigkeit::N,tusarnartaq,цӏийи хабар
283,Name::N,ateq,тӏвар
284,Rätsel::N,nalorsitsaarut,мискӏал
285,Rede::N,oqaluuseq,рахун
286,Sprache::N,oqaatsit,чӏал
287,Stimme::N,erinaq,ван
288,Stimme::N,qarluuseq,ван
289,Wort::N,oqaasii,гаф
290,Zeichen::N,nalunaaqqut,ишара
291,Ruf::N,qaaqqussut,эвер
292,Lärm::N,perpaluk,ван-сес
293,Laut::N,torsukattak,ван
294,Laut::N,torsukattak,сес
295,Ton::N,erinaq,ван-сес
296,Lied::N,taalliaq,мани
297,Lied::N,erinarsuut,мани
298,Ruhe::N,qatsunganeq,ласвал
299,Ruhe::N,qatsunganeq,фаракъат
300,Ruhe::N,qatsunganeq,асайиш
301,Leute::N,inuiak,инсанар
302,Leute::N,inuiaqatigiit,инсанар
303,Volk::N,inuiaat,халкь
304,Arbeit::N,suliaq,кӏвалах
305,Gast::N,qaaqqusaq,мугьман
306,Geschenk::N,pajugut,савкьат
307,Hilfe::N,annertoqqut,куьмек
308,Freund::N,tiliaq,дуст
309,Freund::N,ikinngut,дуст
310,Kamerad::N,tiliaq,яр-дуст
311,Kamerad::N,ikinngut,яр-дуст
312,Art::N,ileqquuseq,жуьре
313,Stück::N,nakkaalaniku,кӏус
314,Teil::N,tassiaasat,пай
315,Hälfte::N,affaq,зур
316,Hälfte::N,affaq,зур пай
317,Kreis::N,kaajaluinneq or kaajaluitsoq,круг
318,Kreis::N,kaajaluinneq or kaajaluitsoq,чкаяр
319,Kreis::N,kaajaluinneq or kaajaluitsoq,элкъвей цӏар
320,Kreuz::N,sanningasulik,хаш
321,Linie::N,tittaq,цӏар
322,Linie::N,titarneq,цӏар
323,Abstand::N,aku,ара
324,Abstand::N,ikiaq,ара
325,Entfernung::N,asi,мензил
326,Gegend::N,nuna,чка
327,Platz::N,ini,ара
328,Platz::N,inissaq,ара
329,Ort::N,sumiiffik,чка
330,Seite::N,saneraq,пад
331,Mitte::N,qiteq,юкь
332,Sache::N,pigisaq,шей
333,Sache::N,pigisaq,затӏ
334,Rand::N,sini,къерех
335,Rand::N,akerfineq,къерех
336,Kante::N,akerfineq,син
337,Ecke::N,teqeqqoq,пӏипӏ
338,Ecke::N,tikeqqoq,пӏипӏ
339,Spitze::N,inngik,кӏвенкӏв
340,Ende::N,isu,кьил
341,Loch::N,putu,тӏеквен
342,Winkel::N,teqeqqorissaat,пӏипӏ
343,Muster::N,ilisserut,гишир
344,Größe::N,angissuseq,кьадар
345,Länge::N,takissuseq,яргъивал
346,Gewicht::N,oqimaalutaq,заланвал
347,Menge::N,amerlassuseq,кьадар
348,Haufen::N,eqimattat,хара
349,Reihe::N,allunaasaq,жерге
350,Boot::N,qajaq,луьткве
351,Boot::N,angallat,луьткве
352,Boot::N,umiatsiaq,луьткве
353,Ruder::N,iput,кьусу
354,Schlitten::N,qamutit,гъелерар
355,Schlitten::N,qimusseq,гъелерар
356,Ski::N,ataarut,
357,Last::N,nammagaq,заланвал
358,Schritt::N,allorneq,къадам
359,Norden::N,avannaq,кефер
360,Norden::N,avannaq,кефер пад
361,Süden::N,qava,кьибле
362,Süden::N,kujat,кьибле
363,Süden::N,kujataa,кьибле
364,Westen::N,kitaa,рагъакӏидай пад
365,Osten::N,kangi,рагъэкъечӏдай пад
366,Holz::N,qisuk,кӏарас
367,Brett::N,salliligaq,кьул
368,Brett::N,salliligaq,тахта
369,Platte::N,qaateq,
370,Stütze::N,ajagutaq,даях
371,Stütze::N,ajaagutaq,даях
372,Stange::N,kaaviffik,юрк
373,Stock::N,ajaappissat,лаш
374,Stab::N,ajaappissat,юрк
375,Rohr::N,sullulik,турба
376,Haus::N,illu,ужагъ
377,Ofen::N,kissarsuut,пич
378,Fußboden::N,nateq,кӏвалин ччил
379,Tisch::N,allattarfik,стол
380,Stuhl::N,issiavik,стул
381,Stuhl::N,issiaffik,стул
382,Wiege::N,uaasoq,кьеб
383,Bett::N,nallavik,тахт
384,Regal::N,ilisivik,кьацӏ
385,Kiste::N,sakissat,ящик
386,Kiste::N,illerfiusaq,ящик
387,Fenster::N,aki,дакӏар
388,Fenster::N,igalaaq,дакӏар
389,Tür::N,matu,рак
390,Tor::N,isaaffik,варар
391,Zaun::N,saputit,пару
392,Dach::N,qaliaq,къав
393,Leiter::N,tummeqqat,гурар
394,Leiter::N,majuartarfiit,гурар
395,Besen::N,saligutit,таран кул
396,Spaten::N,nivaataq,ппер
397,Schaufel::N,nivaataq,хекендаз
398,Gabel::N,qilluaq,шиш
399,Gabel::N,ajassaatit,шиш
400,Löffel::N,alussaat,тӏур
401,Messer::N,savik,чукӏул
402,Nagel::N,kukik,мих
403,Netz::N,anguffaseq,чил
404,Haken::N,nissik,къармах
405,Haken::N,qarsorsaq,къармах
406,Haken::N,qarsorsartoq,къармах
407,Griff::N,ipi,ттум
408,Schloss::N,illussaarsuaq,куьлег
409,Bild::N,assiliaq,шикил
410,Bild::N,assiliaq,суьрет
411,Figur::N,kisitsit,фигура
412,Puppe::N,inuusaq,нини
413,Bündel::N,qilertaq,галгам
414,Tasche::N,pooqattaq,чанта
415,Deckel::N,matu,кьил
416,Deckel::N,matu,къалпагъ
417,Geschirr::N,anut,къаб-къажах
418,Tasse::N,tiitorfik,сукӏра
419,Tasse::N,tiitorfiup ilorlia,сукӏра
420,Topf::N,qoqqoq,къажгъан
421,Kessel::N,uunnaavik,къажгъан
422,Essen::N,igaaq,тӏуьн
423,Nahrung::N,neqissaq,тӏуьн
424,Speise::N,nerisassat,хуьрек
425,Fleisch::N,neqi,як
426,Getreide::N,maannineq,техил
427,Brot::N,iffit,фу
428,Brot::N,iffiaq,фу
429,Scheibe::N,igalaassiaq,чӏук
430,Fett::N,tarnutissaq,ягълу
431,Fett::N,tarnutissiaq,ягълу
432,Butter::N,punneq,гъери
433,Öl::N,uulia,ягълу
434,Salz::N,taratsut,кьел
435,Suppe::N,qajoq,суп
436,Suppe::N,qajoq,шурпа
437,Honig::N,tungusunnitsuut,вирт
438,Milch::N,immuk,нек
439,Tee::N,tii,чай
440,Tee::N,teeq,чай
441,Wolle::N,nuersagassiaq,йис
442,Stoff::N,milliaq,парча
443,Stoff::N,qarlissiaq,парча
444,Nadel::N,meqqut,раб
445,Faden::N,ujalussiaq,гъал
446,Knopf::N,attat,дуьгме
447,Knoten::N,akeroq,тӏвал
448,Knoten::N,qilerneq,тӏвал
449,Farbe::N,qalipaat,ранг
450,Kleidung::N,atisat,партал
451,Kleidung::N,annoraaq,партал
452,Hemd::N,ilupaaq,перем
453,Kragen::N,qungasiinnaq,хев
454,Ärmel::N,aaq,хел
455,Hose::N,qarliit,шалвар
456,Gürtel::N,qiterut,чӏул
457,Gürtel::N,unngersaq,чӏул
458,Mütze::N,nasaq,бармак
459,Mütze::N,nasaq,бапӏах
460,Schuh::N,skuu,ботинка
461,Schuh::N,ikernuk,ботинка
462,Schuh::N,ateraasaq,ботинка
463,Stiefel::N,kamik,чекме
464,Ring::N,assammiu,тупӏал
465,Band::N,qilerutissiaq,тасма
466,Kamm::N,illaagutit,регъ
467,Kamm::N,illaajaatit pl.,регъ
468,Spiegel::N,tarrarsuut,гуьзгуь
469,Riemen::N,allunaaq,къайиш
470,Schnur::N,kujaaq,еб
471,Schnur::N,allunaasaq,еб
472,Leine::N,aleq,
473,Decke::N,qipik,яргъан
474,Kissen::N,akit,хъуьцуьган
475,Tuch::N,qarlissiaq,шал
476,Handtuch::N,allarut,дасмал
477,Handtuch::N,allarterut,дасмал
478,Kraft::N,pissak,гуж
479,Stärke::N,qerattarsaat,къуват
480,Gesundheit::N,peqqisusseq,сагъвал
481,Krankheit::N,nappaat,тӏал
482,Schmerz::N,anniaat,тӏал
483,Schmerz::N,anniaat,тӏарвал
484,Wunde::N,iki,хер
485,Fieber::N,nappaat qanimanartoq,ифин
486,Arznei::N,imigassaq,дарман
487,Brücke::N,ikaartarfik,муьгъ
488,Brunnen::N,tissaluttuliaq,къуй
489,Weide::N,masarsuk,уьруьш
490,Pfad::N,aqqut,рехъ
491,Weg::N,aggerfik,рехъ
492,Straße::N,aqqusineq,рехъ
493,Dorf::N,nunaqarfik,хуьр
494,Stadt::N,illorpaat,шегьер
495,Stadt::N,illorpalik,шегьер
496,Brief::N,allagarsiaq,кагъаз
497,Buch::N,atuakkat,улуб
498,Buch::N,mappersagaq,улуб
499,Buchstabe::N,naqinneq,гьарф
500,Zeitung::N,aviisi,газета
501,Leben::N,inuussuseq,уьмуьр
502,Tod::N,toqu,кьиникь
503,Tod::N,toquneq,кьиникь
504,Grab::N,iliveq,сур
505,Grab::N,illissat,сур
506,Kirche::N,oqaluffik,килиса
507,Sünde::N,ajorti,гунагь
508,Arbeiter::N,sulisoq,фяле
509,Chef::N,ittoqut,гьаким
510,Meister::N,naalagaq,устӏар
511,Arzt::N,katsorsaasoq,доктор
512,Lehrer::N,ilinniartitsisoq,муаллим
513,Geld::N,aningaasat,пул
514,Geschäft::N,niuertarfik,
515,Laden::N,niuertarfik,магазин
516,Preis::N,aki,къимет
517,Ware::N,qaliata pii,мал
518,Ware::N,qaliata pii,товар
519,Ware::N,nioqqutissaq,мал
520,Ware::N,nioqqutissaq,товар
521,Nutzen::N,iluaqut,хийир
522,Nutzen::N,iluaqut,менфят
523,Welt::N,nunarsuaq,дуьнья
524,Land::N,nuna,уьлкве
525,König::N,kunngi,пачагь
526,Macht::N,pissaassuseq,власть
527,Grenze::N,killik,сергьят
528,Krieg::N,sorsunneq,дяве
529,Feind::N,akeraq,душман
530,Feind::N,akerartorti,душман
531,Feind::N,qinngarsuisoq,душман
532,Kampf::N,sorsunneq,женг
533,Pfeil::N,qalugiusaq,хьел
534,Gewehr::N,aallaat,тфенг
535,Fehler::N,kukkuneq,гъалатӏ
536,Fehler::N,paarlaappaa,гъалатӏ
537,Unglück::N,perluut,бала
538,Unglück::N,perluut,бедбахтвал
539,Schuld::N,akiitsugaq,тахсир
540,Schuld::N,akiligassaq,тахсир
541,Alter::N,utoqqaq,яш
542,Schluss::N,isu,эхир
543,Zeit::N,ulloq,вяде
544,Zeit::N,akuttoqatigiinneq,вяде
545,Tag::N,ulloq,югъ
546,Morgen::N,ullaaq,пакама
547,Mittag::N,ulloqeqqa,нисин
548,Abend::N,unnuk,няни
549,Nacht::N,unnuaq,йиф
550,Woche::N,sapaatip akunnera,гьафте
551,Monat::N,qaammat,варз
552,Jahr::N,ukioq,йис
