,Concept_ID,ca,la
0,Auge::N,ull,oculus
1,Ohr::N,orella,auris
2,Nase::N,nas,nasus
3,Mund::N,boca,os
4,Zahn::N,dent,dens
5,Zunge::N,llēngua,lingua
6,Lippe::N,llavi,labrum
7,Wange::N,galta,gena
8,Gesicht::N,cara,vultus
9,Stirn::N,front,frons
10,Haar::N,cabēll,capillus
11,Schnurrbart::N,bigoti,barba labri superioris
12,Bart::N,barba,barba
13,Kinn::N,mentó,mentum
14,Kinn::N,barbeta,mentum
15,Kiefer[Anatomie]::N,queix,mala
16,Kiefer[Anatomie]::N,mandíbula,mala
17,Kehle::N,gola,iugulums
18,Kehle::N,gorja,iugulums
19,Hals::N,coll,collum
20,Genick::N,nuca,cervices
21,Kopf::N,cap,caput
22,Rücken::N,esquena,tergum
23,Bauch::N,panxa,venter
24,Nabel::N,llombrígol,umbilicus
25,Busen::N,pit,sinus
26,Busen::N,mama,sinus
27,Brust::N,pit,pectus
28,Schulter::N,espatlla,umerus
29,Arm::N,braç,bracchium
30,Ellenbogen::N,colze,cubitum
31,Hand::N,mà,manus
32,Handfläche::N,palma,palma
33,Finger::N,dit,digitus
34,Fingernagel::N,ungla,unguiculus
35,Nagel[Anatomie]::N,ungla,unguis
36,Zeh::N,dit del peu,digitus
37,Fuß::N,peu,pes
38,Ferse::N,taló,calx
39,Knie::N,genoll,genu
40,Oberschenkel::N,cuixa,femur
41,Bein::N,cama,crus
42,Körper::N,cos,corpus
43,Haut::N,pell,cutis
44,Haut::N,pell,pellis
45,Blut::N,sang,sanguis
46,Ader::N,vena,vena
47,Sehne::N,tendó,nervus
48,Knochen::N,os,os
49,Gehirn::N,cervell,cerebrum
50,Herz::N,cor,cor
51,Herz::N,cor,animus
52,Magen::N,estómac,stomachus
53,Leber::N,fetge,iecur
54,Atem::N,alè,spiritus
55,Atem::N,hàlit,spiritus
56,Hunger::N,fam,fames
57,Hunger::N,gana,fames
58,Träne::N,llàgrima,lacrima
59,Geschmack::N,gust,sapor
60,Geschmack::N,gust,gustus
61,Geschmack::N,sabor,sapor
62,Geschmack::N,sabor,gustus
63,Geruch::N,olor,odor
64,Schlaf::N,son,somnus
65,Traum::N,somni,somnium
66,Himmel::N,celm,caelum
67,Sonne::N,sol,sol
68,Mond::N,lluna,luna
69,Stern::N,estel,sidus
70,Stern::N,estel,stella
71,Stern::N,estrella,sidus
72,Stern::N,estrella,stella
73,Luft::N,aire,aer
74,Wind::N,vent,ventus
75,Welle::N,ona,unda
76,Wasser::N,āigua,aqua
77,Stein::N,pedra,lapis
78,Boden::N,sòl,solum
79,Erde::N,terra,terra
80,Staub::N,pols,pulvis
81,Rauch::N,fum,fumus
82,Funke::N,guspira,scintilla
83,Funke::N,centella,scintilla
84,Feuer::N,foc,ignis
85,Licht::N,llum,lux
86,Licht::N,llum,lumen
87,Schatten::N,ombra,umbra
88,Wetter::N,temps,caelum
89,Wetter::N,temps,tempestas
90,Nebel::N,boira,nebula
91,Wolke::N,núvol,nubes
92,Regen::N,pluja,imber
93,Regen::N,pluja,pluvia
94,Schnee::N,neu,nix
95,Eis::N,gel,glacies
96,Eis::N,glaç,glacies
97,Frost::N,glaçada,gelu
98,Kälte::N,fred,frigus
99,Hitze::N,calor,calor
100,Hitze::N,calor,aestus
101,Raureif::N,gebre,pruina
102,Regenbogen::N,arc iris,arcus
103,Donner::N,tro,tonitrus
104,Strömung::N,corrent,fluctus
105,Tropfen::N,gota,gutta
106,Schaum::N,escuma,spuma
107,Schmutz::N,brutícia,sordes
108,Schmutz::N,brutícia,squalor
109,See::N,llac,lacus
