,Concept_ID,tr,sk
0,Auge::N,göz,oko
1,Ohr::N,kulak,ucho
2,Nase::N,burun,nos
3,Mund::N,ağız,ústa
4,Zahn::N,diş,zub
5,Zunge::N,dil,jazyk
6,Lippe::N,dudak,pera
7,Wange::N,yanak,líce
8,Gesicht::N,yüz,tvár
9,Gesicht::N,yüz,obličaj
10,Stirn::N,alın,čelo
11,Haar::N,saç,vlas
12,Schnurrbart::N,bıyık,fúzy
13,Bart::N,sakal,brada
14,Kinn::N,çene,brada
15,Kiefer[Anatomie]::N,çene,čeľusť
16,Kehle::N,boğaz,hrdlo
17,Hals::N,boyun,krk
18,Hals::N,gerdan,krk
19,Genick::N,ense,väzy
20,Kopf::N,baş,hlava
21,Kopf::N,kafa,hlava
22,Rücken::N,arka,chrbát
23,Bauch::N,karın,brucho
24,Nabel::N,göbek,pupok
25,Busen::N,koyun,prsia
26,Brust::N,göğüs,hruď
27,Schulter::N,omuz,plece
28,Arm::N,kol,rameno
29,Ellenbogen::N,dirsek,lakeť
30,Hand::N,el,ruka
31,Handfläche::N,avuç,dlaň
32,Handfläche::N,el ayası,dlaň
33,Finger::N,parmak,prst
34,Fingernagel::N,el tırnağı,necht
35,Nagel[Anatomie]::N,tırnak,necht
36,Zeh::N,ayak parmağı,prst na nohe
37,Fuß::N,ayak,noha
38,Ferse::N,topuk,päta
39,Knie::N,diz,koleno
40,Oberschenkel::N,uyluk,stehno
41,Bein::N,bacak,noha
42,Körper::N,vücut,telo
43,Haut::N,cilt,koža
44,Blut::N,kan,krv
45,Ader::N,damar,žila
46,Sehne::N,kiriş,šľacha
47,Knochen::N,kemik,kosť
48,Gehirn::N,beyin,mozog
49,Herz::N,kalp,srdce
50,Herz::N,yürek,srdce
51,Magen::N,mide,žalúdok
52,Leber::N,karaciğer,pečeň
53,Atem::N,nefes,dych
54,Hunger::N,açlık,hlad
55,Träne::N,gözyaşı,slza
56,Geschmack::N,tat,chuť
57,Geschmack::N,lezzet,chuť
58,Geruch::N,koku,pach
59,Schlaf::N,uyku,spánok
60,Traum::N,düş,sen
61,Traum::N,rüya,sen
62,Himmel::N,gök,nebo
63,Sonne::N,güneş,slnko
64,Mond::N,ay,mesiac
65,Stern::N,yıldız,hviezda
66,Luft::N,hava,vzduch
67,Wind::N,yel,vietor
68,Wind::N,rüzgâr,vietor
69,Welle::N,dalga,vlna
70,Wasser::N,su,voda
71,Stein::N,taş,kameň
72,Boden::N,yer,zem
73,Boden::N,yer,pôda
74,Boden::N,zemin,zem
75,Boden::N,zemin,pôda
76,Erde::N,toprak,zem
77,Staub::N,toz,prach
78,Rauch::N,duman,dym
79,Funke::N,kıvılcım,iskra
80,Feuer::N,ateş,oheň
81,Licht::N,ışık,svetlo
82,Schatten::N,gölge,tieň
83,Wetter::N,hava,počasie
84,Nebel::N,pus,hmla
85,Wolke::N,bulut,oblak
86,Wolke::N,bulut,mračno
87,Regen::N,yağmur,dážď
88,Schnee::N,kar,sneh
89,Eis::N,buz,ľad
90,Frost::N,don,mráz
91,Kälte::N,soğukluk,zima
92,Kälte::N,soğukluk,chlad
93,Hitze::N,sıcaklık,horúčava
94,Raureif::N,kırç,srieň
95,Raureif::N,kırç,inovať
96,Regenbogen::N,gökkuşağı,dúha
97,Donner::N,gök gürlemesi,hrom
98,Strömung::N,akıntı,prúdenie
99,Strömung::N,cereyan,prúdenie
100,Tropfen::N,damla,kvapka
101,Schaum::N,köpük,pena
102,Schmutz::N,çamur,špina
103,Schmutz::N,çamur,nečistota
104,Schmutz::N,pislik,špina
105,Schmutz::N,pislik,nečistota
106,See::N,göl,jazero
107,Sumpf::N,batak,bahno
108,Moor::N,cılgıt,močiar
109,Wiese::N,çimen,lúka
110,Wald::N,koru,les
111,Wald::N,koru,hora
112,Wald::N,orman,les
113,Wald::N,orman,hora
114,Hügel::N,tepe,vŕšok
115,Anhöhe::N,tümsek,výšina
116,Anhöhe::N,tümsek,vyvýšenina
117,Anhöhe::N,yükseklik,výšina
118,Anhöhe::N,yükseklik,vyvýšenina
119,Berg::N,dağ,hora
120,Gipfel::N,zirve,vrchol
121,Höhle::N,in,jaskyňa
122,Höhle::N,mağara,jaskyňa
123,Abhang::N,bayır,úbočie
124,Quelle::N,pınar,prameň
125,Quelle::N,kaynak,prameň
126,Bach::N,çay,potok
127,Bach::N,dere,potok
128,Fluss::N,nehir,rieka
129,Ufer::N,kıyı,breh
130,Ufer::N,sahil,breh
131,Küste::N,kıyı,pobrežie
132,Küste::N,sahil,pobrežie
133,Festland::N,kara,pevnina
134,Meer::N,deniz,more
135,Bucht::N,koy,záliv
136,Bucht::N,koy,zátoka
137,Bucht::N,körfez,záliv
138,Bucht::N,körfez,zátoka
139,Insel::N,ada,ostrov
140,Blume::N,çiçek,kvet
141,Blume::N,çiçek,kvetina
142,Gras::N,ot,tráva
143,Gras::N,çim,tráva
144,Wurzel::N,kök,koreň
145,Baum::N,ağaç,strom
146,Stamm::N,gövde,kmeň
147,Rinde::N,kabuk,kôra
148,Ast::N,dal,konár
149,Ast::N,budak,konár
150,Zweig::N,dal,vetva
