,Concept_ID,uk,ps
0,Auge::N,око,سترګه
1,Ohr::N,вухо,غوږ
2,Nase::N,ніс,پوزه
3,Mund::N,рот,خوله
4,Zahn::N,зуб,غاښ
5,Zunge::N,язик,جبه
6,Lippe::N,губа,شونډه
7,Wange::N,щока,باړخو
8,Gesicht::N,обличчя,مخ
9,Stirn::N,лоб,تندی
10,Stirn::N,лоб,وچولی
11,Haar::N,волосся,وېښته
12,Schnurrbart::N,вуса,برېت
13,Bart::N,борода,ږیره
14,Kinn::N,підборіддя,زنه
15,Kiefer[Anatomie]::N,щелепа,جامه
16,Kehle::N,горло,غاړه
17,Hals::N,шия,غاړه
18,Genick::N,потилиця,ورمېږ
19,Kopf::N,голова,سر
20,Rücken::N,спина,شا
21,Bauch::N,живіт,نس
22,Bauch::N,живіт,ګېډه
23,Nabel::N,пупок,نوم
24,Busen::N,груди,تی
25,Brust::N,груди,سینه
26,Schulter::N,плече,اوږه
27,Arm::N,рука,لاس
28,Ellenbogen::N,лікоть,څنګل
29,Hand::N,рука,لاس
30,Handfläche::N,долоня,ورغوی
31,Finger::N,палець,ګوته
32,Fingernagel::N,ніготь,نوک
33,Nagel[Anatomie]::N,ніготь,نوک
34,Zeh::N,палець на нозі,ګوته
35,Fuß::N,нога,پښه
36,Ferse::N,п’ятка,پونده
37,Knie::N,коліно,زنګون
38,Oberschenkel::N,стегно,پتون
39,Bein::N,нога,پښه
40,Körper::N,тіло,ځان
41,Haut::N,шкіра,پوټکی
42,Blut::N,кров,وینه
43,Ader::N,вена,رګ
44,Sehne::N,сухожилля,پله
45,Knochen::N,кістка,هډوکی
46,Gehirn::N,мозок,ماغزه
47,Herz::N,серце,زړه
48,Magen::N,шлунок,معده
49,Leber::N,печінка,ينه
50,Leber::N,печінка,ځیګر
51,Atem::N,дихання,نفس
52,Hunger::N,голод,ولږه
53,Träne::N,сльоза,اوښکه
54,Geschmack::N,смак,مزه
55,Geschmack::N,смак,خوند
56,Geruch::N,запах,بوی
57,Schlaf::N,сон,خوب
58,Schlaf::N,сплячка,خوب
59,Traum::N,сон,خوب
60,Himmel::N,небо,اسمان
61,Sonne::N,сонце,لمر
62,Mond::N,місяць,سپوږمۍ
63,Stern::N,зірка,ستوری
64,Luft::N,повітря,هوا
65,Wind::N,вітер,ورښ
66,Welle::N,хвиля,موج
67,Wasser::N,вода,اوبه
68,Stein::N,камінь,ډبره
69,Boden::N,ґрунт,مځکه
70,Erde::N,земля,خاوره
71,Staub::N,пил,ګرد
72,Staub::N,пил,خاوره
73,Rauch::N,дим,دود
74,Rauch::N,дим,لوګی
75,Funke::N,іскра,سپرغۍ
76,Feuer::N,вогонь,اور
77,Licht::N,світло,رڼا
78,Schatten::N,тінь,سیوری
79,Wetter::N,погода,هوا
80,Nebel::N,туман,لړه
81,Wolke::N,хмара,ورېځ
82,Regen::N,дощ,وریا
83,Regen::N,дощ,باران
84,Schnee::N,сніг,واوره
85,Eis::N,лід,یخ
86,Eis::N,лід,کنګل
87,Frost::N,мороз,یخ
88,Kälte::N,холод,ساړه
89,Hitze::N,жар,تودوخي
90,Raureif::N,іній,سپینه پرخه
91,Regenbogen::N,райдуга,بوډۍ ټال
92,Regenbogen::N,райдуга,سره زرغونه
93,Donner::N,грім,تالنده
94,Strömung::N,струмина,بهېدنه
95,Tropfen::N,крапля,قطره
96,Tropfen::N,крапля,څاڅکی
