,Concept_ID,uk,myv
0,Auge::N,око,сельме
1,Ohr::N,вухо,пиле
2,Nase::N,ніс,судо
3,Mund::N,рот,курго
4,Zahn::N,зуб,пей
5,Zunge::N,язик,кель
6,Lippe::N,губа,турва
7,Wange::N,щока,чамабока
8,Wange::N,щока,чамаумарь
9,Gesicht::N,обличчя,чама
10,Stirn::N,лоб,коня
11,Haar::N,волосся,черь
12,Schnurrbart::N,вуса,ус
13,Schnurrbart::N,вуса,муюк
14,Bart::N,борода,сакал
15,Kinn::N,підборіддя,уло
16,Kiefer[Anatomie]::N,щелепа,пейпакар
17,Kiefer[Anatomie]::N,щелепа,пейловажа
18,Kehle::N,горло,кирьгапарь
19,Hals::N,шия,кирьга
20,Genick::N,потилиця,човонь
21,Kopf::N,голова,пря
22,Rücken::N,спина,копорь
23,Bauch::N,живіт,пеке
24,Nabel::N,пупок,почо
25,Busen::N,груди,поте
26,Brust::N,груди,меште
27,Schulter::N,плече,лавтов
28,Arm::N,рука,кедь
29,Ellenbogen::N,лікоть,кенерепакарь
30,Hand::N,рука,кедь
31,Handfläche::N,долоня,кедькуншка
32,Handfläche::N,долоня,кедьлапушка
33,Finger::N,палець,сур
34,Fingernagel::N,ніготь,кенже
35,Nagel[Anatomie]::N,ніготь,кенже
36,Zeh::N,палець на нозі,пильге сур
37,Fuß::N,нога,пильге
38,Ferse::N,п’ятка,кочкаря
39,Knie::N,коліно,эле
40,Knie::N,коліно,эзне
41,Knie::N,коліно,кумажа
42,Oberschenkel::N,стегно,качо
43,Bein::N,нога,пильге
44,Körper::N,тіло,рунго
45,Haut::N,шкіра,киське
46,Blut::N,кров,верь
47,Ader::N,вена,сан
48,Sehne::N,сухожилля,коське сан
49,Knochen::N,кістка,пакарь
50,Gehirn::N,мозок,удем
51,Herz::N,серце,седей
52,Magen::N,шлунок,пеке
53,Leber::N,печінка,максо
54,Atem::N,дихання,лексема
55,Atem::N,дихання,оймень таргсема
56,Hunger::N,голод,вачочи
57,Träne::N,сльоза,селведь
58,Geschmack::N,смак,тансть
59,Geruch::N,запах,чине
60,Schlaf::N,сон,удома
61,Schlaf::N,сплячка,удома
62,Traum::N,сон,он
63,Himmel::N,небо,менель
64,Sonne::N,сонце,чи
65,Mond::N,місяць,ков
66,Stern::N,зірка,теште
67,Luft::N,повітря,кошт
68,Wind::N,вітер,варма
69,Welle::N,хвиля,толкун
70,Wasser::N,вода,ведь
71,Stein::N,камінь,кев
72,Boden::N,ґрунт,мода
73,Erde::N,земля,мастор
74,Staub::N,пил,пуль
75,Rauch::N,дим,качамо
76,Funke::N,іскра,сятко
77,Feuer::N,вогонь,тол
78,Licht::N,світло,валдо
79,Schatten::N,тінь,сулей
80,Schatten::N,тінь,сулейкс
81,Wetter::N,погода,ушо
82,Nebel::N,туман,сув
83,Wolke::N,хмара,пель
84,Regen::N,дощ,пиземс
85,Schnee::N,сніг,лов
86,Eis::N,лід,эй
87,Frost::N,мороз,кельме
88,Kälte::N,холод,якшамо
89,Hitze::N,жар,пси
90,Raureif::N,іній,лекш
91,Regenbogen::N,райдуга,пурьгинечирьке
92,Regenbogen::N,райдуга,пурьгинеёнкс
93,Donner::N,грім,пурьгине
94,Strömung::N,струмина,чудема
95,Strömung::N,струмина,чудевкс
96,Tropfen::N,крапля,петнявкс
97,Schaum::N,піна,чов
98,Schmutz::N,бруд,рудаз
99,See::N,озеро,эрьке
100,Sumpf::N,драговина,чей
101,Moor::N,болото,чей
102,Wiese::N,луг,луга
103,Wiese::N,лука,луга
104,Wald::N,ліс,вирь
105,Hügel::N,горб,губорь
106,Hügel::N,горб,пандыне
107,Anhöhe::N,височина,губорь
108,Anhöhe::N,височина,пандыне
109,Berg::N,гора,пандо
110,Gipfel::N,вершина,пря
111,Höhle::N,печера,пещера
112,Abhang::N,схил,пандочама
113,Quelle::N,джерело,ушодкс
114,Bach::N,струмок,чудикерькс
115,Fluss::N,річка,лей
116,Ufer::N,берег,чире
117,Küste::N,узбережжя,лейчире
118,Festland::N,суша,мода
119,Meer::N,море,моря
120,Bucht::N,бухта,усия
121,Bucht::N,затока,усия
122,Insel::N,острів,усия
123,Blume::N,квітка,цеця
124,Gras::N,трава,тикше
125,Wurzel::N,корінь,юр
126,Wurzel::N,корінь,ундокс
127,Baum::N,дерево,чувто
128,Stamm::N,стовбур,рунго
129,Rinde::N,кора,суд
130,Rinde::N,кора,керь
131,Ast::N,гілка,морго
132,Zweig::N,галузь,тарад
133,Blatt::N,лист,лопа
134,Birke::N,береза,килей
135,Kiefer[Baum]::N,сосна,пиче
136,Weide[Baum]::N,верба,каль
137,Tanne::N,ялиця,куз
138,Horn::N,ріг,сюро
139,Feder::N,перо,толга
140,Fell::N,хутро,пона
141,Flügel::N,крило,сёлмо
142,Klaue::N,кіготь,кенже
143,Kralle::N,лапа,кенже
144,Schwanz::N,хвіст,пуло
145,Ei::N,яйце,ал
146,Nest::N,гніздо,пизэ
147,Bau::N,лігво,варя
148,Bau::N,лігво,пизе
149,Tier::N,тварина,ракша
150,Herde::N,стадо,стада
151,Kuh::N,корова,скал
152,Bulle::N,бик,бука
153,Bulle::N,бугай,бука
154,Pferd::N,кінь,лишме
155,Schaf::N,вівця,реве
156,Schwein::N,свиня,туво
157,Hund::N,собака,пине
158,Hund::N,собака,киска
159,Katze::N,кішка,псака
160,Bär::N,ведмідь,овто
161,Eichhörnchen::N,білка,ур
162,Elch::N,лось,сярдо
163,Fuchs::N,лисиця,ривезь
164,Hase::N,заєць,нумоло
165,Maus::N,миша,чеерь
166,Wolf::N,вовк,верьгиз
167,Vogel::N,птах,нармунь
168,Schwarm::N,зграя,полк
169,Schwarm::N,зграя,стада
170,Huhn::N,курка,сараз
171,Hahn::N,півень,атякш
172,Gans::N,гуска,гала
173,Gans::N,гуска,мацей
174,Adler::N,орел,куцькан
175,Adler::N,орел,тумоатякш
176,Ente::N,качка,яксярго
177,Eule::N,сова,корж
178,Kranich::N,журавель,карго
179,Krähe::N,ворона,варака
180,Kuckuck::N,зозуля,куко
181,Schwan::N,лебідь,локсей
182,Fisch::N,риба,кал
183,Barsch::N,окунь,окунь
184,Hecht::N,щука,щука
185,Schlange[Tier]::N,змія,гуй
186,Wurm::N,черв’як,сукс
187,Spinne::N,павук,шанжав
188,Ameise::N,мурашка,коткудав
189,Laus::N,воша,сий
190,Mücke::N,комар,сеське
191,Fliege::N,муха,карво
192,Schmetterling::N,метелик,нимиляв
193,Beere::N,ягода,умарь
194,Apfel::N,яблуко,умарь
195,Pilz::N,гриб,панго
196,Zwiebel::N,цибуля,чурька
197,Saat::N,сім’я,видьметь
198,Korn::N,зерно,сюро
199,Heu::N,сіно,тикше
200,Schale::N,шкірка,кедь
201,Schale::N,шкірка,ваткавкс
202,Grube::N,яма,латко
203,Falle::N,пастка,тувор
204,Falle::N,пастка,кундамка
205,Schlinge::N,петля,килькш
206,Spur::N,слід,челькс
207,Spur::N,слід,пильгеки
208,Asche::N,зола,кулов
209,Asche::N,попіл,кулов
210,Dreck::N,бруд,рудаз
211,Eisen::N,залізо,кшни
212,Gold::N,золото,сырне
213,Silber::N,срібло,сия
214,Kohle::N,вугілля,сэдь
215,Kohle::N,вугілля,уголия
216,Glas::N,скло,сулика
217,Lehm::N,глина,сёвонь
218,Sand::N,пісок,човар
219,Mensch::N,людина,ломань
220,Mann::N,чоловік,аля
221,Mann::N,чоловік,цёраломань
222,Frau::N,жінка,ава
223,Kind::N,дитина,эйкакш
224,Junge::N,хлопець,цёрыне
225,Mädchen::N,дівчина,тейтерне
226,Familie::N,сім’я,семия
227,Familie::N,родина,семия
228,Großvater::N,дідусь,покштя
229,Großmutter::N,бабуся,баба
230,Eltern::N,батьки,тетят-ават
231,Vater::N,батько,тетя
232,Mutter::N,мати,ава
233,Sohn::N,син,цёра
234,Tochter::N,дочка,тейтерь
235,Bruder::N,брат,леля
236,Bruder::N,брат,ялакс
237,Schwester::N,сестра,сазор
238,Onkel::N,дядько,леля
239,Tante::N,тітка,патя
240,Ehemann::N,чоловік,мирде
241,Ehefrau::N,жінка,ни
242,Ehefrau::N,дружина,ни
243,Freude::N,радощі,кеняркс
244,Gelächter::N,сміх,ракамо
245,Gelächter::N,сміх,пейдема
246,Glück::N,щастя,уцяска
247,Kummer::N,горе,рискс
248,Kummer::N,горе,мелявкс
249,Wunsch::N,бажання,мель
250,Wunsch::N,бажання,бажамо
251,Lust::N,бажання,бажамо
252,Geist::N,дух,ойме
253,Gedanke::N,думка,мель
254,Gedächtnis::N,пам’ять,мель
255,Verstand::N,розум,прев
256,Sinn::N,зміст,толк
257,Sinn::N,зміст,смысла
258,Sinn::N,значення,толк
259,Sinn::N,значення,смысла
260,Grund::N,причина,тувтал
261,Wahrheit::N,правда,видечи
262,Gespräch::N,розмова,кортнема
263,Märchen::N,байка,ёвкс
264,Erzählung::N,повість,ёвтнема
265,Erzählung::N,оповідання,ёвтнема
266,Nachricht::N,повідомлення,куля
267,Neuigkeit::N,новина,куля
268,Name::N,ім’я,лем
269,Rätsel::N,загадка,содамоёвкс
270,Rede::N,промова,кортамо
271,Sprache::N,мова,кель
272,Stimme::N,голос,ваигель
273,Wort::N,слово,вал
274,Zeichen::N,знак,теште
275,Ruf::N,оклик,тердема
276,Lärm::N,шум,шалнома
277,Laut::N,звук,вайгель
278,Ton::N,тон,гайнема
279,Lied::N,пісня,моро
280,Ruhe::N,спокій,оймамо
281,Leute::N,люди,ломанть
282,Volk::N,народ,народ
283,Arbeit::N,робота,тев
284,Gast::N,гість,инже
285,Geschenk::N,подарунок,казне
286,Spiel::N,гра,налксема
287,Gesellschaft::N,товариство,община
288,Hilfe::N,допомога,лездамо
289,Freund::N,друг,оя
290,Freund::N,друг,ялга
291,Freund::N,приятель,оя
292,Freund::N,приятель,ялга
293,Kamerad::N,товариш,оя
294,Kamerad::N,товариш,ялга
295,Angelegenheit::N,справа,тев
296,Anzahl::N,число,ламоксчи
297,Art::N,рід,вид
298,Stück::N,кусок,пакш
299,Stück::N,кусок,пелькс
300,Teil::N,частина,часть
301,Teil::N,частина,пелькс
302,Hälfte::N,половина,пель
303,Hälfte::N,половина,пелькс
