,Concept_ID,la,te
0,Auge::N,oculus,కన్ను
1,Ohr::N,auris,చెవి
2,Nase::N,nasus,ముక్కు
3,Mund::N,os,నోరు
4,Zahn::N,dens,పల్లు
5,Zunge::N,lingua,నాలుక
6,Lippe::N,labrum,పెదవి
7,Wange::N,gena,చెంప
8,Gesicht::N,vultus,ముఖము
9,Stirn::N,frons,నుదురు
10,Haar::N,capillus,వెండ్రుక
11,Schnurrbart::N,barba labri superioris,మీసము
12,Bart::N,barba,గడ్డము
13,Kinn::N,mentum,గడ్డము
14,Kiefer[Anatomie]::N,mala,దౌడ
15,Kehle::N,iugulums,గొంతు
16,Hals::N,collum,మెడ
17,Genick::N,cervices,మూపు
18,Kopf::N,caput,తల
19,Rücken::N,tergum,వెన్ను
20,Bauch::N,venter,కడుపు
21,Nabel::N,umbilicus,బొడ్డు
22,Busen::N,sinus,స్తనము
23,Brust::N,pectus,ఱొమ్ము
24,Schulter::N,umerus,భుజము
25,Arm::N,bracchium,చేయి
26,Ellenbogen::N,cubitum,మోచేయి
27,Hand::N,manus,చేయి
28,Handfläche::N,palma,అరచేయు
29,Finger::N,digitus,చేతిప్రేలు
30,Fingernagel::N,unguiculus,గోరు
31,Nagel[Anatomie]::N,unguis,గోరు
32,Zeh::N,digitus,కాలిప్రేలు
33,Fuß::N,pes,అడుగు
34,Ferse::N,calx,మడమ
35,Knie::N,genu,మోకాలు
36,Oberschenkel::N,femur,తొడ
37,Bein::N,crus,కాలు
38,Körper::N,corpus,కాయము
39,Haut::N,cutis,చర్మము
40,Haut::N,pellis,చర్మము
41,Blut::N,sanguis,రక్తము
42,Ader::N,vena,సిర
43,Sehne::N,nervus,స్నాయువు
44,Knochen::N,os,ఎముక
45,Gehirn::N,cerebrum,మెదడు
46,Herz::N,cor,హృదయము
47,Herz::N,animus,హృదయము
48,Magen::N,stomachus,కడుపు
49,Leber::N,iecur,కాలేయము
50,Atem::N,spiritus,ఉపిరి
51,Hunger::N,fames,ఆకలి
52,Träne::N,lacrima,కన్నీటిచుక్క
53,Geschmack::N,sapor,రుచి
54,Geschmack::N,gustus,రుచి
55,Geruch::N,odor,వాసన
56,Schlaf::N,somnus,నిద్ర
57,Traum::N,somnium,కల
58,Himmel::N,caelum,ఆకాశము
59,Sonne::N,sol,సూర్యుడు
60,Mond::N,luna,చంద్రుడు
61,Stern::N,sidus,నక్షత్రము
62,Stern::N,stella,నక్షత్రము
63,Luft::N,aer,గాలి
64,Wind::N,ventus,వీచుచున్నగాలి
65,Welle::N,unda,అల
66,Wasser::N,aqua,నీరు
67,Stein::N,lapis,ఱాయి
68,Boden::N,solum,నేల
69,Erde::N,terra,మన్ను
70,Staub::N,pulvis,దుమ్ము
71,Rauch::N,fumus,పొగ
72,Funke::N,scintilla,అగ్నికణము
73,Feuer::N,ignis,అగ్ని
74,Licht::N,lux,కాంతి
75,Licht::N,lumen,కాంతి
76,Schatten::N,umbra,నీడ
77,Wetter::N,caelum,వాతావరణ స్థితి
78,Wetter::N,tempestas,వాతావరణ స్థితి
79,Nebel::N,nebula,పొగమంచు
80,Wolke::N,nubes,మేఘము
81,Regen::N,imber,వాన
82,Regen::N,pluvia,వాన
83,Schnee::N,nix,హిమము
84,Eis::N,glacies,మంచుగడ్డ
85,Frost::N,gelu,పేరిన మంచు
86,Kälte::N,frigus,చలి
87,Hitze::N,calor,వేడిమి
88,Hitze::N,aestus,వేడిమి
89,Raureif::N,pruina,మంచు
90,Regenbogen::N,arcus,ఇంద్రధనుస్సు
91,Donner::N,tonitrus,ఉరుము
92,Strömung::N,fluctus,ప్రవాహము
93,Tropfen::N,gutta,చుక్క
94,Schaum::N,spuma,నురుగు
95,Schmutz::N,sordes,మైల
96,Schmutz::N,squalor,మైల
