,Concept_ID,sq,be
0,Auge::N,sy,вока
1,Ohr::N,vesh,вуха
2,Nase::N,hundë,нос
3,Mund::N,gojë,рот
4,Zahn::N,dhëmb,зуб
5,Zunge::N,gjuhë,язык
6,Lippe::N,buzë,губа
7,Wange::N,faqe,шчака
8,Wange::N,mollëz,шчака
9,Gesicht::N,fytyrë,твар
10,Stirn::N,ballë,лоб
11,Haar::N,flokë,волас
12,Haar::N,flokë,валасы
13,Schnurrbart::N,mustaqe,вус
14,Schnurrbart::N,mustaqe,вусы
15,Bart::N,mjekër,барада
16,Kinn::N,mjekër,падбародак
17,Kiefer[Anatomie]::N,nofull,сківіца
18,Kehle::N,fyt,горла
19,Kehle::N,grykë,горла
20,Hals::N,qafë,шыя
21,Genick::N,arrëz,патыліца
22,Kopf::N,kokë,галава
23,Rücken::N,kurriz,спіна
24,Bauch::N,bark,жывот
25,Nabel::N,kërthizë,пупок
26,Busen::N,gji,грудзі
27,Brust::N,gjoks,грудзі
28,Brust::N,kraharor,грудзі
29,Schulter::N,sup,плячо
30,Schulter::N,krah,плячо
31,Arm::N,krah,рука
32,Ellenbogen::N,bërryl,локаць
33,Hand::N,dorë,кісць
34,Handfläche::N,pëllëmbë,далонь
35,Finger::N,gisht,палец
36,Fingernagel::N,thua,ногаць
37,Nagel[Anatomie]::N,thua,ногаць
38,Zeh::N,gisht i këmbës,палец
39,Fuß::N,këmbë,нага
40,Ferse::N,thembër,пята
41,Ferse::N,thembër,пятка
42,Knie::N,gju,калена
43,Oberschenkel::N,kofshë,бядро
44,Oberschenkel::N,kofshë,сцягно
45,Bein::N,këmbë,нага
46,Körper::N,trup,цела
47,Haut::N,lëkurë,скура
48,Blut::N,gjak,кроў
49,Ader::N,venë,вена
50,Ader::N,venë,сасуд
51,Sehne::N,dell,жыла
52,Sehne::N,dell,цеціва
53,Sehne::N,dell,сухажылле
54,Knochen::N,asht,косць
55,Knochen::N,kockë,косць
56,Gehirn::N,tru,мозг
57,Herz::N,zemër,сэрца
58,Magen::N,stomak,страўнік
59,Leber::N,mëlçi,печань
60,Atem::N,frymë,дыханне
61,Hunger::N,uri,голад
62,Träne::N,lot,сляза
63,Geschmack::N,shije,смак
64,Geruch::N,erë,пах
65,Schlaf::N,gjumë,сон
66,Traum::N,ëndërr,сон
67,Himmel::N,qiell,неба
68,Sonne::N,diell,сонца
69,Mond::N,hënë,месяц
70,Stern::N,yll,зорка
71,Luft::N,ajër,паветра
72,Wind::N,erë,вецер
73,Welle::N,valë,хваля
74,Welle::N,dallgë,хваля
75,Wasser::N,ujë,вада
76,Stein::N,gur,камень
77,Boden::N,tokë,глеба
78,Boden::N,truall,глеба
