,Concept_ID,la,ca
0,Auge::N,oculus,ull
1,Ohr::N,auris,orella
2,Nase::N,nasus,nas
3,Mund::N,os,boca
4,Zahn::N,dens,dent
5,Zunge::N,lingua,llēngua
6,Lippe::N,labrum,llavi
7,Wange::N,gena,galta
8,Gesicht::N,vultus,cara
9,Stirn::N,frons,front
10,Haar::N,capillus,cabēll
11,Schnurrbart::N,barba labri superioris,bigoti
12,Bart::N,barba,barba
13,Kinn::N,mentum,mentó
14,Kinn::N,mentum,barbeta
15,Kiefer[Anatomie]::N,mala,queix
16,Kiefer[Anatomie]::N,mala,mandíbula
17,Kehle::N,iugulums,gola
18,Kehle::N,iugulums,gorja
19,Hals::N,collum,coll
20,Genick::N,cervices,nuca
21,Kopf::N,caput,cap
22,Rücken::N,tergum,esquena
23,Bauch::N,venter,panxa
24,Nabel::N,umbilicus,llombrígol
25,Busen::N,sinus,pit
26,Busen::N,sinus,mama
27,Brust::N,pectus,pit
28,Schulter::N,umerus,espatlla
29,Arm::N,bracchium,braç
30,Ellenbogen::N,cubitum,colze
31,Hand::N,manus,mà
32,Handfläche::N,palma,palma
33,Finger::N,digitus,dit
34,Fingernagel::N,unguiculus,ungla
35,Nagel[Anatomie]::N,unguis,ungla
36,Zeh::N,digitus,dit del peu
37,Fuß::N,pes,peu
38,Ferse::N,calx,taló
39,Knie::N,genu,genoll
40,Oberschenkel::N,femur,cuixa
41,Bein::N,crus,cama
42,Körper::N,corpus,cos
43,Haut::N,cutis,pell
44,Haut::N,pellis,pell
45,Blut::N,sanguis,sang
46,Ader::N,vena,vena
47,Sehne::N,nervus,tendó
48,Knochen::N,os,os
49,Gehirn::N,cerebrum,cervell
50,Herz::N,cor,cor
51,Herz::N,animus,cor
52,Magen::N,stomachus,estómac
53,Leber::N,iecur,fetge
54,Atem::N,spiritus,alè
55,Atem::N,spiritus,hàlit
56,Hunger::N,fames,fam
57,Hunger::N,fames,gana
58,Träne::N,lacrima,llàgrima
59,Geschmack::N,sapor,gust
60,Geschmack::N,sapor,sabor
61,Geschmack::N,gustus,gust
62,Geschmack::N,gustus,sabor
63,Geruch::N,odor,olor
64,Schlaf::N,somnus,son
65,Traum::N,somnium,somni
66,Himmel::N,caelum,celm
67,Sonne::N,sol,sol
68,Mond::N,luna,lluna
69,Stern::N,sidus,estel
70,Stern::N,sidus,estrella
71,Stern::N,stella,estel
72,Stern::N,stella,estrella
73,Luft::N,aer,aire
74,Wind::N,ventus,vent
75,Welle::N,unda,ona
76,Wasser::N,aqua,āigua
77,Stein::N,lapis,pedra
78,Boden::N,solum,sòl
79,Erde::N,terra,terra
80,Staub::N,pulvis,pols
81,Rauch::N,fumus,fum
82,Funke::N,scintilla,guspira
83,Funke::N,scintilla,centella
84,Feuer::N,ignis,foc
85,Licht::N,lux,llum
86,Licht::N,lumen,llum
87,Schatten::N,umbra,ombra
88,Wetter::N,caelum,temps
89,Wetter::N,tempestas,temps
90,Nebel::N,nebula,boira
91,Wolke::N,nubes,núvol
92,Regen::N,imber,pluja
93,Regen::N,pluvia,pluja
94,Schnee::N,nix,neu
95,Eis::N,glacies,gel
96,Eis::N,glacies,glaç
97,Frost::N,gelu,glaçada
98,Kälte::N,frigus,fred
99,Hitze::N,calor,calor
100,Hitze::N,aestus,calor
101,Raureif::N,pruina,gebre
102,Regenbogen::N,arcus,arc iris
103,Donner::N,tonitrus,tro
104,Strömung::N,fluctus,corrent
105,Tropfen::N,gutta,gota
106,Schaum::N,spuma,escuma
107,Schmutz::N,sordes,brutícia
108,Schmutz::N,squalor,brutícia
109,See::N,lacus,llac
110,Sumpf::N,palus,pantà
111,Moor::N,palus,pantà
112,Wiese::N,pratum,prat
113,Wiese::N,pratum,prada
114,Wald::N,silva,bosc
115,Hügel::N,collis,puig
116,Hügel::N,collis,pujol
117,Anhöhe::N,specula,turó
118,Berg::N,mons,muntanya
119,Gipfel::N,vertex,cim
120,Höhle::N,caverna,cova
121,Höhle::N,spelunca,cova
122,Abhang::N,declivum,coster
123,Quelle::N,fons,font
124,Bach::N,rivus,riera
125,Fluss::N,flumen,riu
126,Ufer::N,ripa,riba
127,Küste::N,litus,costa
128,Festland::N,continens,terra ferma
129,Meer::N,mare,mar
130,Bucht::N,sinus,cala
131,Bucht::N,sinus,badia
132,Insel::N,insula,illa
133,Blume::N,flos,flor
134,Gras::N,herba,herba
135,Gras::N,gramen,herba
136,Wurzel::N,radix,rel
137,Wurzel::N,radix,arrel
138,Baum::N,arbor,arbre
139,Stamm::N,truncus,tronc
140,Rinde::N,cortex,escorça
141,Ast::N,ramus,branca
142,Zweig::N,ramus,ram
143,Blatt::N,folium,fulla
144,Birke::N,betulla,bedoll
145,Kiefer[Baum]::N,pinus,pi
146,Weide[Baum]::N,salix,salze
147,Tanne::N,abies,avet
148,Horn::N,cornu,corn
149,Horn::N,cornu,banya
150,Feder::N,penna,ploma
151,Fell::N,pellis,pell
152,Flügel::N,ala,ala
153,Klaue::N,unguis,urpa
154,Kralle::N,unguis,grapa
155,Schwanz::N,cauda,cua
156,Ei::N,ovum,ou
157,Nest::N,nidus,niu
158,Bau::N,cavum,cau
159,Bau::N,latibulum,cau
160,Tier::N,bestia,animāl
161,Herde::N,grex,ramat
162,Kuh::N,vacca,vaca
163,Bulle::N,taurus,toro
164,Pferd::N,equus,cavāll
165,Schaf::N,ovis,be
166,Schaf::N,ovis,ovella
167,Schwein::N,sus,bacó
168,Schwein::N,porcus,bacó
169,Hund::N,canis,ca
170,Hund::N,canis,gos
171,Katze::N,felis,gat
172,Bär::N,ursus,ós
173,Eichhörnchen::N,sciurus,esquirol
174,Elch::N,alces,ant
175,Fuchs::N,vulpes,guilla
176,Hase::N,lepus,llebre
177,Maus::N,mus,ratolí
178,Wolf::N,lupus,llop
179,Vogel::N,avis,au
180,Vogel::N,avis,ocēll
181,Schwarm::N,examen,bandada
182,Huhn::N,gallina,gallina
183,Hahn::N,gallus,gall
184,Gans::N,anser,oca
185,Adler::N,aquila,àguila
186,Ente::N,anas,ànec
187,Eule::N,ulula,òliba
188,Eule::N,ulula,mussol
189,Eule::N,noctua,òliba
190,Eule::N,noctua,mussol
191,Kranich::N,grus,grua
192,Krähe::N,cornix,cornella
193,Kuckuck::N,cuculus,cucut
194,Schwan::N,olor,cigne
195,Schwan::N,cycnus,cigne
196,Fisch::N,piscis,peix
197,Barsch::N,perca,perca
198,Hecht::N,esox,lluç
199,Schlange[Tier]::N,serpens,serp
200,Wurm::N,vermis,cuc
201,Spinne::N,aranea,aranya
202,Ameise::N,formica,formiga
203,Laus::N,pediculus,poll
204,Mücke::N,culex,mosquit
205,Fliege::N,musca,mosca
206,Schmetterling::N,papilio,papallona
207,Beere::N,baca,baia
208,Apfel::N,malum,poma
209,Pilz::N,fungus,bolet
210,Zwiebel::N,cepa,ceba
211,Saat::N,seges,sembra
212,Korn::N,granum,gra
213,Heu::N,faenum,fenc
214,Schale::N,putamen,closca
215,Grube::N,fovea,sot
216,Grube::N,fovea,clot
217,Falle::N,pedica,trampa
218,Schlinge::N,laqueus,baga
219,Spur::N,vestigium,traça
220,Asche::N,cinis,cendra
221,Dreck::N,lutum,llot
222,Eisen::N,ferrum,ferro
223,Gold::N,aurum,or
224,Silber::N,argentum,plata
225,Kohle::N,carbo,carbó
226,Glas::N,vitrum,vidre
227,Lehm::N,lutum,fang
228,Lehm::N,lutum,argila
229,Sand::N,arena,arena
230,Mensch::N,homo,humà
231,Mensch::N,homo,persona
232,Mann::N,vir,home
233,Frau::N,mulier,dona
234,Kind::N,puer,nen
235,Kind::N,infans,nen
236,Junge::N,puer,noi
237,Mädchen::N,puella,noia
238,Familie::N,familia,família
239,Großvater::N,avus,avi
240,Großmutter::N,avia,àvia
241,Eltern::N,parentes,pares
242,Vater::N,pater,pare
243,Mutter::N,mater,mare
244,Sohn::N,filius,fill
245,Tochter::N,filia,filla
246,Bruder::N,frater,germà
247,Schwester::N,soror,germana
248,Onkel::N,patruus,oncle
249,Onkel::N,avunculus,oncle
250,Tante::N,amita,tia
251,Ehemann::N,maritus,espòs
252,Ehefrau::N,uxor,muller
253,Freude::N,gaudium,goig
254,Freude::N,gaudium,alegria
255,Freude::N,laetitia,goig
256,Freude::N,laetitia,alegria
257,Gelächter::N,risus,riallada
258,Glück::N,felicitas,felicitat
259,Kummer::N,aegritudo,pena
260,Wunsch::N,voluntas,desig
261,Wunsch::N,desiderium,desig
262,Lust::N,libido,ganes
263,Lust::N,voluptas,ganes
264,Geist::N,mens,ment
265,Geist::N,mens,esperit
266,Geist::N,animus,ment
267,Geist::N,animus,esperit
268,Gedanke::N,sententia,pensament
269,Gedächtnis::N,memoria,memòria
270,Verstand::N,ratio,raó
271,Verstand::N,ratio,seny
272,Verstand::N,ingenium,raó
273,Verstand::N,ingenium,seny
274,Sinn::N,sensus,solta
275,Sinn::N,sensus,sentit
276,Grund::N,causa,raó
277,Grund::N,causa,causa
278,Wahrheit::N,veritas,veritāt
279,Gespräch::N,sermo,conversa
280,Märchen::N,fabula,conte
281,Erzählung::N,fabula,narració
282,Erzählung::N,narratio,narració
283,Nachricht::N,nuntius,missatge
284,Neuigkeit::N,novitas,novetat
285,Name::N,nomen,nom
286,Rätsel::N,aenigma,endevinalla
287,Rede::N,oratio,discurs
288,Sprache::N,lingua,llēngua
289,Stimme::N,vox,veu
290,Wort::N,verbum,mot
291,Wort::N,verbum,paraula
292,Wort::N,vocabulum,mot
293,Wort::N,vocabulum,paraula
294,Zeichen::N,signum,signe
295,Zeichen::N,signum,senyal
296,Ruf::N,clamor,crida
297,Lärm::N,strepitus,sorōll
298,Laut::N,sonus,so
299,Ton::N,sonus,to
300,Lied::N,carmen,cançó
301,Ruhe::N,quies,calma
302,Ruhe::N,quies,silenci
303,Leute::N,homines,gent
304,Volk::N,populus,poble
305,Arbeit::N,labor,labor
306,Arbeit::N,labor,treball
307,Gast::N,hospes,hoste
308,Gast::N,conviva,hoste
309,Geschenk::N,munus,regal
310,Geschenk::N,munus,obsequi
311,Spiel::N,ludus,joc
312,Gesellschaft::N,societas,companyia
313,Hilfe::N,auxilium,ajut
314,Hilfe::N,subsidium,ajut
315,Freund::N,amicus,amīc
316,Kamerad::N,socius,company
317,Kamerad::N,socius,camarada
318,Angelegenheit::N,res,afer
319,Angelegenheit::N,res,assumpte
320,Anzahl::N,numerus,nombre
321,Anzahl::N,numerus,quantitat
322,Art::N,genus,tipus
323,Art::N,genus,classe
324,Stück::N,frustum,peça
325,Stück::N,fragmentum,peça
326,Teil::N,pars,part
327,Hälfte::N,dimidium,meitat
