,Concept_ID,pl,kk
0,Auge::N,oko,көз
1,Ohr::N,ucho,құлақ
2,Nase::N,nos,мұрын
3,Mund::N,usta,ауыз
4,Zahn::N,ząb,тіс
5,Zunge::N,język,тіл
6,Lippe::N,warga,ерін
7,Wange::N,policzek,ұрт
8,Gesicht::N,twarz,бет-аузы
9,Stirn::N,czoło,маңдай
10,Haar::N,włos,қыл
11,Haar::N,włosy,қыл
12,Schnurrbart::N,wąsy,мұрт
13,Bart::N,broda,сақал
14,Kinn::N,podbródek,иек
15,Kiefer[Anatomie]::N,czeluść,жақ
16,Kehle::N,gardło,алқым
17,Hals::N,szyja,мойын
18,Genick::N,kark,желке
19,Kopf::N,głowa,кәллә
20,Rücken::N,plecy,арқа
21,Rücken::N,grzbiet,арқа
22,Bauch::N,brzuch,қарын
23,Nabel::N,pępek,кіндік
24,Busen::N,biust,омырау
25,Brust::N,pierś,кеуде
26,Schulter::N,bark,иық
27,Schulter::N,ramię,иық
28,Arm::N,ręka,қол
29,Arm::N,ramię,қол
30,Ellenbogen::N,łokieć,шынтақ
31,Hand::N,dłoń,қол
32,Handfläche::N,dłoń,алақан
33,Finger::N,palec,саусақ
34,Fingernagel::N,paznokieć,тырнақ
35,Nagel[Anatomie]::N,paznokieć,тырнақ
36,Zeh::N,palec,тырнақ
37,Zeh::N,palec,тұяқ
38,Fuß::N,stopa,аяқ-басы
39,Ferse::N,pięta,өкше
40,Ferse::N,pięta,өкшелік
41,Knie::N,kolano,тізе
42,Oberschenkel::N,udo,жамбас
43,Bein::N,noga,аяқ
44,Körper::N,ciało,дене
45,Haut::N,skóra,тері
46,Blut::N,krew,қан
47,Ader::N,żyła,көктамыр
48,Ader::N,żyła,күретамыр
49,Sehne::N,ścięgno,сіңір
50,Knochen::N,kość,жілік
51,Gehirn::N,mózg,ми
52,Herz::N,serce,жүрек
53,Magen::N,żołądek,асқазан
54,Leber::N,wątroba,бауыр
55,Atem::N,dech,леп
56,Atem::N,oddech,леп
57,Hunger::N,głód,ашаршылық
58,Träne::N,łza,жас
59,Geschmack::N,smak,дәм
60,Geschmack::N,smak,татым
61,Geschmack::N,smak,талғам
62,Geruch::N,woń,иіс
63,Geruch::N,zapach,иіс
64,Schlaf::N,sen,ұйқы
65,Schlaf::N,sen,ұйықтау
66,Traum::N,sen,түс
67,Himmel::N,niebo,аспан
68,Himmel::N,niebo,көқ
69,Himmel::N,niebo,таңдай
70,Sonne::N,słońce,күн
71,Mond::N,księżyc,ай
72,Stern::N,gwiazda,жұлдыз
73,Luft::N,powietrze,әуе
74,Wind::N,wiatr,жел
75,Welle::N,fala,толқын
76,Wasser::N,woda,су
77,Stein::N,kamień,тас
78,Boden::N,grunt,қыртыс
