,Concept_ID,de,hi
0,Auge::N,Auge,आँख
1,Auge::N,Auge,चक्षु
2,Ohr::N,Ohr,कान
3,Ohr::N,Ohr,कर्ण
4,Nase::N,Nase,नाक
5,Nase::N,Nase,नासा
6,Mund::N,Mund,मुख
7,Mund::N,Mund,मुँह
8,Zahn::N,Zahn,दंत
9,Zahn::N,Zahn,दाँत
10,Zunge::N,Zunge,जीभ
11,Zunge::N,Zunge,ज़बान
12,Zunge::N,Zunge,जिह्वा
13,Lippe::N,Lippe,ओंठ
14,Lippe::N,Lippe,होंठ
15,Wange::N,Wange,गाल
16,Wange::N,Wange,कपोल
17,Gesicht::N,Gesicht,मुँह
18,Gesicht::N,Gesicht,चेहरा
19,Stirn::N,Stirn,माथा
20,Stirn::N,Stirn,मस्तक
21,Haar::N,Haar,बाल
22,Schnurrbart::N,Schnurrbart,मूँछें
23,Bart::N,Bart,दाढ़ी
24,Kinn::N,Kinn,चिबुक
25,Kiefer[Anatomie]::N,Kiefer,जबड़ा
26,Kehle::N,Kehle,गला
27,Hals::N,Hals,गला
28,Hals::N,Hals,गरदन
29,Genick::N,Genick,गरदन
30,Genick::N,Genick,ग्रीवा
31,Kopf::N,Kopf,सिर
32,Kopf::N,Kopf,शीर्ष
33,Rücken::N,Rücken,पीठ
34,Bauch::N,Bauch,उदर
35,Nabel::N,Nabel,नाभि
36,Nabel::N,Nabel,ढोंढी
37,Busen::N,Busen,कुच
38,Busen::N,Busen,स्तन
39,Brust::N,Brust,वक्ष
40,Schulter::N,Schulter,कंधा
41,Schulter::N,Schulter,स्कंध
42,Arm::N,Arm,बाँह
43,Arm::N,Arm,बाज़ू
44,Ellenbogen::N,Ellenbogen,कुहनी
45,Hand::N,Hand,हाथ
46,Hand::N,Hand,हस्त
47,Handfläche::N,Handfläche,हथेली
48,Finger::N,Finger,उँगली
49,Finger::N,Finger,अँगुली
50,Fingernagel::N,Fingernagel,नख
51,Fingernagel::N,Fingernagel,नाख़ून
52,Nagel[Anatomie]::N,Nagel,नख
53,Nagel[Anatomie]::N,Nagel,नाख़ून
54,Zeh::N,Zeh,उँगली
55,Zeh::N,Zeh,पाँव की उँगली
56,Fuß::N,Fuß,चरण
57,Fuß::N,Fuß,पाँव
58,Ferse::N,Ferse,एड़ी
59,Knie::N,Knie,जानु
60,Knie::N,Knie,घुटना
61,Oberschenkel::N,Oberschenkel,उरु
62,Bein::N,Bein,टाँग
63,Körper::N,Körper,तन
64,Körper::N,Körper,देह
65,Körper::N,Körper,शरीर
