,Concept_ID,xal,uk
0,Auge::N,нүдн,око
1,Ohr::N,чикн,вухо
2,Nase::N,хамр,ніс
3,Mund::N,амн,рот
4,Zahn::N,шүдн,зуб
5,Zunge::N,келн,язик
6,Lippe::N,урл,губа
7,Wange::N,халх,щока
8,Gesicht::N,нүр,обличчя
9,Stirn::N,маңна,лоб
10,Haar::N,үсн,волосся
11,Schnurrbart::N,сахл,вуса
12,Bart::N,сахл,борода
13,Bart::N,өргнә сахл,борода
14,Kinn::N,өргн,підборіддя
15,Kiefer[Anatomie]::N,өргн,щелепа
16,Kehle::N,хол,горло
17,Hals::N,күзүн,шия
18,Genick::N,гиҗг,потилиця
19,Kopf::N,толһа,голова
20,Rücken::N,нурһн,спина
21,Bauch::N,гесн,живіт
22,Nabel::N,киисн,пупок
23,Busen::N,көкн,груди
24,Brust::N,чееҗ,груди
25,Schulter::N,ээм,плече
26,Arm::N,һар,рука
27,Ellenbogen::N,тоха,лікоть
28,Hand::N,баһлцг,рука
29,Handfläche::N,альхн,долоня
30,Finger::N,хурһн,палець
31,Finger::N,һарин хурһн,палець
32,Fingernagel::N,хумсн,ніготь
33,Nagel[Anatomie]::N,хумсн,ніготь
34,Zeh::N,хурһн,палець на нозі
35,Zeh::N,көлин хурһн,палець на нозі
36,Fuß::N,тавг,нога
37,Ferse::N,өскә,п’ятка
38,Knie::N,өвдг,коліно
39,Oberschenkel::N,һуй,стегно
40,Bein::N,көл,нога
41,Körper::N,махмуд,тіло
42,Haut::N,арсн,шкіра
43,Blut::N,цусн,кров
44,Ader::N,судцн,вена
45,Sehne::N,шүрүсн,сухожилля
46,Knochen::N,ясн,кістка
47,Gehirn::N,экн,мозок
48,Herz::N,зүркн,серце
49,Magen::N,гесн,шлунок
50,Leber::N,элкн,печінка
51,Atem::N,әмсхл,дихання
52,Hunger::N,харһнлһн,голод
53,Träne::N,нульмсн,сльоза
54,Geschmack::N,амтн,смак
55,Geruch::N,үнр,запах
56,Schlaf::N,нөр,сон
57,Schlaf::N,нөр,сплячка
58,Traum::N,зүүдн,сон
59,Himmel::N,теңгр,небо
60,Sonne::N,нарн,сонце
61,Mond::N,сар,місяць
62,Stern::N,одн,зірка
63,Luft::N,аһар,повітря
64,Wind::N,салькн,вітер
65,Welle::N,дольган,хвиля
66,Wasser::N,усн,вода
67,Stein::N,чолун,камінь
68,Boden::N,Һазр,ґрунт
69,Erde::N,Һазр,земля
70,Staub::N,тоосн,пил
71,Rauch::N,утан,дим
72,Funke::N,очн,іскра
73,Feuer::N,һал,вогонь
74,Licht::N,герл,світло
75,Schatten::N,сүүдр,тінь
76,Wetter::N,теңгр,погода
77,Nebel::N,будн,туман
78,Wolke::N,үүлн,хмара
79,Regen::N,хур,дощ
80,Schnee::N,цасн,сніг
81,Eis::N,мөсн,лід
82,Frost::N,киитн,мороз
83,Kälte::N,киитн,холод
84,Hitze::N,халун,жар
85,Raureif::N,цаң,іній
86,Raureif::N,кирү,іній
87,Regenbogen::N,солңһ,райдуга
88,Donner::N,оһтрһун дун,грім
89,Strömung::N,урсхл,струмина
90,Tropfen::N,дусал,крапля
91,Schaum::N,көөсн,піна
92,Schmutz::N,кир,бруд
93,See::N,нур,озеро
94,Sumpf::N,унул,драговина
95,Moor::N,улм,болото
96,Wiese::N,хадлһн,луг
97,Wiese::N,хадлһн,лука
98,Wald::N,ө-модн,ліс
99,Hügel::N,толһа,горб
100,Anhöhe::N,хамр,височина
101,Berg::N,уул,гора
102,Gipfel::N,ора,вершина
103,Höhle::N,хадин көндә,печера
104,Abhang::N,ташу,схил
105,Quelle::N,булг,джерело
106,Bach::N,һооҗур,струмок
107,Fluss::N,һол,річка
108,Ufer::N,көвә,берег
109,Küste::N,көвә,узбережжя
110,Küste::N,теңгсин көвә,узбережжя
111,Festland::N,хүүрә һазр,суша
112,Meer::N,теңгс,море
113,Bucht::N,цекә,бухта
114,Bucht::N,цекә,затока
115,Bucht::N,теңгсин цекә,бухта
116,Bucht::N,теңгсин цекә,затока
117,Insel::N,арл,острів
118,Blume::N,цецг,квітка
119,Gras::N,ноһан,трава
120,Wurzel::N,уңг,корінь
121,Baum::N,модн,дерево
122,Stamm::N,шилв,стовбур
123,Stamm::N,һол модн,стовбур
124,Rinde::N,көрсн,кора
125,Ast::N,ац,гілка
126,Zweig::N,ац,галузь
127,Blatt::N,хамтхасн,лист
128,Birke::N,хусм модн,береза
129,Kiefer[Baum]::N,шар харһа,сосна
130,Weide[Baum]::N,удн,верба
131,Tanne::N,җөөлн цаһан модн,ялиця
132,Horn::N,өвр,ріг
133,Feder::N,өрвлг,перо
134,Fell::N,арсн,хутро
135,Flügel::N,җивр,крило
136,Klaue::N,хумсн,кіготь
137,Kralle::N,тавг,лапа
138,Schwanz::N,сүл,хвіст
139,Ei::N,өндгн,яйце
140,Nest::N,үр,гніздо
141,Bau::N,нүкн,лігво
142,Tier::N,мал,тварина
143,Herde::N,сүрг мал,стадо
144,Kuh::N,үкр,корова
145,Bulle::N,бух,бик
146,Bulle::N,бух,бугай
147,Pferd::N,мөрн,кінь
148,Schaf::N,хөн,вівця
149,Schwein::N,һаха,свиня
150,Hund::N,ноха,собака
151,Katze::N,мис,кішка
152,Bär::N,аю,ведмідь
153,Eichhörnchen::N,кермн,білка
154,Elch::N,хандһа,лось
155,Fuchs::N,арат,лисиця
156,Hase::N,туула,заєць
157,Maus::N,хулһн,миша
158,Wolf::N,чон,вовк
159,Vogel::N,шовун,птах
160,Schwarm::N,зел,зграя
161,Huhn::N,така,курка
162,Hahn::N,эр така,півень
163,Gans::N,һалун,гуска
164,Adler::N,һәрд,орел
165,Ente::N,нуһсн,качка
166,Eule::N,һурвлһ,сова
167,Kranich::N,тоһрун,журавель
168,Krähe::N,шаазһа,ворона
169,Kuckuck::N,эргин хуцдг,зозуля
170,Schwan::N,хун,лебідь
171,Fisch::N,заһсн,риба
172,Barsch::N,шүрг,окунь
173,Hecht::N,цурх,щука
174,Schlange[Tier]::N,моһа,змія
175,Wurm::N,өтн,черв’як
176,Spinne::N,аралҗн,павук
177,Ameise::N,шорһлҗн,мурашка
178,Laus::N,бөөсн,воша
179,Mücke::N,бөкүн,комар
180,Fliege::N,батхн,муха
181,Schmetterling::N,эрвәкә,метелик
182,Beere::N,бөөлҗрһн,ягода
183,Apfel::N,альмн,яблуко
184,Pilz::N,теңгрин ки,гриб
185,Zwiebel::N,мәңгрснә толһа,цибуля
186,Saat::N,буудян экн,сім’я
187,Korn::N,экн,зерно
188,Heu::N,өвсн,сіно
189,Schale::N,хальсн,шкірка
190,Grube::N,нүкн,яма
191,Falle::N,урх,пастка
192,Falle::N,хавх,пастка
193,Schlinge::N,бүтү,петля
194,Spur::N,мөр,слід
195,Asche::N,үмсн,зола
196,Asche::N,үмсн,попіл
197,Dreck::N,бальчг,бруд
198,Eisen::N,төмр,залізо
199,Gold::N,алтн,золото
200,Silber::N,мөңгн,срібло
201,Silber::N,цаһан мөңгн,срібло
202,Kohle::N,нүүрсн,вугілля
