,Concept_ID,te,eu
0,Auge::N,కన్ను,begi
1,Ohr::N,చెవి,belarri
2,Nase::N,ముక్కు,sudur
3,Mund::N,నోరు,aho
4,Zahn::N,పల్లు,hortz
5,Zunge::N,నాలుక,mihi
6,Lippe::N,పెదవి,ezpain
7,Wange::N,చెంప,masail
8,Gesicht::N,ముఖము,aurpegi
9,Stirn::N,నుదురు,bekoki
10,Haar::N,వెండ్రుక,ile
11,Haar::N,వెండ్రుక,bilo
12,Schnurrbart::N,మీసము,bibote
13,Schnurrbart::N,మీసము,sudurpeko
14,Bart::N,గడ్డము,bizar
15,Kinn::N,గడ్డము,kokots
16,Kiefer[Anatomie]::N,దౌడ,masailezur
17,Kehle::N,గొంతు,eztarri
18,Hals::N,మెడ,sama
19,Genick::N,మూపు,garondo
20,Kopf::N,తల,buru
21,Rücken::N,వెన్ను,bizkar
22,Bauch::N,కడుపు,sabel
23,Nabel::N,బొడ్డు,zilbor
24,Busen::N,స్తనము,titi
25,Busen::N,స్తనము,ugatz
26,Brust::N,ఱొమ్ము,bular
27,Schulter::N,భుజము,besaburu
28,Arm::N,చేయి,beso
29,Ellenbogen::N,మోచేయి,ukondo
30,Hand::N,చేయి,esku
31,Handfläche::N,అరచేయు,ahur
32,Finger::N,చేతిప్రేలు,hatz
33,Fingernagel::N,గోరు,azazkal
34,Nagel[Anatomie]::N,గోరు,azazkal
35,Zeh::N,కాలిప్రేలు,behatz
36,Fuß::N,అడుగు,oin
37,Ferse::N,మడమ,orpo
38,Ferse::N,మడమ,oinburu
39,Knie::N,మోకాలు,belaun
40,Oberschenkel::N,తొడ,izter
41,Bein::N,కాలు,zango
42,Körper::N,కాయము,soin
43,Haut::N,చర్మము,azal
44,Blut::N,రక్తము,odol
45,Ader::N,సిర,zain
46,Sehne::N,స్నాయువు,gihar-zain
47,Knochen::N,ఎముక,hezur
48,Gehirn::N,మెదడు,garun
49,Gehirn::N,మెదడు,burmuin
50,Herz::N,హృదయము,bihotz
51,Magen::N,కడుపు,urdail
52,Leber::N,కాలేయము,gibel
53,Atem::N,ఉపిరి,hats
54,Atem::N,ఉపిరి,arnasa
55,Hunger::N,ఆకలి,gose
56,Träne::N,కన్నీటిచుక్క,malko
57,Geschmack::N,రుచి,dasta
58,Geruch::N,వాసన,usain
59,Schlaf::N,నిద్ర,lo
60,Traum::N,కల,amets
61,Himmel::N,ఆకాశము,zeru
62,Sonne::N,సూర్యుడు,eguzki
63,Mond::N,చంద్రుడు,ilargi
64,Stern::N,నక్షత్రము,izar
65,Luft::N,గాలి,aire
66,Wind::N,వీచుచున్నగాలి,haize
67,Welle::N,అల,uhin
68,Welle::N,అల,olatu
69,Wasser::N,నీరు,ur
70,Stein::N,ఱాయి,harri
71,Boden::N,నేల,lur
72,Boden::N,నేల,zoru
73,Erde::N,మన్ను,lur
74,Staub::N,దుమ్ము,hauts
75,Rauch::N,పొగ,ke
76,Funke::N,అగ్నికణము,zirta
77,Funke::N,అగ్నికణము,txinparta
78,Feuer::N,అగ్ని,su
79,Licht::N,కాంతి,argi
80,Schatten::N,నీడ,itzal
81,Schatten::N,నీడ,geriza
82,Wetter::N,వాతావరణ స్థితి,eguraldi
83,Nebel::N,పొగమంచు,laino
84,Wolke::N,మేఘము,hodei
85,Regen::N,వాన,euri
86,Schnee::N,హిమము,elur
87,Eis::N,మంచుగడ్డ,horma
88,Frost::N,పేరిన మంచు,izotzaldi
89,Kälte::N,చలి,hotz
90,Hitze::N,వేడిమి,bero
91,Raureif::N,మంచు,antzigar
92,Regenbogen::N,ఇంద్రధనుస్సు,ostadar
93,Regenbogen::N,ఇంద్రధనుస్సు,ortzadar
94,Donner::N,ఉరుము,ostots
95,Donner::N,ఉరుము,ihurtzuri
96,Strömung::N,ప్రవాహము,laster
97,Tropfen::N,చుక్క,xorta
98,Schaum::N,నురుగు,bits
99,Schmutz::N,మైల,lohi
100,Schmutz::N,మైల,zikin
101,See::N,సరస్సు,laku
102,See::N,సరస్సు,aintzira
103,Sumpf::N,చిత్తడినేల,zingira
104,Moor::N,చిత్తడినేల,zohikaztegi
105,Wiese::N,పచ్చిక బయలు,larre
106,Wiese::N,పచ్చిక బయలు,belardi
107,Wald::N,అడవి,baso
108,Wald::N,అడవి,oihan
109,Hügel::N,చివ్నకొండ,muino
110,Hügel::N,చివ్నకొండ,pentoka
111,Anhöhe::N,కొండ,garai
112,Anhöhe::N,కొండ,goragune
113,Berg::N,పర్వతము,mendi
114,Gipfel::N,శిఖరము,gain
115,Gipfel::N,శిఖరము,tontor
116,Höhle::N,గుహ,kobazulo
117,Abhang::N,ఏటవాలు,aldapa
118,Quelle::N,మూలము,iturri
119,Quelle::N,మూలము,iturbegi
120,Bach::N,కాలువ,lats
121,Bach::N,కాలువ,erreka
122,Fluss::N,నది,ibai
123,Fluss::N,నది,uhaitz
124,Ufer::N,తీరము,bazter
125,Küste::N,తీరము,itsasalde
126,Festland::N,భూమి,lehor
127,Meer::N,సముద్రము,itsaso
128,Bucht::N,మరుగు,golko
129,Insel::N,దీవి,irla
