,Concept_ID,te,ba
0,Auge::N,కన్ను,күҙ
1,Ohr::N,చెవి,ҡолаҡ
2,Nase::N,ముక్కు,танау
3,Mund::N,నోరు,ауыҙ
4,Zahn::N,పల్లు,теш
5,Zunge::N,నాలుక,тел
6,Lippe::N,పెదవి,ирен
7,Wange::N,చెంప,яцаҡтар
8,Gesicht::N,ముఖము,бит
9,Stirn::N,నుదురు,маңлай
10,Haar::N,వెండ్రుక,сәс
11,Schnurrbart::N,మీసము,мылтыҡ
12,Bart::N,గడ్డము,һаҡал
13,Kinn::N,గడ్డము,эйэк
14,Kiefer[Anatomie]::N,దౌడ,яңаҡ һөйәге
15,Kehle::N,గొంతు,тамаҡ
16,Hals::N,మెడ,муйын
17,Genick::N,మూపు,соңҡа
18,Kopf::N,తల,баш
19,Rücken::N,వెన్ను,арҡа
20,Bauch::N,కడుపు,ҡорһаҡ
21,Nabel::N,బొడ్డు,кендек
22,Busen::N,స్తనము,күкрәк
23,Brust::N,ఱొమ్ము,түш
24,Schulter::N,భుజము,яурын
25,Arm::N,చేయి,ҡул
26,Ellenbogen::N,మోచేయి,терһәк
27,Hand::N,చేయి,ҡул
28,Hand::N,చేయి,ҡул суғы
29,Handfläche::N,అరచేయు,ус төбө
30,Finger::N,చేతిప్రేలు,бармаҡ
31,Fingernagel::N,గోరు,тырнаҡ
32,Nagel[Anatomie]::N,గోరు,тырнаҡ
33,Zeh::N,కాలిప్రేలు,бармаҡ
34,Fuß::N,అడుగు,табан
35,Ferse::N,మడమ,үксә
36,Knie::N,మోకాలు,тубыҡ
37,Oberschenkel::N,తొడ,сандыр
38,Bein::N,కాలు,аяҡ
39,Körper::N,కాయము,тән
40,Haut::N,చర్మము,тире
41,Blut::N,రక్తము,ҡан
42,Ader::N,సిర,тамыр
43,Sehne::N,స్నాయువు,һеңер
44,Sehne::N,స్నాయువు,тарамыш
45,Knochen::N,ఎముక,һойәк
46,Gehirn::N,మెదడు,мейе
47,Herz::N,హృదయము,йорәк
48,Magen::N,కడుపు,ашҡаҙан
49,Leber::N,కాలేయము,бауыр
50,Atem::N,ఉపిరి,һулыш
51,Hunger::N,ఆకలి,аслыҡ
52,Träne::N,కన్నీటిచుక్క,күҙ иәше
53,Geschmack::N,రుచి,тәм
54,Geruch::N,వాసన,еҫ
55,Schlaf::N,నిద్ర,йоҡлау
56,Traum::N,కల,төш
57,Himmel::N,ఆకాశము,күк
58,Sonne::N,సూర్యుడు,ҡояш
59,Mond::N,చంద్రుడు,ай
60,Stern::N,నక్షత్రము,йондоҙ
61,Luft::N,గాలి,һауа
62,Wind::N,వీచుచున్నగాలి,ел
63,Welle::N,అల,тулҡын
64,Wasser::N,నీరు,һыу
65,Stein::N,ఱాయి,таш
66,Boden::N,నేల,тупраҡ
67,Erde::N,మన్ను,балсҡ
68,Staub::N,దుమ్ము,туҙан
69,Rauch::N,పొగ,төтөн
70,Funke::N,అగ్నికణము,осҡон
71,Feuer::N,అగ్ని,ут
72,Licht::N,కాంతి,яҡтылыҡ
73,Schatten::N,నీడ,күләгә
74,Wetter::N,వాతావరణ స్థితి,һауа торошо
75,Nebel::N,పొగమంచు,төман
76,Wolke::N,మేఘము,болот
77,Regen::N,వాన,ямғыр
78,Schnee::N,హిమము,ҡар
79,Eis::N,మంచుగడ్డ,боҙ
80,Frost::N,పేరిన మంచు,һалҡын
81,Kälte::N,చలి,һыуыҡ
82,Hitze::N,వేడిమి,томра
83,Hitze::N,వేడిమి,эҫелек
84,Raureif::N,మంచు,ҡырау
85,Regenbogen::N,ఇంద్రధనుస్సు,йәйғор
86,Donner::N,ఉరుము,күк күкрәү
87,Strömung::N,ప్రవాహము,ағым
88,Tropfen::N,చుక్క,тамсы
89,Schaum::N,నురుగు,күбек
90,Schmutz::N,మైల,батҡаҡ
91,See::N,సరస్సు,күл
92,Sumpf::N,చిత్తడినేల,һаҙлык
93,Moor::N,చిత్తడినేల,һаҙ
94,Wiese::N,పచ్చిక బయలు,болон
95,Wald::N,అడవి,урман
96,Hügel::N,చివ్నకొండ,түбә
97,Anhöhe::N,కొండ,түбә
98,Anhöhe::N,కొండ,ҡалҡыулыҡ
99,Berg::N,పర్వతము,тау
100,Gipfel::N,శిఖరము,түбә
101,Höhle::N,గుహ,мәмерйә
102,Abhang::N,ఏటవాలు,ипкен
103,Quelle::N,మూలము,шишмә
104,Bach::N,కాలువ,шишмә
105,Fluss::N,నది,йылға
106,Ufer::N,తీరము,яр
107,Küste::N,తీరము,яр буйы
108,Festland::N,భూమి,ҡоро ер
109,Meer::N,సముద్రము,диңгез
110,Bucht::N,మరుగు,бухта
111,Insel::N,దీవి,үтрау
112,Blume::N,పుష్పము,сәскә
113,Gras::N,పచ్చగడ్డి,үлән
114,Wurzel::N,వేరు,тамыр
115,Baum::N,చెట్టు,ағас
116,Stamm::N,చెట్టుబోదె,олон
117,Stamm::N,చెట్టుబోదె,көбәк
118,Rinde::N,చెట్టుపట్ట,ҡабыҡ
119,Ast::N,కొమ్మ,ботаҡ
120,Zweig::N,చివుకు,ботаҡ
121,Zweig::N,చివుకు,тармаҡ
122,Blatt::N,ఆకు,япраҡ
123,Birke::N,తరహా చెట్టు,ҡайын
124,Kiefer[Baum]::N,దేవదారు చెట్టు,ҡарғай
125,Weide[Baum]::N,జాతిచెట్టు,тал
126,Tanne::N,దేవదారుచెట్టు,шыршы
127,Horn::N,కొమ్ము,мөғөҙ
128,Feder::N,ఈక,ҡауырһын
129,Fell::N,తోలు,тире
130,Flügel::N,ఱెక్క,ҡанат
131,Klaue::N,వంకరగోరు,тырнаҡ
132,Kralle::N,వంకరగోరు,аяҡ
133,Schwanz::N,తోక,ҡойроҡ
134,Ei::N,గ్రుడ్డు,йомортҡа
135,Nest::N,పక్షిగూడు,оя
136,Bau::N,గుహ,оң
137,Tier::N,జంతువు,жайуан
138,Tier::N,జంతువు,йыртҡыс
139,Herde::N,మంద,көтөү
140,Kuh::N,ఆవు,һыйыр
141,Bulle::N,గిత్త,үгеҙ
142,Pferd::N,గుఱ్ఱము,ат
143,Schaf::N,గొఱ్ఱె,һарыҡ
144,Schwein::N,పంది,сусҡа
145,Hund::N,కుక్క,эт
146,Katze::N,పిల్లి,бесәй
147,Bär::N,ఎలుగుబంటి,айыу
148,Eichhörnchen::N,ఉడుత,тейен
149,Elch::N,కణంజు,мышы
150,Fuchs::N,గుంటనక్క,төлкө
151,Hase::N,కుందేలు,ҡуян
152,Maus::N,చిట్టెలుక,сысҡан
153,Wolf::N,తోడేలు,бүре
154,Vogel::N,పక్షి,ҡош
155,Schwarm::N,గుంపు,көтөү
156,Huhn::N,కోడిపిల్ల,тауыҡ
157,Hahn::N,కోడివుంజు,әтәс
158,Gans::N,ఆడుబాతు,ҡаҙ
159,Adler::N,గ్రద్ద,бөркөт
160,Ente::N,పాట్టిబాతు,өйрәк
161,Eule::N,గ్రుడ్లగూబ,өкө
162,Eule::N,గ్రుడ్లగూబ,ябалаҡ
163,Kranich::N,కొంగ,торна
164,Krähe::N,కాకి,ҡарға
165,Kuckuck::N,కోయల,кәкүк
166,Schwan::N,హంస,аҡҡош
167,Fisch::N,చేప,балыҡ
168,Barsch::N,ఒకచేఁప,алабуға
169,Hecht::N,గండుమీను,суртан
170,Schlange[Tier]::N,పాము,йылан
171,Wurm::N,పురుగు,селяүсен
172,Spinne::N,సాలె పురుగు,үрмәксе
173,Ameise::N,చీమ,ҡырмыҫҡа
174,Laus::N,పేను,бет
175,Mücke::N,చీకటీగ,серәкәй
176,Fliege::N,ఈగ,себен
177,Schmetterling::N,సీతాకోకచిలుక,күбәләк
178,Beere::N,కాయ,еләк
179,Apfel::N,ఆపిల్ పండు,алма
180,Pilz::N,కుక్కగొడుగు,бәшмәк
181,Zwiebel::N,నీరుల్లి,һуган
182,Saat::N,విత్తనము,орлоҡ
183,Korn::N,గింజ,иген
184,Heu::N,ఎండుగడ్డి,бесән
185,Schale::N,పొట్టు,ҡабыҡ
186,Grube::N,గొయ్యి,соҡор
187,Falle::N,బోను,тоҙак
188,Falle::N,బోను,ҡапҡан
189,Schlinge::N,ఉరి,тоҙак
190,Spur::N,జాడ,әҫер
191,Asche::N,బూడిద,көл
192,Dreck::N,ముఱికి,батҡаҡ
193,Eisen::N,ఇనుము,тимер
194,Gold::N,బంగారము,алтын
195,Silber::N,వెండి,көмөш
196,Kohle::N,నేలబొగ్గు,күмер
197,Glas::N,గాజు,быяла
198,Lehm::N,బంకమన్ను,балсыҡ
199,Sand::N,ఇసుక,ҡом
200,Mensch::N,నరుడు,кеше
201,Mann::N,పురుమడు,ир
202,Frau::N,ఆడుది,ҡатын
203,Kind::N,బిడ్డ,бала
204,Junge::N,బాలుడు,малай
205,Mädchen::N,బాలిక,ҡыҙ
206,Mädchen::N,బాలిక,ҡыҙыҡай
207,Familie::N,కుటుంబము,ғаилә
208,Großvater::N,తాత,олатай
209,Großmutter::N,అయ్యమ్మ,әбәй
210,Eltern::N,తల్లితండ్రులు,ата-әсә
211,Vater::N,తండ్రి,атай
212,Mutter::N,తల్లి,әсә
213,Sohn::N,కొడుకు,ул
214,Tochter::N,కూతురు,ҡыҙ
215,Bruder::N,పోదరుడు,агай
216,Schwester::N,సోదరి,алай
217,Schwester::N,సోదరి,һеңле
218,Onkel::N,మేనమామ,ағай
219,Tante::N,మేనత్త,апай
220,Tante::N,పినతల్లి,апай
221,Ehemann::N,భర్త,ир
222,Ehefrau::N,భార్య,ҡатын
223,Freude::N,సంతోషము,шатлыҡ
224,Freude::N,సంతోషము,ҡыуаныс
225,Gelächter::N,నవ్వు,көлөү
226,Glück::N,సంతోషము,бәхет
227,Kummer::N,దుఃఖము,ҡайғы
228,Wunsch::N,కోరిక,теләк
229,Lust::N,కోరిక,әүәҫлек
230,Geist::N,ఆత్మ,аң
231,Geist::N,ఆత్మ,рух
232,Gedanke::N,ఆలోచన,уй
233,Gedanke::N,ఆలోచన,фекер
234,Gedächtnis::N,జ్ఞాపకము,хәтер
235,Verstand::N,మనస్సు,аҡыл
236,Sinn::N,అర్థము,мәғәня
237,Grund::N,కారణము,сәбәп
238,Wahrheit::N,సత్యము,дөрөҫлөк
239,Gespräch::N,పంభాషణ,әңгәмә
240,Märchen::N,అద్భుతకథ,әкиәт
241,Erzählung::N,కథ,хикәйә
242,Nachricht::N,వార్త,хәбәр
243,Neuigkeit::N,వార్త,яңылыҡ
244,Name::N,పేరు,исем
245,Rätsel::N,చిక్కు,йомаҡ
246,Rede::N,ఉపన్యాసము,телмәр
247,Sprache::N,భాష,тел
248,Sprache::N,భాష,телмәр
249,Stimme::N,కంరథ్సని,тауыш
250,Wort::N,మాట,һүҙ
251,Zeichen::N,గుర్తు,билдә
