,Concept_ID,pt,mrj
0,Auge::N,olho,сӹнзӓ
1,Ohr::N,orelha,пӹлӹш
2,Nase::N,nariz,нер
3,Mund::N,boca,ышма
4,Zahn::N,dente,пӱ
5,Zunge::N,língua,йӹлмӹ
6,Lippe::N,lábio,тӹрвӹ
7,Wange::N,face,шӹргӹ
8,Gesicht::N,cara,лицӓ
9,Gesicht::N,rosto,лицӓ
10,Stirn::N,testa,лепкӓ
11,Haar::N,cabelo,ӱп
12,Schnurrbart::N,bigode,öрш
13,Bart::N,barba,пандаш
14,Kinn::N,queixo,онгылаш
15,Kiefer[Anatomie]::N,maxila,пӱ арата
16,Kiefer[Anatomie]::N,mandíbula,пӱ арата
17,Kehle::N,garganta,логер
18,Hals::N,colo,шӱ
19,Hals::N,pescoço,шӱ
20,Genick::N,nuca,ланга
21,Kopf::N,cabeça,вуй
22,Rücken::N,dorso,туп
23,Rücken::N,costas,туп
24,Bauch::N,ventre,мӹшкӹр
25,Bauch::N,barriga,мӹшкӹр
26,Nabel::N,umbigo,кӹлӹмдӹ
27,Busen::N,seio,цӹзӹ
28,Brust::N,peito,мел
29,Schulter::N,ombro,ӹнгӹжӓ
30,Arm::N,braço,кид
31,Ellenbogen::N,cotovelo,кӹнервуй
32,Hand::N,mão,лапа
33,Handfläche::N,palma,кид лапа
34,Handfläche::N,palma da mão,кид лапа
35,Finger::N,dedo,парня
36,Fingernagel::N,unha,кӹч
37,Nagel[Anatomie]::N,unha,кӹч
38,Zeh::N,dedo do pé,парня
39,Fuß::N,pé,ял лапа
40,Ferse::N,calcanhar,ялгавал
41,Ferse::N,calcanhar,ял кавал
42,Knie::N,joelho,пылвуй
43,Oberschenkel::N,coxa,ӓрдӹ
44,Bein::N,perna,ял
45,Körper::N,corpo,монгыр
46,Haut::N,pele,кавашты
47,Blut::N,sangue,вӹр
48,Ader::N,veia,вӹршӓр
49,Sehne::N,tendão,кукшышӱн
50,Knochen::N,osso,лу
51,Gehirn::N,cérebro,вим
52,Herz::N,coração,шӱм
53,Magen::N,estômago,шӱм
54,Leber::N,fígado,мокш
55,Atem::N,fôlego,шӱлӹш
56,Hunger::N,fome,шужымаш
57,Träne::N,lágrima,сӹнзӓвӹд
58,Geschmack::N,gosto,тот
59,Geruch::N,odor,пыш
60,Geruch::N,cheiro,пыш
61,Schlaf::N,sono,ом
62,Traum::N,sonho,ом
63,Himmel::N,céu,пӹлгом
64,Sonne::N,sol,кечӹ
65,Mond::N,lua,тӹлзӹ
66,Stern::N,estrela,шӹдӹр
67,Luft::N,ar,юж
68,Luft::N,ar,воздух
69,Wind::N,vento,мардеж
70,Welle::N,onda,ко
71,Welle::N,onda,коэ
