,Concept_ID,la,cv
0,Auge::N,oculus,куҫ
1,Ohr::N,auris,хӑлха
2,Nase::N,nasus,сӑмса
3,Mund::N,os,ҫӑвар
4,Zahn::N,dens,шӑл
5,Zunge::N,lingua,чӗлхе
6,Lippe::N,labrum,тута
7,Wange::N,gena,пит ҫӑмарти
8,Gesicht::N,vultus,пит
9,Gesicht::N,vultus,пит-куҫ
10,Stirn::N,frons,ҫамка
11,Haar::N,capillus,ҫӳҫ
12,Schnurrbart::N,barba labri superioris,усси
13,Bart::N,barba,сухал
14,Kinn::N,mentum,янах
15,Kiefer[Anatomie]::N,mala,янах
16,Kehle::N,iugulums,пыр
17,Kehle::N,iugulums,карланкӑ
18,Hals::N,collum,пыр
19,Genick::N,cervices,ӗнсе
20,Kopf::N,caput,пуҫ
21,Rücken::N,tergum,ҫурӑм
22,Bauch::N,venter,
23,Nabel::N,umbilicus,кӑвапа
24,Busen::N,sinus,кӑкӑр
25,Brust::N,pectus,умӗ
26,Schulter::N,umerus,хул пуҫҫи
27,Arm::N,bracchium,алӑ
28,Ellenbogen::N,cubitum,чавса
29,Hand::N,manus,алӑ сыппи
30,Handfläche::N,palma,ал лаппи
31,Finger::N,digitus,пӳрне
32,Fingernagel::N,unguiculus,чӗрне
33,Nagel[Anatomie]::N,unguis,чӗрне
34,Zeh::N,digitus,пӳрне
35,Fuß::N,pes,ура лаппи
36,Ferse::N,calx,кӗле
37,Knie::N,genu,чӗркуҫҫи
38,Oberschenkel::N,femur,пӗҫӗ
39,Bein::N,crus,ура
40,Körper::N,corpus,ӳт
41,Körper::N,corpus,ӳт-пӳ
42,Haut::N,cutis,тир
43,Haut::N,pellis,тир
44,Blut::N,sanguis,юн
45,Ader::N,vena,вена
46,Sehne::N,nervus,шӑнӑр
47,Knochen::N,os,шӑмӑ
48,Gehirn::N,cerebrum,миме
49,Herz::N,cor,чӗре
50,Herz::N,animus,чӗре
51,Magen::N,stomachus,хырӑмлӑх
52,Leber::N,iecur,пӗвер
53,Atem::N,spiritus,сывлав
54,Hunger::N,fames,выҫлӑх
55,Träne::N,lacrima,куҫҫуль
56,Geschmack::N,sapor,техӗм
57,Geschmack::N,gustus,техӗм
58,Geruch::N,odor,шӑршӑ
59,Schlaf::N,somnus,ыйхӑ
60,Traum::N,somnium,тӗлӗк
61,Himmel::N,caelum,пӗлӗт
