,Concept_ID,,uk
0,Auge::N,,око
1,Ohr::N,,вухо
2,Nase::N,,ніс
3,Mund::N,,рот
4,Zahn::N,,зуб
5,Zunge::N,,язик
6,Lippe::N,,губа
7,Wange::N,,щока
8,Gesicht::N,,обличчя
9,Stirn::N,,лоб
10,Haar::N,,волосся
11,Schnurrbart::N,,вуса
12,Bart::N,,борода
13,Kinn::N,,підборіддя
14,Kiefer[Anatomie]::N,,щелепа
15,Kehle::N,,горло
16,Hals::N,,шия
17,Genick::N,,потилиця
18,Kopf::N,,голова
19,Rücken::N,,спина
20,Bauch::N,,живіт
21,Nabel::N,,пупок
22,Busen::N,,груди
23,Brust::N,,груди
24,Schulter::N,,плече
25,Arm::N,,рука
26,Ellenbogen::N,,лікоть
27,Hand::N,,рука
28,Handfläche::N,,долоня
29,Finger::N,,палець
30,Fingernagel::N,,ніготь
31,Nagel[Anatomie]::N,,ніготь
32,Zeh::N,,палець на нозі
33,Fuß::N,,нога
34,Ferse::N,,п’ятка
35,Knie::N,,коліно
36,Oberschenkel::N,,стегно
37,Bein::N,,нога
38,Körper::N,,тіло
39,Haut::N,,шкіра
40,Blut::N,,кров
41,Ader::N,,вена
42,Sehne::N,,сухожилля
43,Knochen::N,,кістка
44,Gehirn::N,,мозок
45,Herz::N,,серце
46,Magen::N,,шлунок
47,Leber::N,,печінка
48,Atem::N,,дихання
49,Hunger::N,,голод
50,Träne::N,,сльоза
51,Geschmack::N,,смак
52,Geruch::N,,запах
53,Schlaf::N,,сон
54,Schlaf::N,,сплячка
55,Traum::N,,сон
56,Himmel::N,,небо
57,Sonne::N,,сонце
58,Mond::N,,місяць
59,Stern::N,,зірка
60,Luft::N,,повітря
61,Wind::N,,вітер
62,Welle::N,,хвиля
63,Wasser::N,,вода
64,Stein::N,,камінь
65,Boden::N,,ґрунт
66,Erde::N,,земля
67,Staub::N,,пил
68,Rauch::N,,дим
69,Funke::N,,іскра
70,Feuer::N,,вогонь
71,Licht::N,,світло
72,Schatten::N,,тінь
73,Wetter::N,,погода
74,Nebel::N,,туман
75,Wolke::N,,хмара
76,Regen::N,,дощ
77,Schnee::N,,сніг
78,Eis::N,,лід
79,Frost::N,,мороз
80,Kälte::N,,холод
81,Hitze::N,,жар
82,Raureif::N,,іній
83,Regenbogen::N,,райдуга
84,Donner::N,,грім
85,Strömung::N,,струмина
86,Tropfen::N,,крапля
87,Schaum::N,,піна
88,Schmutz::N,,бруд
89,See::N,,озеро
90,Sumpf::N,,драговина
91,Moor::N,,болото
92,Wiese::N,,луг
93,Wiese::N,,лука
94,Wald::N,,ліс
95,Hügel::N,,горб
96,Anhöhe::N,,височина
97,Berg::N,,гора
98,Gipfel::N,,вершина
99,Höhle::N,,печера
100,Abhang::N,,схил
101,Quelle::N,,джерело
102,Bach::N,,струмок
103,Fluss::N,,річка
104,Ufer::N,,берег
105,Küste::N,,узбережжя
106,Festland::N,,суша
107,Meer::N,,море
108,Bucht::N,,бухта
109,Bucht::N,,затока
110,Insel::N,,острів
111,Blume::N,,квітка
112,Gras::N,,трава
113,Wurzel::N,,корінь
114,Baum::N,,дерево
115,Stamm::N,,стовбур
116,Rinde::N,,кора
117,Ast::N,,гілка
118,Zweig::N,,галузь
119,Blatt::N,,лист
120,Birke::N,,береза
121,Kiefer[Baum]::N,,сосна
122,Weide[Baum]::N,,верба
123,Tanne::N,,ялиця
124,Horn::N,,ріг
125,Feder::N,,перо
126,Fell::N,,хутро
127,Flügel::N,,крило
128,Klaue::N,,кіготь
129,Kralle::N,,лапа
130,Schwanz::N,,хвіст
131,Ei::N,,яйце
132,Nest::N,,гніздо
133,Bau::N,,лігво
134,Tier::N,,тварина
135,Herde::N,,стадо
136,Kuh::N,,корова
137,Bulle::N,,бик
138,Bulle::N,,бугай
139,Pferd::N,,кінь
140,Schaf::N,,вівця
141,Schwein::N,,свиня
142,Hund::N,,собака
143,Katze::N,,кішка
144,Bär::N,,ведмідь
145,Eichhörnchen::N,,білка
146,Elch::N,,лось
147,Fuchs::N,,лисиця
148,Hase::N,,заєць
149,Maus::N,,миша
150,Wolf::N,,вовк
151,Vogel::N,,птах
152,Schwarm::N,,зграя
153,Huhn::N,,курка
154,Hahn::N,,півень
155,Gans::N,,гуска
156,Adler::N,,орел
157,Ente::N,,качка
158,Eule::N,,сова
159,Kranich::N,,журавель
160,Krähe::N,,ворона
161,Kuckuck::N,,зозуля
162,Schwan::N,,лебідь
163,Fisch::N,,риба
164,Barsch::N,,окунь
165,Hecht::N,,щука
166,Schlange[Tier]::N,,змія
167,Wurm::N,,черв’як
168,Spinne::N,,павук
169,Ameise::N,,мурашка
170,Laus::N,,воша
171,Mücke::N,,комар
172,Fliege::N,,муха
173,Schmetterling::N,,метелик
174,Beere::N,,ягода
175,Apfel::N,,яблуко
176,Pilz::N,,гриб
177,Zwiebel::N,,цибуля
178,Saat::N,,сім’я
179,Korn::N,,зерно
180,Heu::N,,сіно
181,Schale::N,,шкірка
182,Grube::N,,яма
183,Falle::N,,пастка
184,Schlinge::N,,петля
185,Spur::N,,слід
186,Asche::N,,зола
187,Asche::N,,попіл
188,Dreck::N,,бруд
189,Eisen::N,,залізо
190,Gold::N,,золото
191,Silber::N,,срібло
192,Kohle::N,,вугілля
193,Glas::N,,скло
194,Lehm::N,,глина
195,Sand::N,,пісок
196,Mensch::N,,людина
197,Mann::N,,чоловік
198,Frau::N,,жінка
199,Kind::N,,дитина
200,Junge::N,,хлопець
201,Mädchen::N,,дівчина
202,Familie::N,,сім’я
203,Familie::N,,родина
204,Großvater::N,,дідусь
205,Großmutter::N,,бабуся
206,Eltern::N,,батьки
207,Vater::N,,батько
208,Mutter::N,,мати
209,Sohn::N,,син
210,Tochter::N,,дочка
211,Bruder::N,,брат
212,Schwester::N,,сестра
213,Onkel::N,,дядько
214,Tante::N,,тітка
215,Ehemann::N,,чоловік
216,Ehefrau::N,,жінка
217,Ehefrau::N,,дружина
218,Freude::N,,радощі
219,Gelächter::N,,сміх
220,Glück::N,,щастя
221,Kummer::N,,горе
222,Wunsch::N,,бажання
223,Lust::N,,бажання
224,Geist::N,,дух
225,Gedanke::N,,думка
226,Gedächtnis::N,,пам’ять
227,Verstand::N,,розум
228,Sinn::N,,зміст
229,Sinn::N,,значення
230,Grund::N,,причина
231,Wahrheit::N,,правда
232,Gespräch::N,,розмова
233,Märchen::N,,байка
234,Erzählung::N,,повість
235,Erzählung::N,,оповідання
236,Nachricht::N,,повідомлення
237,Neuigkeit::N,,новина
238,Name::N,,ім’я
239,Rätsel::N,,загадка
240,Rede::N,,промова
241,Sprache::N,,мова
242,Stimme::N,,голос
243,Wort::N,,слово
244,Zeichen::N,,знак
245,Ruf::N,,оклик
246,Lärm::N,,шум
247,Laut::N,,звук
248,Ton::N,,тон
249,Lied::N,,пісня
250,Ruhe::N,,спокій
251,Leute::N,,люди
252,Volk::N,,народ
253,Arbeit::N,,робота
