,Concept_ID,ps,az
0,Auge::N,سترګه,göz
1,Ohr::N,غوږ,qulaq
2,Nase::N,پوزه,burun
3,Mund::N,خوله,ağız
4,Zahn::N,غاښ,diş
5,Zunge::N,جبه,dil
6,Lippe::N,شونډه,dodaq
7,Wange::N,باړخو,yanaq
8,Gesicht::N,مخ,üz
9,Stirn::N,تندی,alın
10,Stirn::N,وچولی,alın
11,Haar::N,وېښته,saç
12,Schnurrbart::N,برېت,bığ
13,Bart::N,ږیره,saqqal
14,Kinn::N,زنه,çənə
15,Kiefer[Anatomie]::N,جامه,çənə
16,Kehle::N,غاړه,boğaz
17,Hals::N,غاړه,boyun
18,Genick::N,ورمېږ,ənsə
19,Kopf::N,سر,baş
20,Rücken::N,شا,bel
21,Bauch::N,نس,qarın
22,Bauch::N,ګېډه,qarın
23,Nabel::N,نوم,göbək
24,Busen::N,تی,məmə
25,Brust::N,سینه,döş
26,Schulter::N,اوږه,çiyin
27,Arm::N,لاس,qol
28,Ellenbogen::N,څنګل,dirsək
29,Hand::N,لاس,əl
30,Handfläche::N,ورغوی,ovuc
31,Finger::N,ګوته,barmaq
32,Fingernagel::N,نوک,barmaq dırnağı
33,Nagel[Anatomie]::N,نوک,dırnak
34,Zeh::N,ګوته,ayaq barmağı
35,Fuß::N,پښه,ayaq
36,Ferse::N,پونده,daban
37,Knie::N,زنګون,diz
38,Oberschenkel::N,پتون,bud
39,Bein::N,پښه,qıç
40,Körper::N,ځان,əndam
41,Haut::N,پوټکی,dəri
42,Blut::N,وینه,qan
43,Ader::N,رګ,damar
44,Sehne::N,پله,vətər
45,Knochen::N,هډوکی,sümük
46,Gehirn::N,ماغزه,beyin
47,Herz::N,زړه,ürək
48,Magen::N,معده,mədə
49,Leber::N,ينه,qara ciyər
50,Leber::N,ځیګر,qara ciyər
51,Atem::N,نفس,nəfəs
52,Hunger::N,ولږه,aclıq
53,Träne::N,اوښکه,göz yaşı
54,Geschmack::N,مزه,tam
55,Geschmack::N,مزه,ləzzət
56,Geschmack::N,خوند,tam
57,Geschmack::N,خوند,ləzzət
58,Geruch::N,بوی,qoxu
59,Schlaf::N,خوب,yuxu
60,Traum::N,خوب,röya
61,Himmel::N,اسمان,göy
62,Himmel::N,اسمان,səma
63,Sonne::N,لمر,günəş
64,Mond::N,سپوږمۍ,ay
65,Stern::N,ستوری,ulduz
66,Luft::N,هوا,hava
67,Wind::N,ورښ,yel
68,Wind::N,ورښ,külək
69,Welle::N,موج,dalğa
70,Wasser::N,اوبه,su
71,Stein::N,ډبره,daş
72,Boden::N,مځکه,yer
73,Boden::N,مځکه,zəmin
74,Erde::N,خاوره,yer torpaq
75,Staub::N,ګرد,toz
76,Staub::N,خاوره,toz
77,Rauch::N,دود,tüstü
78,Rauch::N,لوګی,tüstü
79,Funke::N,سپرغۍ,qığılcım
80,Feuer::N,اور,od
81,Licht::N,رڼا,işıq
82,Schatten::N,سیوری,kölgə
83,Wetter::N,هوا,hava
84,Nebel::N,لړه,duman
85,Wolke::N,ورېځ,bulud
86,Regen::N,وریا,yağış
87,Regen::N,وریا,yağmur
88,Regen::N,باران,yağış
89,Regen::N,باران,yağmur
90,Schnee::N,واوره,qar
91,Eis::N,یخ,buz
92,Eis::N,کنګل,buz
93,Frost::N,یخ,ayaz
94,Kälte::N,ساړه,soyuq
95,Hitze::N,تودوخي,coşğunluq
96,Raureif::N,سپینه پرخه,qırov
97,Regenbogen::N,بوډۍ ټال,göy qurşağı
98,Regenbogen::N,سره زرغونه,göy qurşağı
99,Donner::N,تالنده,göy gurultusu
100,Strömung::N,بهېدنه,axın
101,Tropfen::N,قطره,damcı
102,Tropfen::N,څاڅکی,damcı
103,Schaum::N,ځګ,köpük
104,Schmutz::N,ناپاکي,çamır
105,See::N,جهیل,göl
106,Sumpf::N,جبه,bataqlıq
107,Moor::N,جبه,bataqlıq
108,Wiese::N,چمن,çəmən
