,Concept_ID,de,da
184,Schlinge::N,Schlinge,snare
185,Spur::N,Spur,spor
186,Asche::N,Asche,aske
187,Dreck::N,Dreck,snavs
188,Eisen::N,Eisen,jern
189,Gold::N,Gold,guld
190,Silber::N,Silber,sølv
191,Kohle::N,Kohle,kul
192,Glas::N,Glas,glas
193,Lehm::N,Lehm,ler
194,Sand::N,Sand,sand
195,Mensch::N,Mensch,mennesge
196,Mann::N,Mann,mand
197,Frau::N,Frau,kvinde
198,Kind::N,Kind,barn
199,Junge::N,Junge,dreng
200,Mädchen::N,Mädchen,pige
201,Familie::N,Familie,familie
202,Großvater::N,Großvater,bedstefar
203,Großmutter::N,Großmutter,bedstemor
204,Eltern::N,Eltern,forældre
205,Vater::N,Vater,far
206,Mutter::N,Mutter,mor
207,Sohn::N,Sohn,søn
208,Tochter::N,Tochter,datter
209,Bruder::N,Bruder,bror
210,Schwester::N,Schwester,søster
211,Onkel::N,Onkel,onkel
212,Tante::N,Tante,tante
213,Ehemann::N,Ehemann,ægtemand
214,Ehefrau::N,Ehefrau,hustru
215,Freude::N,Freude,glæde
216,Gelächter::N,Gelächter,latter
217,Glück::N,Glück,lykke
218,Kummer::N,Kummer,sorg
219,Wunsch::N,Wunsch,ønske
220,Lust::N,Lust,lyst
221,Geist::N,Geist,ånd
222,Gedanke::N,Gedanke,tanke
223,Gedächtnis::N,Gedächtnis,hukommelse
224,Verstand::N,Verstand,forstand
225,Sinn::N,Sinn,mening
226,Sinn::N,Sinn,betydning
227,Grund::N,Grund,grund
228,Wahrheit::N,Wahrheit,sandhed
229,Gespräch::N,Gespräch,samtale
230,Märchen::N,Märchen,eventyr
231,Erzählung::N,Erzählung,fortælling
232,Nachricht::N,Nachricht,efterretning
233,Neuigkeit::N,Neuigkeit,nyhed
234,Name::N,Name,navn
235,Rätsel::N,Rätsel,gåde
236,Rede::N,Rede,tale
237,Sprache::N,Sprache,sprog
238,Stimme::N,Stimme,stemme
239,Wort::N,Wort,ord
240,Zeichen::N,Zeichen,tegn
241,Ruf::N,Ruf,råb
242,Lärm::N,Lärm,larm
243,Laut::N,Laut,lyd
244,Ton::N,Ton,tone
245,Lied::N,Lied,sang
246,Ruhe::N,Ruhe,ro
247,Ruhe::N,Ruhe,hvile
248,Leute::N,Leute,folk
249,Leute::N,Leute,mennesker
250,Volk::N,Volk,folk
251,Arbeit::N,Arbeit,arbejde
252,Gast::N,Gast,gæst
253,Geschenk::N,Geschenk,gave
254,Spiel::N,Spiel,leg
255,Gesellschaft::N,Gesellschaft,selskab
256,Hilfe::N,Hilfe,hjælp
257,Freund::N,Freund,ven
258,Kamerad::N,Kamerad,kammerat
