,Concept_ID,fa,udm
0,Auge::N,چشم,син
1,Ohr::N,گوش,пель
2,Nase::N,بینی,ныр
3,Mund::N,دهان,ым
4,Zahn::N,دندان,пинь
5,Zunge::N,زبان,кыл
6,Lippe::N,لب,ымдур
7,Wange::N,لپ,бам
8,Gesicht::N,رو,ымныр
9,Gesicht::N,چهره,ымныр
10,Stirn::N,پیشانی,кымес
11,Haar::N,مو,йырси
12,Schnurrbart::N,سبیل,мыйык
13,Bart::N,ریش,туш
14,Kinn::N,چانه,ангес
15,Kiefer[Anatomie]::N,فک,ан
16,Kiefer[Anatomie]::N,فک,анлы
17,Kiefer[Anatomie]::N,آرواره,ан
18,Kiefer[Anatomie]::N,آرواره,анлы
19,Kehle::N,حلق,гульым
20,Hals::N,گردن,чырты
21,Genick::N,پشت گردن,йырбер
22,Kopf::N,سر,йыр
23,Kopf::N,کله,йыр
24,Rücken::N,پشت,мыш
25,Bauch::N,شکم,кӧт
26,Nabel::N,ناف,гогы
27,Busen::N,پستان,ноны
28,Brust::N,سینه,мӧля
29,Schulter::N,دوش,пельпум
30,Schulter::N,شانه,пельпум
31,Arm::N,بازو,суй
32,Ellenbogen::N,آرنج,гырпум
33,Hand::N,دست,ки
34,Handfläche::N,کف دست,ки пыдэс
35,Handfläche::N,کف دست,кырым пыдэс
36,Finger::N,انگشت,чиньы
37,Fingernagel::N,ناخن دست,гижы
38,Fingernagel::N,ناخن دست,гиждӥнь
39,Nagel[Anatomie]::N,ناخن,гижы
40,Zeh::N,انگشت پا,пыдчиньы
41,Fuß::N,پا,пыд
42,Ferse::N,پاشنه,пыдбер
43,Knie::N,زانو,пыдес
44,Oberschenkel::N,ران,макес
45,Bein::N,پا,пыд
46,Bein::N,لنگ,пыд
47,Körper::N,تن,мугор
48,Körper::N,تن,вылтыр
49,Körper::N,بدن,мугор
50,Körper::N,بدن,вылтыр
51,Haut::N,پوست,ку
52,Blut::N,خون,вир
53,Ader::N,رگ,вирсэр
54,Sehne::N,زردپی,вуж
55,Knochen::N,استخوان,лы
56,Gehirn::N,مخ,вим
