,Concept_ID,vep,pl
0,Auge::N,sil'm,oko
1,Ohr::N,korv,ucho
2,Nase::N,nena,nos
3,Mund::N,su,usta
4,Zahn::N,pi,ząb
5,Zahn::N,hambaz,ząb
6,Zunge::N,kel',język
7,Lippe::N,hul',warga
8,Wange::N,modpolišk,policzek
9,Gesicht::N,mod,twarz
10,Stirn::N,oc,czoło
11,Haar::N,tuk,włos
12,Haar::N,tuk,włosy
13,Haar::N,hibuz,włos
14,Haar::N,hibuz,włosy
15,Schnurrbart::N,habinod,wąsy
16,Bart::N,bard,broda
17,Kinn::N,löug,podbródek
18,Kiefer[Anatomie]::N,hambazlu,czeluść
19,Kehle::N,kurk,gardło
20,Hals::N,kagl,szyja
21,Genick::N,tagarai,kark
22,Kopf::N,pä,głowa
23,Rücken::N,sel'g,plecy
24,Rücken::N,sel'g,grzbiet
25,Bauch::N,vac,brzuch
26,Bauch::N,koht,brzuch
27,Nabel::N,naba,pępek
28,Busen::N,niža,biust
29,Brust::N,rind,pierś
30,Schulter::N,oug,bark
31,Schulter::N,oug,ramię
32,Arm::N,käzi,ręka
33,Arm::N,käzi,ramię
34,Ellenbogen::N,künambruz,łokieć
35,Hand::N,käzi,dłoń
36,Hand::N,käzitera,dłoń
37,Handfläche::N,kämen,dłoń
38,Finger::N,sor'm,palec
39,Fingernagel::N,künz',paznokieć
40,Nagel[Anatomie]::N,künz',paznokieć
41,Zeh::N,barbaz,palec
42,Fuß::N,jaug,stopa
43,Ferse::N,kand,pięta
44,Knie::N,komb,kolano
45,Knie::N,pol'v,kolano
46,Oberschenkel::N,riiže,udo
47,Bein::N,jaug,noga
48,Körper::N,hibj,ciało
49,Haut::N,nahk,skóra
50,Blut::N,čak,krew
51,Blut::N,veri,krew
52,Ader::N,son',żyła
53,Sehne::N,jände,ścięgno
54,Knochen::N,lu,kość
55,Gehirn::N,aivod,mózg
56,Herz::N,südäin,serce
57,Magen::N,südäikoht,żołądek
58,Leber::N,maks,wątroba
59,Atem::N,hengaiduz,dech
60,Atem::N,hengaiduz,oddech
61,Hunger::N,näl'g,głód
62,Träne::N,kündal',łza
63,Geschmack::N,magu,smak
64,Geruch::N,haju,woń
65,Geruch::N,haju,zapach
66,Schlaf::N,uni,sen
67,Traum::N,unikuva,sen
68,Himmel::N,taivaz,niebo
69,Sonne::N,päiväine,słońce
70,Mond::N,kudmaine,księżyc
71,Stern::N,tähtaz,gwiazda
72,Luft::N,il'm,powietrze
73,Wind::N,döl,wiatr
74,Wind::N,tullei,wiatr
75,Welle::N,ald,fala
76,Welle::N,laineh,fala
77,Wasser::N,vezi,woda
78,Stein::N,kivi,kamień
79,Boden::N,ma,grunt
80,Boden::N,pohj,grunt
81,Erde::N,ma,ziemia
82,Staub::N,pölü,pył
83,Staub::N,pölü,kurz
84,Rauch::N,savu,dym
85,Funke::N,kibin,iskra
86,Feuer::N,lämoi,ogień
87,Licht::N,vauktuz,światło
88,Schatten::N,pil'vez,cień
89,Schatten::N,kuvahaine,cień
90,Wetter::N,sä,pogoda
91,Nebel::N,sumeg,mgła
92,Wolke::N,pil'v,obłok
93,Wolke::N,pil'v,chmura
94,Regen::N,vihm,deszcz
95,Schnee::N,lumi,śnieg
96,Eis::N,jä,lód
97,Frost::N,hala,mróz
98,Frost::N,pakaine,mróz
99,Kälte::N,vilu,chłód
100,Hitze::N,räk,gorąco
101,Raureif::N,hüde,szron
102,Regenbogen::N,jumalanbembel',tęcza
103,Donner::N,juru,grzmot
