,Concept_ID,zh,sah
0,Auge::N,眼睛,харах
1,Ohr::N,耳朵,кулгаах
2,Nase::N,鼻子,мурун
3,Mund::N,嘴,айах
4,Zahn::N,牙齿,тиис
5,Zunge::N,舌头,тыл
6,Lippe::N,嘴唇,уос
7,Wange::N,面颊,иэдэс
8,Gesicht::N,脸,сирэй
9,Stirn::N,额,сүүс
10,Haar::N,头发,баттах
11,Schnurrbart::N,髭须,уос бытыга
12,Bart::N,胡子,сэҥийэ бытыга
13,Kinn::N,下巴,сэҥийэ
14,Kiefer[Anatomie]::N,颌,сыҥаах
15,Kehle::N,嗓子,тамах
16,Kehle::N,嗓子,күөмэй
17,Hals::N,颈,моой
18,Genick::N,后颈,кэтэх
19,Kopf::N,头,бас
20,Rücken::N,背,көҕүс
21,Bauch::N,肚子,ис
22,Nabel::N,肚脐,киин
23,Busen::N,胸脯,эмиий
24,Brust::N,胸,түөс
25,Schulter::N,肩膀,сарын
26,Arm::N,臂膀,илии
27,Ellenbogen::N,肘,тоҕонох
28,Hand::N,手,илии
29,Handfläche::N,手掌,ытыс
30,Finger::N,手指,тарбах
31,Fingernagel::N,指甲,тыҥырах
32,Nagel[Anatomie]::N,指甲,тыҥырах
33,Zeh::N,脚趾,тарбах
34,Fuß::N,脚,уллуҥах
35,Ferse::N,后跟,тилэх
36,Knie::N,膝,тобук
37,Knie::N,膝,дьилбэк
38,Oberschenkel::N,大腿,уллук
39,Oberschenkel::N,大腿,өттүк
40,Bein::N,腿,атах
41,Körper::N,身体,бэйэ
42,Haut::N,皮肤,тирии
43,Blut::N,血,хаан
44,Ader::N,血管,вена
45,Ader::N,血管,күөх_тымыр
46,Sehne::N,腱,иҥиир
47,Knochen::N,骨,уҥуох
48,Knochen::N,骨,уҥгуох
49,Gehirn::N,脑,мэйии
50,Herz::N,心,сүрэх
51,Magen::N,胃,куртах
52,Leber::N,肝,быар
53,Atem::N,呼吸,тыын
54,Hunger::N,饿,аас
55,Träne::N,眼泪,харах уута
56,Geschmack::N,味道,амтан
57,Geruch::N,气味,сыт
58,Schlaf::N,睡眠,утуйуу
59,Traum::N,梦,түүл
60,Himmel::N,天空,халлаан
61,Sonne::N,太阳,күн
62,Mond::N,月亮,ый
63,Stern::N,星,сулус
64,Luft::N,空气,салгын
65,Wind::N,风,тыал
66,Welle::N,波,долгун
67,Welle::N,波,балхаан
68,Wasser::N,水,уу
69,Stein::N,石头,таас
70,Boden::N,地面,сир
71,Erde::N,地,буор
72,Staub::N,灰尘,быыл
73,Rauch::N,烟,буруо
74,Funke::N,火花,кыым
75,Feuer::N,火,уот
76,Licht::N,光,уот
77,Schatten::N,影子,күлүк
78,Wetter::N,天气,күн-дьыл
79,Nebel::N,雾,туман
80,Wolke::N,云,былыт
81,Regen::N,雨,самыыр
82,Schnee::N,雪,хаар
83,Eis::N,冰,муус
84,Frost::N,霜冻,тымныы
85,Kälte::N,寒冷,тымныы
86,Hitze::N,炎热,куйаас
87,Raureif::N,霜,кырыа
88,Regenbogen::N,虹,кустук
89,Donner::N,雷,этиҥ
90,Strömung::N,水流,сүүрүк
91,Tropfen::N,滴,таммах
92,Tropfen::N,滴,хааппыла
93,Schaum::N,泡沫,күүгэн
94,Schmutz::N,赃物,кир
95,See::N,湖,күөл
96,Sumpf::N,沼泽,бадараан
97,Moor::N,沼泽,дьэбэрэ
98,Wiese::N,草地,ходуһа
99,Wald::N,森林,ойуур
100,Hügel::N,丘陵,булгунньах
101,Anhöhe::N,山丘,үрдэл
102,Berg::N,山,хайа
103,Gipfel::N,峰,чыпчаал
104,Höhle::N,洞穴,хайа_хаспаҕа
105,Höhle::N,洞穴,көҥүс
106,Abhang::N,斜坡,эниэ
107,Quelle::N,泉,дьүүктэ
108,Bach::N,溪,үрүйэ
109,Fluss::N,河流,өрүс
110,Ufer::N,岸,биэрэк
111,Küste::N,海岸,кытыл
112,Festland::N,大陆,кураанах сир
113,Meer::N,海,муора
114,Bucht::N,海湾,хомо
