,Concept_ID,sk,ady
0,Auge::N,oko,нэ
1,Ohr::N,ucho,тхьакӏу́м
2,Nase::N,nos,пэ
3,Mund::N,ústa,жэ
4,Zahn::N,zub,цэ
5,Zunge::N,jazyk,бзэгу
6,Lippe::N,pera,ӏупшӏэ́
7,Wange::N,líce,нэкӏу́шъу
8,Gesicht::N,tvár,нэ́гу
9,Gesicht::N,obličaj,нэ́гу
10,Stirn::N,čelo,натӏэ́
11,Haar::N,vlas,шъхьацы́
12,Schnurrbart::N,fúzy,
13,Bart::N,brada,жакӏэ́
14,Kinn::N,brada,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,čeľusť,жэпкъы́
16,Kehle::N,hrdlo,чый
17,Hals::N,krk,пшъэ
18,Genick::N,väzy,шъхьэпхэтыку
19,Kopf::N,hlava,шъхьэ́
20,Rücken::N,chrbát,кӏыбы́
21,Bauch::N,brucho,ныбэ́
22,Nabel::N,pupok,
23,Busen::N,prsia,бгъэ́
24,Brust::N,hruď,бгъэ́
25,Schulter::N,plece,блыпкъ
26,Arm::N,rameno,ӏэ
27,Ellenbogen::N,lakeť,ӏэнтэ́гъу
28,Hand::N,ruka,ӏэтхьэцу
29,Handfläche::N,dlaň,ӏэ́гу
30,Finger::N,prst,ӏэхъуа́мб
31,Fingernagel::N,necht,ӏэбжъа́н
32,Nagel[Anatomie]::N,necht,ӏэбжъа́н
33,Zeh::N,prst na nohe,ӏэхъуа́мб
34,Fuß::N,noha,лъэгу
35,Ferse::N,päta,лъэдакъэ
36,Knie::N,koleno,лъагуа́ндж
37,Oberschenkel::N,stehno,ко
38,Bein::N,noha,лъакъо́
39,Körper::N,telo,пкъышъол
40,Haut::N,koža,кӏы́шъу
41,Blut::N,krv,лъы
42,Ader::N,žila,льытф
43,Sehne::N,šľacha,фэ
44,Knochen::N,kosť,къупшъхьэ́
45,Gehirn::N,mozog,куцӏы
46,Herz::N,srdce,гу
47,Magen::N,žalúdok,мышкӏу
48,Leber::N,pečeň,шӏу
49,Atem::N,dych,къэщэныр
50,Hunger::N,hlad,гъаблэ́
51,Träne::N,slza,нэпсы
52,Geschmack::N,chuť,ӏэшӏугъа́кӏ
53,Geruch::N,pach,мэ
54,Schlaf::N,spánok,пчыхьы́пӏ
55,Traum::N,sen,пчыхьы́пӏ
56,Himmel::N,nebo,уашъо́
57,Sonne::N,slnko,тыгъэ
58,Mond::N,mesiac,мазэ
59,Stern::N,hviezda,жъуагъо́
60,Luft::N,vzduch,жьы
61,Wind::N,vietor,жьыбгъэ́
62,Welle::N,vlna,ор
63,Welle::N,vlna,оры
64,Wasser::N,voda,псы
65,Stein::N,kameň,мыжъо́
66,Boden::N,zem,чӏ́ыгу
67,Boden::N,pôda,чӏ́ыгу
68,Erde::N,zem,чӏ́ыгу
69,Staub::N,prach,сап
70,Rauch::N,dym,ӏугъо́
71,Funke::N,iskra,мэшӏуа́ч
72,Feuer::N,oheň,машӏо́
73,Licht::N,svetlo,нэфы
74,Licht::N,svetlo,нэфын
75,Schatten::N,tieň,жьау́
76,Schatten::N,tieň,ныбжьыкъу
77,Wetter::N,počasie,
78,Nebel::N,hmla,пща́гъу
79,Wolke::N,oblak,ошъуапщэ
80,Wolke::N,mračno,ошъуапщэ
81,Regen::N,dážď,ощхы
82,Schnee::N,sneh,осы́
83,Eis::N,ľad,мылы
84,Frost::N,mráz,
85,Kälte::N,zima,чъыӏэ́
86,Kälte::N,chlad,чъыӏэ́
87,Hitze::N,horúčava,фэба́е
88,Raureif::N,srieň,
89,Raureif::N,inovať,
90,Regenbogen::N,dúha, лэгъупэкъо́пс
91,Donner::N,hrom,шыблэ́
92,Strömung::N,prúdenie,ток
93,Tropfen::N,kvapka,ткӏопс
94,Tropfen::N,kvapka,гъуаткӏу
95,Schaum::N,pena,тхъурбэ
96,Schmutz::N,špina,псынжъы
97,Schmutz::N,nečistota,псынжъы
98,See::N,jazero,хыку́м
99,See::N,jazero,псыхъура́й
100,Sumpf::N,bahno,орыжъ
101,Moor::N,močiar,орыжъ
102,Wiese::N,lúka,хъупӏэ́
103,Wiese::N,lúka,мэкъупӏ
104,Wald::N,les,мэзы́
105,Wald::N,hora,мэзы́
106,Hügel::N,vŕšok,ӏуашъхь
107,Anhöhe::N,výšina,чӏыӏэтыгъ
108,Anhöhe::N,vyvýšenina,чӏыӏэтыгъ
109,Berg::N,hora,къушъхьэ́
110,Gipfel::N,vrchol,шыгу
111,Höhle::N,jaskyňa,гъочӏэгъ
112,Abhang::N,úbočie,чапэ
113,Quelle::N,prameň,псынэчэ́чъ
114,Bach::N,potok,псышкуашку
115,Fluss::N,rieka,псыхъо́
116,Ufer::N,breh,нэпкъы
117,Küste::N,pobrežie,ӏушъо
118,Festland::N,pevnina,чӏл́ыгу
119,Meer::N,more,хы
120,Bucht::N,záliv,хыблыгу
121,Bucht::N,zátoka,хыблыгу
122,Insel::N,ostrov,хыгъэхъу́н
123,Blume::N,kvet,къэгъа́гь
124,Blume::N,kvetina,къэгъа́гь
125,Gras::N,tráva,уцы́
126,Wurzel::N,koreň,лъапсэ́
127,Baum::N,strom,чъыгы́
128,Stamm::N,kmeň,пкъы
129,Rinde::N,kôra,пхъашъо́
130,Ast::N,konár,куамэ
131,Zweig::N,vetva,къутамэ́
132,Blatt::N,list,тхьап
133,Birke::N,breza,пчэн
134,Kiefer[Baum]::N,sosna,сэснэй
135,Kiefer[Baum]::N,borovica,сэснэй
136,Weide[Baum]::N,vŕba,пце́л
137,Tanne::N,jedľa,ель
138,Horn::N,roh,бжъэ
139,Feder::N,pero,къамӏы́й
140,Fell::N,koža,шъо
141,Fell::N,kožušina,шъо
142,Flügel::N,krídlo,тамэ́
143,Klaue::N,paznecht,лъэбжъа́н
144,Kralle::N,pazúr,лъакъо
145,Schwanz::N,chvost,кӏэ
146,Ei::N,vajce,кӏэнкӏэ́
147,Ei::N,vajíčko,кӏэнкӏэ́
148,Nest::N,hniezdo,набгъо́
149,Bau::N,nora,гъу
150,Bau::N,nora,бы
151,Tier::N,zviera,псэу́шъхь
152,Herde::N,stádo,ӏэхъогъу
153,Kuh::N,krava,чэмы́
154,Bulle::N,býk,цу
155,Pferd::N,kôň,шы
156,Schaf::N,ovca,мэлы́
157,Schwein::N,sviňa,къо
158,Hund::N,pes,бьэ
159,Katze::N,mačka,чэты́у
160,Bär::N,medveď,мышъэ́
161,Eichhörnchen::N,veverička,цызэ́
162,Elch::N,los,лось
163,Fuchs::N,líška,баджэ́
164,Hase::N,zajac,тхьакӏумкӏы́хь
165,Maus::N,myš,цыгъо́
166,Wolf::N,vlk,тыгъу́жъ
167,Vogel::N,vták,бзы́у
168,Schwarm::N,roj,отэр
169,Huhn::N,kurča,чэты́
170,Huhn::N,sliepka,чэты́
171,Hahn::N,kohút,атакъэ́
172,Gans::N,hus,къа́з
173,Adler::N,orol,
174,Ente::N,kačka,псычэ́т
175,Ente::N,kačica,псычэ́т
176,Eule::N,sova,тыгъурыгъу
177,Kranich::N,žeriav,къэрэ́у
178,Krähe::N,vrana,къолэ́жъ
179,Kuckuck::N,kukučka,куку́у
180,Schwan::N,labuť,
181,Fisch::N,ryba,пцэжъы́й
182,Barsch::N,ostriež,тхыкъэц
183,Hecht::N,šťuka,лэнд
184,Schlange[Tier]::N,had,блэ́
185,Wurm::N,červ,хьамлыу
186,Spinne::N,pavúk,бэдж
187,Ameise::N,mravec,къамзэ́гу
188,Laus::N,voš,цӏэ
189,Mücke::N,komár,аргъо́й
190,Fliege::N,mucha,бадзэ́
191,Schmetterling::N,motýľ,хьампӏыра́шъу
192,Beere::N,bobuľa,маткӏо
193,Apfel::N,jablko,мыӏэры́с
194,Pilz::N,hríb,хьаӏу
195,Zwiebel::N,cibuľa,бжьыны́
196,Saat::N,osivo,чылапхъ
197,Korn::N,zrno,цэ
198,Heu::N,seno,мэкъу
199,Schale::N,šupa,кӏы́шъу
200,Schale::N,škrupina,кӏы́шъу
201,Grube::N,jama,машэ́
202,Falle::N,pasca,зэраубытырэ́ ӏэмэпсы́м
203,Falle::N,klepec,зэраубытырэ́ ӏэмэпсы́м
204,Schlinge::N,slučka,бзыуубыт
205,Spur::N,stopa,ужы
206,Spur::N,stopa,лъэуж
207,Asche::N,popol,яжьэ́
208,Dreck::N,kal,псынжъы
209,Dreck::N,blato,псынжъы
210,Eisen::N,železo,гыучӏы́
211,Eisen::N,železo,къэнджа́л
212,Gold::N,zlato,дышъэ́
213,Silber::N,striebro,тыжьы́н
214,Kohle::N,uhlie,шӏомыкӏ
215,Glas::N,sklo,апч
216,Lehm::N,íl,етӏагъо́
217,Lehm::N,hlina,етӏагъо́
218,Sand::N,piesok,пшахъо
219,Mensch::N,človek,цӏыфы́
220,Mann::N,muž,хъулъфы́гъ
221,Mann::N,chlap,хъулъфы́гъ
222,Frau::N,žena,бӏылъфыгъэ́
223,Kind::N,dieťa,кӏэлэцӏы́кӏу
224,Junge::N,chlapec,кӏэлэцӏы́кӏу
225,Mädchen::N,dievka,пшъэшъэжъый
226,Familie::N,rodina,быны́
227,Familie::N,rodina,уна́гъу
228,Großvater::N,dedo,тэтэ́жъ
229,Großvater::N,starý otec,тэтэ́жъ
230,Großmutter::N,babička,нэнэ́жъ
231,Großmutter::N,stará mať,нэнэ́жъ
232,Eltern::N,rodičia,ны-тыхэ́р
233,Vater::N,otec,ты
234,Mutter::N,mať,ны
235,Mutter::N,matka,ны
236,Sohn::N,syn,къо
237,Tochter::N,dcéra,пхъу
238,Bruder::N,brat,шы
239,Schwester::N,sestra,шы́пхъу
240,Onkel::N,ujo,янэ́ш
241,Onkel::N,strýko,янэ́ш
242,Tante::N,teta,атэшыпхъу
243,Tante::N,tetka,атэшыпхъу
244,Ehemann::N,muž,лӏы
245,Ehemann::N,manžel,лӏы
246,Ehefrau::N,žena,шъу́з
247,Ehefrau::N,manželka,шъу́з
248,Freude::N,radosť,гушӏуа́гъу
249,Gelächter::N,smiech,щхыныр
250,Glück::N,šťastie,насы́п
251,Kummer::N,žiaľ,тхьамыкӏагъу
252,Kummer::N,zármutok,тхьамыкӏагъу
253,Wunsch::N,prianie,шӏонгъоны́гъ
254,Lust::N,chuť,шӏонгъоны́гъ
255,Geist::N,duch,гу
256,Gedanke::N,myšlienka,гупшыс
257,Gedächtnis::N,pamäť,память
258,Verstand::N,rozum,акъы́л
259,Sinn::N,zmysel,мэхьанэ
260,Grund::N,dôvod,ушъхьагъу
261,Grund::N,príčina,ушъхьагъу
262,Wahrheit::N,pravda,шъыпкъэ́
263,Gespräch::N,reč,гущыӏ
264,Gespräch::N,rozhovor,гущыӏ
265,Märchen::N,rozprávka,пшысэ
266,Erzählung::N,poviedka,къэба́р
267,Nachricht::N,správa,къэба́р
268,Neuigkeit::N,novinka,къэбарыкӏ
269,Name::N,meno,цӏэ
270,Rätsel::N,záhada,коджэхь-къоджэшх
271,Rätsel::N,hádanka,коджэхь-къоджэшх
272,Rede::N,reč,гущыӏ
273,Sprache::N,reč,бзэ
274,Sprache::N,jazyk,бзэ
275,Stimme::N,hlas,макъэ́
276,Wort::N,slovo,гущыӏ
277,Zeichen::N,znak,тамы́гъ
278,Ruf::N,volanie,джэ макъ
279,Ruf::N,zavolanie,джэ макъ
280,Lärm::N,hluk,макъэ
281,Lärm::N,hurhaj,макъэ
282,Laut::N,zvuk,макъэ
283,Ton::N,tón,
284,Ton::N,zvuk,
285,Lied::N,pieseň,орэ́д
286,Ruhe::N,pokoj,самбырыныгъ
287,Leute::N,ľudia,цӏыфхэ́р
288,Volk::N,ľud,цӏыф лъэпкъ
289,Volk::N,národ,цӏыф лъэпкъ
290,Arbeit::N,práca,ӏофшӏакӏэ́н
291,Arbeit::N,robota,ӏофшӏакӏэ́н
292,Gast::N,hosť,хьакӏэ́
293,Geschenk::N,dar,шӏухьафтын
294,Spiel::N,hra,еоны́р
295,Spiel::N,hra,джэгуны́р
296,Spiel::N,hra,къегъэӏоны́р
297,Gesellschaft::N,spoločnosť,обществ
298,Hilfe::N,pomoc,ӏэпыӏэгъу
299,Freund::N,priateľ,ныбджэгъу
300,Kamerad::N,kamarát,ныбджэгъу
301,Angelegenheit::N,vec,ӏофы́
302,Angelegenheit::N,záležitosť,ӏофы́
303,Anzahl::N,počet,пчъагъэ́
304,Anzahl::N,množstvo,пчъагъэ́
305,Art::N,druh,изэрэщы́т
306,Art::N,druh,лъэпкъ
307,Stück::N,kus,такъы́р
308,Stück::N,kúsok,такъы́р
309,Teil::N,časť,щыщ
310,Teil::N,časť,ӏахь
311,Hälfte::N,polka,ныкъо́
312,Hälfte::N,polovica,ныкъо́
313,Kreis::N,kruh,хъура́й
314,Kreuz::N,kríž,къащ
315,Linie::N,línia,хъахъ
316,Linie::N,línia,итхъа́гъ
317,Strich::N,čiara,хъахъ
318,Strich::N,čiara,итхъагъ
319,Abstand::N,vzdialenosť,азыфагу
320,Entfernung::N,vzdialenosť,чӏыгууанэ
321,Gegend::N,kraj,чӏыпӏэ́
322,Gegend::N,krajina,чӏыпӏэ́
323,Platz::N,miesto,азыфагу
324,Ort::N,miesto,чӏыпӏэ́
325,Seite::N,bok,лъэны́къу
326,Seite::N,strana,лъэны́къу
327,Mitte::N,stred,гузэ́гу
328,Gegenstand::N,predmet,пкъыгъо
329,Sache::N,vec,
330,Rand::N,kraj,цакӏэ́
331,Rand::N,okraj,цакӏэ́
332,Kante::N,hrana,цэгэналъ
333,Ecke::N,roh,къогъу
334,Spitze::N,hrot,пакӏэ
335,Spitze::N,špička,пакӏэ
336,Ende::N,koniec,кӏэ
337,Loch::N,diera,гъуа́н
338,Winkel::N,kút,къогъу
339,Muster::N,vzor,тхыпхъэ
340,Muster::N,vzorka,тхыпхъэ
341,Größe::N,veľkosť,иина́гъ
342,Länge::N,dĺžka,икӏыхьа́гъ
343,Höhe::N,výška,лъэгагъ
344,Gewicht::N,váha,онтэгъугъэ́
345,Menge::N,množstvo,пчъагъэ́
346,Haufen::N,hŕba,ӏат
347,Reihe::N,rad,саты́р
348,Boot::N,čln,къуашъо́
349,Ruder::N,veslo,къошъобэ́щ
350,Schlitten::N,sane,
351,Ski::N,lyža,лыжэхэр
352,Lagerfeuer::N,táborák,пхъэмашӏу
353,Last::N,ťarcha,
354,Last::N,bremeno,
355,Gang::N,chôdza,кӏоныр
356,Schritt::N,krok,лъэубэ́къу
357,Norden::N,sever,темы́р
358,Süden::N,juh,къыблэ́
359,Westen::N,západ,тыгъэкъохьа́пӏ
360,Osten::N,východ,тыгьэкъокӏы́пӏ
361,Holz::N,drevo,чъыгы́
362,Brett::N,doska,пхъэ́мбгъу
363,Platte::N,doska,упсыхьагъ
364,Platte::N,platňa,упсыхьагъ
365,Stütze::N,opora,кӏэгъэкъон
366,Stange::N,tyč,къорэ́гъ
367,Stock::N,palica,бэщ
368,Stab::N,palica,бэщ кӏы́хь
369,Rohr::N,rúra,онджэкъ
370,Haus::N,dom,унэ́
371,Heim::N,domov,унэ́
372,Ofen::N,pec,гъэжъэн
373,Ofen::N,kachle,гъэжъэн
374,Fußboden::N,dlážka,джэхашъу
375,Fußboden::N,podlaha,джэхашъу
376,Tisch::N,stôl,стол
377,Stuhl::N,stolička,пхъэнтӏэ́кӏу
378,Wiege::N,kolíska,кушъэ́
379,Bett::N,lôžko,пӏэкӏо́р
380,Bett::N,posteľ,пӏэкӏо́р
381,Regal::N,regál,мэкӏай
382,Regal::N,polica,мэкӏай
383,Kiste::N,debna,ящык
384,Fenster::N,okno,шъхьаныгъу́пчъ
385,Fenster::N,oblok,шъхьаныгъу́пчъ
386,Tür::N,dvere,пчъэ
387,Tor::N,vráta,къэла́пчъ
