,Concept_ID,mdf,sah
0,Auge::N,сельме,харах
1,Ohr::N,пиле,кулгаах
2,Nase::N,шалхка,мурун
3,Mund::N,курга,айах
4,Zahn::N,пей,тиис
5,Zunge::N,кяль,тыл
6,Lippe::N,търва́,уос
7,Wange::N,щёка,иэдэс
8,Gesicht::N,шама,сирэй
9,Stirn::N,коня,сүүс
10,Haar::N,шя́ярь,баттах
11,Schnurrbart::N,уса́,уос бытыга
12,Bart::N,сакал,сэҥийэ бытыга
13,Kinn::N,ула,сэҥийэ
14,Kiefer[Anatomie]::N,саласка,сыҥаах
15,Kehle::N,кълдома,тамах
16,Kehle::N,кълдома,күөмэй
17,Kehle::N,кърга́парь,тамах
18,Kehle::N,кърга́парь,күөмэй
19,Hals::N,сялдаз,моой
20,Genick::N,шовонь,кэтэх
21,Kopf::N,пря,бас
22,Rücken::N,копорь,көҕүс
23,Bauch::N,пеке,ис
24,Nabel::N,по́кон,киин
25,Busen::N,потя,эмиий
26,Brust::N,мяште,түөс
27,Schulter::N,лафту,сарын
28,Arm::N,кядь,илии
29,Ellenbogen::N,кенерьба́карь,тоҕонох
30,Hand::N,кядь,илии
31,Handfläche::N,кядьлапш,ытыс
32,Finger::N,сур,тарбах
33,Fingernagel::N,кенже,тыҥырах
34,Nagel[Anatomie]::N,кенже,тыҥырах
35,Zeh::N,пильгосу́р,тарбах
36,Fuß::N,пильге,уллуҥах
37,Fuß::N,пильгелапа,уллуҥах
38,Ferse::N,кочкяря,тилэх
39,Knie::N,эль,тобук
40,Knie::N,эль,дьилбэк
41,Knie::N,пълма́нжа,тобук
42,Knie::N,пълма́нжа,дьилбэк
43,Oberschenkel::N,пильгепукша,уллук
44,Oberschenkel::N,пильгепукша,өттүк
45,Bein::N,пильге,атах
46,Körper::N,ро́нга,бэйэ
47,Körper::N,по́нда,бэйэ
48,Haut::N,киське,тирии
49,Blut::N,вер,хаан
50,Ader::N,сан,вена
51,Ader::N,сан,күөх_тымыр
52,Ader::N,верза́н,вена
53,Ader::N,верза́н,күөх_тымыр
54,Sehne::N,коське сан,иҥиир
55,Knochen::N,пакарь,уҥуох
56,Knochen::N,пакарь,уҥгуох
57,Gehirn::N,уй,мэйии
58,Herz::N,седи,сүрэх
59,Magen::N,коткърдазь,куртах
60,Leber::N,макса,быар
61,Atem::N,лекома,тыын
62,Atem::N,ваймонь тарксема,тыын
63,Hunger::N,вачеши,аас
64,Träne::N,сельмове́дь,харах уута
65,Geschmack::N,таньф,амтан
66,Geruch::N,шине,сыт
67,Schlaf::N,удома́,утуйуу
68,Traum::N,он,түүл
69,Himmel::N,менель,халлаан
70,Sonne::N,ши,күн
71,Mond::N,ков,ый
72,Stern::N,тяште,сулус
73,Luft::N,кожф,салгын
74,Wind::N,варма,тыал
75,Welle::N,тавла,долгун
76,Welle::N,тавла,балхаан
77,Wasser::N,ведь,уу
78,Stein::N,кев,таас
79,Boden::N,мода,сир
80,Boden::N,потмакс,сир
81,Erde::N,мода,буор
82,Erde::N,мастор,буор
83,Staub::N,пуль,быыл
84,Rauch::N,качам,буруо
85,Funke::N,ця́тка,кыым
86,Feuer::N,тол,уот
87,Licht::N,ва́лда,уот
88,Schatten::N,цильф,күлүк
89,Wetter::N,уша,күн-дьыл
90,Nebel::N,тума́н,туман
91,Wolke::N,ковол,былыт
92,Regen::N,пизем,самыыр
93,Schnee::N,лов,хаар
94,Eis::N,эй,муус
95,Frost::N,ке́льме,тымныы
96,Kälte::N,якшама,тымныы
97,Hitze::N,пси,куйаас
98,Raureif::N,леш,кырыа
99,Regenbogen::N,а́тямъёнга,кустук
100,Donner::N,атям,этиҥ
101,Strömung::N,шудема́,сүүрүк
102,Tropfen::N,путькс,таммах
103,Tropfen::N,путькс,хааппыла
104,Tropfen::N,пътняфкс,таммах
105,Tropfen::N,пътняфкс,хааппыла
106,Schaum::N,шов,күүгэн
107,Schmutz::N,ърда́з,кир
108,See::N,эрьхке,күөл
109,Sumpf::N,шяй,бадараан
110,Moor::N,шяй,дьэбэрэ
111,Wiese::N,луга,ходуһа
112,Wald::N,вирь,ойуур
113,Hügel::N,губо́р,булгунньах
114,Hügel::N,пандоня,булгунньах
115,Anhöhe::N,губо́р,үрдэл
116,Berg::N,панда,хайа
117,Gipfel::N,пря,чыпчаал
118,Höhle::N,у́нда,хайа_хаспаҕа
119,Höhle::N,у́нда,көҥүс
120,Abhang::N,па́нда ша́ма,эниэ
121,Quelle::N,эшиня,дьүүктэ
122,Bach::N,шудерькс,үрүйэ
123,Fluss::N,ляй,өрүс
124,Ufer::N,търва́,биэрэк
125,Küste::N,ляйтърва́,кытыл
126,Festland::N,мода,кураанах сир
127,Meer::N,моря,муора
128,Bucht::N,ведьуське,хомо
129,Bucht::N,ведьуське,бухта
130,Insel::N,цёнга,арыы
131,Blume::N,панчф,сибэкки
132,Gras::N,тише,от
133,Wurzel::N,юр,силис
134,Wurzel::N,ункс,силис
135,Baum::N,шуфта,мас
136,Stamm::N,ро́нга,умнас
137,Rinde::N,кер,хатырык
138,Ast::N,морга,мутук
139,Zweig::N,тарад,лабаа
140,Blatt::N,лопа,сэбирдэх
141,Birke::N,ке́лу,хатыҥ
142,Kiefer[Baum]::N,пиче,бэс
143,Weide[Baum]::N,каль,үөт
144,Weide[Baum]::N,каль,талах
145,Tanne::N,куз,харыйа
146,Horn::N,сюра,муос
147,Feder::N,толга,куорсун
148,Fell::N,кедь,тирии
149,Flügel::N,паця,кынат
150,Klaue::N,кенже,тыҥырах
151,Kralle::N,кенже,баппаҕай
152,Schwanz::N,пула,кутурук
153,Ei::N,ал,сымыыт
154,Nest::N,пиза,уйа
155,Bau::N,пиза,хороон
156,Tier::N,жува́та,кыыл
157,Tier::N,жува́та,харамай
158,Herde::N,нал,үөр
159,Herde::N,стада,үөр
160,Kuh::N,скал,ынах
161,Kuh::N,тракс,ынах
162,Bulle::N,бука,оҕус
163,Pferd::N,лишме,сылгы
164,Schaf::N,уча́,овца
165,Schwein::N,тува,сибиинньэ
166,Hund::N,пине,ыт
167,Katze::N,катоня,куоска
168,Katze::N,аваката,куоска
169,Bär::N,офта,эһэ
170,Eichhörnchen::N,ур,тииҥ
171,Elch::N,ся́рда,тайах
172,Fuchs::N,келазь,саһыл
173,Hase::N,ну́мол,куобах
174,Maus::N,шеер,кутуйах
175,Wolf::N,върьгаз,бөрө
176,Vogel::N,нармонь,көтөр
177,Schwarm::N,ко́вол,бөлөх
178,Schwarm::N,ме́швеле,бөлөх
179,Huhn::N,сараз,куурусса
180,Hahn::N,а́тякш,бөтүүк
181,Gans::N,маци,хаас
182,Adler::N,куцькан,хотой
183,Ente::N,яксярга,кус
184,Eule::N,ко́рож,мэкчиргэ
185,Kranich::N,ка́рга,туруйа
186,Krähe::N,ва́рси,тураах
187,Kuckuck::N,ку́ку,кэҕэ
188,Schwan::N,ло́ксти,куба
189,Fisch::N,кал,балык
190,Barsch::N,о́кунь,алыһар
191,Hecht::N,щу́ка,сордон
192,Schlange[Tier]::N,куй,моҕой
193,Schlange[Tier]::N,куй,эриэн үөн
194,Wurm::N,сукс,үөн
195,Spinne::N,унжа́,ооҕуй
196,Ameise::N,панжам,кымырдаҕас
197,Laus::N,си,быт
198,Mücke::N,ся́ське,кумаар
199,Fliege::N,кару,сахсырҕа
200,Schmetterling::N,ме́лав,лыах
201,Schmetterling::N,ме́лав,үрүмэччи
202,Beere::N,и́мож,отон
203,Apfel::N,марь,яблоко
204,Pilz::N,панга,тэллэй
205,Zwiebel::N,шурьхкя́,луук
206,Saat::N,видьмот,сиэмэ
207,Korn::N,сёра,сиэмэ
208,Heu::N,тише,от
209,Schale::N,кедь,хах
210,Grube::N,лотка,дьаама
211,Falle::N,туфкс,сохсо
212,Falle::N,кунда́ма,сохсо
213,Schlinge::N,килькш,уктаа
