,Concept_ID,mn,da
1233,lassen::V,-уулах,få til at
1234,einladen::V,залах,indbyde
1235,einladen::V,залах,invitere
1236,vereinigen::V,нэгтгэх,forene
1237,vereinigen::V,хамтруулах,forene
1238,besuchen::V,зочлох,besøge
1239,treffen::V,учрах,møde
1240,treffen::V,дайралдах,møde
1241,sich versammeln::V,хуралдах,forsamles
1242,spielen::V,наадах,lege
1243,spielen::V,наадах,spille
1244,singen::V,дуулах,synge
1245,tanzen::V,бүжиглэх,danse
1246,sich trennen::V,салах,skilles
1247,verlassen::V,хаях,forlade
1248,retten::V,гэтэлгэх,redde
1249,bewachen::V,сахих,bevogte
1250,schützen::V,хамгаалах,skærme
1251,schützen::V,хамгаалах,beskytte
1252,verteidigen::V,хамгаалах,forsvare
1253,sich schlagen::V,зодолдох,slås
1254,schießen::V,харвах,skyde
1255,schießen::V,буу буудах,skyde
1256,siegen::V,ялах,sejre
1257,ärgern::V,уурлуулах,ærgre
1258,ärgern::V,уур хүргэх,ærgre
1259,schlagen::V,цохих,slå
1260,treten::V,өшиглөх,sparke
1261,stechen::V,хатгах,stikke
1262,stoßen::V,ёврох,støde
1263,stoßen::V,нудрах,støde
1264,stehlen::V,хулгайлах,stjæle
1265,stören::V,саад болох,forstyrre
1266,belästigen::V,зовоох,genere
1267,belästigen::V,зовоох,ulejlige
1268,belästigen::V,амраахгүй байх,genere
1269,belästigen::V,амраахгүй байх,ulejlige
1270,verbergen::V,нуух,skjule
1271,verbergen::V,далдлах,skjule
1272,täuschen::V,мэхлэх,villede
1273,betrügen::V,хуурах,bedrage
1274,töten::V,алах,dræbe
1275,wohnen::V,суух,bo
1276,wohnen::V,амьдрах,bo
1277,arbeiten::V,ажиллах,arbejde
1278,arbeiten::V,хөдөлмөрлөх,arbejde
1279,sammeln::V,түүх,samle
1280,sammeln::V,хураах,samle
1281,pflücken::V,түүх,plukke
1282,jagen::V,агнах,jage
1283,jagen::V,гөрөөлөх,jage
1284,fischen::V,загасчлах,fiske
1285,fischen::V,загас барих,fiske
1286,fassen::V,барих,fange
1287,hüten::V,маллах,vogte
1288,hüten::V,хариулах,vogte
1289,treiben::V,туух,drive
1290,anbinden::V,уях,binde fast
1291,füttern::V,тэжээх,fodre
1292,melken::V,саах,malke
1293,hacken::V,цавчих,hakke
1294,gießen::V,услах,hælde
1295,reifen::V,боловсрох,modne
1296,zubereiten::V,бэлдэх,tilberede
1297,kochen::V,чанах,koge
1298,backen::V,жигнэх,bage
1299,braten::V,шарах,stege
1300,braten::V,хайрах,stege
1301,umrühren::V,хутгах,røre om
1302,stricken::V,нэхэх,strikke
1303,stricken::V,сүлжих,strikke
1304,nähen::V,оёх,sy
1305,färben::V,будах,farve
1306,reinigen::V,арилгах,rense
1307,reinigen::V,арилгах,gøre ren
1308,reinigen::V,цэвэрлэх,rense
1309,reinigen::V,цэвэрлэх,gøre ren
1310,waschen::V,угаах,vaske
1311,abwischen::V,арчих,tørre af
1312,spülen::V,зайлах,skylle
1313,fegen::V,хамах,feje
1314,fegen::V,шүүрдэх,feje
1315,kehren::V,шүүрдэх,feje
1316,kehren::V,туужуудах,feje
1317,baden::V,усанд орох,bade
1318,sich waschen::V,биеэ угаах,vaske sig
1319,ausziehen::V,тайлах,tage af
1320,anziehen::V,өмсөх,tage på
1321,sich anziehen::V,хувцаслах,klæde sig på
1322,kämmen::V,самнах,rede
1323,kämmen::V,самнах,frisere
1324,schmücken::V,гоёх,pynte
1325,schmücken::V,гоёх,smykke
1326,schmücken::V,чимэх,pynte
1327,schmücken::V,чимэх,smykke
1328,sagen::V,гэх,sige
1329,sagen::V,хэлэх,sige
1330,sprechen::V,ярих,snakke
1331,sprechen::V,өгүүлэх,snakke
1332,reden::V,хэлэх,tale
1333,reden::V,хэлэх,snakke
1334,reden::V,хөөрөлдөх,tale
1335,reden::V,хөөрөлдөх,snakke
1336,sich unterhalten::V,ярилцах,snakke sammen
1337,fragen::V,асуух,spørge
1338,bitten::V,гуйх,bede
1339,erzählen::V,өгүүлэх,berette
1340,erzählen::V,өгүүлэх,fortælle
1341,mitteilen::V,дуулгах,meddele
1342,mitteilen::V,мэдээлэх,meddele
1343,nennen::V,нэрлэх,nævne
1344,rufen::V,дуудах,råbe
1345,prahlen::V,бардах,prale
1346,prahlen::V,сайрхах,prale
1347,übersetzen::V,орчуулах,oversætte
1348,denken::V,санах,tænke
1349,glauben::V,итгэх,tro
1350,bemerken::V,ажих,bemærke
1351,bemerken::V,ажих,lægge mærke til
1352,bemerken::V,ажиглах,bemærke
1353,bemerken::V,ажиглах,lægge mærke til
1354,erkennen::V,таних,genkende
1355,begreifen::V,ойлгох,begribe
1356,verstehen::V,мэдэж авах,forstå
1357,lernen::V,сурах,lære
1358,wissen::V,мэдэх,vide
1359,sich erinnern an::V,дурсах,mindes
1360,sich erinnern an::V,дурсах,huske på
1361,vergessen::V,мартах,glemme
1362,messen::V,хэмжих,måle
1363,zählen::V,тоолох,tælle
1364,rechnen::V,тооцоох,regne
1365,lesen::V,унших,læse
1366,malen::V,зурах,male
1367,zeichnen::V,дүрслэн бичих,tegne
1368,schreiben::V,бичих,skrive
1369,besitzen::V,эзэмших,eje
1370,besitzen::V,эзэмших,besidde
1371,kaufen::V,худалдан авах,købe
1372,verkaufen::V,худалдах,sælge
1373,bezahlen::V,төлөх,betale
1374,zahlen::V,төлөх,betale
1375,beherrschen::V,эзэмших,beherske
1376,ertragen::V,тэсэх,tåle
1377,ertragen::V,тэсэх,udholde
