,Concept_ID,lez,sah
173,Kuckuck::N,кукупӏ,кэҕэ
174,Schwan::N,къугь,куба
175,Fisch::N,гъед,балык
176,Barsch::N,окунь,алыһар
177,Hecht::N,щука,сордон
178,Schlange[Tier]::N,илан,моҕой
179,Schlange[Tier]::N,илан,эриэн үөн
180,Schlange[Tier]::N,гъуьлягъ,моҕой
181,Schlange[Tier]::N,гъуьлягъ,эриэн үөн
182,Wurm::N,квак,үөн
183,Spinne::N,хуьшрекан,ооҕуй
184,Ameise::N,цегв,кымырдаҕас
185,Laus::N,нет,быт
186,Mücke::N,ветӏ,кумаар
187,Fliege::N,тӏветӏ,сахсырҕа
188,Schmetterling::N,чепелукь,лыах
189,Schmetterling::N,чепелукь,үрүмэччи
190,Beere::N,куьлуь емиш,отон
191,Apfel::N,ич,яблоко
192,Pilz::N,къарникъуз,тэллэй
193,Zwiebel::N,чичӏек,луук
194,Saat::N,тумар,сиэмэ
195,Korn::N,твар,сиэмэ
196,Heu::N,векь,от
197,Heu::N,векьер,от
198,Schale::N,пириш,хах
199,Schale::N,хъуьруьш,хах
200,Grube::N,фур,дьаама
201,Falle::N,ракьар,сохсо
202,Schlinge::N,гьалкъа,уктаа
203,Spur::N,гел,суол
204,Asche::N,руьхъ,күл
205,Dreck::N,чирк,бадараан
206,Dreck::N,кьуруш,бадараан
207,Eisen::N,ракь,тимир
208,Gold::N,алтун,көмүс
209,Gold::N,алтун,кыһыл көмүс
210,Silber::N,гимиш,көмүс
211,Silber::N,гимиш,үрүҥ көмүс
212,Kohle::N,цӏивин,чох
213,Glas::N,шуьше,өстүөкүлэ
214,Lehm::N,ччеб,туой
215,Sand::N,къум,кумах
216,Mensch::N,инсан,киһи
217,Mann::N,итим,эр
218,Frau::N,паб,дьахтар
219,Frau::N,дишегьли,дьахтар
220,Kind::N,аял,оҕо
221,Junge::N,гада,уол
222,Mädchen::N,руш,кыыс оҕо
223,Familie::N,хзан,кэргэн
224,Familie::N,килфет,кэргэн
225,Großvater::N,чӏехи буба,эһэ
226,Großmutter::N,чӏехи диде,эбэ
227,Eltern::N,диде-буба,аҕа-ийэ
228,Vater::N,буба,аҕа
229,Mutter::N,диде,ийэ
230,Sohn::N,хва,уол
231,Tochter::N,руш,кыыс
232,Bruder::N,стха,убай
233,Bruder::N,стха,быраат
234,Schwester::N,вах,аҕас
235,Schwester::N,вах,балыс
236,Onkel::N,ими,таай
237,Onkel::N,ими,абаҕа
238,Onkel::N,халу,таай
239,Onkel::N,халу,абаҕа
240,Tante::N,эме,эдьиий
241,Tante::N,хала,эдьиий
242,Ehemann::N,гъуьл,эр
243,Ehefrau::N,паб,ойох
244,Freude::N,шадвал,үөрүү
245,Gelächter::N,хъвер,күлүү
246,Glück::N,бахт,дьол
247,Glück::N,бахт,соргу
248,Kummer::N,дерт,кутурҕан
249,Kummer::N,хажалат,кутурҕан
250,Wunsch::N,мурад,баҕарыы
251,Lust::N,гьевес,баҕа
252,Geist::N,руьгь,тыын
253,Gedanke::N,фикир,санаа
254,Verstand::N,акьул,өй
255,Sinn::N,мана,суолта
256,Grund::N,себеб,төрүөт
257,Wahrheit::N,керчек,кырдьык
258,Wahrheit::N,гьакъикъат,кырдьык
259,Gespräch::N,ихтилат,бэсиэдэ
260,Gespräch::N,ихтилат,кэпсэтии
261,Märchen::N,мах,остуоруйа
262,Erzählung::N,кьиса,кэпсээн
263,Nachricht::N,хабар,биллэриллии
264,Neuigkeit::N,цӏийи хабар,сонун
265,Name::N,тӏвар,аат
266,Rätsel::N,мискӏал,таабырын
267,Rede::N,рахун,этии
268,Sprache::N,чӏал,тыл
269,Stimme::N,ван,куолас
270,Wort::N,гаф,тыл
271,Zeichen::N,ишара,бэлиэ
272,Ruf::N,эвер,ыҥырыы
273,Lärm::N,ван-сес,айдаан
274,Laut::N,ван,тыас
275,Laut::N,сес,тыас
276,Ton::N,ван-сес,дорҕоон
277,Lied::N,мани,ырыа
278,Ruhe::N,ласвал,уу чуумпу
279,Ruhe::N,фаракъат,уу чуумпу
280,Ruhe::N,асайиш,уу чуумпу
281,Leute::N,инсанар,дьон
282,Volk::N,халкь,дьон
283,Volk::N,халкь,норуот
284,Arbeit::N,кӏвалах,үлэ
285,Gast::N,мугьман,ыалдьыт
286,Geschenk::N,савкьат,бэлэх
287,Spiel::N,къугъун,оонньуу
288,Gesellschaft::N,жемят,общество
289,Gesellschaft::N,общество,общество
290,Hilfe::N,куьмек,көмө
291,Freund::N,дуст,доҕор
292,Kamerad::N,яр-дуст,атас
293,Angelegenheit::N,кар,дьыала
294,Anzahl::N,сан,ахсаан
295,Anzahl::N,кьадар,ахсаан
296,Art::N,жуьре,биис
297,Stück::N,кӏус,кырбас
298,Teil::N,пай,ирээт
299,Hälfte::N,зур,аҥар
300,Hälfte::N,зур пай,аҥар
301,Kreis::N,круг,төгүрүк
302,Kreis::N,круг,төгүрүмтэ
303,Kreis::N,чкаяр,төгүрүк
304,Kreis::N,чкаяр,төгүрүмтэ
305,Kreis::N,элкъвей цӏар,төгүрүк
306,Kreis::N,элкъвей цӏар,төгүрүмтэ
307,Kreuz::N,хаш,кириэс
308,Linie::N,цӏар,сурааһын
309,Strich::N,цӏар,сурааһын
310,Abstand::N,ара,арыт
311,Entfernung::N,мензил,ыраах
312,Gegend::N,чка,сир
313,Platz::N,ара,арыт
314,Ort::N,чка,сир
315,Seite::N,пад,өрүт
316,Seite::N,пад,сирэй
317,Mitte::N,юкь,орто
318,Gegenstand::N,затӏ,предмет
319,Sache::N,шей,мал
320,Sache::N,затӏ,мал
321,Rand::N,къерех,кытыы
322,Rand::N,къерех,ойоҕос
323,Kante::N,син,кырыы
324,Ecke::N,пӏипӏ,муннук
325,Spitze::N,кӏвенкӏв,чыпчаал
326,Ende::N,кьил,төбө
327,Loch::N,тӏеквен,тэһэҕэс
328,Loch::N,тӏеквен,дьөлөҕөс
329,Winkel::N,пӏипӏ,муннук
330,Muster::N,гишир,оһуор
331,Größe::N,кьадар,кээмэй
332,Länge::N,яргъивал,уста
333,Höhe::N,кьакьанвал,үрдүк
334,Gewicht::N,заланвал,ыйааһын
335,Menge::N,кьадар,ахсаан
336,Haufen::N,хара,чөмчөх
337,Reihe::N,жерге,кэккэ
338,Boot::N,луьткве,оҥочо
339,Ruder::N,кьусу,эрдии
340,Schlitten::N,гъелерар,сыарҕа
341,Lagerfeuer::N,цӏай,кутаа
342,Last::N,заланвал,ыарахан
343,Gang::N,ериш,хаамыы
344,Schritt::N,къадам,хардыы
345,Norden::N,кефер,хоту
346,Norden::N,кефер пад,хоту
347,Süden::N,кьибле,соҕуруу
348,Westen::N,рагъакӏидай пад,арҕаа
349,Osten::N,рагъэкъечӏдай пад,илин
350,Holz::N,кӏарас,мас
351,Brett::N,кьул,дуоска
352,Brett::N,кьул,хаптаһын
353,Brett::N,тахта,дуоска
354,Brett::N,тахта,хаптаһын
355,Stütze::N,даях,тулааһын
356,Stange::N,юрк,ураҕас
357,Stock::N,лаш,мас
358,Stock::N,лаш,баалкы
359,Stab::N,юрк,ураҕас
360,Rohr::N,турба,турба
361,Haus::N,ужагъ,дьиэ
362,Heim::N,кӏвал,дьиэ
363,Ofen::N,пич,оһох
364,Fußboden::N,кӏвалин ччил,муоста
365,Tisch::N,стол,остуол
366,Stuhl::N,стул,устуул
367,Wiege::N,кьеб,биһик
368,Bett::N,тахт,кырабаат
369,Regal::N,кьацӏ,долбуур
370,Kiste::N,ящик,дьааһык
371,Fenster::N,дакӏар,түннүк
372,Tür::N,рак,аан
373,Tor::N,варар,аан
374,Zaun::N,пару,соппулуот
375,Dach::N,къав,кырыыса
376,Leiter::N,гурар,кирилиэс
377,Besen::N,таран кул,миинньик
378,Spaten::N,ппер,күрдьэх
379,Schaufel::N,хекендаз,күрдьэх
380,Gabel::N,шиш,биилкэ
381,Löffel::N,тӏур,луоска
382,Messer::N,чукӏул,быһах
383,Nagel::N,мих,тоһоҕо
384,Netz::N,чил,илим
385,Haken::N,къармах,көхө
386,Griff::N,ттум,ук
387,Griff::N,ттум,тутаах
388,Schloss::N,куьлег,күлүүс
389,Bild::N,шикил,хартыына
390,Bild::N,суьрет,хартыына
391,Figur::N,фигура,фигура
392,Puppe::N,нини,куукула
393,Beutel::N,тагъар,мөһөөччук
394,Bündel::N,галгам,баайыы
395,Tasche::N,чанта,суумка
396,Eimer::N,ведре,биэдэрэ
397,Deckel::N,кьил,хаппах
398,Deckel::N,къалпагъ,хаппах
