,Concept_ID,ar,ps
0,Auge::N,عين,سترګه
1,Ohr::N,أذن,غوږ
2,Nase::N,أنف,پوزه
3,Mund::N,فم,خوله
4,Zahn::N,سن,غاښ
5,Zunge::N,لسان,جبه
6,Lippe::N,شفة,شونډه
7,Wange::N,خد,باړخو
8,Wange::N,وجنة,باړخو
9,Gesicht::N,وجه,مخ
10,Stirn::N,جبين,تندی
11,Stirn::N,جبين,وچولی
12,Haar::N,شعر,وېښته
13,Schnurrbart::N,شارب,برېت
14,Bart::N,لحية,ږیره
15,Kinn::N,ذقن,زنه
16,Kiefer[Anatomie]::N,فك,جامه
17,Kehle::N,حلق,غاړه
18,Hals::N,عنق,غاړه
19,Hals::N,رقبة,غاړه
20,Genick::N,قفا,ورمېږ
21,Kopf::N,رأس,سر
22,Rücken::N,ظهر,شا
23,Bauch::N,بطن,نس
24,Bauch::N,بطن,ګېډه
25,Nabel::N,سرة,نوم
26,Busen::N,ثدي,تی
27,Brust::N,صدر,سینه
28,Schulter::N,كتف,اوږه
29,Arm::N,ذراع,لاس
30,Ellenbogen::N,كوع,څنګل
31,Hand::N,يد,لاس
32,Handfläche::N,كف,ورغوی
33,Finger::N,إصبع,ګوته
34,Fingernagel::N,ظفر,نوک
35,Nagel[Anatomie]::N,ظفر,نوک
36,Zeh::N,إصبع القدم,ګوته
37,Fuß::N,قدم,پښه
38,Ferse::N,كعب,پونده
39,Knie::N,ركبة,زنګون
40,Oberschenkel::N,فخذ,پتون
41,Bein::N,ساق,پښه
42,Körper::N,جسم,ځان
43,Haut::N,بشرة,پوټکی
44,Blut::N,دم,وینه
45,Ader::N,عرق,رګ
46,Sehne::N,طنب,پله
47,Knochen::N,عظم,هډوکی
48,Gehirn::N,دماغ,ماغزه
49,Herz::N,قلب,زړه
50,Magen::N,معدة,معده
51,Leber::N,كبد,ينه
52,Leber::N,كبد,ځیګر
53,Atem::N,نفس,نفس
54,Hunger::N,جوع,ولږه
55,Träne::N,دمعة,اوښکه
56,Geschmack::N,طعم,مزه
57,Geschmack::N,طعم,خوند
58,Geschmack::N,مذاق,مزه
59,Geschmack::N,مذاق,خوند
60,Geruch::N,رائحة,بوی
61,Schlaf::N,نوم,خوب
62,Schlaf::N,منام,خوب
63,Traum::N,حلم,خوب
64,Himmel::N,سماء,اسمان
65,Sonne::N,شمس,لمر
66,Mond::N,قمر,سپوږمۍ
67,Stern::N,نجم,ستوری
68,Stern::N,كوكب,ستوری
69,Luft::N,هواء,هوا
70,Wind::N,ريح,ورښ
71,Welle::N,موجة,موج
72,Wasser::N,ماء,اوبه
73,Stein::N,حجر,ډبره
74,Boden::N,تراب,مځکه
75,Erde::N,أرض,خاوره
76,Staub::N,غبار,ګرد
77,Staub::N,غبار,خاوره
78,Rauch::N,دخان,دود
79,Rauch::N,دخان,لوګی
80,Funke::N,شرارة,سپرغۍ
81,Feuer::N,نار,اور
82,Licht::N,نور,رڼا
83,Licht::N,ضوء,رڼا
84,Schatten::N,ظل,سیوری
85,Schatten::N,فيء,سیوری
86,Wetter::N,جو,هوا
87,Wetter::N,طقس,هوا
88,Nebel::N,ضباب,لړه
89,Wolke::N,غيمة,ورېځ
90,Wolke::N,سحابة,ورېځ
91,Regen::N,مطر,وریا
92,Regen::N,مطر,باران
93,Schnee::N,ثلج,واوره
94,Eis::N,جليد,یخ
95,Eis::N,جليد,کنګل
96,Frost::N,صقيع,یخ
97,Kälte::N,برد,ساړه
98,Hitze::N,حر,تودوخي
99,Hitze::N,حرارة,تودوخي
100,Raureif::N,صقيع,سپینه پرخه
101,Regenbogen::N,قوس قزح,بوډۍ ټال
102,Regenbogen::N,قوس قزح,سره زرغونه
103,Donner::N,رعد,تالنده
104,Strömung::N,تيار,بهېدنه
105,Tropfen::N,قطرة,قطره
106,Tropfen::N,قطرة,څاڅکی
107,Schaum::N,زبد,ځګ
108,Schaum::N,رغوة,ځګ
109,Schmutz::N,وسخ,ناپاکي
110,See::N,بحيرة,جهیل
111,Sumpf::N,مستنقع,جبه
112,Moor::N,مستنقع,جبه
113,Wiese::N,مرج,چمن
114,Wiese::N,مرج,شنېلی
115,Wald::N,غابة,ځنګل
116,Hügel::N,تل,تپه
117,Anhöhe::N,تل,غونډۍ
118,Berg::N,جبل,غ‍‍‍‍‍ر
119,Gipfel::N,قمة,څوکه
120,Höhle::N,كهف,کاز
121,Abhang::N,منحدر,لمن
122,Quelle::N,منبع,چینه
123,Bach::N,مجرى,واله
124,Fluss::N,نهر,سیند
125,Ufer::N,ضفة,غاړه
126,Küste::N,ساحل,ساحل
127,Festland::N,بر,وچه
128,Meer::N,بحر,بحر
129,Meer::N,بحر,سمندر
130,Bucht::N,خليج,کارۍ
131,Insel::N,جزيرة,ټاپو
132,Insel::N,جزيرة,جزيره
133,Blume::N,زهرة,ګل
134,Gras::N,حشيش,واښه
135,Wurzel::N,أصل,ریښه
136,Baum::N,شجرة,ونه
137,Stamm::N,جذع,ډډ
138,Rinde::N,قشرة,پوستکی
139,Ast::N,فرع,ښاخ
140,Zweig::N,غصن,څانګه
141,Blatt::N,ورقة,پاڼه
142,Birke::N,قضبان,توس
143,Kiefer[Baum]::N,صنوبرة,نښتر
144,Weide[Baum]::N,صفصاف,وله
145,Tanne::N,شوح,ناجو
146,Tanne::N,تبوب,ناجو
147,Horn::N,قرن,ښکر
148,Feder::N,ريشة,بڼکه
149,Fell::N,فرو,پوستکی
150,Flügel::N,جناح,وزر
151,Klaue::N,مخلب,پنجه
152,Klaue::N,مخلب,منګول
153,Kralle::N,مخلب,پنجه
154,Kralle::N,مخلب,منګول
155,Schwanz::N,ذيل,لکۍ
156,Ei::N,بيض,وۍ
