,Concept_ID,sl,ga
0,Auge::N,okó,súil
1,Ohr::N,uhó,cluas
2,Nase::N,nós,soc
3,Mund::N,ústa,béal
4,Zahn::N,zób,fiacail
5,Zunge::N,jêzik,teanga
6,Lippe::N,ústnica,liopa
7,Wange::N,líce,grua
8,Wange::N,líce,leiceann
9,Gesicht::N,oblíčje,éadan
10,Gesicht::N,oblíčje,aghaidh
11,Stirn::N,čêlo,baithis
12,Stirn::N,čêlo,clár éadain
13,Haar::N,lás,gruaig
14,Schnurrbart::N,bŕki,croiméal
15,Bart::N,bráda,féasóg
16,Kinn::N,bráda,smig
17,Kiefer[Anatomie]::N,čeljúst,giall
18,Kehle::N,gŕlo,scornach
19,Hals::N,vrát,muinéal
20,Genick::N,zatílnik,baic
21,Kopf::N,gláva,ceann
22,Rücken::N,hrbèt,droim
23,Bauch::N,trébuh,bolg
24,Nabel::N,pópek,imleacán
25,Busen::N,nédrja,cíoch
26,Brust::N,pŕsi,brollach
27,Schulter::N,ráma,gualainn
28,Schulter::N,plêče,gualainn
29,Arm::N,rôka,lámh
30,Ellenbogen::N,komólec,uillinn
31,Hand::N,rôka,lámh
32,Handfläche::N,dlán,bos
33,Finger::N,pŕst,méar
34,Fingernagel::N,nóht na rôki,ionga
35,Nagel[Anatomie]::N,nóht,ionga
36,Zeh::N,pŕst na nôgi,ladhar
37,Fuß::N,nôga,cos
38,Fuß::N,nôga,troigh
39,Ferse::N,pêta,sáil
40,Knie::N,koléno,glúin
41,Oberschenkel::N,stêgno,ceathrú
42,Bein::N,nôga,cos
43,Körper::N,teló,corp
44,Körper::N,teló,colainn
45,Haut::N,kóža,cneas
46,Haut::N,kóža,craiceann
47,Blut::N,krí,fuil
48,Ader::N,žíla,
49,Sehne::N,kíta,teannán
50,Sehne::N,kíta,féitheog
51,Knochen::N,kóst,cnámh
52,Gehirn::N,možgáni,inchinn
53,Herz::N,srcé,croí
54,Magen::N,želódec,bolg
55,Magen::N,želódec,goile
56,Leber::N,jétra,ae
57,Atem::N,díh,anáil
58,Hunger::N,glád,ocras
59,Träne::N,sólza,deoir
60,Geschmack::N,okús,blas
61,Geruch::N,vónj,boladh
62,Schlaf::N,sèn,suan
63,Schlaf::N,sèn,codladh
64,Schlaf::N,spánec,suan
65,Schlaf::N,spánec,codladh
66,Traum::N,sánje,taibhreamh
67,Himmel::N,nebó,spéir
68,Sonne::N,sónce,grian
69,Mond::N,lúna,ré
70,Mond::N,lúna,gealach
71,Mond::N,mésec,ré
72,Mond::N,mésec,gealach
73,Stern::N,zvézda,rinn
74,Stern::N,zvézda,réalta
75,Luft::N,zràk,aer
76,Wind::N,véter,gaoth
77,Welle::N,vál,tonn
78,Wasser::N,vôda,uisce
79,Stein::N,kámen,cloch
80,Boden::N,tlà,talamh
81,Erde::N,pŕst,cré
82,Erde::N,pŕst,ithir
83,Erde::N,zêmlja,cré
84,Erde::N,zêmlja,ithir
85,Staub::N,práh,dusta
86,Staub::N,práh,deannach
87,Rauch::N,dìm,toit
88,Rauch::N,dìm,deatach
89,Funke::N,ískra,drithle
90,Feuer::N,ôgenj,tine
91,Licht::N,lúč,solas
92,Schatten::N,sénca,scáth
93,Wetter::N,vrême,aimsir
94,Nebel::N,meglà,ceo
95,Wolke::N,oblák,néal
96,Wolke::N,oblák,scamall
97,Regen::N,dèž,báisteach
98,Regen::N,dèž,fearthainn
99,Schnee::N,snég,sneachta
100,Eis::N,léd,oighear
101,Frost::N,zmrzál,sioc
102,Kälte::N,mràz,fuacht
103,Hitze::N,pripéka,teas
104,Hitze::N,pripéka,teocht
105,Raureif::N,ívje,sioc bán
106,Raureif::N,slána,sioc bán
107,Regenbogen::N,mávrica,stua ceatha
108,Regenbogen::N,mávrica,bogha báistí
109,Donner::N,gròm,toirneach
110,Strömung::N,strúja,sruth
111,Tropfen::N,káplja,deoir
112,Schaum::N,péna,cúr
113,Schmutz::N,nesnága,salachar
114,See::N,jézero,loch
115,Sumpf::N,močvírje,portach
116,Moor::N,bárje,caorán
117,Moor::N,bárje,móinteán
118,Wiese::N,trávnik,cluain
119,Wiese::N,trávnik,móinéar
120,Wald::N,lés,coill
121,Wald::N,lés,foraois
122,Wald::N,gòzd,coill
123,Wald::N,gòzd,foraois
124,Hügel::N,brég,ard
125,Hügel::N,goríca,ard
126,Anhöhe::N,gríč,ard
127,Anhöhe::N,gríč,ardán
128,Anhöhe::N,višína,ard
129,Anhöhe::N,višína,ardán
130,Berg::N,gôra,sliabh
131,Berg::N,planína,sliabh
132,Gipfel::N,vŕh,barr
133,Gipfel::N,vŕh,mullach
134,Höhle::N,jáma,uaimh
135,Höhle::N,jáma,pluais
136,Höhle::N,votlína,uaimh
137,Höhle::N,votlína,pluais
138,Abhang::N,pobóčje,fána
139,Quelle::N,izvír,foinse
140,Bach::N,pôtok,sruthán
141,Fluss::N,réka,abhainn
142,Ufer::N,brég,bruach
143,Küste::N,obála,cósta
144,Küste::N,obála,cladach
145,Küste::N,obréžje,cósta
146,Küste::N,obréžje,cladach
147,Festland::N,celína,míntír
148,Festland::N,kopnína,míntír
149,Meer::N,mórje,muir
150,Meer::N,mórje,farraige
151,Bucht::N,zalív,bá
152,Bucht::N,zalív,cuan
153,Insel::N,ôtok,inis
154,Insel::N,ôtok,oileán
155,Blume::N,cvetlíca,bláth
156,Gras::N,tráva,féar
157,Wurzel::N,korenína,rúta
158,Wurzel::N,korenína,fréamh
159,Baum::N,drevó,crann
160,Stamm::N,dêblo,stoc
161,Stamm::N,dêblo,tamhan
162,Rinde::N,lúbje,coirt
163,Rinde::N,lúbje,craiceann
164,Rinde::N,skórja,coirt
165,Rinde::N,skórja,craiceann
166,Ast::N,véja,géag
167,Zweig::N,véja,géag
168,Zweig::N,véja,craobh
169,Blatt::N,líst,duille
170,Blatt::N,líst,duilleog
171,Birke::N,bréza,beith
172,Birke::N,bréza,crann beithe
173,Kiefer[Baum]::N,bòr,péine
174,Weide[Baum]::N,vŕba,saileach
175,Tanne::N,hója,giúis
176,Horn::N,róg,adharc
177,Feder::N,peró,cleite
178,Fell::N,kŕzno,clúmh
179,Flügel::N,krílo,eite
180,Flügel::N,krílo,sciathán
181,Klaue::N,párkelj,crúb
182,Klaue::N,párkelj,crobh
183,Kralle::N,krémpelj,crobh
184,Schwanz::N,rèp,eireaball
185,Ei::N,jájce,ubh
186,Nest::N,gnézdo,nead
187,Bau::N,brlòg,brocais
188,Tier::N,živál,ainmhí
189,Tier::N,živál,beithíoch
190,Herde::N,čréda,tréad
191,Kuh::N,kráva,bó
192,Bulle::N,bìk,tarbh
193,Pferd::N,kònj,each
194,Pferd::N,kònj,capall
195,Schaf::N,ôvca,caora
196,Schwein::N,svínja,muc
197,Hund::N,pès,madra
198,Katze::N,máčka,cat
199,Bär::N,mêdved,béar
200,Eichhörnchen::N,véverica,iora
201,Elch::N,lós,eilc
202,Fuchs::N,lisíca,sionnach
203,Fuchs::N,lisíca,madra rua
204,Hase::N,zájec,giorria
205,Maus::N,mìš,luch
206,Wolf::N,vólk,mac tíre
207,Vogel::N,ptìč,éan
208,Vogel::N,ptíca,éan
209,Schwarm::N,játa,saithe
210,Huhn::N,kokóš,cearc
211,Hahn::N,petêlin,coileach
212,Gans::N,gós,gé
213,Adler::N,ôrel,iolar
214,Ente::N,ráca,lacha
215,Eule::N,sôva,ulchabhán
216,Kranich::N,žerjàv,grús
217,Krähe::N,vrána,caróg
218,Krähe::N,vrána,préachán
219,Kuckuck::N,kúkavica,cuach
220,Schwan::N,labód,eala
221,Fisch::N,ríba,iasc
222,Barsch::N,ostríž,péirse
223,Hecht::N,ščúka,liús
224,Schlange[Tier]::N,káča,nathair
225,Wurm::N,čr̀v,péist
226,Wurm::N,glísta,péist
227,Spinne::N,pájek,damhán alla
228,Ameise::N,mrávlja,seangán
229,Laus::N,úš,míol
230,Mücke::N,komár,muiscít
231,Mücke::N,komár,corrmhíol
232,Fliege::N,múha,cuil
233,Fliege::N,múha,cuileog
234,Schmetterling::N,metúlj,féileacán
235,Beere::N,jágoda,caor
236,Apfel::N,jábolko,úll
237,Pilz::N,góba,beacán
