,Concept_ID,ko,kv
0,Auge::N,눈,син
1,Ohr::N,귀,пель
2,Nase::N,코,ныр
3,Mund::N,입,ӧм
4,Zahn::N,이,пинь
5,Zunge::N,혀,кыв
6,Lippe::N,입술,тырп
7,Wange::N,뺨,рожабан
8,Gesicht::N,얼굴,бан
9,Stirn::N,이마,кымӧс
10,Haar::N,털,юрси
11,Schnurrbart::N,윗수몀,уссэз
12,Schnurrbart::N,코밑수염,уссэз
13,Bart::N,수엄,тош
14,Kinn::N,아래턱,тшӧка
15,Kiefer[Anatomie]::N,턱,ан
16,Kehle::N,인후,юан
17,Hals::N,목,юан
18,Genick::N,먹덜이,юр бӧр
19,Kopf::N,머리,юр
20,Rücken::N,든,мышк
21,Bauch::N,배,кынӧм
22,Nabel::N,배꼽,гӧг
23,Busen::N,가슴속,морос
24,Brust::N,가슴,морос
25,Schulter::N,어깨,пельпон
26,Arm::N,팔,ки
27,Ellenbogen::N,팔쿰치,гырдзза
28,Hand::N,손,кикар
29,Handfläche::N,손바닥,ки пыдӧс
30,Finger::N,속가락,чунь
31,Fingernagel::N,손톱,гыж
32,Nagel[Anatomie]::N,손톱,гыж
33,Zeh::N,발가락,чунь
34,Fuß::N,발,кокпыдӧс
35,Ferse::N,발꿈치,кокдзир
36,Knie::N,무릎,пидзӧс
37,Oberschenkel::N,허벅다리,лядьбей
38,Bein::N,다리,кок
39,Körper::N,구간,вывтыр
40,Haut::N,살갗,кучик
41,Blut::N,피,вир
42,Ader::N,정맥,сӧн
43,Sehne::N,현,жила
44,Knochen::N,뼈,коска
45,Gehirn::N,뇌,вем
46,Gehirn::N,뇌수,вем
47,Herz::N,염통,сьӧлӧм
48,Magen::N,위,жӧвдӧк
49,Leber::N,간,мус
50,Atem::N,기식,лолалӧм
51,Hunger::N,공복,тшыг
52,Träne::N,눈물,синва
53,Geschmack::N,기호,кӧр
54,Geruch::N,냄새,дук
55,Schlaf::N,수면,он
56,Traum::N,쿰,вӧт
57,Himmel::N,하늘,небо
58,Sonne::N,해,шондi
59,Mond::N,달,тӧлiсь
60,Stern::N,별,кӧдзыв
61,Luft::N,동준,ру
62,Luft::N,가스채,ру
63,Wind::N,바람,тӧв
64,Welle::N,물결,гы
65,Wasser::N,물,ва
66,Stein::N,돌,из
67,Boden::N,바닥,му
68,Erde::N,흙,му
69,Staub::N,먼지,бус
70,Rauch::N,연기,тшын
71,Funke::N,불티,бичир
72,Feuer::N,불,би
73,Licht::N,불,би
74,Schatten::N,어스레함,вуджӧр
75,Wetter::N,기상,погоддя
76,Nebel::N,안개,туман
77,Wolke::N,구름,кымӧр
78,Regen::N,비,зэр
79,Schnee::N,눈,лым
80,Eis::N,얼음,йы
81,Frost::N,혹한,мороз
82,Kälte::N,추위,кӧдзыт
83,Kälte::N,차가움,кӧдзыт
84,Hitze::N,고온,ӧд
85,Hitze::N,더위,ӧд
86,Regenbogen::N,무지개,енӧшка
87,Donner::N,뇌명,гым
88,Strömung::N,유동,визывтӧм
89,Tropfen::N,물방울,тёп
90,Schaum::N,포말,быг
91,Schmutz::N,때,нять
92,See::N,호수,ты
93,Sumpf::N,습지,арай
94,Moor::N,저습지,нюр
95,Wiese::N,목초지,видз
96,Wald::N,숲,вӧр
97,Hügel::N,언덕,мыльк
98,Anhöhe::N,언덕,вывтас
99,Anhöhe::N,언덕,вылынін
100,Berg::N,산,керӧс
101,Gipfel::N,졀졍,йыв
102,Höhle::N,공동,нора
103,Abhang::N,몰매,покат
104,Quelle::N,근원,больган
105,Bach::N,내,шор
106,Fluss::N,강,ю
107,Ufer::N,강변,берег
108,Ufer::N,바닷가,берег
109,Küste::N,해변,берег
110,Küste::N,해변가,берег
111,Festland::N,본토,му
112,Meer::N,바다,море
113,Bucht::N,협만,курья
114,Insel::N,섬,
115,Blume::N,꽃,цветок
116,Gras::N,풀,турун
117,Wurzel::N,뿌리,вуж
118,Baum::N,나무,пу
119,Stamm::N,대,мыр
120,Stamm::N,대,кер
121,Rinde::N,나무껍질,кач
122,Ast::N,가지,ув
123,Zweig::N,가지,ув
124,Blatt::N,잎,лист
125,Birke::N,자작나무,кыдз
126,Kiefer[Baum]::N,소나무,пожум
127,Weide[Baum]::N,쉬양버들,бадь
128,Tanne::N,전나무,кӧз
129,Horn::N,뿔,сюр
130,Feder::N,깃털,гӧн
131,Fell::N,피혁모피,кучик
132,Flügel::N,날개,борд
133,Klaue::N,갈고리 발톺,гыж
134,Kralle::N,발툭,кабыр
135,Schwanz::N,꼬리,бӧж
136,Ei::N,알,кольть
137,Nest::N,보금자리,поз
138,Bau::N,굴,осьта
139,Bau::N,굴,нора
140,Tier::N,짐승,зверь
141,Herde::N,가축의떼,гурт
142,Kuh::N,암소,мӧс
143,Bulle::N,황소,ӧшка
144,Pferd::N,말,вӧв
145,Schaf::N,양,баля
146,Schwein::N,돼지,порсь
147,Hund::N,개,пон
148,Katze::N,고양이,кань
149,Bär::N,콤,ош
150,Eichhörnchen::N,다람쥐,ур
151,Elch::N,고라니,вӧр мӧс
152,Fuchs::N,여우,руч
153,Hase::N,토끼,кӧч
154,Maus::N,쥐,шыр
155,Wolf::N,늑대,кӧин
156,Vogel::N,새,кай
157,Schwarm::N,뗴,стая
158,Schwarm::N,뗴,чукӧр
159,Huhn::N,암탉,курӧг
160,Hahn::N,수탉,петух
161,Hahn::N,수탉,ай курӧг
162,Gans::N,거위,дзодзог
163,Adler::N,수리,куч
164,Adler::N,수리,кутш
165,Ente::N,오리,утка
166,Eule::N,부엉이,тупка
167,Kranich::N,두루미,тури
168,Krähe::N,까마귀,рака
169,Kuckuck::N,뻐꾸기,кӧк
170,Schwan::N,배조,юсь
171,Fisch::N,물고기,чери
172,Barsch::N,농어,ёкыш
173,Hecht::N,에속스,сирпинь
174,Schlange[Tier]::N,뱀,змей
175,Wurm::N,벌레,номыр
176,Spinne::N,거미,черань
177,Ameise::N,개미,кӧдзывкар
178,Laus::N,이,ляпа той
179,Mücke::N,모기,ном
180,Fliege::N,날기,гут
181,Schmetterling::N,나비,бабыв
182,Beere::N,장과,ягӧд
183,Apfel::N,사과,яблоко
184,Pilz::N,고방이,тшак
185,Zwiebel::N,양파,грез
186,Saat::N,씨,кӧдзыс
187,Korn::N,알맹이,сю
188,Heu::N,건초,турун
189,Schale::N,피상,кыш
190,Schale::N,피상,киль
191,Falle::N,함정,нальк
192,Falle::N,함정,кляпча
193,Schlinge::N,올가미,лӧч
194,Schlinge::N,멜빵붕대,лӧч
195,Spur::N,발지국,туй
196,Asche::N,재,пӧим
197,Dreck::N,똥,нять
198,Dreck::N,오물,нять
199,Eisen::N,쇠,кӧрт
200,Eisen::N,철,кӧрт
201,Gold::N,항금,зарни
202,Silber::N,은,язісь
203,Kohle::N,슻,шом
204,Kohle::N,슻,уголь
205,Glas::N,유리,стекло
206,Lehm::N,찰흙,сёй
207,Sand::N,모래,лыа
208,Mensch::N,사람,морт
209,Mann::N,남자,мужик
210,Frau::N,여자,инька
211,Kind::N,아이,кага
212,Junge::N,소녁,зонка
213,Mädchen::N,소녀,нывкаок
