,Concept_ID,hi,fa
0,Auge::N,आँख,چشم
1,Auge::N,चक्षु,چشم
2,Ohr::N,कान,گوش
3,Ohr::N,कर्ण,گوش
4,Nase::N,नाक,بینی
5,Nase::N,नासा,بینی
6,Mund::N,मुख,دهان
7,Mund::N,मुँह,دهان
8,Zahn::N,दंत,دندان
9,Zahn::N,दाँत,دندان
10,Zunge::N,जीभ,زبان
11,Zunge::N,ज़बान,زبان
12,Zunge::N,जिह्वा,زبان
13,Lippe::N,ओंठ,لب
14,Lippe::N,होंठ,لب
15,Wange::N,गाल,لپ
16,Wange::N,कपोल,لپ
17,Gesicht::N,मुँह,رو
18,Gesicht::N,मुँह,چهره
19,Gesicht::N,चेहरा,رو
20,Gesicht::N,चेहरा,چهره
21,Stirn::N,माथा,پیشانی
22,Stirn::N,मस्तक,پیشانی
23,Haar::N,बाल,مو
24,Schnurrbart::N,मूँछें,سبیل
25,Bart::N,दाढ़ी,ریش
26,Kinn::N,चिबुक,چانه
27,Kiefer[Anatomie]::N,जबड़ा,فک
28,Kiefer[Anatomie]::N,जबड़ा,آرواره
29,Kehle::N,गला,حلق
30,Hals::N,गला,گردن
31,Hals::N,गरदन,گردن
32,Genick::N,गरदन,پشت گردن
33,Genick::N,ग्रीवा,پشت گردن
34,Kopf::N,सिर,سر
35,Kopf::N,सिर,کله
36,Kopf::N,शीर्ष,سر
37,Kopf::N,शीर्ष,کله
38,Rücken::N,पीठ,پشت
39,Bauch::N,उदर,شکم
40,Nabel::N,नाभि,ناف
41,Nabel::N,ढोंढी,ناف
42,Busen::N,कुच,پستان
43,Busen::N,स्तन,پستان
44,Brust::N,वक्ष,سینه
45,Schulter::N,कंधा,دوش
46,Schulter::N,कंधा,شانه
47,Schulter::N,स्कंध,دوش
48,Schulter::N,स्कंध,شانه
49,Arm::N,बाँह,بازو
50,Arm::N,बाज़ू,بازو
51,Ellenbogen::N,कुहनी,آرنج
52,Hand::N,हाथ,دست
53,Hand::N,हस्त,دست
54,Handfläche::N,हथेली,کف دست
55,Finger::N,उँगली,انگشت
56,Finger::N,अँगुली,انگشت
57,Fingernagel::N,नख,ناخن دست
58,Fingernagel::N,नाख़ून,ناخن دست
59,Nagel[Anatomie]::N,नख,ناخن
60,Nagel[Anatomie]::N,नाख़ून,ناخن
61,Zeh::N,उँगली,انگشت پا
62,Zeh::N,पाँव की उँगली,انگشت پا
63,Fuß::N,चरण,پا
64,Fuß::N,पाँव,پا
65,Ferse::N,एड़ी,پاشنه
66,Knie::N,जानु,زانو
67,Knie::N,घुटना,زانو
68,Oberschenkel::N,उरु,ران
69,Bein::N,टाँग,پا
70,Bein::N,टाँग,لنگ
71,Körper::N,तन,تن
72,Körper::N,तन,بدن
73,Körper::N,देह,تن
74,Körper::N,देह,بدن
75,Körper::N,शरीर,تن
76,Körper::N,शरीर,بدن
77,Haut::N,चर्म,پوست
78,Haut::N,त्वचा,پوست
79,Blut::N,लहू,خون
80,Blut::N,ख़ून,خون
81,Ader::N,रग,رگ
82,Ader::N,शिरा,رگ
83,Sehne::N,कंडरा,زردپی
84,Sehne::N,स्नायु,زردپی
85,Knochen::N,अस्थि,استخوان
86,Gehirn::N,दिमाग़,مخ
87,Gehirn::N,दिमाग़,مغز
88,Gehirn::N,मस्तिष्क,مخ
89,Gehirn::N,मस्तिष्क,مغز
90,Herz::N,दिल,دل
91,Herz::N,दिल,قلب
92,Herz::N,हृदय,دل
93,Herz::N,हृदय,قلب
94,Magen::N,मेदा,معده
95,Magen::N,अमाशय,معده
96,Leber::N,जिगर,کبد
97,Leber::N,यकृत्,کبد
98,Atem::N,दम,نفس
99,Atem::N,साँस,نفس
100,Atem::N,श्वास,نفس
101,Hunger::N,भूख,گرسنگی
102,Hunger::N,क्षुधा,گرسنگی
103,Träne::N,आँसू,اشک
104,Träne::N,अश्रु,اشک
105,Geschmack::N,स्वाद,مزه
106,Geschmack::N,ज़ायक़ा,مزه
107,Geruch::N,बू,بو
108,Geruch::N,गंध,بو
109,Schlaf::N,नींद,خواب
110,Schlaf::N,निद्रा,خواب
111,Traum::N,सपना,رؤیا
112,Traum::N,स्वप्न,رؤیا
113,Himmel::N,आकाश,فلک
114,Himmel::N,आकाश,آسمان
115,Himmel::N,आसमान,فلک
116,Himmel::N,आसमान,آسمان
117,Sonne::N,रवि,آفتاب
118,Sonne::N,रवि,خورشید
119,Sonne::N,सूरज,آفتاب
120,Sonne::N,सूरज,خورشید
121,Sonne::N,सूर्य,آفتاب
122,Sonne::N,सूर्य,خورشید
123,Mond::N,चाँद,ماه
124,Mond::N,चंद्र,ماه
125,Stern::N,तारा,ستاره
126,Stern::N,सितारा,ستاره
127,Luft::N,हवा,هوا
128,Luft::N,वायु,هوا
129,Wind::N,पाद,باد
130,Welle::N,लहर,موج
131,Welle::N,तरंग,موج
132,Wasser::N,जल,آب
133,Wasser::N,पानी,آب
134,Stein::N,पत्थर,سنگ
135,Boden::N,मिट्टी,زمین
136,Erde::N,भूमि,خاک
137,Erde::N,भूमि,زمین
138,Erde::N,ज़मीन,خاک
139,Erde::N,ज़मीन,زمین
140,Staub::N,धूल,گرد
141,Staub::N,धूल,غبار
142,Rauch::N,धूआँ,دود
143,Rauch::N,धुम्र,دود
144,Funke::N,चिनगारी,جرقه
145,Funke::N,स्फुलिंग,جرقه
146,Feuer::N,आग,آتش
147,Feuer::N,आतिश,آتش
148,Feuer::N,अग्नि,آتش
149,Licht::N,रोशनी,نور
150,Licht::N,रोशनी,روشنی
151,Licht::N,प्रकाश,نور
152,Licht::N,प्रकाश,روشنی
153,Schatten::N,छाया,سایه
154,Schatten::N,परछाई,سایه
155,Wetter::N,ऋतु,هوا
156,Wetter::N,मौसम,هوا
157,Nebel::N,धुँध,مه
158,Nebel::N,कुहरा,مه
159,Wolke::N,मेघ,ابر
160,Wolke::N,अभ्र,ابر
161,Regen::N,मेंह,باران
162,Regen::N,बारिश,باران
163,Schnee::N,हिम,برف
164,Schnee::N,बर्फ़,برف
165,Eis::N,हिम,یخ
166,Eis::N,बर्फ़,یخ
167,Frost::N,ठंड,یخبندان
168,Kälte::N,सर्दी,سرما
169,Kälte::N,शीतलता,سرما
170,Hitze::N,ताप,گرما
171,Hitze::N,ताप,حرارت
172,Hitze::N,गरमी,گرما
173,Hitze::N,गरमी,حرارت
174,Raureif::N,पाला,برف ریزه
175,Regenbogen::N,इंद्र-धनुष,رنگین‌کمان
176,Donner::N,गरज,رعد
177,Donner::N,मेघ-गर्जन,رعد
178,Strömung::N,बहाव,جریان
179,Strömung::N,प्रवाह,جریان
180,Tropfen::N,बूँद,قطره
181,Schaum::N,झाग,کف
182,Schmutz::N,गंद,گل
183,Schmutz::N,गंद,کثافت
184,Schmutz::N,कीचड़,گل
185,Schmutz::N,कीचड़,کثافت
186,See::N,झील,دریاچه
187,See::N,सरोवर,دریاچه
188,Sumpf::N,दलदल,مرداب
189,Sumpf::N,दलदल,باتلاق
190,Sumpf::N,धँसान,مرداب
191,Sumpf::N,धँसान,باتلاق
192,Moor::N,झाबर,باتلاق
193,Moor::N,धँसान,باتلاق
194,Wiese::N,घास-स्थल,چمن
195,Wald::N,जंगल,جنگل
196,Hügel::N,टीला,تل
197,Hügel::N,टीला,تپه
198,Hügel::N,पहाड़,تل
199,Hügel::N,पहाड़,تپه
200,Anhöhe::N,टीला,بلندی
201,Anhöhe::N,पहाड़ी,بلندی
202,Berg::N,पहाड़,کوه
203,Gipfel::N,शिखर,قله
204,Höhle::N,गुहा,غار
205,Höhle::N,गुफ़ा,غار
206,Abhang::N,ढाल,سرازیری
207,Abhang::N,ढलान,سرازیری
208,Quelle::N,चश्मा,چشمه
209,Bach::N,सोता,نهر
210,Bach::N,नदिका,نهر
211,Fluss::N,नदी,رود
212,Fluss::N,सरिता,رود
213,Ufer::N,तट,ساحل
214,Ufer::N,तट,کرانه
215,Ufer::N,किनारा,ساحل
216,Ufer::N,किनारा,کرانه
217,Küste::N,समुद्र-तट,ساحل
218,Festland::N,महाद्वीप,خشکی
219,Meer::N,सागर,دریا
220,Meer::N,समुद्र,دریا
221,Bucht::N,खाड़ी,خلیج
222,Insel::N,टापू,جزیره
