,Concept_ID,ta,nl
0,Auge::N,கண்,oog
1,Ohr::N,காது,oor
2,Nase::N,மூக்கு,neus
3,Mund::N,வாய்,mond
4,Zahn::N,பல்,tand
5,Zunge::N,நாக்கு,tong
6,Lippe::N,உதடு,lip
7,Wange::N,கன்னம்,wang
8,Gesicht::N,முகம்,gelaat
9,Gesicht::N,முகம்,gezicht
10,Stirn::N,முன்னெற்றி,voorhoofd
11,Haar::N,முடி,haar
12,Schnurrbart::N,மீசை,snor
13,Bart::N,தாடி,baard
14,Kinn::N,கீழதாடை,kin
15,Kiefer[Anatomie]::N,தாடை,kaak
16,Kehle::N,தொண்டை,keel
17,Kehle::N,தொண்டை,strot
18,Hals::N,கழுத்து,hals
19,Genick::N,கழுத்து,nek
20,Kopf::N,தலை,hoofd
21,Rücken::N,முதுகு,rug
22,Bauch::N,வயிறு,buik
23,Nabel::N,தொப்புள்,navel
24,Busen::N,மார்பகம்,boezem
25,Brust::N, மார்பு,borst
26,Schulter::N,தோள்பட்டை,schouder
27,Arm::N,கரம்,arm
28,Ellenbogen::N,முழங்கை,elleboog
29,Hand::N,கை,hand
30,Handfläche::N,உள்ளங்கை,handpalm
31,Finger::N,விரல்,vinger
32,Fingernagel::N,விரல் நகம்,nagel
33,Nagel[Anatomie]::N,நகம்,nagel
34,Zeh::N,கால்விரல்,teen
35,Fuß::N,கால்,voet
36,Ferse::N,குதிகால்,hak
37,Ferse::N,குதிகால்,hiel
38,Knie::N,முழங்கால்,knie
39,Oberschenkel::N,தொடை,dij
40,Bein::N,கால்,been
41,Körper::N,உடல்,lichaam
42,Haut::N,சருமம்,huid
43,Blut::N,இரத்தம்,bloed
44,Ader::N,நாளம்,ader
45,Sehne::N,தசைநார்,pees
46,Knochen::N,எலுமபு,bot
47,Knochen::N,எலுமபு,been
48,Knochen::N,எலுமபு,knook
49,Gehirn::N,மூனை,hersenen
50,Herz::N,இதயம,hart
51,Magen::N,வயிறு,maag
52,Leber::N,கல்லீரல்,lever
53,Atem::N,மூச்சு,adem
54,Hunger::N,பசி,honger
55,Träne::N,கண்ணீர்,traan
56,Geschmack::N,நறுமணம்,smaak
57,Geruch::N,துர்நாற்றம்,geur
58,Schlaf::N,தூக்கம்,slaap
59,Traum::N,கனவு,droom
60,Himmel::N,வானம்,hemel
61,Sonne::N,சூரியன்,zon
62,Mond::N,சந்திரன்,maan
63,Stern::N,நட்சத்திரம்,ster
64,Luft::N,காறறு,lucht
65,Wind::N,காற்று,wind
66,Welle::N,அலை,golf
67,Wasser::N,நீர்,water
68,Stein::N,கல்,steen
69,Boden::N,தரை,grond
70,Erde::N,மண்,aarde
71,Staub::N,தூசி,stof
72,Rauch::N,புகை,rook
73,Funke::N,தீப்பொறி,vonk
74,Feuer::N,தீ,vuur
75,Licht::N,வெளிச்சம்,licht
76,Schatten::N,நிழல்,schaduw
77,Wetter::N,வானிலை,weer
78,Nebel::N,பனிமூட்டம்,mist
79,Nebel::N,பனிமூட்டம்,nevel
80,Wolke::N,மேகம்,wolk
81,Regen::N,மழை,regen
82,Schnee::N,உறைபனி,sneeuw
83,Eis::N,பனிக்கட்டி,ijs
84,Frost::N,உறைபனி,vorst
85,Kälte::N,குளிர்ந்த,kou
86,Kälte::N,குளிர்ந்த,koude
87,Hitze::N,சூடு,hitte
88,Raureif::N,உறைபனி வெண்திரை,rijp
89,Regenbogen::N,வானவில்,regenboog
90,Donner::N,இடி,donder
91,Strömung::N,நீரோட்டம்,stroming
92,Tropfen::N,துளி,druppel
93,Schaum::N,நுரை,schuim
94,Schmutz::N,அழுக்கு,vuil
95,See::N,ஏரி,meer
96,Sumpf::N,சதுப்பு நிலம்,moeras
97,Moor::N,முட்புதற்காடு,veen
98,Wiese::N,பசும் புல்தரை,wei
99,Wiese::N,பசும் புல்தரை,weide
100,Wald::N,காடு,bos
101,Hügel::N,குன்று,heuvel
102,Anhöhe::N,பதுக்கை,hoogte
103,Berg::N,மலை,berg
104,Gipfel::N,உச்சி மாநாடு,top
105,Höhle::N,குகை,hol
106,Abhang::N,சரிவு,helling
107,Quelle::N,மூலம்,bron
108,Bach::N,ஓடை,beek
109,Fluss::N,ஆறு,stroom
110,Ufer::N,நீர்க்கரை,wal
111,Ufer::N,நீர்க்கரை,oever
112,Küste::N,கடற்கரை,kust
113,Festland::N,நிலம்,vasteland
114,Meer::N,கடல்,zee
115,Bucht::N,சிறுகுடா,baai
116,Bucht::N,சிறுகுடா,inham
117,Insel::N,தீவு,eiland
118,Blume::N,பூ,bloem
119,Gras::N,புல்தரை,gras
120,Wurzel::N,வேர்,wortel
121,Baum::N,மரம்,boom
122,Stamm::N,அடிமரம்,stam
123,Rinde::N,பட்டை,schors
124,Rinde::N,மரப்பட்டை,schors
125,Ast::N,கினை,tak
126,Zweig::N,குச்சி,twijg
127,Blatt::N,இலை,blad
128,Birke::N,பிர்ச் மரம்,berk
129,Kiefer[Baum]::N,தேவதாரு மரம்,den
130,Weide[Baum]::N,மர வகைகளுள் ஒன்று,wilg
131,Tanne::N,சாதிக்கய்,spar
132,Horn::N,கொம்பு,hoorn
133,Feder::N,இறகு,veer
134,Feder::N,இறகு,pluim
135,Fell::N,மென்முடி,vel
136,Flügel::N,இறக்கை,vleugel
137,Klaue::N,நகம்,klauw
138,Kralle::N,நகம்,klauw
139,Schwanz::N,வால்,staart
140,Ei::N,முட்டை,ei
141,Nest::N,கூடு,nest
142,Bau::N,குகை,hol
143,Tier::N,விலங்கு,dier
144,Herde::N,கூட்டம்,kudde
145,Kuh::N,பசு,koe
146,Bulle::N,காளை,stier
147,Pferd::N,குதிரை,paard
148,Schaf::N,செம்மறிஆடு,schaap
149,Schwein::N,பன்றி,varken
150,Hund::N,நாய்,hond
151,Katze::N,பூனை,kat
152,Bär::N,கரடி,beer
153,Eichhörnchen::N,அணில்,eekhoorntje
154,Elch::N,கடம்பை,eland
155,Fuchs::N,நரி,vos
156,Hase::N,முயல்,haas
157,Maus::N,எலி,muis
158,Wolf::N,ஓநாய்,wolf
159,Vogel::N,பறவை,vogel
160,Schwarm::N,தொகுதி,zwerm
161,Huhn::N,கோழிக்குஞசு,kip
162,Huhn::N,கோழிக்குஞசு,hoen
163,Hahn::N,சேவல்,haan
164,Gans::N,பெண் வாத்து,gans
165,Adler::N,பருநது,arend
166,Ente::N,வாத்து,eend
167,Eule::N,ஆந்தை,uil
168,Kranich::N,நாரை,kraanvogel
169,Krähe::N,காகம்,kraai
170,Kuckuck::N,குயில்,koekoek
171,Schwan::N,அன்னம்,zwaan
172,Fisch::N,மீன்,vis
173,Barsch::N,பேர்ச்,baars
174,Hecht::N,கோலாச்சி மீன்,snoek
175,Schlange[Tier]::N,பாம்பு,slang
176,Wurm::N,புழு,worm
177,Spinne::N,சிலந்தி,spin
178,Ameise::N,எறும்பு,mier
179,Laus::N,பேன்,luis
180,Mücke::N,கொசுவினப்பூச்சி,mug
181,Fliege::N,ஈ,vlieg
182,Schmetterling::N,வண்ணத்துப்பூச்சி,vlinder
183,Beere::N,சதைப்பழம்,bes
184,Apfel::N,ஆப்பிள பழம்,appel
185,Pilz::N,காளான்,paddestoel
186,Zwiebel::N,வெங்காயம்,ui
187,Saat::N,விதை,zaad
188,Korn::N,தானியம்,graan
189,Korn::N,தானியம்,korrel
190,Heu::N,வைக்கோல்,hooi
191,Schale::N,தோல்,schil
192,Grube::N,குழி,kuil
193,Falle::N,பொறி,val
194,Schlinge::N,கண்ணி,strop
195,Spur::N,சுவடு,spoor
196,Asche::N,சாம்பல்,as
197,Dreck::N,அழுக்கு,drek
198,Eisen::N,இரும்பு,ijzer
199,Gold::N,தங்கம்,goud
200,Silber::N,வெள்ளி,zilver
201,Kohle::N,நிலக்கரி,kool
202,Glas::N,கண்ணாடி,glas
203,Lehm::N,களிமண்,klei
204,Sand::N,மணல்,zand
205,Mensch::N,மனிதர்கள்,mens
206,Mann::N,மனிதன்,man
207,Frau::N,பெண்,vrouw
208,Kind::N,குழந்தை,kind
209,Junge::N,பையன்,jongen
210,Mädchen::N,சிறுமி,meisje
211,Familie::N,குடும்பம்,gezin
212,Familie::N,குடும்பம்,familie
213,Großvater::N,தாத்தா,grootvader
214,Großmutter::N,பாட்டி,grootmoeder
215,Eltern::N,பெற்றோர்,ouders
216,Vater::N,தந்தை,vader
217,Mutter::N,தாய்,moeder
218,Sohn::N,மகன்,zoon
219,Tochter::N,மகள்,dochter
220,Bruder::N,சகோதரன்,broer
221,Bruder::N,சகோதரன்,broeder
222,Schwester::N,அக்கா,zus
223,Schwester::N,அக்கா,zuster
224,Onkel::N,தாய் மாமன்,oom
225,Tante::N,அத்தை,tante
226,Ehemann::N,கணவன்,echtgenoot
227,Ehefrau::N,மனைவி,echtgenote
228,Freude::N,கொண்டாட்டம்,vreugde
229,Gelächter::N,சிரிப்பு,gelach
230,Glück::N,மகிழ்ச்சி,geluk
231,Kummer::N,துயரம்,verdriet
232,Wunsch::N,விருப்பம்,wens
233,Wunsch::N,விருப்பம்,verlangen
234,Lust::N,விருப்பம்,zin
235,Lust::N,விருப்பம்,lust
236,Geist::N,ஆன்மா,geest
237,Gedanke::N,எண்ணம்,gedachte
238,Gedächtnis::N,ஞாபகம்,geheugen
239,Verstand::N,மனம்,verstand
240,Sinn::N,அர்த்தம்,betekenis
241,Grund::N,காரணம்,reden
242,Wahrheit::N,உண்நை,waarheid
243,Gespräch::N,பெசு,gesprek
244,Märchen::N,நம்பத்தகாத கதை,sprookje
245,Erzählung::N,கதை,verhaal
246,Nachricht::N,செய்தி,tijding
247,Neuigkeit::N,செய்தி,nieuws
248,Neuigkeit::N,செய்தி,nieuwtje
249,Name::N,பெயர்,naam
250,Rätsel::N,புதிர்,raadsel
251,Rede::N,பேச்சு,rede
252,Sprache::N,மொழி,taal
253,Stimme::N,குரல்,stem
254,Wort::N,வார்த்தை,woord
255,Zeichen::N,குறி,teken
256,Ruf::N,அழைப்பு,roep
