,Concept_ID,et,vep
0,Auge::N,silm,sil'm
1,Ohr::N,kõrv,korv
2,Nase::N,nina,nena
3,Mund::N,suu,su
4,Zahn::N,hammas,pi
5,Zahn::N,hammas,hambaz
6,Zunge::N,keel,kel'
7,Lippe::N,huul,hul'
8,Wange::N,põsk,modpolišk
9,Gesicht::N,nägu,mod
10,Stirn::N,otsmik,oc
11,Haar::N,juus,tuk
12,Haar::N,juus,hibuz
13,Schnurrbart::N,vurrud,habinod
14,Schnurrbart::N,vuntsid,habinod
15,Bart::N,habe,bard
16,Kinn::N,lõug,löug
17,Kiefer[Anatomie]::N,lõualuu,hambazlu
18,Kehle::N,kõri,kurk
19,Hals::N,kael,kagl
20,Genick::N,kukal,tagarai
21,Kopf::N,pea,pä
22,Rücken::N,selg,sel'g
23,Bauch::N,kõht,vac
24,Bauch::N,kõht,koht
25,Nabel::N,naba,naba
26,Busen::N,rind,niža
27,Brust::N,rind,rind
28,Schulter::N,õlg,oug
29,Arm::N,käsivars,käzi
30,Ellenbogen::N,küünarnukk,künambruz
31,Hand::N,käsi,käzi
32,Hand::N,käsi,käzitera
33,Handfläche::N,pihk,kämen
34,Finger::N,sõrm,sor'm
35,Fingernagel::N,küüs,künz'
36,Nagel[Anatomie]::N,küüs,künz'
37,Zeh::N,varvas,barbaz
38,Fuß::N,jalg,jaug
39,Ferse::N,kand,kand
40,Knie::N,põlv,komb
41,Knie::N,põlv,pol'v
42,Oberschenkel::N,reis,riiže
43,Bein::N,jalg,jaug
44,Körper::N,ihu,hibj
45,Körper::N,keha,hibj
46,Haut::N,nahk,nahk
47,Blut::N,veri,čak
48,Blut::N,veri,veri
49,Ader::N,veen,son'
50,Sehne::N,kõõlus,jände
51,Knochen::N,luu,lu
52,Gehirn::N,aju,aivod
53,Herz::N,süda,südäin
54,Magen::N,magu,südäikoht
55,Leber::N,maks,maks
56,Atem::N,hingeõhk,hengaiduz
57,Atem::N,hingamine,hengaiduz
58,Hunger::N,nälg,näl'g
59,Träne::N,pisar,kündal'
60,Geschmack::N,maitse,magu
61,Geruch::N,lõhn,haju
62,Schlaf::N,uni,uni
63,Traum::N,unenägu,unikuva
64,Himmel::N,taevas,taivaz
65,Sonne::N,päike,päiväine
66,Mond::N,kuu,kudmaine
67,Stern::N,täht,tähtaz
68,Luft::N,õhk,il'm
69,Wind::N,tuul,döl
70,Wind::N,tuul,tullei
71,Welle::N,laine,ald
72,Welle::N,laine,laineh
73,Wasser::N,vesi,vezi
74,Stein::N,kivi,kivi
75,Boden::N,maa,ma
