,Concept_ID,cy,lez
0,Auge::N,llygad,вил
1,Ohr::N,clust,яб
2,Nase::N,trwyn,нер
3,Mund::N,ceg,сив
4,Zahn::N,dant,сас
5,Zahn::N,dant,свах
6,Zunge::N,tafod,мез
7,Lippe::N,gwefus,пӏуз
8,Wange::N,boch,хъвехъ
9,Gesicht::N,wyneb,ччин
10,Stirn::N,talcen,пел
11,Haar::N,blew,чӏар
12,Schnurrbart::N,mwstas,спел
13,Schnurrbart::N,mwstas,спелар
14,Bart::N,barf,ччуру
15,Kinn::N,gên,чене
16,Kiefer[Anatomie]::N,gên,чене
17,Kehle::N,gwddf,туьд
18,Hals::N,gwddf,гардан
19,Genick::N,gwar,кьам
20,Genick::N,gwegil,кьам
21,Kopf::N,pen,кьил
22,Rücken::N,cefn,далу
23,Bauch::N,bol,руфун
24,Nabel::N,bogail,пицӏ
25,Busen::N,bron,мам
26,Brust::N,brest,хур
27,Schulter::N,ysgwydd,къуьн
28,Arm::N,braich,гъил
29,Ellenbogen::N,penelin,кьуьнт
30,Hand::N,llaw,капаш
31,Handfläche::N,palf,капан юкь
32,Finger::N,bys,тӏуб
33,Fingernagel::N,ewin,кек
34,Nagel[Anatomie]::N,ewin,кек
35,Zeh::N,bys troed,кул
36,Fuß::N,troed,кӏвач
37,Ferse::N,sawdl,дабан
38,Knie::N,glin,мет
39,Oberschenkel::N,clun,
40,Bein::N,coes,кӏвач
41,Körper::N,corff,беден
42,Haut::N,croen,хам
43,Blut::N,gwaed,иви
44,Ader::N,gwythïen,дамар
45,Sehne::N,gewyn,кьуру дамар
46,Knochen::N,asgwrn,кӏараб
47,Gehirn::N,ymennydd,мефт
48,Herz::N,calon,рикӏ
49,Magen::N,cylla,хук
50,Magen::N,stumog,хук
51,Leber::N,iau,лекь
52,Atem::N,anadl,ял
53,Atem::N,anadl,нефес
54,Hunger::N,newyn,каш
55,Träne::N,deigryn,вилин нагъв
56,Geschmack::N,cyflas,дад
57,Geschmack::N,cyflas,тӏям
58,Geruch::N,aroglau,ни
59,Schlaf::N,cwsg,ахвар
60,Traum::N,breuddwyd,ахвар
61,Himmel::N,awyr,цав
62,Sonne::N,haul,рагъ
63,Mond::N,lleuad,варз
64,Stern::N,seren,гъед
65,Luft::N,awyr,гьава
66,Wind::N,gwynt,гар
67,Welle::N,ton,лепе
68,Wasser::N,dŵr,яд
69,Stein::N,carreg,къван
70,Boden::N,llawr,накьв
71,Erde::N,pridd,ччил
72,Staub::N,llwch,руг
73,Rauch::N,mwg,гум
74,Funke::N,gwreichioni,цӏелхем
75,Feuer::N,tân,цӏай
76,Licht::N,golau,экв
77,Schatten::N,cysgod,серин
78,Wetter::N,tywydd,гьава
79,Nebel::N,niwl,ччилин циф
80,Wolke::N,cwmwl,циф
