,Concept_ID,hi,hu
0,Auge::N,आँख,szem
1,Auge::N,चक्षु,szem
2,Ohr::N,कान,fül
3,Ohr::N,कर्ण,fül
4,Nase::N,नाक,orr
5,Nase::N,नासा,orr
6,Mund::N,मुख,száj
7,Mund::N,मुँह,száj
8,Zahn::N,दंत,fog
9,Zahn::N,दाँत,fog
10,Zunge::N,जीभ,nyelv
11,Zunge::N,ज़बान,nyelv
12,Zunge::N,जिह्वा,nyelv
13,Lippe::N,ओंठ,ajak
14,Lippe::N,होंठ,ajak
15,Wange::N,गाल,orca
16,Wange::N,कपोल,orca
17,Gesicht::N,मुँह,arc
18,Gesicht::N,चेहरा,arc
19,Stirn::N,माथा,homlok
20,Stirn::N,मस्तक,homlok
21,Haar::N,बाल,haj
22,Schnurrbart::N,मूँछें,bajusz
23,Bart::N,दाढ़ी,szakáll
24,Kinn::N,चिबुक,áll
25,Kiefer[Anatomie]::N,जबड़ा,állkapocs
26,Kehle::N,गला,gége
27,Kehle::N,गला,torok
28,Hals::N,गला,nyak
29,Hals::N,गरदन,nyak
30,Genick::N,गरदन,tarkó
31,Genick::N,ग्रीवा,tarkó
32,Kopf::N,सिर,fő
33,Kopf::N,सिर,fej
34,Kopf::N,शीर्ष,fő
35,Kopf::N,शीर्ष,fej
36,Rücken::N,पीठ,hát
37,Bauch::N,उदर,has
38,Nabel::N,नाभि,köldök
39,Nabel::N,ढोंढी,köldök
40,Busen::N,कुच,mell
41,Busen::N,कुच,kebel
42,Busen::N,स्तन,mell
43,Busen::N,स्तन,kebel
44,Brust::N,वक्ष,mell
45,Schulter::N,कंधा,váll
46,Schulter::N,स्कंध,váll
47,Arm::N,बाँह,kar
48,Arm::N,बाज़ू,kar
49,Ellenbogen::N,कुहनी,könyök
50,Hand::N,हाथ,kéz
51,Hand::N,हस्त,kéz
52,Handfläche::N,हथेली,tenyér
53,Finger::N,उँगली,ujj
54,Finger::N,अँगुली,ujj
55,Fingernagel::N,नख,köröm
56,Fingernagel::N,नाख़ून,köröm
57,Nagel[Anatomie]::N,नख,köröm
58,Nagel[Anatomie]::N,नाख़ून,köröm
59,Zeh::N,उँगली,lábujj
60,Zeh::N,पाँव की उँगली,lábujj
61,Fuß::N,चरण,láb
62,Fuß::N,पाँव,láb
63,Ferse::N,एड़ी,sarok
64,Knie::N,जानु,térd
65,Knie::N,घुटना,térd
66,Oberschenkel::N,उरु,comb
67,Bein::N,टाँग,láb
68,Bein::N,टाँग,lábszár
69,Körper::N,तन,test
70,Körper::N,देह,test
71,Körper::N,शरीर,test
72,Haut::N,चर्म,bőr
73,Haut::N,त्वचा,bőr
74,Blut::N,लहू,vér
75,Blut::N,ख़ून,vér
76,Ader::N,रग,ér
77,Ader::N,शिरा,ér
78,Sehne::N,कंडरा,ín
79,Sehne::N,स्नायु,ín
80,Knochen::N,अस्थि,csont
81,Gehirn::N,दिमाग़,agy
82,Gehirn::N,दिमाग़,agyvelő
83,Gehirn::N,मस्तिष्क,agy
84,Gehirn::N,मस्तिष्क,agyvelő
85,Herz::N,दिल,szív
86,Herz::N,हृदय,szív
87,Magen::N,मेदा,gyomor
88,Magen::N,अमाशय,gyomor
89,Leber::N,जिगर,máj
90,Leber::N,यकृत्,máj
91,Atem::N,दम,lehelet
92,Atem::N,दम,lélegzet
93,Atem::N,साँस,lehelet
94,Atem::N,साँस,lélegzet
95,Atem::N,श्वास,lehelet
96,Atem::N,श्वास,lélegzet
97,Hunger::N,भूख,éhség
98,Hunger::N,क्षुधा,éhség
99,Träne::N,आँसू,könny
100,Träne::N,अश्रु,könny
101,Geschmack::N,स्वाद,íz
102,Geschmack::N,ज़ायक़ा,íz
103,Geruch::N,बू,szag
104,Geruch::N,गंध,szag
105,Schlaf::N,नींद,álom
106,Schlaf::N,नींद,alvás
107,Schlaf::N,निद्रा,álom
108,Schlaf::N,निद्रा,alvás
109,Traum::N,सपना,álom
110,Traum::N,स्वप्न,álom
111,Himmel::N,आकाश,ég
112,Himmel::N,आकाश,menny
113,Himmel::N,आसमान,ég
114,Himmel::N,आसमान,menny
115,Sonne::N,रवि,nap
116,Sonne::N,सूरज,nap
117,Sonne::N,सूर्य,nap
118,Mond::N,चाँद,hold
119,Mond::N,चंद्र,hold
120,Stern::N,तारा,csillag
121,Stern::N,सितारा,csillag
122,Luft::N,हवा,levegő
123,Luft::N,वायु,levegő
124,Wind::N,पाद,szél
125,Welle::N,लहर,hullám
126,Welle::N,तरंग,hullám
127,Wasser::N,जल,víz
128,Wasser::N,पानी,víz
129,Stein::N,पत्थर,kő
130,Boden::N,मिट्टी,föld
131,Boden::N,मिट्टी,talaj
132,Erde::N,भूमि,föld
133,Erde::N,ज़मीन,föld
134,Staub::N,धूल,por
135,Rauch::N,धूआँ,füst
136,Rauch::N,धुम्र,füst
137,Funke::N,चिनगारी,szikra
138,Funke::N,स्फुलिंग,szikra
139,Feuer::N,आग,tűz
140,Feuer::N,आतिश,tűz
141,Feuer::N,अग्नि,tűz
142,Licht::N,रोशनी,fény
143,Licht::N,प्रकाश,fény
144,Schatten::N,छाया,árnyék
145,Schatten::N,परछाई,árnyék
146,Wetter::N,ऋतु,idő
147,Wetter::N,ऋतु,időjárás
148,Wetter::N,मौसम,idő
149,Wetter::N,मौसम,időjárás
150,Nebel::N,धुँध,köd
151,Nebel::N,कुहरा,köd
152,Wolke::N,मेघ,felhő
153,Wolke::N,अभ्र,felhő
154,Regen::N,मेंह,eső
155,Regen::N,बारिश,eső
156,Schnee::N,हिम,hó
157,Schnee::N,बर्फ़,hó
158,Eis::N,हिम,jég
159,Eis::N,बर्फ़,jég
160,Frost::N,ठंड,fagy
161,Kälte::N,सर्दी,hideg
162,Kälte::N,शीतलता,hideg
163,Hitze::N,ताप,hő
164,Hitze::N,ताप,hőség
165,Hitze::N,गरमी,hő
166,Hitze::N,गरमी,hőség
167,Raureif::N,पाला,zúzmara
168,Regenbogen::N,इंद्र-धनुष,szivárvány
169,Donner::N,गरज,dörgés
170,Donner::N,गरज,mennydörgés
171,Donner::N,मेघ-गर्जन,dörgés
172,Donner::N,मेघ-गर्जन,mennydörgés
173,Strömung::N,बहाव,áramlat
174,Strömung::N,प्रवाह,áramlat
175,Tropfen::N,बूँद,csepp
176,Schaum::N,झाग,hab
177,Schaum::N,झाग,tajték
178,Schmutz::N,गंद,piszok
179,Schmutz::N,कीचड़,piszok
180,See::N,झील,tó
181,See::N,सरोवर,tó
182,Sumpf::N,दलदल,mocsár
183,Sumpf::N,धँसान,mocsár
184,Moor::N,झाबर,láp
185,Moor::N,धँसान,láp
186,Wiese::N,घास-स्थल,rét
187,Wiese::N,घास-स्थल,mező
188,Wald::N,जंगल,erdő
189,Hügel::N,टीला,domb
190,Hügel::N,पहाड़,domb
191,Anhöhe::N,टीला,magaslat
192,Anhöhe::N,पहाड़ी,magaslat
193,Berg::N,पहाड़,hegy
194,Gipfel::N,शिखर,csúcs
195,Höhle::N,गुहा,barlang
196,Höhle::N,गुफ़ा,barlang
197,Abhang::N,ढाल,lejtő
