,Concept_ID,kl,de
0,Auge::N,isi,Auge
1,Ohr::N,siut,Ohr
2,Mund::N,paaq,Mund
3,Mund::N,qaneq,Mund
4,Zahn::N,kigut,Zahn
5,Zunge::N,oqaq,Zunge
6,Lippe::N,qarloq,Lippe
7,Wange::N,ersaq,Wange
8,Gesicht::N,kiinaq,Gesicht
9,Stirn::N,qaaq,Stirn
10,Haar::N,meqqoq,Haar
11,Bart::N,umik,Bart
12,Kinn::N,talloq,Kinn
13,Kiefer[Anatomie]::N,alleroq,Kiefer
14,Kehle::N,malaq,Kehle
15,Hals::N,qungaseq,Hals
16,Genick::N,pukusuk,Genick
17,Kopf::N,niaqoq,Kopf
18,Rücken::N,qimerlut,Rücken
19,Bauch::N,naaq,Bauch
20,Nabel::N,qalaseq,Nabel
21,Busen::N,iviangeq,Busen
22,Brust::N,iviangeq,Brust
23,Schulter::N,ersik,Schulter
24,Schulter::N,assaqqoq,Schulter
25,Arm::N,taleq,Arm
26,Ellenbogen::N,ikusik,Ellenbogen
27,Hand::N,assak,Hand
28,Handfläche::N,itumak,Handfläche
29,Finger::N,inuak,Finger
30,Fingernagel::N,kikiak,Fingernagel
31,Nagel[Anatomie]::N,kukik,Nagel
32,Zeh::N,isigak,Zeh
33,Ferse::N,kimmik,Ferse
34,Knie::N,seeqqoq,Knie
35,Oberschenkel::N,uppat,Oberschenkel
36,Oberschenkel::N,quttoraq,Oberschenkel
37,Bein::N,isigak,Bein
38,Körper::N,timi,Körper
39,Haut::N,mattak,Haut
40,Blut::N,aak,Blut
41,Ader::N,taqaq,Ader
42,Sehne::N,ujalu,Sehne
43,Sehne::N,ujaloq,Sehne
44,Knochen::N,saanikut,Knochen
45,Gehirn::N,qarasaq,Gehirn
46,Herz::N,uummat,Herz
47,Magen::N,aqajaroq,Magen
48,Leber::N,tinguk,Leber
49,Atem::N,anerneq,Atem
50,Hunger::N,kaanneq,Hunger
51,Träne::N,qia,Träne
52,Träne::N,qiak,Träne
