,Concept_ID,,ro
0,Auge::N,,ochi
1,Ohr::N,,ureche
2,Nase::N,,nas
3,Mund::N,,gură
4,Zahn::N,,dinte
5,Zunge::N,,limbă
6,Lippe::N,,buză
7,Wange::N,,bucă
8,Wange::N,,obraz
9,Gesicht::N,,față
10,Gesicht::N,,figură
11,Stirn::N,,frunte
12,Haar::N,,păr
13,Schnurrbart::N,,mustață
14,Bart::N,,barbă
15,Kinn::N,,bărbie
16,Kiefer[Anatomie]::N,,falcă
17,Kehle::N,,beregată
18,Hals::N,,gât
19,Genick::N,,ceafă
20,Kopf::N,,cap
21,Rücken::N,,dos
22,Rücken::N,,spate
23,Rücken::N,,spinare
24,Bauch::N,,burtă
25,Bauch::N,,pântece
26,Nabel::N,,buric
27,Busen::N,,sân
28,Brust::N,,piept
29,Schulter::N,,umăr
30,Schulter::N,,spate
31,Arm::N,,braț
32,Ellenbogen::N,,cot
33,Hand::N,,mână
34,Handfläche::N,,palmă
35,Finger::N,,deget
36,Fingernagel::N,,unghie
37,Nagel[Anatomie]::N,,unghie
38,Zeh::N,,deget de la picior
39,Fuß::N,,picior
40,Ferse::N,,călcâi
41,Knie::N,,genunchi
42,Oberschenkel::N,,coapsă
43,Bein::N,,picior
44,Körper::N,,corp
45,Haut::N,,piele
46,Blut::N,,sânge
47,Ader::N,,vână
48,Ader::N,,arteră
49,Sehne::N,,tendon
50,Knochen::N,,os
51,Gehirn::N,,creier
52,Herz::N,,inimă
53,Magen::N,,stomac
54,Leber::N,,ficat
55,Atem::N,,răsuflare
56,Atem::N,,respirație
57,Hunger::N,,foame
58,Träne::N,,lacrimă
59,Geschmack::N,,gust
60,Geruch::N,,miros
61,Schlaf::N,,somn
62,Traum::N,,vis
63,Himmel::N,,cer
64,Sonne::N,,soare
65,Mond::N,,lună
66,Stern::N,,stea
67,Luft::N,,aer
68,Wind::N,,vânt
69,Welle::N,,val
70,Welle::N,,undă
71,Wasser::N,,apă
72,Stein::N,,piatră
73,Boden::N,,sol
74,Boden::N,,pământ
75,Erde::N,,pământ
76,Staub::N,,praf
77,Rauch::N,,fum
78,Funke::N,,scânteie
79,Feuer::N,,foc
80,Licht::N,,lumină
81,Schatten::N,,umbră
82,Wetter::N,,timp
83,Wetter::N,,vreme
84,Nebel::N,,ceață
85,Nebel::N,,negură
86,Wolke::N,,nor
87,Regen::N,,ploaie
88,Schnee::N,,zăpadă
89,Eis::N,,gheață
90,Frost::N,,ger
91,Kälte::N,,frig
92,Hitze::N,,arșiță
93,Hitze::N,,căldură
94,Raureif::N,,chiciură
95,Regenbogen::N,,curcubeu
96,Donner::N,,tunet
97,Strömung::N,,curent
98,Tropfen::N,,picătură
