,Concept_ID,cy,de
0,Auge::N,llygad,Auge
1,Ohr::N,clust,Ohr
2,Nase::N,trwyn,Nase
3,Mund::N,ceg,Mund
4,Zahn::N,dant,Zahn
5,Zunge::N,tafod,Zunge
6,Lippe::N,gwefus,Lippe
7,Wange::N,boch,Wange
8,Gesicht::N,wyneb,Gesicht
9,Stirn::N,talcen,Stirn
10,Haar::N,blew,Haar
11,Schnurrbart::N,mwstas,Schnurrbart
12,Bart::N,barf,Bart
13,Kinn::N,gên,Kinn
14,Kiefer[Anatomie]::N,gên,Kiefer
15,Kehle::N,gwddf,Kehle
16,Hals::N,gwddf,Hals
17,Genick::N,gwar,Genick
18,Genick::N,gwegil,Genick
19,Kopf::N,pen,Kopf
20,Rücken::N,cefn,Rücken
21,Bauch::N,bol,Bauch
22,Nabel::N,bogail,Nabel
23,Busen::N,bron,Busen
24,Brust::N,brest,Brust
25,Schulter::N,ysgwydd,Schulter
26,Arm::N,braich,Arm
27,Ellenbogen::N,penelin,Ellenbogen
28,Hand::N,llaw,Hand
29,Handfläche::N,palf,Handfläche
30,Finger::N,bys,Finger
31,Fingernagel::N,ewin,Fingernagel
32,Nagel[Anatomie]::N,ewin,Nagel
33,Zeh::N,bys troed,Zeh
34,Fuß::N,troed,Fuß
35,Ferse::N,sawdl,Ferse
36,Knie::N,glin,Knie
37,Oberschenkel::N,clun,Oberschenkel
38,Bein::N,coes,Bein
39,Körper::N,corff,Körper
40,Haut::N,croen,Haut
41,Blut::N,gwaed,Blut
42,Ader::N,gwythïen,Ader
43,Sehne::N,gewyn,Sehne
44,Knochen::N,asgwrn,Knochen
45,Gehirn::N,ymennydd,Gehirn
46,Herz::N,calon,Herz
47,Magen::N,cylla,Magen
48,Magen::N,stumog,Magen
49,Leber::N,iau,Leber
50,Atem::N,anadl,Atem
51,Hunger::N,newyn,Hunger
52,Träne::N,deigryn,Träne
53,Geschmack::N,cyflas,Geschmack
54,Geruch::N,aroglau,Geruch
55,Schlaf::N,cwsg,Schlaf
56,Traum::N,breuddwyd,Traum
57,Himmel::N,awyr,Himmel
58,Sonne::N,haul,Sonne
59,Mond::N,lleuad,Mond
60,Stern::N,seren,Stern
61,Luft::N,awyr,Luft
62,Wind::N,gwynt,Wind
63,Welle::N,ton,Welle
64,Wasser::N,dŵr,Wasser
65,Stein::N,carreg,Stein
66,Boden::N,llawr,Boden
67,Erde::N,pridd,Erde
68,Staub::N,llwch,Staub
69,Rauch::N,mwg,Rauch
70,Funke::N,gwreichioni,Funke
71,Feuer::N,tân,Feuer
72,Licht::N,golau,Licht
73,Schatten::N,cysgod,Schatten
74,Wetter::N,tywydd,Wetter
75,Nebel::N,niwl,Nebel
76,Wolke::N,cwmwl,Wolke
77,Regen::N,glaw,Regen
78,Schnee::N,ôd,Schnee
79,Schnee::N,eira,Schnee
80,Eis::N,iâ,Eis
81,Frost::N,rhew,Frost
82,Kälte::N,oerni,Kälte
83,Kälte::N,annwyd,Kälte
84,Hitze::N,gwres,Hitze
85,Raureif::N,barrug,Raureif
86,Regenbogen::N,enfys,Regenbogen
87,Donner::N,tyrfau,Donner
88,Strömung::N,cerrynt,Strömung
89,Tropfen::N,dafn,Tropfen
90,Tropfen::N,diferyn,Tropfen
91,Schaum::N,ewyn,Schaum
92,Schmutz::N,baw,Schmutz
93,Schmutz::N,budreddi,Schmutz
94,See::N,llyn,See
95,Sumpf::N,cors,Sumpf
96,Moor::N,rhos,Moor
97,Wiese::N,dôl,Wiese
98,Wald::N,coedwig,Wald
99,Hügel::N,bryn,Hügel
100,Anhöhe::N,bryn,Anhöhe
101,Berg::N,mynydd,Berg
102,Gipfel::N,copa,Gipfel
103,Höhle::N,ogof,Höhle
104,Abhang::N,llethr,Abhang
105,Quelle::N,tarddiad,Quelle
106,Quelle::N,ffynhonnell,Quelle
107,Bach::N,nant,Bach
108,Bach::N,afonig,Bach
109,Bach::N,cornant,Bach
110,Fluss::N,afon,Fluss
111,Ufer::N,glan,Ufer
112,Küste::N,traeth,Küste
113,Küste::N,arfordir,Küste
114,Festland::N,tir,Festland
115,Meer::N,môr,Meer
116,Bucht::N,bae,Bucht
117,Insel::N,ynys,Insel
118,Blume::N,blodyn,Blume
119,Gras::N,glaswellt,Gras
120,Wurzel::N,gwreiddyn,Wurzel
121,Baum::N,coeden,Baum
122,Stamm::N,colfen,Stamm
123,Stamm::N,boncyff,Stamm
124,Rinde::N,rhisgl,Rinde
125,Ast::N,cangen,Ast
126,Zweig::N,cainc,Zweig
127,Zweig::N,cangen,Zweig
128,Blatt::N,deilen,Blatt
129,Birke::N,bedwen,Birke
130,Kiefer[Baum]::N,pinwydden,Kiefer
131,Weide[Baum]::N,helygen,Weide
132,Tanne::N,ffynidwydden,Tanne
133,Horn::N,corn,Horn
134,Feder::N,plufyn,Feder
135,Fell::N,ffwr,Fell
136,Flügel::N,adain,Flügel
137,Klaue::N,crafanc,Klaue
138,Kralle::N,ewin,Kralle
139,Schwanz::N,cwt,Schwanz
140,Schwanz::N,cynffon,Schwanz
141,Ei::N,wy,Ei
142,Nest::N,nyth,Nest
143,Bau::N,ffau,Bau
144,Tier::N,anifail,Tier
145,Herde::N,praidd,Herde
146,Herde::N,diadell,Herde
147,Kuh::N,buwch,Kuh
148,Bulle::N,tarw,Bulle
149,Pferd::N,ceffyl,Pferd
150,Schaf::N,dafad,Schaf
151,Schwein::N,mochyn,Schwein
152,Hund::N,ci,Hund
153,Katze::N,cath,Katze
154,Bär::N,arth,Bär
155,Eichhörnchen::N,gwiwer,Eichhörnchen
156,Elch::N,elc,Elch
157,Fuchs::N,cadno,Fuchs
158,Hase::N,ysgyfarnog,Hase
159,Maus::N,llygoden,Maus
160,Wolf::N,blaidd,Wolf
161,Vogel::N,aderyn,Vogel
162,Schwarm::N,haid,Schwarm
163,Huhn::N,cyw,Huhn
164,Hahn::N,ceiliog,Hahn
165,Gans::N,gŵydd,Gans
166,Adler::N,eryr,Adler
167,Ente::N,hwyad,Ente
168,Eule::N,tylluan,Eule
169,Kranich::N,garan,Kranich
170,Kranich::N,crychydd,Kranich
171,Krähe::N,brân,Krähe
172,Kuckuck::N,cog,Kuckuck
173,Kuckuck::N,cwcw,Kuckuck
174,Schwan::N,alarch,Schwan
175,Fisch::N,pysgod,Fisch
176,Barsch::N,draenog,Barsch
177,Hecht::N,penhwyad,Hecht
178,Schlange[Tier]::N,neidr,Schlange
179,Wurm::N,abwydyn,Wurm
180,Wurm::N,pryf genwair,Wurm
181,Spinne::N,cor,Spinne
182,Spinne::N,pryf copyn,Spinne
183,Ameise::N,morgrugyn,Ameise
184,Laus::N,lleuen,Laus
185,Mücke::N,gwybedyn,Mücke
186,Fliege::N,cleren,Fliege
187,Schmetterling::N,glöyn byw,Schmetterling
188,Schmetterling::N,iâr fach yr haf,Schmetterling
189,Beere::N,aeronen,Beere
190,Apfel::N,afal,Apfel
191,Pilz::N,madarch,Pilz
192,Zwiebel::N,nionyn,Zwiebel
193,Zwiebel::N,winwnsyn,Zwiebel
194,Saat::N,had,Saat
195,Korn::N,grawn,Korn
196,Heu::N,gwair,Heu
197,Schale::N,croen,Schale
198,Schale::N,plisgyn,Schale
199,Grube::N,pwll,Grube
200,Grube::N,pydew,Grube
201,Falle::N,magl,Falle
202,Schlinge::N,cwlwm rhedeg,Schlinge
203,Spur::N,ôl,Spur
204,Asche::N,lludw,Asche
205,Dreck::N,baw,Dreck
206,Dreck::N,budreddi,Dreck
207,Eisen::N,haearn,Eisen
208,Gold::N,aur,Gold
209,Silber::N,arian,Silber
210,Kohle::N,glo,Kohle
211,Glas::N,gwydr,Glas
212,Lehm::N,clai,Lehm
213,Sand::N,tywod,Sand
214,Mensch::N,dyn,Mensch
215,Mann::N,dyn,Mann
216,Frau::N,merch,Frau
217,Frau::N,gwraig,Frau
218,Kind::N,plentyn,Kind
219,Junge::N,hogyn,Junge
220,Junge::N,bachgen,Junge
221,Mädchen::N,merch,Mädchen
222,Mädchen::N,geneth,Mädchen
223,Familie::N,teulu,Familie
224,Familie::N,tylwyth,Familie
225,Großvater::N,taid,Großvater
226,Großvater::N,tad-cu,Großvater
227,Großmutter::N,nain,Großmutter
228,Großmutter::N,mam-gu,Großmutter
229,Eltern::N,rhieni,Eltern
230,Vater::N,tad,Vater
231,Mutter::N,mam,Mutter
232,Sohn::N,mab,Sohn
233,Tochter::N,merch,Tochter
