,Concept_ID,ar,ka
0,Auge::N,عين,თვალი
1,Ohr::N,أذن,ყური
2,Nase::N,أنف,ცხვირი
3,Mund::N,فم,პირი
4,Zahn::N,سن,კბილი
5,Zunge::N,لسان,ენა
6,Lippe::N,شفة,ბაგე
7,Wange::N,خد,ლოყა
8,Wange::N,وجنة,ლოყა
9,Gesicht::N,وجه,სახე
10,Stirn::N,جبين,შუბლი
11,Haar::N,شعر,თმა
12,Schnurrbart::N,شارب,ულვაში
13,Bart::N,لحية,წვერი
14,Kinn::N,ذقن,ნიკაპი
15,Kiefer[Anatomie]::N,فك,ყბა
16,Kehle::N,حلق,ყელი
17,Hals::N,عنق,ყელი
18,Hals::N,عنق,კისერი
19,Hals::N,رقبة,ყელი
20,Hals::N,رقبة,კისერი
21,Genick::N,قفا,კეფა
22,Kopf::N,رأس,თავი
23,Rücken::N,ظهر,ზურგი
24,Bauch::N,بطن,მუცელი
25,Nabel::N,سرة,ჭიპი
26,Busen::N,ثدي,ძუძუ
27,Brust::N,صدر,მკერდი
28,Schulter::N,كتف,მხარი
29,Schulter::N,كتف,მკლავი
30,Arm::N,ذراع,ხელი
31,Ellenbogen::N,كوع,იდაყვი
32,Hand::N,يد,ხელი
33,Handfläche::N,كف,ნები
34,Handfläche::N,كف,ხელისგული
35,Finger::N,إصبع,თითი
36,Fingernagel::N,ظفر,ფრჩხილი
37,Nagel[Anatomie]::N,ظفر,ფრჩხილი
38,Zeh::N,إصبع القدم,ფეხის თითი
39,Fuß::N,قدم,ტერფი
40,Fuß::N,قدم,ფეხისგული
41,Ferse::N,كعب,ქუსლი
42,Knie::N,ركبة,მუხლი
43,Oberschenkel::N,فخذ,ბარძაყი
44,Bein::N,ساق,ფეხი
45,Körper::N,جسم,ტანი
46,Körper::N,جسم,სხეული
47,Haut::N,بشرة,კანი
48,Blut::N,دم,სისხლი
49,Ader::N,عرق,ძარღვი
50,Sehne::N,طنب,მყესი
51,Knochen::N,عظم,ძვალი
52,Gehirn::N,دماغ,ტვინი
53,Herz::N,قلب,გული
54,Magen::N,معدة,კუჭი
55,Leber::N,كبد,ღვიძლი
56,Atem::N,نفس,სუნთქვა
57,Hunger::N,جوع,შიმშილი
58,Träne::N,دمعة,ცრემლი
59,Geschmack::N,طعم,გემო
60,Geschmack::N,مذاق,გემო
61,Geruch::N,رائحة,სუნი
