,Concept_ID,es,kk
0,Auge::N,ojo,көз
1,Ohr::N,oreja,құлақ
2,Nase::N,nariz,мұрын
3,Mund::N,boca,ауыз
4,Zahn::N,diente,тіс
5,Zunge::N,lengua,тіл
6,Lippe::N,labio,ерін
7,Wange::N,mejilla,ұрт
8,Gesicht::N,cara,бет-аузы
9,Stirn::N,frente,маңдай
10,Haar::N,cabello,қыл
11,Schnurrbart::N,bigote,мұрт
12,Bart::N,barba,сақал
13,Kinn::N,barbilla,иек
14,Kiefer[Anatomie]::N,mandíbula,жақ
15,Kehle::N,garganta,алқым
16,Hals::N,cuello,мойын
17,Genick::N,nuca,желке
18,Genick::N,cerviz,желке
19,Kopf::N,cabeza,кәллә
20,Rücken::N,espalda,арқа
21,Bauch::N,vientre,қарын
22,Nabel::N,ombligo,кіндік
23,Busen::N,pecho,омырау
24,Brust::N,pecho,кеуде
25,Schulter::N,hombro,иық
26,Arm::N,brazo,қол
27,Ellenbogen::N,codo,шынтақ
28,Hand::N,mano,қол
29,Handfläche::N,palma,алақан
30,Finger::N,dedo,саусақ
31,Fingernagel::N,uña,тырнақ
32,Nagel[Anatomie]::N,uña,тырнақ
33,Zeh::N,dedo del pie,тырнақ
34,Zeh::N,dedo del pie,тұяқ
35,Fuß::N,pie,аяқ-басы
36,Ferse::N,talón,өкше
37,Ferse::N,talón,өкшелік
38,Knie::N,rodilla,тізе
39,Oberschenkel::N,muslo,жамбас
40,Bein::N,pierna,аяқ
41,Körper::N,cuerpo,дене
42,Haut::N,piel,тері
43,Blut::N,sangre,қан
44,Ader::N,vena,көктамыр
45,Ader::N,vena,күретамыр
46,Sehne::N,tendón,сіңір
47,Knochen::N,hueso,жілік
48,Gehirn::N,cerebro,ми
49,Gehirn::N,encéfalo,ми
50,Herz::N,corazón,жүрек
51,Magen::N,estómago,асқазан
52,Leber::N,hígado,бауыр
53,Atem::N,aliento,леп
54,Hunger::N,hambre,ашаршылық
55,Träne::N,lágrima,жас
56,Geschmack::N,gusto,дәм
57,Geschmack::N,gusto,татым
58,Geschmack::N,gusto,талғам
59,Geruch::N,olor,иіс
60,Schlaf::N,sueño,ұйқы
61,Schlaf::N,sueño,ұйықтау
62,Traum::N,sueño,түс
63,Traum::N,ensueño,түс
64,Himmel::N,cielo,аспан
65,Himmel::N,cielo,көқ
66,Himmel::N,cielo,таңдай
67,Sonne::N,sol,күн
68,Mond::N,luna,ай
69,Stern::N,estrella,жұлдыз
70,Luft::N,aire,әуе
71,Wind::N,viento,жел
72,Welle::N,ola,толқын
73,Welle::N,onda,толқын
74,Wasser::N,agua,су
75,Stein::N,piedra,тас
76,Boden::N,suelo,қыртыс
77,Erde::N,tierra,топырақ
78,Staub::N,polvo,шаң
79,Rauch::N,humo,түтін
80,Funke::N,chispa,ұшқын
81,Feuer::N,fuego,алау
82,Licht::N,luz,шұғыла
83,Schatten::N,sombra,көлеңке
84,Wetter::N,tiempo,ауа райы
85,Nebel::N,niebla,тұман
86,Wolke::N,nube,бұлт
87,Regen::N,lluvia,жаңбыр
88,Schnee::N,nieve,қар
89,Eis::N,hielo,мұз
90,Frost::N,helada,суық
91,Kälte::N,frío,ызғар
92,Kälte::N,frío,суықтық
93,Hitze::N,calor,аптап
94,Raureif::N,escarcha,қырау
95,Regenbogen::N,arco iris,кемпірқосақ
96,Donner::N,trueno,күн күркіреу
97,Strömung::N,corriente,ағын
98,Tropfen::N,gota,тамшы
99,Schaum::N,espuma,көбік
100,Schmutz::N,suciedad,кір
101,See::N,lago,көл
102,Sumpf::N,pantano,саз
103,Moor::N,turbera,саз
104,Wiese::N,prado,шалғын
105,Wiese::N,pradera,шалғын
106,Wald::N,bosque,орман
107,Hügel::N,colina,төбе
108,Hügel::N,colina,белес
109,Hügel::N,colina,белес-белес
110,Anhöhe::N,cerro,дөң
111,Anhöhe::N,cerro,адыр
112,Anhöhe::N,cerro,қырат
113,Berg::N,monte,тау
114,Berg::N,montaña,тау
115,Gipfel::N,cima,төбе
116,Gipfel::N,cumbre,төбе
117,Höhle::N,cueva,үңгір
118,Höhle::N,caverna,үңгір
119,Abhang::N,cuesta,бауыр
120,Abhang::N,declive,бауыр
121,Quelle::N,fuente,қайнар
122,Quelle::N,manantial,қайнар
123,Bach::N,arroyo,жылға
124,Fluss::N,río,өзен
125,Ufer::N,orilla,жиек
126,Küste::N,costa,жиегі
127,Küste::N,costa,жағалау
128,Festland::N,tierra firme,құрылық
129,Meer::N,mar,теңіз
130,Bucht::N,cala,шығанақ
131,Bucht::N,bahía,шығанақ
132,Insel::N,isla,арал
133,Blume::N,flor,гүл
134,Gras::N,hierba,от
135,Wurzel::N,raíz,түбір
136,Baum::N,árbol,ағаш
137,Baum::N,árbol,дарақ
138,Stamm::N,tronco,сояу
139,Stamm::N,tronco,оқпан
140,Rinde::N,corteza,қабық
141,Ast::N,rama,бұтақ
142,Zweig::N,ramo,шыбық
143,Blatt::N,hoja,жапырақ
144,Birke::N,abedul,қайың
145,Kiefer[Baum]::N,pino,қарағай
146,Weide[Baum]::N,sauce,тал
147,Tanne::N,abeto,шырша
148,Horn::N,asta,мүйіз
149,Horn::N,cuerno,мүйіз
150,Feder::N,pluma,қаламұш
151,Fell::N,piel,тері
152,Flügel::N,ala,қанат
153,Klaue::N,garra,тырнақ
154,Kralle::N,uña,аяқ
155,Kralle::N,garra,аяқ
156,Schwanz::N,cola,құйрық
157,Ei::N,huevo,жұмыртқа
158,Nest::N,nido,ұя
159,Bau::N,madriguera,жатақ
160,Tier::N,animal,айуан
161,Tier::N,animal,жануар
162,Herde::N,rebaño,пада
163,Kuh::N,vaca,сиыр
164,Bulle::N,toro,өгіз
165,Pferd::N,caballo,жылқы
166,Schaf::N,oveja,қой
167,Schwein::N,cerdo,шошқа
168,Hund::N,perro,ит
169,Katze::N,gato,мысық
170,Bär::N,oso,аю
171,Eichhörnchen::N,ardilla,тиін
172,Elch::N,alce,бұғы
173,Fuchs::N,zorro,түлкі
174,Hase::N,liebre,қоян
175,Maus::N,ratón,қаптесер
176,Wolf::N,lobo,бөрі
177,Wolf::N,lobo,қасқыр
178,Vogel::N,ave,құс
179,Vogel::N,pájaro,құс
180,Schwarm::N,bandada,топ
181,Schwarm::N,bandada,үйір
182,Huhn::N,gallina,тауық
183,Huhn::N,gallina,мекиен
184,Hahn::N,gallo,әтеш
185,Hahn::N,gallo,қораз
186,Gans::N,oca,қаз
187,Gans::N,ganso,қаз
188,Adler::N,águila,бүркіт
189,Ente::N,pato,үйрек
190,Eule::N,lechuza,жапалақ
191,Kranich::N,grulla,тырна
192,Krähe::N,corneja,қарға
193,Kuckuck::N,cuco,көкек
194,Schwan::N,cisne,аққу
195,Fisch::N,pez,балық
196,Barsch::N,perca,алабұға
197,Hecht::N,lucio,шортан
198,Schlange[Tier]::N,serpiente,жылан
199,Wurm::N,gusano,шұбалшаң
200,Spinne::N,araña,өрмекші
201,Ameise::N,hormiga,қүмырска
202,Laus::N,piojo,бит
203,Mücke::N,mosquito,маса
204,Fliege::N,mosca,шыбын
205,Schmetterling::N,mariposa,көбелек
206,Beere::N,baya,жидек
207,Apfel::N,manzana,алма
208,Pilz::N,seta,қозықұйрық
209,Pilz::N,seta,саңыраукулақ
210,Pilz::N,hongo,қозықұйрық
211,Pilz::N,hongo,саңыраукулақ
212,Zwiebel::N,cebolla,жуа
213,Saat::N,siembra,тұқым
214,Korn::N,grano,дән
215,Heu::N,heno,шөп
216,Schale::N,cáscara,қабық
217,Schale::N,cáscara,қабығы
218,Grube::N,foso,ор
219,Falle::N,trampa,дұзақ
220,Falle::N,trampa,қақпан
221,Schlinge::N,lazo,ілмек
222,Spur::N,huella,із
223,Asche::N,ceniza,күл
224,Dreck::N,suciedad,былғаныш
225,Eisen::N,hierro,темір
226,Gold::N,oro,алтын
227,Silber::N,plata,күміс
228,Kohle::N,carbón,көмір
229,Glas::N,vidrio,шыны
230,Glas::N,cristal,шыны
231,Lehm::N,barro,балшық
232,Sand::N,arena,құм
233,Mensch::N,hombre,адам
234,Mensch::N,ser humano,адам
235,Mann::N,hombre,еркек
236,Mann::N,hombre,ер адам
237,Frau::N,mujer,бике
238,Frau::N,mujer,қатын
239,Kind::N,niño,бала
240,Kind::N,niño,перзент
241,Junge::N,chico,бала
242,Junge::N,chico,ер бала
243,Junge::N,muchacho,бала
244,Junge::N,muchacho,ер бала
245,Mädchen::N,chica,қыз
246,Mädchen::N,muchacha,қыз
247,Familie::N,familia,жанұя
248,Großvater::N,abuelo,ата
249,Großmutter::N,abuela,әже
250,Großmutter::N,abuela,әжей
251,Eltern::N,padres,ата-аналар
252,Vater::N,padre,әке
253,Mutter::N,madre,ана
254,Sohn::N,hijo,ұл
255,Tochter::N,hija,қызым
256,Bruder::N,hermano,бауырым
257,Schwester::N,hermana,әпке
258,Onkel::N,tío,көке
259,Tante::N,tía,тәте
260,Ehemann::N,esposo,ер
261,Ehefrau::N,esposa,зайып
262,Freude::N,placer,қуаныш
263,Freude::N,placer,сүйініш
264,Freude::N,placer,шат-думан
265,Freude::N,placer,қуаныштылық
266,Freude::N,alegría,қуаныш
267,Freude::N,alegría,сүйініш
268,Freude::N,alegría,шат-думан
269,Freude::N,alegría,қуаныштылық
270,Gelächter::N,risa,күлу
271,Gelächter::N,carcajada,күлу
272,Glück::N,felicidad,бақыт
