,Concept_ID,ta,ba
0,Auge::N,கண்,күҙ
1,Ohr::N,காது,ҡолаҡ
2,Nase::N,மூக்கு,танау
3,Mund::N,வாய்,ауыҙ
4,Zahn::N,பல்,теш
5,Zunge::N,நாக்கு,тел
6,Lippe::N,உதடு,ирен
7,Wange::N,கன்னம்,яцаҡтар
8,Gesicht::N,முகம்,бит
9,Stirn::N,முன்னெற்றி,маңлай
10,Haar::N,முடி,сәс
11,Schnurrbart::N,மீசை,мылтыҡ
12,Bart::N,தாடி,һаҡал
13,Kinn::N,கீழதாடை,эйэк
14,Kiefer[Anatomie]::N,தாடை,яңаҡ һөйәге
15,Kehle::N,தொண்டை,тамаҡ
16,Hals::N,கழுத்து,муйын
17,Genick::N,கழுத்து,соңҡа
18,Kopf::N,தலை,баш
19,Rücken::N,முதுகு,арҡа
20,Bauch::N,வயிறு,ҡорһаҡ
21,Nabel::N,தொப்புள்,кендек
22,Busen::N,மார்பகம்,күкрәк
23,Brust::N, மார்பு,түш
24,Schulter::N,தோள்பட்டை,яурын
25,Arm::N,கரம்,ҡул
26,Ellenbogen::N,முழங்கை,терһәк
27,Hand::N,கை,ҡул
28,Hand::N,கை,ҡул суғы
29,Handfläche::N,உள்ளங்கை,ус төбө
30,Finger::N,விரல்,бармаҡ
31,Fingernagel::N,விரல் நகம்,тырнаҡ
32,Nagel[Anatomie]::N,நகம்,тырнаҡ
33,Zeh::N,கால்விரல்,бармаҡ
34,Fuß::N,கால்,табан
35,Ferse::N,குதிகால்,үксә
36,Knie::N,முழங்கால்,тубыҡ
37,Oberschenkel::N,தொடை,сандыр
38,Bein::N,கால்,аяҡ
39,Körper::N,உடல்,тән
40,Haut::N,சருமம்,тире
41,Blut::N,இரத்தம்,ҡан
42,Ader::N,நாளம்,тамыр
43,Sehne::N,தசைநார்,һеңер
44,Sehne::N,தசைநார்,тарамыш
45,Knochen::N,எலுமபு,һойәк
46,Gehirn::N,மூனை,мейе
47,Herz::N,இதயம,йорәк
48,Magen::N,வயிறு,ашҡаҙан
49,Leber::N,கல்லீரல்,бауыр
50,Atem::N,மூச்சு,һулыш
51,Hunger::N,பசி,аслыҡ
52,Träne::N,கண்ணீர்,күҙ иәше
53,Geschmack::N,நறுமணம்,тәм
54,Geruch::N,துர்நாற்றம்,еҫ
55,Schlaf::N,தூக்கம்,йоҡлау
56,Traum::N,கனவு,төш
57,Himmel::N,வானம்,күк
58,Sonne::N,சூரியன்,ҡояш
59,Mond::N,சந்திரன்,ай
60,Stern::N,நட்சத்திரம்,йондоҙ
61,Luft::N,காறறு,һауа
62,Wind::N,காற்று,ел
63,Welle::N,அலை,тулҡын
64,Wasser::N,நீர்,һыу
65,Stein::N,கல்,таш
66,Boden::N,தரை,тупраҡ
67,Erde::N,மண்,балсҡ
68,Staub::N,தூசி,туҙан
69,Rauch::N,புகை,төтөн
70,Funke::N,தீப்பொறி,осҡон
71,Feuer::N,தீ,ут
72,Licht::N,வெளிச்சம்,яҡтылыҡ
73,Schatten::N,நிழல்,күләгә
74,Wetter::N,வானிலை,һауа торошо
75,Nebel::N,பனிமூட்டம்,төман
76,Wolke::N,மேகம்,болот
77,Regen::N,மழை,ямғыр
78,Schnee::N,உறைபனி,ҡар
79,Eis::N,பனிக்கட்டி,боҙ
80,Frost::N,உறைபனி,һалҡын
81,Kälte::N,குளிர்ந்த,һыуыҡ
82,Hitze::N,சூடு,томра
83,Hitze::N,சூடு,эҫелек
84,Raureif::N,உறைபனி வெண்திரை,ҡырау
85,Regenbogen::N,வானவில்,йәйғор
86,Donner::N,இடி,күк күкрәү
87,Strömung::N,நீரோட்டம்,ағым
88,Tropfen::N,துளி,тамсы
89,Schaum::N,நுரை,күбек
90,Schmutz::N,அழுக்கு,батҡаҡ
91,See::N,ஏரி,күл
92,Sumpf::N,சதுப்பு நிலம்,һаҙлык
93,Moor::N,முட்புதற்காடு,һаҙ
94,Wiese::N,பசும் புல்தரை,болон
95,Wald::N,காடு,урман
96,Hügel::N,குன்று,түбә
97,Anhöhe::N,பதுக்கை,түбә
98,Anhöhe::N,பதுக்கை,ҡалҡыулыҡ
99,Berg::N,மலை,тау
100,Gipfel::N,உச்சி மாநாடு,түбә
101,Höhle::N,குகை,мәмерйә
102,Abhang::N,சரிவு,ипкен
103,Quelle::N,மூலம்,шишмә
104,Bach::N,ஓடை,шишмә
105,Fluss::N,ஆறு,йылға
106,Ufer::N,நீர்க்கரை,яр
107,Küste::N,கடற்கரை,яр буйы
108,Festland::N,நிலம்,ҡоро ер
109,Meer::N,கடல்,диңгез
110,Bucht::N,சிறுகுடா,бухта
111,Insel::N,தீவு,үтрау
112,Blume::N,பூ,сәскә
113,Gras::N,புல்தரை,үлән
114,Wurzel::N,வேர்,тамыр
115,Baum::N,மரம்,ағас
116,Stamm::N,அடிமரம்,олон
117,Stamm::N,அடிமரம்,көбәк
118,Rinde::N,பட்டை,ҡабыҡ
119,Rinde::N,மரப்பட்டை,ҡабыҡ
120,Ast::N,கினை,ботаҡ
121,Zweig::N,குச்சி,ботаҡ
122,Zweig::N,குச்சி,тармаҡ
123,Blatt::N,இலை,япраҡ
124,Birke::N,பிர்ச் மரம்,ҡайын
125,Kiefer[Baum]::N,தேவதாரு மரம்,ҡарғай
126,Weide[Baum]::N,மர வகைகளுள் ஒன்று,тал
127,Tanne::N,சாதிக்கய்,шыршы
128,Horn::N,கொம்பு,мөғөҙ
129,Feder::N,இறகு,ҡауырһын
130,Fell::N,மென்முடி,тире
131,Flügel::N,இறக்கை,ҡанат
132,Klaue::N,நகம்,тырнаҡ
133,Kralle::N,நகம்,аяҡ
134,Schwanz::N,வால்,ҡойроҡ
135,Ei::N,முட்டை,йомортҡа
136,Nest::N,கூடு,оя
137,Bau::N,குகை,оң
138,Tier::N,விலங்கு,жайуан
139,Tier::N,விலங்கு,йыртҡыс
140,Herde::N,கூட்டம்,көтөү
141,Kuh::N,பசு,һыйыр
142,Bulle::N,காளை,үгеҙ
143,Pferd::N,குதிரை,ат
144,Schaf::N,செம்மறிஆடு,һарыҡ
145,Schwein::N,பன்றி,сусҡа
146,Hund::N,நாய்,эт
147,Katze::N,பூனை,бесәй
148,Bär::N,கரடி,айыу
149,Eichhörnchen::N,அணில்,тейен
150,Elch::N,கடம்பை,мышы
151,Fuchs::N,நரி,төлкө
152,Hase::N,முயல்,ҡуян
153,Maus::N,எலி,сысҡан
154,Wolf::N,ஓநாய்,бүре
155,Vogel::N,பறவை,ҡош
156,Schwarm::N,தொகுதி,көтөү
157,Huhn::N,கோழிக்குஞசு,тауыҡ
158,Hahn::N,சேவல்,әтәс
159,Gans::N,பெண் வாத்து,ҡаҙ
160,Adler::N,பருநது,бөркөт
161,Ente::N,வாத்து,өйрәк
162,Eule::N,ஆந்தை,өкө
163,Eule::N,ஆந்தை,ябалаҡ
164,Kranich::N,நாரை,торна
165,Krähe::N,காகம்,ҡарға
166,Kuckuck::N,குயில்,кәкүк
167,Schwan::N,அன்னம்,аҡҡош
168,Fisch::N,மீன்,балыҡ
169,Barsch::N,பேர்ச்,алабуға
170,Hecht::N,கோலாச்சி மீன்,суртан
171,Schlange[Tier]::N,பாம்பு,йылан
172,Wurm::N,புழு,селяүсен
173,Spinne::N,சிலந்தி,үрмәксе
174,Ameise::N,எறும்பு,ҡырмыҫҡа
175,Laus::N,பேன்,бет
176,Mücke::N,கொசுவினப்பூச்சி,серәкәй
177,Fliege::N,ஈ,себен
178,Schmetterling::N,வண்ணத்துப்பூச்சி,күбәләк
179,Beere::N,சதைப்பழம்,еләк
180,Apfel::N,ஆப்பிள பழம்,алма
181,Pilz::N,காளான்,бәшмәк
182,Zwiebel::N,வெங்காயம்,һуган
183,Saat::N,விதை,орлоҡ
184,Korn::N,தானியம்,иген
185,Heu::N,வைக்கோல்,бесән
186,Schale::N,தோல்,ҡабыҡ
187,Grube::N,குழி,соҡор
188,Falle::N,பொறி,тоҙак
189,Falle::N,பொறி,ҡапҡан
190,Schlinge::N,கண்ணி,тоҙак
191,Spur::N,சுவடு,әҫер
192,Asche::N,சாம்பல்,көл
193,Dreck::N,அழுக்கு,батҡаҡ
194,Eisen::N,இரும்பு,тимер
195,Gold::N,தங்கம்,алтын
196,Silber::N,வெள்ளி,көмөш
197,Kohle::N,நிலக்கரி,күмер
198,Glas::N,கண்ணாடி,быяла
199,Lehm::N,களிமண்,балсыҡ
200,Sand::N,மணல்,ҡом
201,Mensch::N,மனிதர்கள்,кеше
202,Mann::N,மனிதன்,ир
203,Frau::N,பெண்,ҡатын
204,Kind::N,குழந்தை,бала
205,Junge::N,பையன்,малай
206,Mädchen::N,சிறுமி,ҡыҙ
207,Mädchen::N,சிறுமி,ҡыҙыҡай
208,Familie::N,குடும்பம்,ғаилә
209,Großvater::N,தாத்தா,олатай
210,Großmutter::N,பாட்டி,әбәй
211,Eltern::N,பெற்றோர்,ата-әсә
212,Vater::N,தந்தை,атай
213,Mutter::N,தாய்,әсә
214,Sohn::N,மகன்,ул
215,Tochter::N,மகள்,ҡыҙ
216,Bruder::N,சகோதரன்,агай
217,Schwester::N,அக்கா,алай
218,Schwester::N,அக்கா,һеңле
219,Onkel::N,தாய் மாமன்,ағай
220,Tante::N,அத்தை,апай
221,Ehemann::N,கணவன்,ир
222,Ehefrau::N,மனைவி,ҡатын
223,Freude::N,கொண்டாட்டம்,шатлыҡ
224,Freude::N,கொண்டாட்டம்,ҡыуаныс
225,Gelächter::N,சிரிப்பு,көлөү
226,Glück::N,மகிழ்ச்சி,бәхет
227,Kummer::N,துயரம்,ҡайғы
228,Wunsch::N,விருப்பம்,теләк
229,Lust::N,விருப்பம்,әүәҫлек
230,Geist::N,ஆன்மா,аң
231,Geist::N,ஆன்மா,рух
232,Gedanke::N,எண்ணம்,уй
233,Gedanke::N,எண்ணம்,фекер
234,Gedächtnis::N,ஞாபகம்,хәтер
235,Verstand::N,மனம்,аҡыл
236,Sinn::N,அர்த்தம்,мәғәня
237,Grund::N,காரணம்,сәбәп
