,Concept_ID,vep,hi
0,Auge::N,sil'm,आँख
1,Auge::N,sil'm,चक्षु
2,Ohr::N,korv,कान
3,Ohr::N,korv,कर्ण
4,Nase::N,nena,नाक
5,Nase::N,nena,नासा
6,Mund::N,su,मुख
7,Mund::N,su,मुँह
8,Zahn::N,pi,दंत
9,Zahn::N,pi,दाँत
10,Zahn::N,hambaz,दंत
11,Zahn::N,hambaz,दाँत
12,Zunge::N,kel',जीभ
13,Zunge::N,kel',ज़बान
14,Zunge::N,kel',जिह्वा
15,Lippe::N,hul',ओंठ
16,Lippe::N,hul',होंठ
17,Wange::N,modpolišk,गाल
18,Wange::N,modpolišk,कपोल
19,Gesicht::N,mod,मुँह
20,Gesicht::N,mod,चेहरा
21,Stirn::N,oc,माथा
22,Stirn::N,oc,मस्तक
23,Haar::N,tuk,बाल
24,Haar::N,hibuz,बाल
25,Schnurrbart::N,habinod,मूँछें
26,Bart::N,bard,दाढ़ी
27,Kinn::N,löug,चिबुक
28,Kiefer[Anatomie]::N,hambazlu,जबड़ा
29,Kehle::N,kurk,गला
30,Hals::N,kagl,गला
31,Hals::N,kagl,गरदन
32,Genick::N,tagarai,गरदन
33,Genick::N,tagarai,ग्रीवा
34,Kopf::N,pä,सिर
35,Kopf::N,pä,शीर्ष
36,Rücken::N,sel'g,पीठ
37,Bauch::N,vac,उदर
38,Bauch::N,koht,उदर
39,Nabel::N,naba,नाभि
40,Nabel::N,naba,ढोंढी
41,Busen::N,niža,कुच
42,Busen::N,niža,स्तन
43,Brust::N,rind,वक्ष
44,Schulter::N,oug,कंधा
45,Schulter::N,oug,स्कंध
46,Arm::N,käzi,बाँह
47,Arm::N,käzi,बाज़ू
48,Ellenbogen::N,künambruz,कुहनी
49,Hand::N,käzi,हाथ
50,Hand::N,käzi,हस्त
51,Hand::N,käzitera,हाथ
52,Hand::N,käzitera,हस्त
53,Handfläche::N,kämen,हथेली
54,Finger::N,sor'm,उँगली
55,Finger::N,sor'm,अँगुली
56,Fingernagel::N,künz',नख
57,Fingernagel::N,künz',नाख़ून
58,Nagel[Anatomie]::N,künz',नख
59,Nagel[Anatomie]::N,künz',नाख़ून
60,Zeh::N,barbaz,उँगली
61,Zeh::N,barbaz,पाँव की उँगली
62,Fuß::N,jaug,चरण
63,Fuß::N,jaug,पाँव
64,Ferse::N,kand,एड़ी
65,Knie::N,komb,जानु
66,Knie::N,komb,घुटना
67,Knie::N,pol'v,जानु
68,Knie::N,pol'v,घुटना
69,Oberschenkel::N,riiže,उरु
70,Bein::N,jaug,टाँग
71,Körper::N,hibj,तन
72,Körper::N,hibj,देह
73,Körper::N,hibj,शरीर
74,Haut::N,nahk,चर्म
75,Haut::N,nahk,त्वचा
76,Blut::N,čak,लहू
77,Blut::N,čak,ख़ून
78,Blut::N,veri,लहू
79,Blut::N,veri,ख़ून
80,Ader::N,son',रग
81,Ader::N,son',शिरा
82,Sehne::N,jände,कंडरा
83,Sehne::N,jände,स्नायु
84,Knochen::N,lu,अस्थि
85,Gehirn::N,aivod,दिमाग़
86,Gehirn::N,aivod,मस्तिष्क
87,Herz::N,südäin,दिल
88,Herz::N,südäin,हृदय
89,Magen::N,südäikoht,मेदा
90,Magen::N,südäikoht,अमाशय
91,Leber::N,maks,जिगर
92,Leber::N,maks,यकृत्
93,Atem::N,hengaiduz,दम
94,Atem::N,hengaiduz,साँस
95,Atem::N,hengaiduz,श्वास
96,Hunger::N,näl'g,भूख
97,Hunger::N,näl'g,क्षुधा
98,Träne::N,kündal',आँसू
99,Träne::N,kündal',अश्रु
100,Geschmack::N,magu,स्वाद
101,Geschmack::N,magu,ज़ायक़ा
102,Geruch::N,haju,बू
103,Geruch::N,haju,गंध
104,Schlaf::N,uni,नींद
105,Schlaf::N,uni,निद्रा
106,Traum::N,unikuva,सपना
107,Traum::N,unikuva,स्वप्न
108,Himmel::N,taivaz,आकाश
109,Himmel::N,taivaz,आसमान
110,Sonne::N,päiväine,रवि
111,Sonne::N,päiväine,सूरज
112,Sonne::N,päiväine,सूर्य
113,Mond::N,kudmaine,चाँद
114,Mond::N,kudmaine,चंद्र
115,Stern::N,tähtaz,तारा
116,Stern::N,tähtaz,सितारा
117,Luft::N,il'm,हवा
118,Luft::N,il'm,वायु
119,Wind::N,döl,पाद
120,Wind::N,tullei,पाद
121,Welle::N,ald,लहर
122,Welle::N,ald,तरंग
123,Welle::N,laineh,लहर
124,Welle::N,laineh,तरंग
125,Wasser::N,vezi,जल
126,Wasser::N,vezi,पानी
127,Stein::N,kivi,पत्थर
128,Boden::N,ma,मिट्टी
129,Boden::N,pohj,मिट्टी
130,Erde::N,ma,भूमि
131,Erde::N,ma,ज़मीन
132,Staub::N,pölü,धूल
133,Rauch::N,savu,धूआँ
134,Rauch::N,savu,धुम्र
135,Funke::N,kibin,चिनगारी
136,Funke::N,kibin,स्फुलिंग
137,Feuer::N,lämoi,आग
138,Feuer::N,lämoi,आतिश
139,Feuer::N,lämoi,अग्नि
140,Licht::N,vauktuz,रोशनी
141,Licht::N,vauktuz,प्रकाश
142,Schatten::N,pil'vez,छाया
143,Schatten::N,pil'vez,परछाई
144,Schatten::N,kuvahaine,छाया
145,Schatten::N,kuvahaine,परछाई
146,Wetter::N,sä,ऋतु
147,Wetter::N,sä,मौसम
148,Nebel::N,sumeg,धुँध
149,Nebel::N,sumeg,कुहरा
150,Wolke::N,pil'v,मेघ
151,Wolke::N,pil'v,अभ्र
152,Regen::N,vihm,मेंह
153,Regen::N,vihm,बारिश
154,Schnee::N,lumi,हिम
155,Schnee::N,lumi,बर्फ़
156,Eis::N,jä,हिम
157,Eis::N,jä,बर्फ़
158,Frost::N,hala,ठंड
159,Frost::N,pakaine,ठंड
160,Kälte::N,vilu,सर्दी
161,Kälte::N,vilu,शीतलता
162,Hitze::N,räk,ताप
163,Hitze::N,räk,गरमी
164,Raureif::N,hüde,पाला
165,Regenbogen::N,jumalanbembel',इंद्र-धनुष
166,Donner::N,juru,गरज
167,Donner::N,juru,मेघ-गर्जन
168,Donner::N,jumalanjuru,गरज
169,Donner::N,jumalanjuru,मेघ-गर्जन
170,Strömung::N,joksmuz,बहाव
171,Strömung::N,joksmuz,प्रवाह
172,Tropfen::N,tilkuine,बूँद
173,Schaum::N,vaht,झाग
174,Schmutz::N,redu,गंद
175,Schmutz::N,redu,कीचड़
176,Schmutz::N,pačak,गंद
177,Schmutz::N,pačak,कीचड़
178,See::N,järv,झील
179,See::N,järv,सरोवर
180,Sumpf::N,so,दलदल
181,Sumpf::N,so,धँसान
182,Moor::N,so,झाबर
183,Moor::N,so,धँसान
184,Wiese::N,nit,घास-स्थल
185,Wald::N,mec,जंगल
186,Hügel::N,kukaz,टीला
187,Hügel::N,kukaz,पहाड़
188,Anhöhe::N,kukaz,टीला
189,Anhöhe::N,kukaz,पहाड़ी
190,Berg::N,mägi,पहाड़
191,Gipfel::N,ladv,शिखर
192,Höhle::N,mägionduz,गुहा
193,Höhle::N,mägionduz,गुफ़ा
194,Abhang::N,paute,ढाल
195,Abhang::N,paute,ढलान
196,Quelle::N,lähte,चश्मा
197,Bach::N,oja,सोता
198,Bach::N,oja,नदिका
199,Fluss::N,jogi,नदी
200,Fluss::N,jogi,सरिता
201,Ufer::N,rand,तट
202,Ufer::N,rand,किनारा
203,Küste::N,randišt,समुद्र-तट
204,Festland::N,kuivma,महाद्वीप
205,Meer::N,meri,सागर
206,Meer::N,meri,समुद्र
207,Bucht::N,laht,खाड़ी
208,Insel::N,sar',टापू
209,Insel::N,sar',द्वीप
210,Blume::N,änik,फूल
211,Blume::N,änik,पुष्प
212,Gras::N,hein,घास
213,Wurzel::N,jur',मूल
214,Baum::N,pu,पेड़
215,Baum::N,pu,वृक्ष
216,Stamm::N,tüvi,धड़
217,Rinde::N,kor',छाल
218,Rinde::N,kor',वल्कल
219,Ast::N,oks,डाल
220,Ast::N,oks,शाखा
221,Zweig::N,oks,टहनी
222,Zweig::N,barb,टहनी
223,Blatt::N,lehtez,पत्र
224,Blatt::N,lehtez,पत्ता
225,Birke::N,koiv,भूर्ज
226,Kiefer[Baum]::N,pedai,पाइन-वृक्ष
227,Weide[Baum]::N,raid,बेंत
228,Tanne::N,kuz',फ़र
229,Horn::N,sar'v,सींग
230,Horn::N,sar'v,विषाण
231,Feder::N,höuneh,पर
232,Feder::N,höuneh,पंख
233,Fell::N,nahk,खाल
234,Fell::N,nahk,पशु-चर्म
235,Flügel::N,suug,पंख
236,Flügel::N,suug,डैना
237,Klaue::N,künz',पंजा
238,Kralle::N,künz',पंजा
239,Kralle::N,künz',नाख़ून
240,Schwanz::N,händ,पूँछ
241,Ei::N,muna,अंडा
242,Nest::N,peza,नीड़
