,Concept_ID,ka,se
0,Auge::N,თვალი,tjelmie
1,Auge::N,თვალი,tjalmme
2,Auge::N,თვალი,čalbmi
3,Auge::N,თვალი,čalme
4,Auge::N,თვალი,čâ´lmm
5,Auge::N,თვალი,ча̄лльм
6,Ohr::N,ყური,bieljie
7,Ohr::N,ყური,biellje
8,Ohr::N,ყური,beallji
9,Ohr::N,ყური,pelji
10,Ohr::N,ყური,pe´llj
11,Ohr::N,ყური,пе̄лльй
12,Nase::N,ცხვირი,njuenie
13,Nase::N,ცხვირი,njunnje
14,Nase::N,ცხვირი,njunni
15,Nase::N,ცხვირი,njuṇe
16,Nase::N,ცხვირი,njuu´nn
17,Nase::N,ცხვირი,нюннҍ
18,Mund::N,პირი,njaelmie
19,Mund::N,პირი,njálmme
20,Mund::N,პირი,njálbmi
21,Mund::N,პირი,njälmi
22,Mund::N,პირი,njä´lmm
23,Mund::N,პირი,ня̄лльм
24,Zahn::N,კბილი,baenie
25,Zahn::N,კბილი,bádne
26,Zahn::N,კბილი,bátni
27,Zahn::N,კბილი,pääṇi
28,Zahn::N,კბილი,pää´nn
29,Zahn::N,კბილი,па̄ннҍ
30,Zunge::N,ენა,njoektjeme
31,Zunge::N,ენა,njuovtjav
32,Zunge::N,ენა,njuovčča
33,Zunge::N,ენა,njuovčâ
34,Zunge::N,ენა,njuhččâm
35,Zunge::N,ენა,нюхчем
36,Lippe::N,ბაგე,bangseme
37,Lippe::N,ბაგე,njálmmerabdda
38,Lippe::N,ბაგე,bavssa
39,Lippe::N,ბაგე,poovsâ
40,Lippe::N,ბაგე,põõus
41,Lippe::N,ბაგე,пэ̄кс
42,Wange::N,ლოყა,skiehrie
43,Wange::N,ლოყა,nierra
44,Wange::N,ლოყა,muohtu
45,Wange::N,ლოყა,nieṛâ
46,Wange::N,ლოყა,njiõrr
47,Wange::N,ლოყა,нӣрр
48,Gesicht::N,სახე,ååredæjja
49,Gesicht::N,სახე,muohto
50,Gesicht::N,სახე,muođut
51,Gesicht::N,სახე,ámadadju
52,Gesicht::N,სახე,muáđuh
53,Gesicht::N,სახე,muâđ
54,Gesicht::N,სახე,ка̄ссв
55,Stirn::N,შუბლი,gaalloe
56,Stirn::N,შუბლი,gállo
57,Stirn::N,შუბლი,gállu
58,Stirn::N,შუბლი,kállu
59,Stirn::N,შუბლი,käll
60,Stirn::N,შუბლი,вуэххьц
61,Haar::N,თმა,voepte
62,Haar::N,თმა,vuoppta
63,Haar::N,თმა,vuokta
64,Haar::N,თმა,vuop'tâ
65,Haar::N,თმა,vuõpt
66,Haar::N,თმა,вӯппт
67,Schnurrbart::N,ულვაში,bijjie-skaavtjoe
68,Schnurrbart::N,ულვაში,njunjevuolskávttjá
69,Schnurrbart::N,ულვაში,seamu
70,Schnurrbart::N,ულვაში,siämu
71,Schnurrbart::N,ულვაში,ää´bben
72,Schnurrbart::N,ულვაში,о̄а̄бпан
73,Bart::N,წვერი,skaavtja
74,Bart::N,წვერი,skaavtjoe
75,Bart::N,წვერი,skávttjá
76,Bart::N,წვერი,seamu
77,Bart::N,წვერი,siämu
78,Bart::N,წვერი,seäm
79,Bart::N,წვერი,ся̄м
80,Kinn::N,ნიკაპი,gaejpie
81,Kinn::N,ნიკაპი,gájbbe
82,Kinn::N,ნიკაპი,gáibi
83,Kinn::N,ნიკაპი,käibi
84,Kinn::N,ნიკაპი,käi´bb
85,Kinn::N,ნიკაპი,ка̄ййп
86,Kiefer[Anatomie]::N,ყბა,gaejpie
87,Kiefer[Anatomie]::N,ყბა,oalol
88,Kiefer[Anatomie]::N,ყბა,oaloldákte
89,Kiefer[Anatomie]::N,ყბა,gáibi
90,Kiefer[Anatomie]::N,ყბა,uá'lultähti
91,Kiefer[Anatomie]::N,ყბა,vuâl'lõš
92,Kiefer[Anatomie]::N,ყბა,вуаллнешш
93,Kehle::N,ყელი,gealoe
94,Kehle::N,ყელი,tjåttå
95,Kehle::N,ყელი,njiello
96,Kehle::N,ყელი,čotta
97,Kehle::N,ყელი,čuudâ
98,Kehle::N,ყელი,čoodd
99,Kehle::N,ყელი,чонт
100,Kehle::N,ყელი,кэ̄ҏс
101,Hals::N,ყელი,tjeapohke
102,Hals::N,ყელი,tjiebet
103,Hals::N,ყელი,čeabet
104,Hals::N,ყელი,čiäppát
105,Hals::N,ყელი,čeäppat
106,Hals::N,ყელი,ча̄пэх
107,Hals::N,კისერი,tjeapohke
108,Hals::N,კისერი,tjiebet
109,Hals::N,კისერი,čeabet
110,Hals::N,კისერი,čiäppát
111,Hals::N,კისერი,čeäppat
112,Hals::N,კისერი,ча̄пэх
113,Genick::N,კეფა,tjovrese
114,Genick::N,კეფა,nisske
115,Genick::N,კეფა,niehkki
116,Genick::N,კეფა,niski
117,Genick::N,კეფა,niek'ki
118,Genick::N,კეფა,nji´šǩǩmaadd
119,Genick::N,კეფა,нышшькмоант
120,Kopf::N,თავი,åejjie
121,Kopf::N,თავი,oajvve
122,Kopf::N,თავი,oaivi
