,Concept_ID,uz,ady
0,Auge::N,ko'z,нэ
1,Ohr::N,quloq,тхьакӏу́м
2,Nase::N,burun,пэ
3,Mund::N,og'iz,жэ
4,Zahn::N,tish,цэ
5,Zunge::N,til,бзэгу
6,Lippe::N,dudoq,ӏупшӏэ́
7,Wange::N,bet,нэкӏу́шъу
8,Gesicht::N,yuz,нэ́гу
9,Stirn::N,manglay,натӏэ́
10,Haar::N,soch,шъхьацы́
11,Schnurrbart::N,mo'ylov,
12,Bart::N,soqol,жакӏэ́
13,Kinn::N,ängak,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,iyak,жэпкъы́
15,Kehle::N,bo'g'iz,чый
16,Hals::N,bo'yin,пшъэ
17,Genick::N,gardan,шъхьэпхэтыку
18,Kopf::N,bosh,шъхьэ́
19,Rücken::N,orqa,кӏыбы́
20,Bauch::N,qorin,ныбэ́
21,Nabel::N,kindik,
22,Busen::N,ämchak,бгъэ́
23,Brust::N,ko'krak,бгъэ́
24,Schulter::N,elka,блыпкъ
25,Arm::N,bilak,ӏэ
26,Ellenbogen::N,tirsak,ӏэнтэ́гъу
27,Hand::N,qo'l,ӏэтхьэцу
28,Handfläche::N,kaft,ӏэ́гу
29,Finger::N,barmoq,ӏэхъуа́мб
30,Fingernagel::N,tirnoq,ӏэбжъа́н
31,Nagel[Anatomie]::N,tirnoq,ӏэбжъа́н
32,Zeh::N,oyoq barmog'i,ӏэхъуа́мб
33,Fuß::N,oyoq,лъэгу
34,Ferse::N,tovon,лъэдакъэ
35,Knie::N,tiz,лъагуа́ндж
36,Oberschenkel::N,son,ко
37,Bein::N,oyoq,лъакъо́
38,Körper::N,badna,пкъышъол
39,Haut::N,teri,кӏы́шъу
40,Blut::N,qon,лъы
41,Ader::N,qon tomir,льытф
42,Sehne::N,tomir,фэ
43,Knochen::N,suyak,къупшъхьэ́
44,Gehirn::N,miya,куцӏы
45,Herz::N,qalb,гу
46,Magen::N,oshqozon,мышкӏу
47,Leber::N,bag'ir,шӏу
48,Atem::N,dam,къэщэныр
49,Hunger::N,ochlik,гъаблэ́
50,Träne::N,yosh,нэпсы
51,Geschmack::N,tam,ӏэшӏугъа́кӏ
52,Geruch::N,jid,мэ
53,Schlaf::N,uyqu,пчыхьы́пӏ
54,Traum::N,tush,пчыхьы́пӏ
55,Himmel::N,osmon,уашъо́
