,Concept_ID,az,nl
0,Auge::N,göz,oog
1,Ohr::N,qulaq,oor
2,Nase::N,burun,neus
3,Mund::N,ağız,mond
4,Zahn::N,diş,tand
5,Zunge::N,dil,tong
6,Lippe::N,dodaq,lip
7,Wange::N,yanaq,wang
8,Gesicht::N,üz,gelaat
9,Gesicht::N,üz,gezicht
10,Stirn::N,alın,voorhoofd
11,Haar::N,saç,haar
12,Schnurrbart::N,bığ,snor
13,Bart::N,saqqal,baard
14,Kinn::N,çənə,kin
15,Kiefer[Anatomie]::N,çənə,kaak
16,Kehle::N,boğaz,keel
17,Kehle::N,boğaz,strot
18,Hals::N,boyun,hals
19,Genick::N,ənsə,nek
20,Kopf::N,baş,hoofd
21,Rücken::N,bel,rug
22,Bauch::N,qarın,buik
23,Nabel::N,göbək,navel
24,Busen::N,məmə,boezem
25,Brust::N,döş,borst
26,Schulter::N,çiyin,schouder
27,Arm::N,qol,arm
28,Ellenbogen::N,dirsək,elleboog
29,Hand::N,əl,hand
30,Handfläche::N,ovuc,handpalm
31,Finger::N,barmaq,vinger
32,Fingernagel::N,barmaq dırnağı,nagel
33,Nagel[Anatomie]::N,dırnak,nagel
34,Zeh::N,ayaq barmağı,teen
35,Fuß::N,ayaq,voet
36,Ferse::N,daban,hak
37,Ferse::N,daban,hiel
38,Knie::N,diz,knie
39,Oberschenkel::N,bud,dij
40,Bein::N,qıç,been
41,Körper::N,əndam,lichaam
42,Haut::N,dəri,huid
43,Blut::N,qan,bloed
44,Ader::N,damar,ader
45,Sehne::N,vətər,pees
46,Knochen::N,sümük,bot
47,Knochen::N,sümük,been
48,Knochen::N,sümük,knook
49,Gehirn::N,beyin,hersenen
50,Herz::N,ürək,hart
51,Magen::N,mədə,maag
52,Leber::N,qara ciyər,lever
53,Atem::N,nəfəs,adem
54,Hunger::N,aclıq,honger
55,Träne::N,göz yaşı,traan
56,Geschmack::N,tam,smaak
57,Geschmack::N,ləzzət,smaak
58,Geruch::N,qoxu,geur
59,Schlaf::N,yuxu,slaap
60,Traum::N,röya,droom
61,Himmel::N,göy,hemel
62,Himmel::N,səma,hemel
63,Sonne::N,günəş,zon
64,Mond::N,ay,maan
65,Stern::N,ulduz,ster
66,Luft::N,hava,lucht
67,Wind::N,yel,wind
68,Wind::N,külək,wind
69,Welle::N,dalğa,golf
70,Wasser::N,su,water
71,Stein::N,daş,steen
72,Boden::N,yer,grond
73,Boden::N,zəmin,grond
74,Erde::N,yer torpaq,aarde
75,Staub::N,toz,stof
76,Rauch::N,tüstü,rook
77,Funke::N,qığılcım,vonk
78,Feuer::N,od,vuur
79,Licht::N,işıq,licht
80,Schatten::N,kölgə,schaduw
81,Wetter::N,hava,weer
82,Nebel::N,duman,mist
83,Nebel::N,duman,nevel
84,Wolke::N,bulud,wolk
85,Regen::N,yağış,regen
86,Regen::N,yağmur,regen
87,Schnee::N,qar,sneeuw
88,Eis::N,buz,ijs
89,Frost::N,ayaz,vorst
90,Kälte::N,soyuq,kou
91,Kälte::N,soyuq,koude
92,Hitze::N,coşğunluq,hitte
93,Raureif::N,qırov,rijp
94,Regenbogen::N,göy qurşağı,regenboog
95,Donner::N,göy gurultusu,donder
96,Strömung::N,axın,stroming
97,Tropfen::N,damcı,druppel
98,Schaum::N,köpük,schuim
99,Schmutz::N,çamır,vuil
100,See::N,göl,meer
101,Sumpf::N,bataqlıq,moeras
102,Moor::N,bataqlıq,veen
103,Wiese::N,çəmən,wei
104,Wiese::N,çəmən,weide
105,Wald::N,meşə,bos
106,Hügel::N,təpə,heuvel
107,Anhöhe::N,təpə,hoogte
108,Berg::N,dağ,berg
109,Gipfel::N,zirvə,top
110,Höhle::N,mağara,hol
111,Abhang::N,yamac,helling
112,Quelle::N,bulaq,bron
113,Bach::N,kiçik çay,beek
114,Fluss::N,çay,stroom
115,Ufer::N,kənar,wal
116,Ufer::N,kənar,oever
117,Küste::N,sahil,kust
118,Festland::N,materik,vasteland
119,Meer::N,dəniz,zee
120,Bucht::N,körfəz,baai
121,Bucht::N,körfəz,inham
122,Insel::N,ada,eiland
123,Blume::N,çiçək,bloem
124,Gras::N,ot,gras
125,Wurzel::N,kök,wortel
126,Baum::N,ağac,boom
127,Stamm::N,gövdə,stam
128,Rinde::N,qabıq,schors
129,Ast::N,şax,tak
130,Zweig::N,budaq,twijg
131,Blatt::N,yarpaq,blad
132,Birke::N,tozağacı,berk
133,Kiefer[Baum]::N,şam,den
134,Weide[Baum]::N,söyüd,wilg
135,Tanne::N,küknar,spar
136,Horn::N,buynuz,hoorn
137,Feder::N,tük,veer
138,Feder::N,tük,pluim
139,Feder::N,lələk,veer
140,Feder::N,lələk,pluim
141,Fell::N,xəz,vel
142,Flügel::N,qanad,vleugel
143,Klaue::N,pəncə,klauw
144,Kralle::N,dırnaq,klauw
145,Schwanz::N,quyruq,staart
146,Ei::N,yumurta,ei
147,Nest::N,yuva,nest
148,Bau::N,yuva,hol
149,Tier::N,heyvan,dier
150,Herde::N,sürü,kudde
151,Kuh::N,inək,koe
152,Bulle::N,öküz,stier
153,Pferd::N,at,paard
154,Schaf::N,qoyun,schaap
155,Schwein::N,donuz,varken
156,Hund::N,it,hond
157,Hund::N,köpək,hond
158,Katze::N,pişik,kat
159,Bär::N,ayı,beer
160,Eichhörnchen::N,dələ,eekhoorntje
161,Elch::N,sığın,eland
162,Fuchs::N,tülkü,vos
163,Hase::N,dovşan,haas
164,Maus::N,siçan,muis
165,Wolf::N,qurd,wolf
166,Vogel::N,quş,vogel
167,Schwarm::N,sürü,zwerm
168,Huhn::N,toyuq,kip
169,Huhn::N,toyuq,hoen
170,Hahn::N,xoruz,haan
171,Gans::N,qaz,gans
172,Adler::N,qartal,arend
173,Adler::N,qaraquş,arend
174,Ente::N,ördək,eend
175,Eule::N,bayquş,uil
176,Kranich::N,durna,kraanvogel
177,Krähe::N,qarğa,kraai
178,Kuckuck::N,ququ,koekoek
179,Schwan::N,qu quşu,zwaan
180,Fisch::N,balıq,vis
181,Barsch::N,tar,baars
182,Hecht::N,durnabalığı,snoek
183,Schlange[Tier]::N,ilan,slang
184,Wurm::N,qurd,worm
185,Spinne::N,hörümçək,spin
186,Ameise::N,qarışqa,mier
187,Laus::N,bit,luis
188,Mücke::N,ağcaqanad,mug
189,Fliege::N,milçək,vlieg
190,Schmetterling::N,kəpənək,vlinder
191,Beere::N,gilə,bes
192,Apfel::N,alma,appel
193,Pilz::N,göbələk,paddestoel
194,Zwiebel::N,soğan,ui
195,Saat::N,əkin,zaad
196,Korn::N,taxıl,graan
197,Korn::N,taxıl,korrel
198,Heu::N,quru ot,hooi
199,Schale::N,qabıq,schil
200,Grube::N,çuxur,kuil
201,Falle::N,tələ,val
202,Falle::N,duzaq,val
203,Schlinge::N,ilmək,strop
204,Spur::N,iz,spoor
205,Asche::N,kül,as
206,Dreck::N,kir,drek
207,Eisen::N,dəmir,ijzer
208,Gold::N,altun,goud
209,Silber::N,gümüş,zilver
210,Kohle::N,kömür,kool
211,Glas::N,şüşə,glas
