,Concept_ID,br,is
0,Auge::N,lagad,auga
1,Ohr::N,skouarn,eyra
2,Nase::N,fri,nef
3,Mund::N,genoù,munnur
4,Zahn::N,dant,tönn
5,Zunge::N,teod,tunga
6,Lippe::N,muzell,vör
7,Wange::N,chot,kinn
8,Wange::N,chot,vangi
9,Gesicht::N,dremm,andlit
10,Stirn::N,tal,enni
11,Haar::N,blev,hár
12,Schnurrbart::N,mourenn,yfirskegg
13,Bart::N,barv,skegg
14,Kinn::N,groñj,haka
15,Kiefer[Anatomie]::N,javed,kjálki
16,Kiefer[Anatomie]::N,javed,skoltur
17,Kehle::N,gouzoug,kverk
18,Hals::N,gouzoug,háls
19,Genick::N,choug,hnakki
20,Kopf::N,penn,höfuð
21,Rücken::N,kein,hryggur
22,Bauch::N,kof,kviður
23,Nabel::N,begel,nafli
24,Busen::N,bronn,barmur
25,Brust::N,bruched,brjóst
26,Schulter::N,skoaz,öxl
27,Arm::N,brec'h,armur
28,Ellenbogen::N,ilin,olnbogi
29,Hand::N,dorn,hönd
30,Handfläche::N,palv,lófi
31,Finger::N,biz,fingur
32,Fingernagel::N,ivin,fingurnögl
33,Nagel[Anatomie]::N,ivin,nögl
34,Zeh::N,biz-troad,tá
35,Fuß::N,troad,fótur
36,Ferse::N,seul,hæll
37,Knie::N,glin,kné
38,Oberschenkel::N,morzhed,læri
39,Bein::N,gar,fótleggur
40,Körper::N,korf,búkur
41,Körper::N,korf,líkami
42,Haut::N,kroc'hen,húð
43,Haut::N,kroc'hen,skinn
44,Blut::N,gwad,blóð
45,Ader::N,gwazhi,æð
46,Sehne::N,stir,sin
47,Knochen::N,askorn,bein
48,Gehirn::N,empenn,heili
49,Herz::N,kalon,hjarta
50,Magen::N,stomog,magi
51,Leber::N,avu,lifur
52,Atem::N,anal,andi
53,Atem::N,anal,andardráttur
54,Hunger::N,naon,hungur
55,Träne::N,daer,tár
56,Geschmack::N,blaz,smekkur
57,Geruch::N,c'hwezh,lykt
58,Schlaf::N,kousked,svefn
59,Traum::N,hune,draumur
60,Himmel::N,oabl,himinn
61,Sonne::N,heol,sól
62,Mond::N,loar,tungl
63,Stern::N,steredenn,stjarna
64,Luft::N,aer,loft
65,Wind::N,avel,vindur
66,Welle::N,houlenn,alda
67,Welle::N,houlenn,bylgja
68,Wasser::N,dour,vatn
69,Stein::N,maen,steinn
70,Boden::N,tachenn,botn
71,Erde::N,douar,jörð
72,Staub::N,poultr,ryk
73,Staub::N,poultr,duft
74,Rauch::N,moged,reykur
75,Funke::N,ful,neisti
76,Feuer::N,tan,eldur
77,Licht::N,gouloù,ljós
78,Schatten::N,disheol,skuggi
79,Wetter::N,amzer,veður
80,Nebel::N,brumenn,þoka
81,Wolke::N,koumoulenn,ský
82,Regen::N,glav,regn
83,Schnee::N,erc'h,snjór
84,Eis::N,skorn,ís
85,Frost::N,rev,frost
86,Kälte::N,yen,kuldi
87,Hitze::N,tommder,hiti
88,Raureif::N,frim,hrím
89,Regenbogen::N,gwareg-ar-glav,regnbogi
90,Donner::N,kurun,þruma
91,Strömung::N,red,straumur
92,Tropfen::N,bannac'h,dropi
93,Tropfen::N,takenn,dropi
94,Schaum::N,spoum,froða
95,Schmutz::N,fank,óhreinindi
96,See::N,lenn,stöðuvatn
97,Sumpf::N,gwern,fen
98,Moor::N,taouarc'heg,mýri
99,Wiese::N,prad,engi
100,Wald::N,koad,skógur
101,Hügel::N,torgenn,hæð
102,Hügel::N,torgenn,hóll
103,Anhöhe::N,run,hæð
104,Anhöhe::N,run,hóll
105,Berg::N,menez,fell
106,Berg::N,menez,fjall
107,Gipfel::N,barr,tindur
108,Höhle::N,kav,hellir
109,Abhang::N,naou,hlíð
110,Abhang::N,naou,brekka
111,Quelle::N,feunteun,lind
112,Quelle::N,feunteun,uppspretta
113,Bach::N,gwazh,lækur
114,Fluss::N,stêr,á
115,Fluss::N,stêr,fljót
116,Ufer::N,ribl,árbakki
117,Ufer::N,ribl,sjávarbakki
118,Küste::N,aod,strönd
119,Festland::N,douar,meginland
120,Meer::N,mor,haf
121,Meer::N,mor,sjór
122,Bucht::N,mor-bihan,vík
123,Insel::N,enez,eyja
124,Blume::N,bleunienn,blóm
125,Gras::N,geot,gras
126,Wurzel::N,gwrizienn,rót
127,Baum::N,gwezenn,tré
128,Stamm::N,kef,stofn
129,Rinde::N,rusk,börkur
130,Ast::N,barr,grein
131,Zweig::N,bod,angi
132,Zweig::N,bod,kvistur
133,Blatt::N,delienn,blað
134,Birke::N,bezvenn,birki
135,Kiefer[Baum]::N,pinenn,fura
136,Weide[Baum]::N,halegenn,víðir
137,Tanne::N,sapenn,greni
138,Horn::N,korn,horn
139,Feder::N,pluñv,fjöður
140,Fell::N,kreoñ,skinn
141,Flügel::N,askell,vængur
142,Klaue::N,skilf,kló
143,Kralle::N,skilf,kló
144,Schwanz::N,lost,rófa
145,Schwanz::N,lost,skott
146,Ei::N,vi,egg
147,Nest::N,neizh,hreiður
148,Bau::N,douarenn,greni
149,Bau::N,douarenn,bæli
