,Concept_ID,mhr,sah
0,Auge::N,шинча́,харах
1,Ohr::N,пы́лыш,кулгаах
2,Nase::N,нер,мурун
3,Mund::N,умша́,айах
4,Zahn::N,пӱй,тиис
5,Zunge::N,йы́лме,тыл
6,Lippe::N,тӱ́рвӧ,уос
7,Wange::N,шӱ́ргӧ,иэдэс
8,Gesicht::N,чури́й,сирэй
9,Stirn::N,саҥга́,сүүс
10,Haar::N,ӱп,баттах
11,Schnurrbart::N,ӧ́рыш,уос бытыга
12,Bart::N,понда́ш,сэҥийэ бытыга
13,Kinn::N,оҥыла́ш,сэҥийэ
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,сыҥаах
15,Kiefer[Anatomie]::N,пӱйората́,сыҥаах
16,Kehle::N,лога́р,тамах
17,Kehle::N,лога́р,күөмэй
18,Hals::N,шӱй,моой
19,Genick::N,шӱйло́дыш,кэтэх
20,Kopf::N,вуй,бас
21,Rücken::N,туп,көҕүс
22,Bauch::N,мӱ́шкыр,ис
23,Nabel::N,кы́лымде,киин
24,Busen::N,чы́зе,эмиий
25,Brust::N,оҥ,түөс
26,Schulter::N,ва́че,сарын
27,Arm::N,кид,илии
28,Ellenbogen::N,кынерву́й,тоҕонох
29,Hand::N,кид,илии
30,Hand::N,копа́,илии
31,Handfläche::N,со́во,ытыс
32,Finger::N,парня́,тарбах
33,Fingernagel::N,кидкӱ́ч,тыҥырах
34,Fingernagel::N,парнягӱ́ч,тыҥырах
35,Nagel[Anatomie]::N,кӱч,тыҥырах
36,Zeh::N,йолварня́,тарбах
37,Fuß::N,йол,уллуҥах
38,Fuß::N,йолкопа́,уллуҥах
39,Ferse::N,тага́н,тилэх
40,Knie::N,пулву́й,тобук
41,Knie::N,пулву́й,дьилбэк
42,Oberschenkel::N,э́рде,уллук
43,Oberschenkel::N,э́рде,өттүк
44,Bein::N,йол,атах
45,Körper::N,кап,бэйэ
46,Haut::N,кова́ште,тирии
47,Blut::N,вӱр,хаан
48,Ader::N,шӧн,вена
49,Ader::N,шӧн,күөх_тымыр
50,Sehne::N,шӧн,иҥиир
51,Sehne::N,кӱсе́н,иҥиир
52,Knochen::N,лу,уҥуох
53,Knochen::N,лу,уҥгуох
54,Gehirn::N,вем,мэйии
55,Gehirn::N,вуйве́м,мэйии
56,Herz::N,шӱм,сүрэх
57,Magen::N,пага́р,куртах
58,Leber::N,мокш,быар
