,Concept_ID,nl,el
0,Auge::N,oog,μάτι
1,Auge::N,oog,οφθαλμός
2,Ohr::N,oor,αυτί
3,Nase::N,neus,μύτη
4,Mund::N,mond,στόμα
5,Zahn::N,tand,δόντι
6,Zunge::N,tong,γλώσσα
7,Lippe::N,lip,χείλος
8,Wange::N,wang,παρειά
9,Wange::N,wang,μάγουλο
10,Gesicht::N,gelaat,πρόσωπο
11,Gesicht::N,gezicht,πρόσωπο
12,Stirn::N,voorhoofd,μέτωπο
13,Haar::N,haar,μαλλιά
14,Schnurrbart::N,snor,μουστάκι
15,Bart::N,baard,γένια
16,Kinn::N,kin,πιγούνι
17,Kiefer[Anatomie]::N,kaak,σαγόνι
18,Kehle::N,keel,λαρύγγι
19,Kehle::N,strot,λαρύγγι
20,Hals::N,hals,λαιμός
21,Genick::N,nek,σβέρκος
22,Kopf::N,hoofd,κεφάλι
23,Rücken::N,rug,ράχη
24,Bauch::N,buik,κοιλιά
25,Nabel::N,navel,αφαλός
26,Busen::N,boezem,στήθος
27,Brust::N,borst,στήθος
28,Schulter::N,schouder,ώμος
29,Arm::N,arm,χέρι
30,Arm::N,arm,μπράτςο
31,Ellenbogen::N,elleboog,αγκώνας
32,Hand::N,hand,χέρι
33,Handfläche::N,handpalm,παλάμη
34,Finger::N,vinger,δάχτυλο
35,Fingernagel::N,nagel,νύχι
36,Nagel[Anatomie]::N,nagel,νύχι
37,Zeh::N,teen,δάχτυλο του ποδιού
38,Fuß::N,voet,πόδι
39,Ferse::N,hak,φτέρνα
40,Ferse::N,hiel,φτέρνα
41,Knie::N,knie,γόνατο
42,Oberschenkel::N,dij,μηρός
43,Bein::N,been,πόδι
44,Körper::N,lichaam,σώμα
45,Körper::N,lichaam,κορμί
46,Haut::N,huid,πετσί
47,Blut::N,bloed,αίμα
48,Ader::N,ader,φλέβα
49,Sehne::N,pees,νεύρο
50,Sehne::N,pees,τένοντας
51,Knochen::N,bot,οστό
52,Knochen::N,bot,κόκκαλο
53,Knochen::N,been,οστό
