,Concept_ID,ab,sv
0,Auge::N,ала,öga
1,Ohr::N,алымҳа,öra
2,Nase::N,аҧынҵа,näsa
3,Mund::N,аҧышə,mun
4,Zahn::N,ахаҧыц,tand
5,Zunge::N,абз,tunga
6,Lippe::N,ақьышə,läpp
7,Wange::N,аӡамҩа,kind
8,Gesicht::N,аҿы,syn
9,Gesicht::N,аҿы,ansikte
10,Stirn::N,алахь,panna
11,Haar::N,ахəыц,hår
12,Schnurrbart::N,аҧаҵа,mustasch
13,Bart::N,ажакьа,skägg
14,Kinn::N,ацламкəыгə,haka
15,Kiefer[Anatomie]::N,ацламҳəа,käke
16,Kehle::N,ахəда,strupe
17,Hals::N,ахəда,hals
18,Genick::N,ахəдаџьал,nacke
19,Kopf::N,ахы,huvud
20,Rücken::N,азқəа,rygg
21,Bauch::N,амгəа,buk
22,Bauch::N,амгəа,mage
23,Nabel::N,аҷапан,navel
24,Busen::N,агəыҧҳəы,barm
25,Brust::N,агəышҧы,bröst
26,Schulter::N,ажəҩахыр,skuldra
27,Arm::N,амахəар,arm
28,Ellenbogen::N,амашьхəылҵ,armbåge
29,Hand::N,анапы,hand
30,Handfläche::N,анапсаргəыҵа,handflata
31,Finger::N,анацəа,finger
32,Fingernagel::N,анапхыц,fingernagel
33,Nagel[Anatomie]::N,ашьапхыц,nagel
34,Zeh::N,ашьацəа,tå
35,Fuß::N,ашьапсыргəыҵа,fot
36,Ferse::N,ашьхəа,häl
37,Knie::N,ашьамхы,knä
38,Oberschenkel::N,ауаҭəа,lår
39,Bein::N,ашьапы,ben
40,Körper::N,ацəеижь,kropp
41,Haut::N,ацəа,hud
42,Haut::N,ацəа,skinn
43,Blut::N,ашьа,blod
44,Ader::N,ада,åder
45,Sehne::N,адаш,sena
46,Knochen::N,абаҩ,ben
47,Gehirn::N,ахшлыбаҩ,hjärna
48,Gehirn::N,ахшыбаҩ,hjärna
49,Herz::N,агəы,hjärta
50,Magen::N,аца,mage
51,Magen::N,ацар,mage
52,Leber::N,агəаҵəа,lever
53,Atem::N,аҧсыҧлагаҩгара,anda
54,Atem::N,аҧсыҧлагаҩгара,andedräkt
55,Hunger::N,амла,svält
56,Hunger::N,амла,hunger
57,Träne::N,алабжыш,tår
58,Geschmack::N,агьама,smak
59,Geruch::N,афҩы,lukt
60,Schlaf::N,ацəа,sömn
61,Traum::N,аҧхыӡ,dröm
62,Himmel::N,ажəҩан,himmel
63,Sonne::N,амра,sol
64,Mond::N,амза,måne
65,Stern::N,аеҵəа,stjärna
66,Luft::N,аҳаир,luft
67,Wind::N,аҧша,vind
68,Welle::N,ацəқəырҧа,våg
69,Welle::N,ацəқəырҧа,bölja
70,Wasser::N,аӡы,vatten
71,Stein::N,ахаҳə,sten
72,Boden::N,адгьыл,mark
73,Erde::N,адгьыл,jord
74,Staub::N,асаба,damm
75,Rauch::N,алҩа,rök
76,Funke::N,акəиц,gnista
77,Funke::N,ацҧхь,gnista
78,Feuer::N,амца,eld
79,Licht::N,алашара,ljus
80,Schatten::N,ашəшьыра,skugga
81,Wetter::N,амш,väder
82,Nebel::N,анаҟəа,dimma
83,Nebel::N,анаҟəа,töcken
84,Wolke::N,аҧсҭҳəа,sky
85,Wolke::N,аҧсҭҳəа,moln
86,Regen::N,ақəа,regn
87,Schnee::N,асы,snö
88,Eis::N,аҵаа,is
89,Frost::N,аҵаа,frost
90,Kälte::N,ахьҭа,köld
91,Hitze::N,ашоура,hetta
92,Raureif::N,аҵааҧшқа,rimfrost
93,Regenbogen::N,ацəаҟəа,regnbåge
94,Donner::N,адыд,åska
95,Donner::N,адыд,dunder
96,Strömung::N,аиасра,strömning
97,Strömung::N,амҩасра,strömning
98,Tropfen::N,ацəыкəбар,dropper
99,Schaum::N,ашəах,skum
100,Schmutz::N,алымт,lort
101,Schmutz::N,алымт,smuts
102,See::N,аӡиа,sjö
103,Sumpf::N,аӡмах,träsk
104,Wiese::N,адəы,äng
105,Wald::N,абна,skog
106,Hügel::N,ахəы,höjd
107,Hügel::N,ахəы,kulle
108,Anhöhe::N,аҳаракыра,höjd
109,Anhöhe::N,аҳаракыра,backe
110,Berg::N,ашьха,berg
111,Berg::N,ашьха,fjäll
112,Gipfel::N,ацəқəа,topp
113,Höhle::N,аҳаҧы,håla
114,Höhle::N,аҳаҧы,grotta
115,Abhang::N,анаара,slänt
116,Abhang::N,анаара,sluttning
117,Quelle::N,аҵҵырҭа,källa
118,Bach::N,акəараҷҷа,bäck
119,Fluss::N,аӡиас,älv
120,Fluss::N,аӡиас,flod
121,Ufer::N,ахықə,strand
122,Küste::N,ахықə,kust
123,Festland::N,абарра,fastland
124,Meer::N,амшын,hav
125,Bucht::N,аӡбжьахала,vik
126,Bucht::N,аӡбжьахала,bukt
127,Insel::N,адгьылбжьаха,ö
128,Blume::N,ашəҭ,blomma
129,Blume::N,ашəҭ,blomster
