,Concept_ID,av,sk
0,Ohr::N,гӏин,ucho
1,Nase::N,мегӏер,nos
2,Mund::N,кӏал,ústa
3,Zahn::N,гӏус,zub
4,Zunge::N,мацӏ,jazyk
5,Lippe::N,кӏветӏ,pera
6,Wange::N,гӏоно,líce
7,Gesicht::N,гьумер,tvár
8,Gesicht::N,гьумер,obličaj
9,Stirn::N,нодо,čelo
10,Haar::N,рас,vlas
11,Schnurrbart::N,михъ,fúzy
12,Bart::N,мегеж,brada
13,Kinn::N,нилъу,brada
14,Kiefer[Anatomie]::N,чанагъ,čeľusť
15,Kehle::N,щекъер,hrdlo
16,Hals::N,габур,krk
17,Genick::N,гъванща,väzy
18,Kopf::N,бетӏер,hlava
19,Rücken::N,мугъ,chrbát
20,Bauch::N,чехь,brucho
21,Nabel::N,цӏину,pupok
22,Busen::N,керен,prsia
23,Brust::N,керен,hruď
24,Schulter::N,гъажазубетӏер,plece
25,Arm::N,гъеж,rameno
26,Ellenbogen::N,гӏункӏрукь,lakeť
27,Hand::N,квер,ruka
28,Handfläche::N,огъохъат,dlaň
29,Handfläche::N,жанисахъат,dlaň
30,Finger::N,килищ,prst
31,Fingernagel::N,малъ,necht
32,Nagel[Anatomie]::N,малъ,necht
33,Zeh::N,килищ,prst na nohe
34,Fuß::N,хӏетӏ,noha
35,Fuß::N,хӏетӏе,noha
36,Ferse::N,эгъе,päta
37,Knie::N,наку,koleno
38,Oberschenkel::N,мачӏ,stehno
39,Bein::N,бох,noha
40,Körper::N,къаркъала,telo
41,Haut::N,тӏом,koža
42,Blut::N,би,krv
43,Ader::N,бидурихь,žila
44,Knochen::N,ракьа,kosť
45,Gehirn::N,гӏадалнах,mozog
46,Herz::N,ракӏ,srdce
47,Magen::N,кванирукъ,žalúdok
48,Leber::N,тӏул,pečeň
49,Atem::N,хӏухь,dych
50,Hunger::N,ракъи,hlad
51,Träne::N,магӏу,slza
52,Geschmack::N,тату,chuť
53,Geruch::N,махӏ,pach
54,Schlaf::N,макьу,spánok
55,Traum::N,макьу,sen
56,Himmel::N,зоб,nebo
57,Sonne::N,бакъ,slnko
58,Mond::N,моцӏ,mesiac
59,Stern::N,цӏва,hviezda
60,Luft::N,гьава,vzduch
61,Wind::N,гьури,vietor
62,Welle::N,карачел,vlna
63,Wasser::N,лъим,voda
64,Stein::N,гьецӏо,kameň
65,Boden::N,ракь,zem
66,Boden::N,ракь,pôda
67,Erde::N,ракь,zem
68,Erde::N,дуниял,zem
69,Staub::N,хӏур,prach
70,Rauch::N,кӏкӏуй,dym
71,Feuer::N,цӏа,oheň
72,Licht::N,канлъи,svetlo
73,Schatten::N,рагӏад,tieň
74,Wetter::N,гьава-бакъ,počasie
75,Nebel::N,гӏодобнакӏкӏ,hmla
76,Wolke::N,накӏкӏ,oblak
