,Concept_ID,kk,sl
0,Auge::N,көз,okó
1,Ohr::N,құлақ,uhó
2,Nase::N,мұрын,nós
3,Mund::N,ауыз,ústa
4,Zahn::N,тіс,zób
5,Zunge::N,тіл,jêzik
6,Lippe::N,ерін,ústnica
7,Wange::N,ұрт,líce
8,Gesicht::N,бет-аузы,oblíčje
9,Stirn::N,маңдай,čêlo
10,Haar::N,қыл,lás
11,Schnurrbart::N,мұрт,bŕki
12,Bart::N,сақал,bráda
13,Kinn::N,иек,bráda
14,Kiefer[Anatomie]::N,жақ,čeljúst
15,Kehle::N,алқым,gŕlo
16,Hals::N,мойын,vrát
17,Genick::N,желке,zatílnik
18,Kopf::N,кәллә,gláva
19,Rücken::N,арқа,hrbèt
20,Bauch::N,қарын,trébuh
21,Nabel::N,кіндік,pópek
22,Busen::N,омырау,nédrja
23,Brust::N,кеуде,pŕsi
24,Schulter::N,иық,ráma
25,Schulter::N,иық,plêče
26,Arm::N,қол,rôka
27,Ellenbogen::N,шынтақ,komólec
28,Hand::N,қол,rôka
29,Handfläche::N,алақан,dlán
30,Finger::N,саусақ,pŕst
31,Fingernagel::N,тырнақ,nóht na rôki
32,Nagel[Anatomie]::N,тырнақ,nóht
33,Zeh::N,тырнақ,pŕst na nôgi
34,Zeh::N,тұяқ,pŕst na nôgi
35,Fuß::N,аяқ-басы,nôga
36,Ferse::N,өкше,pêta
37,Ferse::N,өкшелік,pêta
38,Knie::N,тізе,koléno
39,Oberschenkel::N,жамбас,stêgno
40,Bein::N,аяқ,nôga
41,Körper::N,дене,teló
42,Haut::N,тері,kóža
43,Blut::N,қан,krí
44,Ader::N,көктамыр,žíla
45,Ader::N,күретамыр,žíla
46,Sehne::N,сіңір,kíta
47,Knochen::N,жілік,kóst
48,Gehirn::N,ми,možgáni
49,Herz::N,жүрек,srcé
50,Magen::N,асқазан,želódec
51,Leber::N,бауыр,jétra
52,Atem::N,леп,díh
53,Hunger::N,ашаршылық,glád
54,Träne::N,жас,sólza
55,Geschmack::N,дәм,okús
56,Geschmack::N,татым,okús
57,Geschmack::N,талғам,okús
58,Geruch::N,иіс,vónj
59,Schlaf::N,ұйқы,sèn
60,Schlaf::N,ұйқы,spánec
61,Schlaf::N,ұйықтау,sèn
62,Schlaf::N,ұйықтау,spánec
63,Traum::N,түс,sánje
64,Himmel::N,аспан,nebó
65,Himmel::N,көқ,nebó
66,Himmel::N,таңдай,nebó
67,Sonne::N,күн,sónce
68,Mond::N,ай,lúna
69,Mond::N,ай,mésec
70,Stern::N,жұлдыз,zvézda
71,Luft::N,әуе,zràk
72,Wind::N,жел,véter
73,Welle::N,толқын,vál
74,Wasser::N,су,vôda
75,Stein::N,тас,kámen
76,Boden::N,қыртыс,tlà
77,Erde::N,топырақ,pŕst
78,Erde::N,топырақ,zêmlja
79,Staub::N,шаң,práh
80,Rauch::N,түтін,dìm
81,Funke::N,ұшқын,ískra
82,Feuer::N,алау,ôgenj
83,Licht::N,шұғыла,lúč
84,Schatten::N,көлеңке,sénca
85,Wetter::N,ауа райы,vrême
86,Nebel::N,тұман,meglà
87,Wolke::N,бұлт,oblák
88,Regen::N,жаңбыр,dèž
89,Schnee::N,қар,snég
90,Eis::N,мұз,léd
91,Frost::N,суық,zmrzál
92,Kälte::N,ызғар,mràz
93,Kälte::N,суықтық,mràz
94,Hitze::N,аптап,pripéka
95,Raureif::N,қырау,ívje
96,Raureif::N,қырау,slána
97,Regenbogen::N,кемпірқосақ,mávrica
98,Donner::N,күн күркіреу,gròm
99,Strömung::N,ағын,strúja
100,Tropfen::N,тамшы,káplja
101,Schaum::N,көбік,péna
102,Schmutz::N,кір,nesnága
103,See::N,көл,jézero
104,Sumpf::N,саз,močvírje
105,Moor::N,саз,bárje
106,Wiese::N,шалғын,trávnik
107,Wald::N,орман,lés
108,Wald::N,орман,gòzd
109,Hügel::N,төбе,brég
110,Hügel::N,төбе,goríca
111,Hügel::N,белес,brég
112,Hügel::N,белес,goríca
113,Hügel::N,белес-белес,brég
114,Hügel::N,белес-белес,goríca
115,Anhöhe::N,дөң,gríč
116,Anhöhe::N,дөң,višína
117,Anhöhe::N,адыр,gríč
118,Anhöhe::N,адыр,višína
119,Anhöhe::N,қырат,gríč
120,Anhöhe::N,қырат,višína
121,Berg::N,тау,gôra
122,Berg::N,тау,planína
123,Gipfel::N,төбе,vŕh
124,Höhle::N,үңгір,jáma
125,Höhle::N,үңгір,votlína
126,Abhang::N,бауыр,pobóčje
127,Quelle::N,қайнар,izvír
128,Bach::N,жылға,pôtok
129,Fluss::N,өзен,réka
130,Ufer::N,жиек,brég
131,Küste::N,жиегі,obála
132,Küste::N,жиегі,obréžje
133,Küste::N,жағалау,obála
134,Küste::N,жағалау,obréžje
135,Festland::N,құрылық,celína
136,Festland::N,құрылық,kopnína
137,Meer::N,теңіз,mórje
138,Bucht::N,шығанақ,zalív
139,Insel::N,арал,ôtok
140,Blume::N,гүл,cvetlíca
141,Gras::N,от,tráva
142,Wurzel::N,түбір,korenína
143,Baum::N,ағаш,drevó
144,Baum::N,дарақ,drevó
145,Stamm::N,сояу,dêblo
146,Stamm::N,оқпан,dêblo
147,Rinde::N,қабық,lúbje
148,Rinde::N,қабық,skórja
149,Ast::N,бұтақ,véja
150,Zweig::N,шыбық,véja
151,Blatt::N,жапырақ,líst
152,Birke::N,қайың,bréza
153,Kiefer[Baum]::N,қарағай,bòr
154,Weide[Baum]::N,тал,vŕba
155,Tanne::N,шырша,hója
156,Horn::N,мүйіз,róg
157,Feder::N,қаламұш,peró
158,Fell::N,тері,kŕzno
159,Flügel::N,қанат,krílo
160,Klaue::N,тырнақ,párkelj
161,Kralle::N,аяқ,krémpelj
162,Schwanz::N,құйрық,rèp
